Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1692044718,2023-08-14T20:25:18Z,DLH790,"48.358894,11.791944",0,0,264
1692044898,2023-08-14T20:28:18Z,DLH790,"48.358929,11.792161",0,2,264
1692044921,2023-08-14T20:28:41Z,DLH790,"48.358952,11.79245",0,2,264
1692044952,2023-08-14T20:29:12Z,DLH790,"48.35894,11.79283",0,0,253
1692044973,2023-08-14T20:29:33Z,DLH790,"48.358887,11.793031",0,1,233
1692044998,2023-08-14T20:29:58Z,DLH790,"48.358875,11.793242",0,1,208
1692045031,2023-08-14T20:30:31Z,DLH790,"48.359024,11.793507",0,0,177
1692045055,2023-08-14T20:30:55Z,DLH790,"48.359234,11.793516",0,2,171
1692045383,2023-08-14T20:36:23Z,DLH790,"48.359001,11.793715",0,8,160
1692045395,2023-08-14T20:36:35Z,DLH790,"48.358521,11.793911",0,10,165
1692045403,2023-08-14T20:36:43Z,DLH790,"48.358116,11.79395",0,11,174
1692045477,2023-08-14T20:37:57Z,DLH790,"48.353447,11.794763",0,16,174
1692045485,2023-08-14T20:38:05Z,DLH790,"48.352821,11.794871",0,16,174
1692045497,2023-08-14T20:38:17Z,DLH790,"48.35183,11.795033",0,17,174
1692045514,2023-08-14T20:38:34Z,DLH790,"48.350574,11.795269",0,0,174
1692045521,2023-08-14T20:38:41Z,DLH790,"48.350178,11.795341",0,11,174
1692045527,2023-08-14T20:38:47Z,DLH790,"48.349842,11.795395",0,12,174
1692045545,2023-08-14T20:39:05Z,DLH790,"48.348911,11.79554",0,10,174
1692045635,2023-08-14T20:40:35Z,DLH790,"48.347454,11.789758",0,16,264
1692045652,2023-08-14T20:40:52Z,DLH790,"48.347305,11.787788",0,0,264
1692045661,2023-08-14T20:41:01Z,DLH790,"48.347214,11.786711",0,17,264
1692045670,2023-08-14T20:41:10Z,DLH790,"48.347145,11.785671",0,17,264
1692045677,2023-08-14T20:41:17Z,DLH790,"48.347076,11.784826",0,17,264
1692045687,2023-08-14T20:41:27Z,DLH790,"48.346973,11.783488",0,18,264
1692045698,2023-08-14T20:41:38Z,DLH790,"48.346859,11.78208",0,18,264
1692045705,2023-08-14T20:41:45Z,DLH790,"48.34679,11.781138",0,18,264
1692045712,2023-08-14T20:41:52Z,DLH790,"48.346722,11.780267",0,18,264
1692045720,2023-08-14T20:42:00Z,DLH790,"48.346653,11.779333",0,17,264
1692045785,2023-08-14T20:43:05Z,DLH790,"48.345943,11.770043",0,22,264
1692045792,2023-08-14T20:43:12Z,DLH790,"48.34584,11.768787",0,23,264
1692045812,2023-08-14T20:43:32Z,DLH790,"48.3456,11.765706",0,23,264
1692045819,2023-08-14T20:43:39Z,DLH790,"48.345509,11.764491",0,24,264
1692045825,2023-08-14T20:43:45Z,DLH790,"48.345417,11.763412",0,24,264
1692045837,2023-08-14T20:43:57Z,DLH790,"48.34528,11.761551",0,21,264
1692045843,2023-08-14T20:44:03Z,DLH790,"48.345207,11.760666",0,15,264
1692045865,2023-08-14T20:44:25Z,DLH790,"48.345047,11.758425",0,0,264
1692045872,2023-08-14T20:44:32Z,DLH790,"48.344975,11.757594",0,16,264
1692045879,2023-08-14T20:44:39Z,DLH790,"48.344913,11.756815",0,16,264
1692045888,2023-08-14T20:44:48Z,DLH790,"48.344833,11.755758",0,17,264
1692045895,2023-08-14T20:44:55Z,DLH790,"48.344776,11.754896",0,17,264
1692045904,2023-08-14T20:45:04Z,DLH790,"48.344696,11.753821",0,17,264
1692045912,2023-08-14T20:45:12Z,DLH790,"48.344616,11.752818",0,17,264
1692045920,2023-08-14T20:45:20Z,DLH790,"48.344536,11.751832",0,17,261
1692045939,2023-08-14T20:45:39Z,DLH790,"48.344398,11.750072",0,10,261
1692045947,2023-08-14T20:45:47Z,DLH790,"48.34425,11.749597",0,9,247
1692045960,2023-08-14T20:46:00Z,DLH790,"48.343803,11.749139",0,0,210
1692045971,2023-08-14T20:46:11Z,DLH790,"48.343323,11.749119",0,10,182
1692045982,2023-08-14T20:46:22Z,DLH790,"48.342819,11.749227",0,11,174
1692045986,2023-08-14T20:46:26Z,DLH790,"48.342567,11.749262",0,12,174
1692045992,2023-08-14T20:46:32Z,DLH790,"48.342213,11.74935",0,13,171
1692045997,2023-08-14T20:46:37Z,DLH790,"48.341984,11.749516",0,13,160
1692046001,2023-08-14T20:46:41Z,DLH790,"48.341763,11.749769",0,13,146
1692046005,2023-08-14T20:46:45Z,DLH790,"48.341606,11.750054",0,14,135
1692046009,2023-08-14T20:46:49Z,DLH790,"48.341473,11.75033",0,13,129
1692046012,2023-08-14T20:46:52Z,DLH790,"48.341331,11.750617",0,13,126
1692046031,2023-08-14T20:47:11Z,DLH790,"48.340828,11.751638",0,0,132
1692046038,2023-08-14T20:47:18Z,DLH790,"48.340679,11.751903",0,7,126
1692046043,2023-08-14T20:47:23Z,DLH790,"48.340679,11.752184",0,8,109
1692046049,2023-08-14T20:47:29Z,DLH790,"48.340752,11.752426",0,6,87
1692046071,2023-08-14T20:47:51Z,DLH790,"48.340797,11.752697",0,0,84
1692046084,2023-08-14T20:48:04Z,DLH790,"48.341053,11.756058",0,36,84
1692046093,2023-08-14T20:48:13Z,DLH790,"48.341427,11.761009",1400,102,83
1692046102,2023-08-14T20:48:22Z,DLH790,"48.341995,11.768118",1375,133,83
1692046110,2023-08-14T20:48:30Z,DLH790,"48.342499,11.774949",1375,157,83
1692046120,2023-08-14T20:48:40Z,DLH790,"48.343475,11.787173",1450,184,83
1692046129,2023-08-14T20:48:49Z,DLH790,"48.344513,11.80002",1825,180,83
1692046138,2023-08-14T20:48:58Z,DLH790,"48.345383,11.811315",2250,176,83
1692046147,2023-08-14T20:49:07Z,DLH790,"48.346127,11.822084",2675,172,84
1692046156,2023-08-14T20:49:16Z,DLH790,"48.346939,11.832768",2950,176,83
1692046165,2023-08-14T20:49:25Z,DLH790,"48.347763,11.844107",3150,179,84
1692046174,2023-08-14T20:49:34Z,DLH790,"48.34845,11.855586",3325,182,84
1692046183,2023-08-14T20:49:43Z,DLH790,"48.349182,11.867207",3525,185,84
1692046192,2023-08-14T20:49:52Z,DLH790,"48.349854,11.878606",3700,190,85
1692046201,2023-08-14T20:50:01Z,DLH790,"48.35051,11.89101",3825,198,85
1692046210,2023-08-14T20:50:10Z,DLH790,"48.351295,11.903325",3950,206,84
1692046219,2023-08-14T20:50:19Z,DLH790,"48.352203,11.916363",4100,214,83
1692046228,2023-08-14T20:50:28Z,DLH790,"48.352661,11.929603",4200,220,92
1692046231,2023-08-14T20:50:31Z,DLH790,"48.352478,11.933265",4250,222,99
1692046234,2023-08-14T20:50:34Z,DLH790,"48.351654,11.939463",4275,225,105
1692046237,2023-08-14T20:50:37Z,DLH790,"48.350739,11.94397",4325,228,107
1692046240,2023-08-14T20:50:40Z,DLH790,"48.349686,11.948406",4375,231,109
1692046243,2023-08-14T20:50:43Z,DLH790,"48.348679,11.952632",4400,232,109
1692046246,2023-08-14T20:50:46Z,DLH790,"48.347626,11.957068",4475,236,110
1692046249,2023-08-14T20:50:49Z,DLH790,"48.346664,11.960872",4525,239,111
1692046252,2023-08-14T20:50:52Z,DLH790,"48.345058,11.967074",4575,240,111
1692046255,2023-08-14T20:50:55Z,DLH790,"48.343781,11.971858",4625,243,111
1692046258,2023-08-14T20:50:58Z,DLH790,"48.342499,11.976471",4675,246,112
1692046261,2023-08-14T20:51:01Z,DLH790,"48.341125,11.981365",4725,249,112
1692046264,2023-08-14T20:51:04Z,DLH790,"48.339798,11.986084",4775,252,113
1692046267,2023-08-14T20:51:07Z,DLH790,"48.338402,11.990854",4825,255,113
1692046273,2023-08-14T20:51:13Z,DLH790,"48.335606,12.000395",4925,260,114
1692046282,2023-08-14T20:51:22Z,DLH790,"48.33123,12.014707",5075,268,114
1692046297,2023-08-14T20:51:37Z,DLH790,"48.322861,12.041579",5450,276,115
1692046312,2023-08-14T20:51:52Z,DLH790,"48.315033,12.066747",6025,276,114
1692046327,2023-08-14T20:52:07Z,DLH790,"48.306561,12.094646",6525,280,114
1692046342,2023-08-14T20:52:22Z,DLH790,"48.298828,12.120808",6950,286,113
1692046357,2023-08-14T20:52:37Z,DLH790,"48.290592,12.148928",7475,287,113
1692046372,2023-08-14T20:52:52Z,DLH790,"48.283051,12.174514",8050,286,113
1692046387,2023-08-14T20:53:07Z,DLH790,"48.274715,12.20263",8475,291,114
1692046402,2023-08-14T20:53:22Z,DLH790,"48.26741,12.230964",8975,296,106
1692046406,2023-08-14T20:53:26Z,DLH790,"48.266197,12.238625",9075,296,102
1692046409,2023-08-14T20:53:29Z,DLH790,"48.265408,12.244769",9175,297,99
1692046412,2023-08-14T20:53:32Z,DLH790,"48.264847,12.250334",9250,298,99
1692046415,2023-08-14T20:53:35Z,DLH790,"48.264336,12.255899",9350,298,97
1692046418,2023-08-14T20:53:38Z,DLH790,"48.263763,12.26208",9475,298,97
1692046421,2023-08-14T20:53:41Z,DLH790,"48.263172,12.269127",9575,298,97
1692046424,2023-08-14T20:53:44Z,DLH790,"48.262615,12.275414",9675,300,97
1692046427,2023-08-14T20:53:47Z,DLH790,"48.262115,12.281729",9725,303,97
1692046430,2023-08-14T20:53:50Z,DLH790,"48.26152,12.288279",9775,306,97
1692046445,2023-08-14T20:54:05Z,DLH790,"48.258774,12.319548",9950,320,97
1692046460,2023-08-14T20:54:20Z,DLH790,"48.255585,12.353692",10125,333,98
1692046475,2023-08-14T20:54:35Z,DLH790,"48.252136,12.388987",10325,348,98
1692046490,2023-08-14T20:54:50Z,DLH790,"48.248383,12.425889",10500,360,98
1692046505,2023-08-14T20:55:05Z,DLH790,"48.24469,12.462038",10725,372,98
1692046520,2023-08-14T20:55:20Z,DLH790,"48.240734,12.500129",11175,375,98
1692046535,2023-08-14T20:55:35Z,DLH790,"48.236435,12.541597",11650,378,98
1692046548,2023-08-14T20:55:48Z,DLH790,"48.233147,12.573925",12075,378,98
1692046581,2023-08-14T20:56:21Z,DLH790,"48.224442,12.660124",13125,383,98
1692046614,2023-08-14T20:56:54Z,DLH790,"48.215424,12.747451",14225,384,98
1692046647,2023-08-14T20:57:27Z,DLH790,"48.207588,12.833982",15275,386,92
1692046656,2023-08-14T20:57:36Z,DLH790,"48.207401,12.856678",15500,389,88
