Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1692131785,2023-08-15T20:36:25Z,DLH790,"48.357044,11.793788",0,3,208
1692131800,2023-08-15T20:36:40Z,DLH790,"48.357128,11.794003",0,2,188
1692131817,2023-08-15T20:36:57Z,DLH790,"48.357342,11.794087",0,3,180
1692131839,2023-08-15T20:37:19Z,DLH790,"48.357544,11.79413",0,1,171
1692131895,2023-08-15T20:38:15Z,DLH790,"48.357056,11.793841",0,0,171
1692132044,2023-08-15T20:40:44Z,DLH790,"48.35717,11.79458",0,0,140
1692132057,2023-08-15T20:40:57Z,DLH790,"48.356869,11.795251",0,10,126
1692132063,2023-08-15T20:41:03Z,DLH790,"48.356621,11.795584",0,12,137
1692132071,2023-08-15T20:41:11Z,DLH790,"48.356182,11.795756",0,13,163
1692132094,2023-08-15T20:41:34Z,DLH790,"48.354694,11.795992",0,0,174
1692132108,2023-08-15T20:41:48Z,DLH790,"48.35368,11.796165",0,0,174
1692132117,2023-08-15T20:41:57Z,DLH790,"48.352924,11.796288",0,0,174
1692132140,2023-08-15T20:42:20Z,DLH790,"48.351143,11.795649",0,0,196
1692132147,2023-08-15T20:42:27Z,DLH790,"48.350601,11.795478",0,16,191
1692132153,2023-08-15T20:42:33Z,DLH790,"48.350166,11.795431",0,15,182
1692132156,2023-08-15T20:42:36Z,DLH790,"48.349911,11.795449",0,14,180
1692132160,2023-08-15T20:42:40Z,DLH790,"48.349674,11.795478",0,14,174
1692132240,2023-08-15T20:44:00Z,DLH790,"48.348213,11.799497",0,0,84
1692132287,2023-08-15T20:44:47Z,DLH790,"48.348419,11.802515",0,0,84
1692132304,2023-08-15T20:45:04Z,DLH790,"48.34853,11.803806",0,0,84
1692132310,2023-08-15T20:45:10Z,DLH790,"48.348549,11.804195",0,10,84
1692132346,2023-08-15T20:45:46Z,DLH790,"48.347569,11.805584",1250,8,136
1692132354,2023-08-15T20:45:54Z,DLH790,"48.34726,11.805619",0,9,171
1692132382,2023-08-15T20:46:22Z,DLH790,"48.34631,11.805708",0,0,182
1692132575,2023-08-15T20:49:35Z,DLH790,"48.343369,11.785865",1275,138,263
1692132584,2023-08-15T20:49:44Z,DLH790,"48.342728,11.777344",1250,169,263
1692132593,2023-08-15T20:49:53Z,DLH790,"48.341801,11.765057",1375,186,263
1692132601,2023-08-15T20:50:01Z,DLH790,"48.341007,11.754504",1725,184,263
1692132609,2023-08-15T20:50:09Z,DLH790,"48.340355,11.744891",2075,180,264
1692132617,2023-08-15T20:50:17Z,DLH790,"48.339661,11.734595",2425,180,263
1692132626,2023-08-15T20:50:26Z,DLH790,"48.338726,11.72364",2675,187,262
1692132635,2023-08-15T20:50:35Z,DLH790,"48.337646,11.711426",2800,198,262
1692132644,2023-08-15T20:50:44Z,DLH790,"48.336586,11.698271",2925,210,262
1692132652,2023-08-15T20:50:52Z,DLH790,"48.335632,11.685791",3050,220,263
1692132661,2023-08-15T20:51:01Z,DLH790,"48.334629,11.6716",3175,231,263
1692132671,2023-08-15T20:51:11Z,DLH790,"48.333435,11.656706",3325,240,262
1692132680,2023-08-15T20:51:20Z,DLH790,"48.332245,11.641987",3600,245,262
1692132689,2023-08-15T20:51:29Z,DLH790,"48.330872,11.625789",3850,252,262
1692132698,2023-08-15T20:51:38Z,DLH790,"48.329464,11.609513",4125,256,262
1692132707,2023-08-15T20:51:47Z,DLH790,"48.328125,11.593604",4425,258,262
1692132716,2023-08-15T20:51:56Z,DLH790,"48.326889,11.577829",4750,262,263
1692132725,2023-08-15T20:52:05Z,DLH790,"48.325653,11.561209",5100,262,263
1692132734,2023-08-15T20:52:14Z,DLH790,"48.323364,11.545434",5475,260,251
1692132737,2023-08-15T20:52:17Z,DLH790,"48.321968,11.540198",5600,260,246
1692132740,2023-08-15T20:52:20Z,DLH790,"48.320431,11.5355",5725,260,242
1692132743,2023-08-15T20:52:23Z,DLH790,"48.318512,11.530715",5850,259,237
1692132746,2023-08-15T20:52:26Z,DLH790,"48.316475,11.526538",5975,260,230
