Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1692304531,2023-08-17T20:35:31Z,DLH790,"48.357906,11.792648",0,2,264
1692304542,2023-08-17T20:35:42Z,DLH790,"48.357914,11.792855",0,3,264
1692304552,2023-08-17T20:35:52Z,DLH790,"48.357914,11.793066",0,3,261
1692304563,2023-08-17T20:36:03Z,DLH790,"48.357857,11.793278",0,3,241
1692304573,2023-08-17T20:36:13Z,DLH790,"48.357834,11.793507",0,3,219
1692304590,2023-08-17T20:36:30Z,DLH790,"48.357914,11.793753",0,0,194
1692304610,2023-08-17T20:36:50Z,DLH790,"48.358128,11.793914",0,3,174
1692304874,2023-08-17T20:41:14Z,DLH790,"48.357719,11.794",0,5,171
1692304884,2023-08-17T20:41:24Z,DLH790,"48.357475,11.79404",0,5,174
1692304975,2023-08-17T20:42:55Z,DLH790,"48.353588,11.794722",0,0,174
1692304986,2023-08-17T20:43:06Z,DLH790,"48.352901,11.794827",0,14,174
1692304993,2023-08-17T20:43:13Z,DLH790,"48.352444,11.794915",0,14,174
1692304999,2023-08-17T20:43:19Z,DLH790,"48.352009,11.795003",0,15,174
1692305009,2023-08-17T20:43:29Z,DLH790,"48.351402,11.795091",0,15,174
1692305019,2023-08-17T20:43:39Z,DLH790,"48.35067,11.795232",0,0,174
1692305028,2023-08-17T20:43:48Z,DLH790,"48.350002,11.795341",0,16,174
1692305333,2023-08-17T20:48:53Z,DLH790,"48.343334,11.78515",1275,133,263
1692305342,2023-08-17T20:49:02Z,DLH790,"48.342731,11.777633",1275,142,263
1692305351,2023-08-17T20:49:11Z,DLH790,"48.341721,11.764738",1300,182,263
1692305360,2023-08-17T20:49:20Z,DLH790,"48.34082,11.752769",1675,182,263
1692305369,2023-08-17T20:49:29Z,DLH790,"48.340168,11.741493",2125,176,265
1692305378,2023-08-17T20:49:38Z,DLH790,"48.339661,11.730864",2425,179,266
1692305384,2023-08-17T20:49:44Z,DLH790,"48.339294,11.723328",2600,182,265
1692305393,2023-08-17T20:49:53Z,DLH790,"48.338608,11.711214",2775,189,264
1692305403,2023-08-17T20:50:03Z,DLH790,"48.337841,11.699066",2950,198,264
1692305411,2023-08-17T20:50:11Z,DLH790,"48.336868,11.686777",3100,204,262
1692305417,2023-08-17T20:50:17Z,DLH790,"48.335999,11.678115",3250,209,260
1692305427,2023-08-17T20:50:27Z,DLH790,"48.334629,11.664879",3425,217,261
1692305435,2023-08-17T20:50:35Z,DLH790,"48.333328,11.651651",3575,225,261
1692305444,2023-08-17T20:50:44Z,DLH790,"48.331928,11.637413",3750,234,261
1692305454,2023-08-17T20:50:54Z,DLH790,"48.330532,11.622596",3950,243,262
1692305463,2023-08-17T20:51:03Z,DLH790,"48.329231,11.606839",4200,248,263
1692305472,2023-08-17T20:51:12Z,DLH790,"48.328159,11.592383",4675,244,263
1692305481,2023-08-17T20:51:21Z,DLH790,"48.326935,11.576632",5175,240,262
1692305496,2023-08-17T20:51:36Z,DLH790,"48.324005,11.55156",5800,241,252
1692305499,2023-08-17T20:51:39Z,DLH790,"48.322861,11.547053",5925,242,246
1692305502,2023-08-17T20:51:42Z,DLH790,"48.321224,11.542295",6050,241,240
1692305505,2023-08-17T20:51:45Z,DLH790,"48.319595,11.538464",6150,242,235
1692305508,2023-08-17T20:51:48Z,DLH790,"48.317368,11.534377",6275,242,230
