Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1692389554,2023-08-18T20:12:34Z,DLH790,"48.357891,11.792362",0,9,264
1692389565,2023-08-18T20:12:45Z,DLH790,"48.357903,11.792573",0,3,264
1692389575,2023-08-18T20:12:55Z,DLH790,"48.357903,11.792785",0,3,258
1692389584,2023-08-18T20:13:04Z,DLH790,"48.357895,11.792992",0,3,247
1692389593,2023-08-18T20:13:13Z,DLH790,"48.357895,11.793209",0,3,233
1692389602,2023-08-18T20:13:22Z,DLH790,"48.357903,11.793418",0,3,219
1692389615,2023-08-18T20:13:35Z,DLH790,"48.357994,11.793647",0,3,199
1692389632,2023-08-18T20:13:52Z,DLH790,"48.358212,11.79384",0,3,180
1692389836,2023-08-18T20:17:16Z,DLH790,"48.357571,11.794017",0,11,174
1692389904,2023-08-18T20:18:24Z,DLH790,"48.353817,11.794668",0,16,174
1692389910,2023-08-18T20:18:30Z,DLH790,"48.353256,11.794756",0,17,174
1692389917,2023-08-18T20:18:37Z,DLH790,"48.352707,11.794862",0,18,174
1692389925,2023-08-18T20:18:45Z,DLH790,"48.352051,11.79498",0,18,174
1692389941,2023-08-18T20:19:01Z,DLH790,"48.350586,11.795233",0,19,174
1692389948,2023-08-18T20:19:08Z,DLH790,"48.349979,11.795323",0,20,174
1692389959,2023-08-18T20:19:19Z,DLH790,"48.348953,11.795513",0,15,174
1692390042,2023-08-18T20:20:42Z,DLH790,"48.347546,11.790584",0,17,264
1692390068,2023-08-18T20:21:08Z,DLH790,"48.347294,11.787309",0,0,264
1692390075,2023-08-18T20:21:15Z,DLH790,"48.347214,11.786393",0,19,264
1692390082,2023-08-18T20:21:22Z,DLH790,"48.347145,11.785407",0,19,264
1692390089,2023-08-18T20:21:29Z,DLH790,"48.347073,11.784409",0,19,264
1692390096,2023-08-18T20:21:36Z,DLH790,"48.347,11.78356",0,20,264
1692390106,2023-08-18T20:21:46Z,DLH790,"48.346886,11.782042",0,20,264
1692390113,2023-08-18T20:21:53Z,DLH790,"48.346813,11.781041",0,20,264
1692390120,2023-08-18T20:22:00Z,DLH790,"48.346745,11.780127",0,19,264
1692390127,2023-08-18T20:22:07Z,DLH790,"48.346664,11.779187",0,19,264
1692390182,2023-08-18T20:23:02Z,DLH790,"48.346001,11.770604",0,0,264
1692390193,2023-08-18T20:23:13Z,DLH790,"48.345863,11.768892",0,24,264
1692390199,2023-08-18T20:23:19Z,DLH790,"48.345791,11.767821",0,24,264
1692390212,2023-08-18T20:23:32Z,DLH790,"48.345623,11.765741",0,25,264
1692390219,2023-08-18T20:23:39Z,DLH790,"48.345524,11.764442",0,25,264
1692390229,2023-08-18T20:23:49Z,DLH790,"48.345371,11.762449",0,26,264
1692390237,2023-08-18T20:23:57Z,DLH790,"48.34528,11.761262",0,26,264
1692390252,2023-08-18T20:24:12Z,DLH790,"48.34507,11.758497",0,0,264
1692390259,2023-08-18T20:24:19Z,DLH790,"48.344959,11.75715",0,27,264
1692390268,2023-08-18T20:24:28Z,DLH790,"48.344822,11.755442",0,24,264
1692390275,2023-08-18T20:24:35Z,DLH790,"48.344742,11.754414",0,18,264
1692390282,2023-08-18T20:24:42Z,DLH790,"48.344696,11.753663",0,14,264
1692390289,2023-08-18T20:24:49Z,DLH790,"48.344639,11.752995",0,14,264
1692390296,2023-08-18T20:24:56Z,DLH790,"48.344582,11.75229",0,14,264
1692390302,2023-08-18T20:25:02Z,DLH790,"48.344547,11.751758",0,10,261
1692390309,2023-08-18T20:25:09Z,DLH790,"48.344498,11.751287",0,10,261
1692390313,2023-08-18T20:25:13Z,DLH790,"48.344444,11.751022",0,10,255
1692390320,2023-08-18T20:25:20Z,DLH790,"48.344261,11.750688",0,10,236
1692390324,2023-08-18T20:25:24Z,DLH790,"48.344032,11.7506",0,9,208
1692390332,2023-08-18T20:25:32Z,DLH790,"48.343746,11.750688",0,8,182
1692390339,2023-08-18T20:25:39Z,DLH790,"48.343498,11.750728",0,8,177
1692390347,2023-08-18T20:25:47Z,DLH790,"48.343163,11.750793",0,11,174
1692390381,2023-08-18T20:26:21Z,DLH790,"48.341206,11.751468",0,0,151
1692390391,2023-08-18T20:26:31Z,DLH790,"48.340839,11.75236",0,19,115
1692390400,2023-08-18T20:26:40Z,DLH790,"48.340916,11.753799",0,31,84
1692390410,2023-08-18T20:26:50Z,DLH790,"48.341217,11.757818",0,76,84
1692390420,2023-08-18T20:27:00Z,DLH790,"48.341721,11.764526",1350,107,83
1692390429,2023-08-18T20:27:09Z,DLH790,"48.342358,11.772429",1350,145,83
1692390436,2023-08-18T20:27:16Z,DLH790,"48.342915,11.78009",1325,169,83
1692390446,2023-08-18T20:27:26Z,DLH790,"48.343872,11.792485",1475,184,82
1692390454,2023-08-18T20:27:34Z,DLH790,"48.34465,11.800725",1800,181,81
1692390462,2023-08-18T20:27:42Z,DLH790,"48.345757,11.81211",2175,177,81
1692390468,2023-08-18T20:27:48Z,DLH790,"48.346573,11.820022",2475,175,81
1692390478,2023-08-18T20:27:58Z,DLH790,"48.347763,11.831289",2775,174,81
1692390487,2023-08-18T20:28:07Z,DLH790,"48.348782,11.842033",2900,182,82
1692390496,2023-08-18T20:28:16Z,DLH790,"48.34964,11.853474",3050,190,84
1692390505,2023-08-18T20:28:25Z,DLH790,"48.350418,11.865798",3200,197,85
1692390514,2023-08-18T20:28:34Z,DLH790,"48.351013,11.878474",3375,204,86
1692390523,2023-08-18T20:28:43Z,DLH790,"48.351517,11.891503",3525,212,86
1692390532,2023-08-18T20:28:52Z,DLH790,"48.35218,11.905276",3675,220,85
1692390541,2023-08-18T20:29:01Z,DLH790,"48.352936,11.919462",3800,228,84
1692390550,2023-08-18T20:29:10Z,DLH790,"48.353119,11.93404",4000,236,93
1692390553,2023-08-18T20:29:13Z,DLH790,"48.352787,11.938525",4050,238,98
1692390556,2023-08-18T20:29:16Z,DLH790,"48.352135,11.944018",4125,241,101
1692390559,2023-08-18T20:29:19Z,DLH790,"48.351437,11.948427",4175,243,103
1692390562,2023-08-18T20:29:22Z,DLH790,"48.350601,11.953196",4250,246,105
1692390565,2023-08-18T20:29:25Z,DLH790,"48.349548,11.958406",4300,247,107
1692390568,2023-08-18T20:29:28Z,DLH790,"48.348408,11.963388",4375,250,109
