Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1692564109,2023-08-20T20:41:49Z,DLH790,"48.358875,11.792978",0,0,225
1692564120,2023-08-20T20:42:00Z,DLH790,"48.358917,11.793227",0,3,199
1692564143,2023-08-20T20:42:23Z,DLH790,"48.359127,11.793426",0,3,177
1692564158,2023-08-20T20:42:38Z,DLH790,"48.359333,11.793436",0,3,174
1692564411,2023-08-20T20:46:51Z,DLH790,"48.359138,11.793643",0,5,157
1692564420,2023-08-20T20:47:00Z,DLH790,"48.358955,11.793859",0,7,146
1692564426,2023-08-20T20:47:06Z,DLH790,"48.358818,11.794105",0,8,137
1692564430,2023-08-20T20:47:10Z,DLH790,"48.358707,11.794312",0,10,132
1692564434,2023-08-20T20:47:14Z,DLH790,"48.358612,11.794527",0,10,129
1692564438,2023-08-20T20:47:18Z,DLH790,"48.358486,11.794763",0,10,129
1692564443,2023-08-20T20:47:23Z,DLH790,"48.358337,11.795016",0,11,129
1692564449,2023-08-20T20:47:29Z,DLH790,"48.358116,11.795233",0,12,140
1692564458,2023-08-20T20:47:38Z,DLH790,"48.357639,11.795377",0,12,168
1692564462,2023-08-20T20:47:42Z,DLH790,"48.35741,11.795408",0,12,171
1692564467,2023-08-20T20:47:47Z,DLH790,"48.357128,11.795467",0,12,171
1692564473,2023-08-20T20:47:53Z,DLH790,"48.35677,11.795513",0,13,174
1692564478,2023-08-20T20:47:58Z,DLH790,"48.356453,11.795558",0,13,174
1692564483,2023-08-20T20:48:03Z,DLH790,"48.356197,11.795619",0,13,174
1692564488,2023-08-20T20:48:08Z,DLH790,"48.355854,11.795671",0,14,174
1692564495,2023-08-20T20:48:15Z,DLH790,"48.355396,11.79576",0,14,174
1692564511,2023-08-20T20:48:31Z,DLH790,"48.35445,11.795215",0,0,216
1692564518,2023-08-20T20:48:38Z,DLH790,"48.354023,11.794739",0,15,213
1692564523,2023-08-20T20:48:43Z,DLH790,"48.353657,11.794686",0,15,188
1692564527,2023-08-20T20:48:47Z,DLH790,"48.353401,11.794744",0,15,177
1692564534,2023-08-20T20:48:54Z,DLH790,"48.352959,11.794827",0,15,174
1692564537,2023-08-20T20:48:57Z,DLH790,"48.352703,11.794853",0,15,174
1692564540,2023-08-20T20:49:00Z,DLH790,"48.352489,11.794897",0,16,174
1692564549,2023-08-20T20:49:09Z,DLH790,"48.351807,11.795033",0,16,171
1692564563,2023-08-20T20:49:23Z,DLH790,"48.350704,11.795214",0,0,174
1692564584,2023-08-20T20:49:44Z,DLH790,"48.348969,11.795504",0,0,174
1692564658,2023-08-20T20:50:58Z,DLH790,"48.346573,11.79208",0,0,261
1692564666,2023-08-20T20:51:06Z,DLH790,"48.346512,11.791348",0,13,261
1692564696,2023-08-20T20:51:36Z,DLH790,"48.346291,11.78851",0,0,264
1692564704,2023-08-20T20:51:44Z,DLH790,"48.346233,11.787662",0,15,264
1692564710,2023-08-20T20:51:50Z,DLH790,"48.346184,11.78708",0,15,264
1692564718,2023-08-20T20:51:58Z,DLH790,"48.346115,11.786253",0,15,264
1692564725,2023-08-20T20:52:05Z,DLH790,"48.346069,11.785583",0,15,264
1692564732,2023-08-20T20:52:12Z,DLH790,"48.346001,11.78472",0,16,264
