Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1692649177,2023-08-21T20:19:37Z,DLH790,"48.358921,11.791922",0,0,264
1692649236,2023-08-21T20:20:36Z,DLH790,"48.358952,11.792323",0,0,264
1692649248,2023-08-21T20:20:48Z,DLH790,"48.358955,11.792538",0,3,261
1692649263,2023-08-21T20:21:03Z,DLH790,"48.358906,11.792884",0,3,236
1692649274,2023-08-21T20:21:14Z,DLH790,"48.358921,11.793137",0,3,210
1692649290,2023-08-21T20:21:30Z,DLH790,"48.359081,11.793444",0,4,180
1692649303,2023-08-21T20:21:43Z,DLH790,"48.359303,11.793444",0,4,174
1692649323,2023-08-21T20:22:03Z,DLH790,"48.359535,11.793426",0,1,174
1692649537,2023-08-21T20:25:37Z,DLH790,"48.359314,11.793498",0,6,168
1692649546,2023-08-21T20:25:46Z,DLH790,"48.359035,11.793751",0,8,154
1692649560,2023-08-21T20:26:00Z,DLH790,"48.358452,11.793896",0,10,174
1692649566,2023-08-21T20:26:06Z,DLH790,"48.358143,11.793946",0,0,174
1692649574,2023-08-21T20:26:14Z,DLH790,"48.357742,11.794003",0,12,174
1692649636,2023-08-21T20:27:16Z,DLH790,"48.353657,11.794703",0,16,174
1692649647,2023-08-21T20:27:27Z,DLH790,"48.352772,11.794853",0,17,174
1692649659,2023-08-21T20:27:39Z,DLH790,"48.351795,11.795052",0,18,174
1692649676,2023-08-21T20:27:56Z,DLH790,"48.350353,11.795287",0,19,174
1692649683,2023-08-21T20:28:03Z,DLH790,"48.349766,11.79539",0,19,174
1692649765,2023-08-21T20:29:25Z,DLH790,"48.347572,11.790535",0,0,264
1692649795,2023-08-21T20:29:55Z,DLH790,"48.347294,11.78674",0,0,264
1692649803,2023-08-21T20:30:03Z,DLH790,"48.34721,11.78562",0,19,264
1692649811,2023-08-21T20:30:11Z,DLH790,"48.347118,11.784517",0,20,264
1692649818,2023-08-21T20:30:18Z,DLH790,"48.347042,11.783541",0,20,264
1692649826,2023-08-21T20:30:26Z,DLH790,"48.346954,11.782403",0,20,264
1692649833,2023-08-21T20:30:33Z,DLH790,"48.346893,11.781499",0,20,264
1692649840,2023-08-21T20:30:40Z,DLH790,"48.346813,11.780524",0,20,264
1692649848,2023-08-21T20:30:48Z,DLH790,"48.346722,11.779331",0,19,264
1692649875,2023-08-21T20:31:15Z,DLH790,"48.34642,11.775338",0,0,264
1692649897,2023-08-21T20:31:37Z,DLH790,"48.346142,11.771724",0,0,264
1692649904,2023-08-21T20:31:44Z,DLH790,"48.346046,11.7706",0,0,264
1692649915,2023-08-21T20:31:55Z,DLH790,"48.345909,11.768752",0,24,264
1692649929,2023-08-21T20:32:09Z,DLH790,"48.345722,11.766285",0,25,264
1692649937,2023-08-21T20:32:17Z,DLH790,"48.345615,11.764894",0,25,264
1692649944,2023-08-21T20:32:24Z,DLH790,"48.345524,11.763683",0,25,264
1692649958,2023-08-21T20:32:38Z,DLH790,"48.345325,11.761199",0,26,264
1692649967,2023-08-21T20:32:47Z,DLH790,"48.345211,11.759597",0,26,264
1692649974,2023-08-21T20:32:54Z,DLH790,"48.345104,11.758263",0,26,264
1692649981,2023-08-21T20:33:01Z,DLH790,"48.344986,11.756889",0,27,264
1692649987,2023-08-21T20:33:07Z,DLH790,"48.344894,11.755678",0,27,264
1692649995,2023-08-21T20:33:15Z,DLH790,"48.344803,11.754432",0,23,264
1692650015,2023-08-21T20:33:35Z,DLH790,"48.344593,11.751758",0,0,264
1692650024,2023-08-21T20:33:44Z,DLH790,"48.344521,11.750835",0,17,264
1692650030,2023-08-21T20:33:50Z,DLH790,"48.34444,11.750076",0,15,261
1692650041,2023-08-21T20:34:01Z,DLH790,"48.343998,11.749262",0,15,222
1692650046,2023-08-21T20:34:06Z,DLH790,"48.343643,11.749104",0,15,202
1692650050,2023-08-21T20:34:10Z,DLH790,"48.343334,11.749119",0,15,182
1692650054,2023-08-21T20:34:14Z,DLH790,"48.343056,11.749173",0,15,174
1692650061,2023-08-21T20:34:21Z,DLH790,"48.342567,11.749279",0,16,174
1692650067,2023-08-21T20:34:27Z,DLH790,"48.342133,11.74942",0,17,165
1692650071,2023-08-21T20:34:31Z,DLH790,"48.341869,11.749698",0,17,149
1692650073,2023-08-21T20:34:33Z,DLH790,"48.341721,11.74993",0,17,137
1692650076,2023-08-21T20:34:36Z,DLH790,"48.341591,11.750203",0,17,132
1692650079,2023-08-21T20:34:39Z,DLH790,"48.341457,11.750459",0,18,129
1692650081,2023-08-21T20:34:41Z,DLH790,"48.34132,11.750723",0,19,129
1692650084,2023-08-21T20:34:44Z,DLH790,"48.341183,11.750987",0,20,126
1692650092,2023-08-21T20:34:52Z,DLH790,"48.340809,11.752136",0,24,106
1692650096,2023-08-21T20:34:56Z,DLH790,"48.340816,11.752607",0,25,92
1692650107,2023-08-21T20:35:07Z,DLH790,"48.341137,11.756058",0,0,84
1692650109,2023-08-21T20:35:09Z,DLH790,"48.341206,11.75685",0,0,84
1692650110,2023-08-21T20:35:10Z,DLH790,"48.341286,11.757973",0,82,84
1692650112,2023-08-21T20:35:12Z,DLH790,"48.341335,11.75857",0,86,84
1692650113,2023-08-21T20:35:13Z,DLH790,"48.341381,11.759166",0,90,84
1692650118,2023-08-21T20:35:18Z,DLH790,"48.341492,11.760794",1275,99,83
1692650124,2023-08-21T20:35:24Z,DLH790,"48.342033,11.767514",1250,128,83
1692650132,2023-08-21T20:35:32Z,DLH790,"48.342545,11.774949",1250,161,83
1692650142,2023-08-21T20:35:42Z,DLH790,"48.343613,11.788403",1375,178,83
1692650151,2023-08-21T20:35:51Z,DLH790,"48.344315,11.798377",1750,175,84
1692650160,2023-08-21T20:36:00Z,DLH790,"48.3452,11.810021",2150,172,82
1692650169,2023-08-21T20:36:09Z,DLH790,"48.346069,11.820867",2550,172,83
1692650178,2023-08-21T20:36:18Z,DLH790,"48.346893,11.831923",2700,180,83
1692650187,2023-08-21T20:36:27Z,DLH790,"48.347717,11.843191",2775,192,83
1692650196,2023-08-21T20:36:36Z,DLH790,"48.34864,11.855405",2850,203,83
1692650205,2023-08-21T20:36:45Z,DLH790,"48.349548,11.868193",2925,214,83
1692650214,2023-08-21T20:36:54Z,DLH790,"48.350464,11.88115",3000,226,83
1692650223,2023-08-21T20:37:03Z,DLH790,"48.351517,11.896433",3100,237,84
1692650232,2023-08-21T20:37:12Z,DLH790,"48.35257,11.911715",3275,245,84
1692650238,2023-08-21T20:37:18Z,DLH790,"48.353073,11.922349",3450,247,89
1692650241,2023-08-21T20:37:21Z,DLH790,"48.352982,11.927561",3550,247,93
1692650244,2023-08-21T20:37:24Z,DLH790,"48.3526,11.932526",3650,248,98
1692650247,2023-08-21T20:37:27Z,DLH790,"48.351902,11.937946",3725,249,103
1692650250,2023-08-21T20:37:30Z,DLH790,"48.350922,11.942842",3825,250,107
1692650253,2023-08-21T20:37:33Z,DLH790,"48.349945,11.947125",3900,251,109
1692650256,2023-08-21T20:37:36Z,DLH790,"48.348862,11.951575",3975,253,111
1692650259,2023-08-21T20:37:39Z,DLH790,"48.347759,11.955799",4050,256,111
1692650262,2023-08-21T20:37:42Z,DLH790,"48.346035,11.962088",4125,259,112
1692650265,2023-08-21T20:37:45Z,DLH790,"48.344452,11.967725",4175,261,113
1692650268,2023-08-21T20:37:48Z,DLH790,"48.343102,11.972424",4225,263,113
1692650271,2023-08-21T20:37:51Z,DLH790,"48.341629,11.977422",4275,267,113
1692650274,2023-08-21T20:37:54Z,DLH790,"48.340168,11.982326",4325,270,114
1692650278,2023-08-21T20:37:58Z,DLH790,"48.339237,11.985506",4400,273,114
1692650281,2023-08-21T20:38:01Z,DLH790,"48.337097,11.992661",4475,274,114
1692650289,2023-08-21T20:38:09Z,DLH790,"48.332199,12.008902",4750,276,114
1692650299,2023-08-21T20:38:19Z,DLH790,"48.327347,12.024959",5100,278,114
1692650314,2023-08-21T20:38:34Z,DLH790,"48.319382,12.051438",5625,281,114
1692650329,2023-08-21T20:38:49Z,DLH790,"48.31126,12.078672",6150,284,114
1692650344,2023-08-21T20:39:04Z,DLH790,"48.303726,12.104116",6625,290,114
1692650359,2023-08-21T20:39:19Z,DLH790,"48.295441,12.132075",7125,293,113
1692650374,2023-08-21T20:39:34Z,DLH790,"48.28738,12.159408",7650,296,113
1692650389,2023-08-21T20:39:49Z,DLH790,"48.278366,12.189824",8150,300,113
1692650404,2023-08-21T20:40:04Z,DLH790,"48.270947,12.218748",8575,308,106
1692650407,2023-08-21T20:40:07Z,DLH790,"48.269806,12.22574",8650,310,103
1692650410,2023-08-21T20:40:10Z,DLH790,"48.268936,12.232149",8725,311,100
1692650413,2023-08-21T20:40:13Z,DLH790,"48.268204,12.239051",8800,313,98
1692650416,2023-08-21T20:40:16Z,DLH790,"48.267792,12.243135",8850,315,98
1692650419,2023-08-21T20:40:19Z,DLH790,"48.267105,12.250319",8925,317,97
1692650422,2023-08-21T20:40:22Z,DLH790,"48.266418,12.258137",9000,318,97
1692650425,2023-08-21T20:40:25Z,DLH790,"48.265919,12.263416",9075,320,97
1692650427,2023-08-21T20:40:27Z,DLH790,"48.265266,12.270862",9150,322,97
1692650431,2023-08-21T20:40:31Z,DLH790,"48.264664,12.277438",9225,324,97
1692650446,2023-08-21T20:40:46Z,DLH790,"48.261429,12.311589",9575,333,98
1692650461,2023-08-21T20:41:01Z,DLH790,"48.258362,12.342858",9925,341,98
1692650476,2023-08-21T20:41:16Z,DLH790,"48.254425,12.382296",10225,351,98
1692650491,2023-08-21T20:41:31Z,DLH790,"48.250809,12.416594",10425,364,99
1692650506,2023-08-21T20:41:46Z,DLH790,"48.24646,12.457088",10650,376,99
1692650521,2023-08-21T20:42:01Z,DLH790,"48.242317,12.495575",10875,386,99
1692650536,2023-08-21T20:42:16Z,DLH790,"48.237942,12.536123",11200,394,99
1692650551,2023-08-21T20:42:31Z,DLH790,"48.233643,12.576387",11575,398,99
1692650566,2023-08-21T20:42:46Z,DLH790,"48.229294,12.617657",11975,400,98
1692650581,2023-08-21T20:43:01Z,DLH790,"48.224953,12.65849",12400,402,98
1692650614,2023-08-21T20:43:34Z,DLH790,"48.215225,12.749561",13350,406,99
1692650647,2023-08-21T20:44:07Z,DLH790,"48.20723,12.841116",14250,408,91
1692650653,2023-08-21T20:44:13Z,DLH790,"48.207218,12.858485",14400,408,89
1692650656,2023-08-21T20:44:16Z,DLH790,"48.20731,12.864123",14475,408,88
1692650659,2023-08-21T20:44:19Z,DLH790,"48.207542,12.877711",14575,408,88
1692650662,2023-08-21T20:44:22Z,DLH790,"48.207684,12.884939",14650,409,88
1692650695,2023-08-21T20:44:55Z,DLH790,"48.208191,12.976896",15550,412,90
1692650728,2023-08-21T20:45:28Z,DLH790,"48.208008,13.074575",16425,414,90
1692650759,2023-08-21T20:45:59Z,DLH790,"48.207634,13.161043",17225,416,92
1692650768,2023-08-21T20:46:08Z,DLH790,"48.205582,13.186199",17475,417,100
1692650770,2023-08-21T20:46:10Z,DLH790,"48.204563,13.193423",17550,417,103
1692650774,2023-08-21T20:46:14Z,DLH790,"48.202744,13.203665",17625,418,105
1692650776,2023-08-21T20:46:16Z,DLH790,"48.20163,13.209252",17700,418,106
1692650779,2023-08-21T20:46:19Z,DLH790,"48.199394,13.219877",17750,419,107
