Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1692732416,2023-08-22T19:26:56Z,DLH790,"48.358917,11.791944",0,0,264
1692735627,2023-08-22T20:20:27Z,DLH790,"48.35894,11.792179",0,3,261
1692735636,2023-08-22T20:20:36Z,DLH790,"48.358932,11.792379",0,3,258
1692735648,2023-08-22T20:20:48Z,DLH790,"48.358932,11.792644",0,3,247
1692735658,2023-08-22T20:20:58Z,DLH790,"48.358917,11.792848",0,3,233
1692735668,2023-08-22T20:21:08Z,DLH790,"48.358944,11.793049",0,3,213
1692735680,2023-08-22T20:21:20Z,DLH790,"48.359035,11.7933",0,4,191
1692735692,2023-08-22T20:21:32Z,DLH790,"48.359245,11.793407",0,4,180
1692735702,2023-08-22T20:21:42Z,DLH790,"48.35894,11.792233",0,3,174
1692735934,2023-08-22T20:25:34Z,DLH790,"48.359276,11.793489",0,4,168
1692735944,2023-08-22T20:25:44Z,DLH790,"48.35907,11.793647",0,6,160
1692735954,2023-08-22T20:25:54Z,DLH790,"48.358795,11.793823",0,8,157
1692735960,2023-08-22T20:26:00Z,DLH790,"48.358532,11.793876",0,9,168
1692735969,2023-08-22T20:26:09Z,DLH790,"48.35815,11.793932",0,11,174
1692735977,2023-08-22T20:26:17Z,DLH790,"48.357742,11.794",0,11,174
1692735981,2023-08-22T20:26:21Z,DLH790,"48.357536,11.794017",0,12,174
1692736058,2023-08-22T20:27:38Z,DLH790,"48.352901,11.794845",0,14,174
1692736074,2023-08-22T20:27:54Z,DLH790,"48.35183,11.795033",0,0,171
1692736276,2023-08-22T20:31:16Z,DLH790,"48.347561,11.805605",0,7,168
1692736286,2023-08-22T20:31:26Z,DLH790,"48.347317,11.805623",0,5,171
1692736437,2023-08-22T20:33:57Z,DLH790,"48.346218,11.805619",0,5,188
1692736652,2023-08-22T20:37:32Z,DLH790,"48.343826,11.79157",1300,5,263
1692736661,2023-08-22T20:37:41Z,DLH790,"48.343185,11.783471",1275,139,263
1692736673,2023-08-22T20:37:53Z,DLH790,"48.342171,11.769682",1275,180,263
1692736682,2023-08-22T20:38:02Z,DLH790,"48.341335,11.759418",1575,184,263
1692736691,2023-08-22T20:38:11Z,DLH790,"48.340668,11.749807",1850,186,264
1692736699,2023-08-22T20:38:19Z,DLH790,"48.33989,11.738117",2175,186,264
1692736707,2023-08-22T20:38:27Z,DLH790,"48.339157,11.726145",2500,185,264
1692736715,2023-08-22T20:38:35Z,DLH790,"48.338493,11.715618",2675,190,264
1692736724,2023-08-22T20:38:44Z,DLH790,"48.337704,11.703547",2800,200,264
1692736733,2023-08-22T20:38:53Z,DLH790,"48.336777,11.690298",2950,209,263
1692736742,2023-08-22T20:39:02Z,DLH790,"48.335861,11.67727",3100,218,263
1692736751,2023-08-22T20:39:11Z,DLH790,"48.334816,11.663506",3225,229,263
1692736760,2023-08-22T20:39:20Z,DLH790,"48.333698,11.648832",3375,237,263
1692736769,2023-08-22T20:39:29Z,DLH790,"48.332565,11.63417",3625,241,263
1692736778,2023-08-22T20:39:38Z,DLH790,"48.331329,11.618606",3850,248,263
1692736787,2023-08-22T20:39:47Z,DLH790,"48.330162,11.603008",4050,256,263
1692736796,2023-08-22T20:39:56Z,DLH790,"48.328903,11.586633",4225,264,263
1692736805,2023-08-22T20:40:05Z,DLH790,"48.327602,11.569977",4475,268,263
1692736814,2023-08-22T20:40:14Z,DLH790,"48.326294,11.552828",4825,270,263
1692736823,2023-08-22T20:40:23Z,DLH790,"48.325134,11.536295",5200,270,264
1692736838,2023-08-22T20:40:38Z,DLH790,"48.323318,11.508672",5900,266,263
1692736853,2023-08-22T20:40:53Z,DLH790,"48.321316,11.481147",6625,261,263
1692736868,2023-08-22T20:41:08Z,DLH790,"48.319199,11.454092",7200,264,262
1692736883,2023-08-22T20:41:23Z,DLH790,"48.316895,11.426504",7700,268,263
1692736895,2023-08-22T20:41:35Z,DLH790,"48.314426,11.403736",8150,269,254
1692736898,2023-08-22T20:41:38Z,DLH790,"48.313339,11.39909",8275,268,250
1692736901,2023-08-22T20:41:41Z,DLH790,"48.311691,11.394019",8400,268,241
1692736904,2023-08-22T20:41:44Z,DLH790,"48.309677,11.389209",8525,269,234
1692736907,2023-08-22T20:41:47Z,DLH790,"48.308189,11.386317",8625,270,229
1692736910,2023-08-22T20:41:50Z,DLH790,"48.304825,11.381132",8725,271,222
1692736913,2023-08-22T20:41:53Z,DLH790,"48.302322,11.378078",8825,273,215
1692736916,2023-08-22T20:41:56Z,DLH790,"48.298233,11.37416",8900,275,210
1692736919,2023-08-22T20:41:59Z,DLH790,"48.2948,11.371695",9000,278,202
1692736922,2023-08-22T20:42:02Z,DLH790,"48.291756,11.370054",9100,280,196
1692736925,2023-08-22T20:42:05Z,DLH790,"48.288265,11.368681",9175,282,191
1692736928,2023-08-22T20:42:08Z,DLH790,"48.284866,11.367751",9275,284,186
1692736931,2023-08-22T20:42:11Z,DLH790,"48.27956,11.367308",9375,288,180
1692736935,2023-08-22T20:42:15Z,DLH790,"48.27626,11.367539",9475,290,174
1692736937,2023-08-22T20:42:17Z,DLH790,"48.271366,11.368537",9550,291,169
1692736941,2023-08-22T20:42:21Z,DLH790,"48.267548,11.369983",9650,294,163
1692736943,2023-08-22T20:42:23Z,DLH790,"48.26413,11.371695",9750,296,159
1692736946,2023-08-22T20:42:26Z,DLH790,"48.260334,11.374247",9850,299,153
1692736950,2023-08-22T20:42:30Z,DLH790,"48.256142,11.377716",9925,300,149
1692736953,2023-08-22T20:42:33Z,DLH790,"48.253189,11.380779",10025,303,143
1692736956,2023-08-22T20:42:36Z,DLH790,"48.249996,11.384583",10125,306,139
1692736959,2023-08-22T20:42:39Z,DLH790,"48.246597,11.389512",10225,307,133
1692736962,2023-08-22T20:42:42Z,DLH790,"48.244308,11.393315",10325,309,129
1692736965,2023-08-22T20:42:45Z,DLH790,"48.241653,11.398527",10400,311,123
1692736968,2023-08-22T20:42:48Z,DLH790,"48.239338,11.404098",10500,314,119
1692736971,2023-08-22T20:42:51Z,DLH790,"48.237244,11.410097",10575,315,114
1692736974,2023-08-22T20:42:54Z,DLH790,"48.235661,11.415734",10650,318,109
1692736977,2023-08-22T20:42:57Z,DLH790,"48.233936,11.42383",10725,319,104
1692736980,2023-08-22T20:43:00Z,DLH790,"48.233139,11.42888",10800,322,100
1692736983,2023-08-22T20:43:03Z,DLH790,"48.232449,11.435394",10875,324,96
1692736986,2023-08-22T20:43:06Z,DLH790,"48.231995,11.44219",10925,328,93
1692736989,2023-08-22T20:43:09Z,DLH790,"48.231796,11.449634",10975,330,91
1692736992,2023-08-22T20:43:12Z,DLH790,"48.231674,11.45698",11025,332,91
1692736995,2023-08-22T20:43:15Z,DLH790,"48.231518,11.464017",11075,336,91
1692736998,2023-08-22T20:43:18Z,DLH790,"48.2314,11.470854",11125,337,91
1692737001,2023-08-22T20:43:21Z,DLH790,"48.231216,11.477966",11150,340,92
1692737004,2023-08-22T20:43:24Z,DLH790,"48.231052,11.485194",11200,343,92
1692737007,2023-08-22T20:43:27Z,DLH790,"48.23085,11.492051",11250,345,92
1692737022,2023-08-22T20:43:42Z,DLH790,"48.229748,11.529067",11450,359,92
1692737037,2023-08-22T20:43:57Z,DLH790,"48.227978,11.567375",11675,370,97
1692737046,2023-08-22T20:44:06Z,DLH790,"48.225174,11.590224",11800,378,102
1692737049,2023-08-22T20:44:09Z,DLH790,"48.223881,11.598166",11850,380,103
1692737052,2023-08-22T20:44:12Z,DLH790,"48.22261,11.605928",11875,382,104
1692737055,2023-08-22T20:44:15Z,DLH790,"48.221329,11.613323",11925,384,104
1692737058,2023-08-22T20:44:18Z,DLH790,"48.220001,11.621",11950,388,104
1692737061,2023-08-22T20:44:21Z,DLH790,"48.218582,11.62931",12000,389,104
1692737094,2023-08-22T20:44:54Z,DLH790,"48.2043,11.71544",13000,398,103
1692737127,2023-08-22T20:45:27Z,DLH790,"48.189926,11.805725",14075,400,103
1692737160,2023-08-22T20:46:00Z,DLH790,"48.175606,11.89523",15000,408,103
