Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1692821276,2023-08-23T20:07:56Z,DLH790,"48.358906,11.791926",0,0,264
1692821538,2023-08-23T20:12:18Z,DLH790,"48.358917,11.792252",0,0,261
1692821550,2023-08-23T20:12:30Z,DLH790,"48.358917,11.792486",0,4,253
1692821563,2023-08-23T20:12:43Z,DLH790,"48.358921,11.79282",0,3,230
1692821582,2023-08-23T20:13:02Z,DLH790,"48.359035,11.793207",0,3,199
1692821596,2023-08-23T20:13:16Z,DLH790,"48.359222,11.793407",0,3,180
1692821616,2023-08-23T20:13:36Z,DLH790,"48.359493,11.793418",0,1,171
1692821641,2023-08-23T20:14:01Z,DLH790,"48.358921,11.792256",0,1,171
1692821821,2023-08-23T20:17:01Z,DLH790,"48.359356,11.793436",0,0,171
1692821830,2023-08-23T20:17:10Z,DLH790,"48.359138,11.793589",0,8,160
1692821834,2023-08-23T20:17:14Z,DLH790,"48.359035,11.793823",0,10,143
1692821838,2023-08-23T20:17:18Z,DLH790,"48.35899,11.794052",0,11,123
1692821841,2023-08-23T20:17:21Z,DLH790,"48.359001,11.794275",0,11,109
1692821863,2023-08-23T20:17:43Z,DLH790,"48.358315,11.795267",0,0,165
1692821867,2023-08-23T20:17:47Z,DLH790,"48.358105,11.795287",0,12,171
1692821877,2023-08-23T20:17:57Z,DLH790,"48.357487,11.795395",0,14,174
1692821880,2023-08-23T20:18:00Z,DLH790,"48.357254,11.795431",0,15,174
1692821886,2023-08-23T20:18:06Z,DLH790,"48.356857,11.795485",0,16,174
1692821889,2023-08-23T20:18:09Z,DLH790,"48.356644,11.795531",0,16,174
1692821904,2023-08-23T20:18:24Z,DLH790,"48.35535,11.79576",0,19,174
1692821911,2023-08-23T20:18:31Z,DLH790,"48.354717,11.795865",0,0,174
1692821923,2023-08-23T20:18:43Z,DLH790,"48.353668,11.796046",0,0,174
1692821931,2023-08-23T20:18:51Z,DLH790,"48.352879,11.796183",0,20,174
1692821955,2023-08-23T20:19:15Z,DLH790,"48.35075,11.796552",0,0,174
1692821968,2023-08-23T20:19:28Z,DLH790,"48.349957,11.796263",0,14,208
1692821974,2023-08-23T20:19:34Z,DLH790,"48.349792,11.795756",0,12,236
1692821982,2023-08-23T20:19:42Z,DLH790,"48.349514,11.79536",0,11,222
1692821998,2023-08-23T20:19:58Z,DLH790,"48.348827,11.795513",0,0,174
1692822100,2023-08-23T20:21:40Z,DLH790,"48.34856,11.803978",0,14,84
1692822125,2023-08-23T20:22:05Z,DLH790,"48.347672,11.805549",0,0,160
1692822130,2023-08-23T20:22:10Z,DLH790,"48.34742,11.805584",0,12,168
1692822135,2023-08-23T20:22:15Z,DLH790,"48.347153,11.805641",0,11,171
1692822261,2023-08-23T20:24:21Z,DLH790,"48.344078,11.79502",0,101,263
1692822271,2023-08-23T20:24:31Z,DLH790,"48.34338,11.786234",1275,137,263
1692822282,2023-08-23T20:24:42Z,DLH790,"48.342545,11.774879",1275,171,263
1692822291,2023-08-23T20:24:51Z,DLH790,"48.341892,11.76708",1400,184,263
1692822301,2023-08-23T20:25:01Z,DLH790,"48.340496,11.750239",1800,184,263
1692822307,2023-08-23T20:25:07Z,DLH790,"48.339935,11.742723",2000,185,263
1692822317,2023-08-23T20:25:17Z,DLH790,"48.339066,11.731004",2375,186,263
1692822326,2023-08-23T20:25:26Z,DLH790,"48.338215,11.719449",2625,189,263
1692822335,2023-08-23T20:25:35Z,DLH790,"48.337376,11.707161",2775,198,263
