Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1692978401,2023-08-25T15:46:41Z,DLH790,"48.360069,11.793335",0,0,171
1692978561,2023-08-25T15:49:21Z,DLH790,"48.359848,11.793371",0,3,171
1692978578,2023-08-25T15:49:38Z,DLH790,"48.359604,11.793407",0,4,171
1692978589,2023-08-25T15:49:49Z,DLH790,"48.359356,11.793471",0,6,171
1692978597,2023-08-25T15:49:57Z,DLH790,"48.359138,11.79366",0,7,157
1692978614,2023-08-25T15:50:14Z,DLH790,"48.358864,11.793823",0,1,163
1692978833,2023-08-25T15:53:53Z,DLH790,"48.359303,11.793498",0,0,163
1692978878,2023-08-25T15:54:38Z,DLH790,"48.358849,11.793823",0,0,163
1692978935,2023-08-25T15:55:35Z,DLH790,"48.358559,11.793878",0,5,171
1692978953,2023-08-25T15:55:53Z,DLH790,"48.358128,11.793896",0,6,177
1692978965,2023-08-25T15:56:05Z,DLH790,"48.357883,11.793498",0,7,219
1692995580,2023-08-25T20:33:00Z,DLH790,"48.357891,11.793137",0,0,241
1692995609,2023-08-25T20:33:29Z,DLH790,"48.358063,11.793771",0,4,191
1692995617,2023-08-25T20:33:37Z,DLH790,"48.357891,11.793189",0,2,177
1692995942,2023-08-25T20:39:02Z,DLH790,"48.358074,11.793929",0,0,174
1692995961,2023-08-25T20:39:21Z,DLH790,"48.357719,11.793986",0,5,174
1692995972,2023-08-25T20:39:32Z,DLH790,"48.35741,11.794035",0,7,174
1692996051,2023-08-25T20:40:51Z,DLH790,"48.353542,11.794703",0,0,174
1692996062,2023-08-25T20:41:02Z,DLH790,"48.352798,11.794835",0,15,174
1692996070,2023-08-25T20:41:10Z,DLH790,"48.352215,11.794926",0,15,174
1692996077,2023-08-25T20:41:17Z,DLH790,"48.351704,11.795016",0,15,174
1692996093,2023-08-25T20:41:33Z,DLH790,"48.350643,11.795215",0,15,174
1692996103,2023-08-25T20:41:43Z,DLH790,"48.349903,11.795338",0,0,174
1692996230,2023-08-25T20:43:50Z,DLH790,"48.348572,11.804032",0,0,84
1692996386,2023-08-25T20:46:26Z,DLH790,"48.342125,11.769827",1550,176,263
1692996395,2023-08-25T20:46:35Z,DLH790,"48.341427,11.759274",1900,174,264
1692996404,2023-08-25T20:46:44Z,DLH790,"48.340668,11.748681",2250,173,263
1692996413,2023-08-25T20:46:53Z,DLH790,"48.339798,11.737446",2675,169,262
1692996422,2023-08-25T20:47:02Z,DLH790,"48.338882,11.726778",2950,171,262
1692996431,2023-08-25T20:47:11Z,DLH790,"48.338074,11.716485",3100,180,263
1692996440,2023-08-25T20:47:20Z,DLH790,"48.337189,11.704632",3225,190,263
1692996449,2023-08-25T20:47:29Z,DLH790,"48.336365,11.692411",3350,199,264
1692996458,2023-08-25T20:47:38Z,DLH790,"48.335587,11.679453",3525,208,264
1692996467,2023-08-25T20:47:47Z,DLH790,"48.334717,11.666706",3625,220,263
1692996476,2023-08-25T20:47:56Z,DLH790,"48.333572,11.652268",3850,224,262
1692996485,2023-08-25T20:48:05Z,DLH790,"48.332428,11.638747",4175,226,262
1692996494,2023-08-25T20:48:14Z,DLH790,"48.331329,11.625154",4450,231,263
1692996500,2023-08-25T20:48:20Z,DLH790,"48.330505,11.61438",4600,234,263
1692996509,2023-08-25T20:48:29Z,DLH790,"48.329556,11.600044",4900,237,264
1692996518,2023-08-25T20:48:38Z,DLH790,"48.328583,11.585154",5300,236,264
1692996534,2023-08-25T20:48:54Z,DLH790,"48.327042,11.56087",5925,235,264
1692996549,2023-08-25T20:49:09Z,DLH790,"48.32547,11.536701",6575,233,264
1692996563,2023-08-25T20:49:23Z,DLH790,"48.323689,11.51266",7300,226,263
1692996578,2023-08-25T20:49:38Z,DLH790,"48.321735,11.489531",8000,221,260
1692996584,2023-08-25T20:49:44Z,DLH790,"48.320339,11.480785",8250,222,252
1692996587,2023-08-25T20:49:47Z,DLH790,"48.319199,11.476417",8425,222,246
1692996592,2023-08-25T20:49:52Z,DLH790,"48.318058,11.472835",8600,225,238
1692996595,2023-08-25T20:49:55Z,DLH790,"48.315403,11.466474",8700,228,232
1692996598,2023-08-25T20:49:58Z,DLH790,"48.313339,11.462754",8800,229,228
1692996601,2023-08-25T20:50:01Z,DLH790,"48.311096,11.459515",8875,236,221
1692996604,2023-08-25T20:50:04Z,DLH790,"48.308395,11.456205",8925,238,215
1692996607,2023-08-25T20:50:07Z,DLH790,"48.30563,11.453536",9000,243,210
1692996610,2023-08-25T20:50:10Z,DLH790,"48.302261,11.450852",9050,247,205
1692996613,2023-08-25T20:50:13Z,DLH790,"48.29953,11.449127",9100,250,200
1692996616,2023-08-25T20:50:16Z,DLH790,"48.295715,11.447402",9175,256,193
1692996619,2023-08-25T20:50:19Z,DLH790,"48.292786,11.446486",9225,259,187
1692996622,2023-08-25T20:50:22Z,DLH790,"48.28894,11.445923",9300,263,183
1692996625,2023-08-25T20:50:25Z,DLH790,"48.284538,11.446019",9375,267,177
1692996628,2023-08-25T20:50:28Z,DLH790,"48.281559,11.446453",9425,272,172
1692996632,2023-08-25T20:50:32Z,DLH790,"48.277679,11.447613",9525,276,166
1692996634,2023-08-25T20:50:34Z,DLH790,"48.273972,11.449272",9575,278,160
1692996638,2023-08-25T20:50:38Z,DLH790,"48.26976,11.451909",9675,281,154
1692996641,2023-08-25T20:50:41Z,DLH790,"48.266235,11.454797",9750,284,149
1692996644,2023-08-25T20:50:44Z,DLH790,"48.263264,11.457801",9825,287,143
1692996646,2023-08-25T20:50:46Z,DLH790,"48.260284,11.461346",9900,289,139
1692996649,2023-08-25T20:50:49Z,DLH790,"48.257538,11.46529",9975,292,135
1692996653,2023-08-25T20:50:53Z,DLH790,"48.254883,11.469797",10075,293,129
1692996655,2023-08-25T20:50:55Z,DLH790,"48.252411,11.474938",10150,296,123
1692996659,2023-08-25T20:50:59Z,DLH790,"48.250351,11.480079",10250,298,117
1692996662,2023-08-25T20:51:02Z,DLH790,"48.248474,11.485854",10350,300,115
1692996665,2023-08-25T20:51:05Z,DLH790,"48.246643,11.493037",10425,301,110
1692996668,2023-08-25T20:51:08Z,DLH790,"48.245499,11.499165",10525,303,105
1692996670,2023-08-25T20:51:10Z,DLH790,"48.244858,11.50346",10600,304,101
1692996674,2023-08-25T20:51:14Z,DLH790,"48.244133,11.511503",10700,305,97
1692996677,2023-08-25T20:51:17Z,DLH790,"48.243851,11.517756",10775,308,92
1692996680,2023-08-25T20:51:20Z,DLH790,"48.243759,11.523954",10850,309,90
1692996682,2023-08-25T20:51:22Z,DLH790,"48.243759,11.528923",10950,310,89
1692996685,2023-08-25T20:51:25Z,DLH790,"48.243855,11.53644",11025,311,88
1692996705,2023-08-25T20:51:45Z,DLH790,"48.243301,11.578111",11400,324,93
1692996719,2023-08-25T20:51:59Z,DLH790,"48.241619,11.606694",11600,336,95
1692996734,2023-08-25T20:52:14Z,DLH790,"48.239273,11.64572",11800,350,94
1692996749,2023-08-25T20:52:29Z,DLH790,"48.235382,11.683819",12025,359,103
1692996755,2023-08-25T20:52:35Z,DLH790,"48.232681,11.698488",12125,364,106
1692996758,2023-08-25T20:52:38Z,DLH790,"48.231377,11.704848",12150,366,107
1692996761,2023-08-25T20:52:41Z,DLH790,"48.229614,11.712764",12175,368,108
1692996764,2023-08-25T20:52:44Z,DLH790,"48.228024,11.719738",12225,370,108
1692996767,2023-08-25T20:52:47Z,DLH790,"48.226257,11.727327",12250,374,109
1692996770,2023-08-25T20:52:50Z,DLH790,"48.224487,11.734772",12300,376,109
1692996773,2023-08-25T20:52:53Z,DLH790,"48.222794,11.74185",12325,377,109
1692996806,2023-08-25T20:53:26Z,DLH790,"48.203018,11.824599",13125,390,109
1692996839,2023-08-25T20:53:59Z,DLH790,"48.182602,11.909883",13975,402,109
1692996869,2023-08-25T20:54:29Z,DLH790,"48.16341,11.989842",14900,408,109
1692996901,2023-08-25T20:55:01Z,DLH790,"48.142914,12.075005",15700,418,110
1692996935,2023-08-25T20:55:35Z,DLH790,"48.120758,12.166878",16600,425,106
1692996945,2023-08-25T20:55:45Z,DLH790,"48.116299,12.194754",16900,427,99
1692996948,2023-08-25T20:55:48Z,DLH790,"48.115368,12.204121",17000,427,97
1692996951,2023-08-25T20:55:51Z,DLH790,"48.114761,12.213295",17100,427,95
1692996954,2023-08-25T20:55:54Z,DLH790,"48.114395,12.221809",17200,427,93
1692996957,2023-08-25T20:55:57Z,DLH790,"48.11425,12.231234",17300,429,90
1692996960,2023-08-25T20:56:00Z,DLH790,"48.114395,12.24028",17375,430,87
1692996963,2023-08-25T20:56:03Z,DLH790,"48.114532,12.24337",17450,431,85
1692996966,2023-08-25T20:56:06Z,DLH790,"48.115368,12.258066",17500,432,84
1692996969,2023-08-25T20:56:09Z,DLH790,"48.115997,12.266647",17550,433,83
1692996972,2023-08-25T20:56:12Z,DLH790,"48.11673,12.276192",17600,434,83
1692996975,2023-08-25T20:56:15Z,DLH790,"48.117325,12.284053",17675,435,83
1692996978,2023-08-25T20:56:18Z,DLH790,"48.117874,12.291229",17750,435,83
1692996980,2023-08-25T20:56:20Z,DLH790,"48.118534,12.300814",17800,436,83
1692997013,2023-08-25T20:56:53Z,DLH790,"48.125053,12.400043",18675,440,84
1692997046,2023-08-25T20:57:26Z,DLH790,"48.131516,12.500313",19275,450,84
1692997079,2023-08-25T20:57:59Z,DLH790,"48.138737,12.604136",19975,456,84
1692997112,2023-08-25T20:58:32Z,DLH790,"48.145706,12.706444",20750,460,84
1692997145,2023-08-25T20:59:05Z,DLH790,"48.152889,12.812312",21525,461,84
1692997176,2023-08-25T20:59:36Z,DLH790,"48.159393,12.909004",22175,464,84
1692997208,2023-08-25T21:00:08Z,DLH790,"48.166351,13.014855",22875,468,84
1692997242,2023-08-25T21:00:42Z,DLH790,"48.173264,13.121831",23625,471,84
1692997275,2023-08-25T21:01:15Z,DLH790,"48.180122,13.229346",24375,474,84
1692997308,2023-08-25T21:01:48Z,DLH790,"48.186996,13.338881",24925,480,84
1692997341,2023-08-25T21:02:21Z,DLH790,"48.193668,13.447916",25550,484,84
1692997374,2023-08-25T21:02:54Z,DLH790,"48.196369,13.558936",25925,490,91
1692997405,2023-08-25T21:03:25Z,DLH790,"48.190739,13.660053",27150,469,97
1692997438,2023-08-25T21:03:58Z,DLH790,"48.17807,13.764954",27450,478,103
1692997474,2023-08-25T21:04:34Z,DLH790,"48.154404,13.88047",27700,482,110
1692997507,2023-08-25T21:05:07Z,DLH790,"48.128216,13.983061",28250,483,110
1692997540,2023-08-25T21:05:40Z,DLH790,"48.1021,14.08729",28775,486,110
1692997573,2023-08-25T21:06:13Z,DLH790,"48.075302,14.193237",29050,494,110
1692997606,2023-08-25T21:06:46Z,DLH790,"48.048428,14.297579",29250,503,111
1692997639,2023-08-25T21:07:19Z,DLH790,"48.020645,14.405411",29750,506,111
1692997669,2023-08-25T21:07:49Z,DLH790,"47.995056,14.504631",30350,503,111
1692997702,2023-08-25T21:08:22Z,DLH790,"47.967453,14.61113",30775,506,111
1692997736,2023-08-25T21:08:56Z,DLH790,"47.939495,14.718229",31025,512,111
1692997769,2023-08-25T21:09:29Z,DLH790,"47.911144,14.826754",31325,516,111
1692997799,2023-08-25T21:09:59Z,DLH790,"47.888214,14.928841",31600,524,100
1692997802,2023-08-25T21:10:02Z,DLH790,"47.886932,14.939621",31625,525,98
1692997805,2023-08-25T21:10:05Z,DLH790,"47.885727,14.951689",31650,526,97
1692997808,2023-08-25T21:10:08Z,DLH790,"47.88501,14.961113",31675,528,96
1692997811,2023-08-25T21:10:11Z,DLH790,"47.884331,14.972112",31700,527,94
1692997814,2023-08-25T21:10:14Z,DLH790,"47.883911,14.981126",31725,528,93
1692997817,2023-08-25T21:10:17Z,DLH790,"47.8834,14.995634",31775,530,92
1692997820,2023-08-25T21:10:20Z,DLH790,"47.883121,15.005212",31800,529,92
1692997823,2023-08-25T21:10:23Z,DLH790,"47.882812,15.017418",31825,530,92
1692997826,2023-08-25T21:10:26Z,DLH790,"47.882584,15.026688",31875,530,92
1692997858,2023-08-25T21:10:58Z,DLH790,"47.879303,15.147188",32275,530,92
1692997892,2023-08-25T21:11:32Z,DLH790,"47.87558,15.269094",32700,530,92
1692997925,2023-08-25T21:12:05Z,DLH790,"47.872318,15.388113",32975,529,92
