Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1693168306,2023-08-27T20:31:46Z,DLH790,"48.359337,11.793426",0,2,171
1693168559,2023-08-27T20:35:59Z,DLH790,"48.359127,11.793625",0,6,157
1693168566,2023-08-27T20:36:06Z,DLH790,"48.35899,11.793841",0,7,146
1693168573,2023-08-27T20:36:13Z,DLH790,"48.358818,11.79414",0,9,135
1693168577,2023-08-27T20:36:17Z,DLH790,"48.358673,11.794365",0,10,135
1693168582,2023-08-27T20:36:22Z,DLH790,"48.358521,11.79458",0,10,135
1693168586,2023-08-27T20:36:26Z,DLH790,"48.358383,11.794781",0,10,137
1693168596,2023-08-27T20:36:36Z,DLH790,"48.357948,11.795214",0,12,146
1693168605,2023-08-27T20:36:45Z,DLH790,"48.357464,11.795395",0,13,165
1693168609,2023-08-27T20:36:49Z,DLH790,"48.35722,11.795431",0,13,168
1693168617,2023-08-27T20:36:57Z,DLH790,"48.356697,11.795522",0,13,174
1693168621,2023-08-27T20:37:01Z,DLH790,"48.356449,11.795567",0,14,174
1693168679,2023-08-27T20:37:59Z,DLH790,"48.353027,11.795602",0,11,205
1693168703,2023-08-27T20:38:23Z,DLH790,"48.351688,11.795038",0,14,180
1693168733,2023-08-27T20:38:53Z,DLH790,"48.349598,11.795413",0,16,174
1693168835,2023-08-27T20:40:35Z,DLH790,"48.34845,11.802468",1450,16,84
1693168851,2023-08-27T20:40:51Z,DLH790,"48.34856,11.80378",0,11,81
1693168883,2023-08-27T20:41:23Z,DLH790,"48.347797,11.805532",0,0,154
1693168892,2023-08-27T20:41:32Z,DLH790,"48.34734,11.805605",0,12,171
1693168911,2023-08-27T20:41:51Z,DLH790,"48.346359,11.805641",0,0,185
1693168916,2023-08-27T20:41:56Z,DLH790,"48.346142,11.805514",0,12,196
1693168927,2023-08-27T20:42:07Z,DLH790,"48.345612,11.804915",0,0,216
1693168981,2023-08-27T20:43:01Z,DLH790,"48.343567,11.788475",1450,129,263
1693168992,2023-08-27T20:43:12Z,DLH790,"48.34259,11.775898",1425,157,263
1693169002,2023-08-27T20:43:22Z,DLH790,"48.341675,11.763823",1625,178,263
1693169011,2023-08-27T20:43:31Z,DLH790,"48.341007,11.753058",2050,174,265
1693169020,2023-08-27T20:43:40Z,DLH790,"48.340401,11.742",2500,170,265
1693169029,2023-08-27T20:43:49Z,DLH790,"48.33989,11.731356",2850,174,265
1693169038,2023-08-27T20:43:58Z,DLH790,"48.339333,11.719882",2925,188,265
1693169047,2023-08-27T20:44:07Z,DLH790,"48.338654,11.708257",3000,199,265
1693169056,2023-08-27T20:44:16Z,DLH790,"48.337887,11.69538",3125,210,264
1693169065,2023-08-27T20:44:25Z,DLH790,"48.337006,11.68172",3250,221,264
1693169074,2023-08-27T20:44:34Z,DLH790,"48.336025,11.667264",3525,227,264
1693169083,2023-08-27T20:44:43Z,DLH790,"48.335049,11.653459",3800,230,263
1693169092,2023-08-27T20:44:52Z,DLH790,"48.333939,11.639029",4075,235,263
1693169101,2023-08-27T20:45:01Z,DLH790,"48.332767,11.624402",4250,244,262
1693169110,2023-08-27T20:45:10Z,DLH790,"48.331375,11.608535",4350,256,262
1693169119,2023-08-27T20:45:19Z,DLH790,"48.329834,11.591877",4625,260,262
1693169128,2023-08-27T20:45:28Z,DLH790,"48.328445,11.57635",4975,262,262
1693169137,2023-08-27T20:45:37Z,DLH790,"48.327072,11.560293",5350,262,262
1693169152,2023-08-27T20:45:52Z,DLH790,"48.324829,11.532757",5875,266,263
1693169164,2023-08-27T20:46:04Z,DLH790,"48.323044,11.510151",6350,267,263
1693169179,2023-08-27T20:46:19Z,DLH790,"48.320938,11.482192",6900,270,263
1693169195,2023-08-27T20:46:35Z,DLH790,"48.318848,11.453536",7475,272,263
1693169210,2023-08-27T20:46:50Z,DLH790,"48.316849,11.425781",8100,270,263
1693169224,2023-08-27T20:47:04Z,DLH790,"48.314659,11.40258",8750,270,261
1693169227,2023-08-27T20:47:07Z,DLH790,"48.312843,11.393689",8850,269,250
1693169231,2023-08-27T20:47:11Z,DLH790,"48.310936,11.387257",9000,270,248
1693169234,2023-08-27T20:47:14Z,DLH790,"48.309212,11.382703",9100,272,248
1693169237,2023-08-27T20:47:17Z,DLH790,"48.307861,11.379667",9175,273,235
1693169241,2023-08-27T20:47:21Z,DLH790,"48.302975,11.370922",9350,275,225
1693169244,2023-08-27T20:47:24Z,DLH790,"48.300137,11.367164",9450,278,220
1693169248,2023-08-27T20:47:28Z,DLH790,"48.29631,11.362891",9550,279,216
1693169252,2023-08-27T20:47:32Z,DLH790,"48.291988,11.35914",9700,282,207
1693169255,2023-08-27T20:47:35Z,DLH790,"48.289661,11.357478",9775,282,206
1693169259,2023-08-27T20:47:39Z,DLH790,"48.283493,11.354158",9900,282,206
1693169279,2023-08-27T20:47:59Z,DLH790,"48.257767,11.353948",10350,308,163
1693169283,2023-08-27T20:48:03Z,DLH790,"48.251629,11.357189",10400,313,157
1693169287,2023-08-27T20:48:07Z,DLH790,"48.246277,11.361272",10450,317,150
1693169291,2023-08-27T20:48:11Z,DLH790,"48.241665,11.365934",10525,323,142
1693169295,2023-08-27T20:48:15Z,DLH790,"48.236801,11.372469",10600,328,136
1693169299,2023-08-27T20:48:19Z,DLH790,"48.232452,11.379934",10650,332,130
1693169303,2023-08-27T20:48:23Z,DLH790,"48.229385,11.386272",10700,338,124
1693169307,2023-08-27T20:48:27Z,DLH790,"48.226257,11.393618",10775,344,120
1693169311,2023-08-27T20:48:31Z,DLH790,"48.22253,11.403664",10825,349,117
1693169315,2023-08-27T20:48:35Z,DLH790,"48.220139,11.411203",10875,352,114
1693169319,2023-08-27T20:48:39Z,DLH790,"48.217758,11.420147",10925,357,109
1693169323,2023-08-27T20:48:43Z,DLH790,"48.215408,11.430985",11000,361,106
1693169327,2023-08-27T20:48:47Z,DLH790,"48.213638,11.440289",11050,366,105
1693169331,2023-08-27T20:48:51Z,DLH790,"48.211853,11.450078",11100,368,105
1693169335,2023-08-27T20:48:55Z,DLH790,"48.210056,11.460186",11150,372,104
1693169337,2023-08-27T20:48:57Z,DLH790,"48.209015,11.465783",11200,373,104
1693169340,2023-08-27T20:49:00Z,DLH790,"48.207775,11.47298",11250,375,104
1693169342,2023-08-27T20:49:02Z,DLH790,"48.206657,11.479051",11300,377,104
1693169345,2023-08-27T20:49:05Z,DLH790,"48.205494,11.4857",11375,377,104
