Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1693253736,2023-08-28T20:15:36Z,DLH790,"48.35891,11.791922",0,0,264
1693253849,2023-08-28T20:17:29Z,DLH790,"48.358929,11.792396",0,1,261
1693253866,2023-08-28T20:17:46Z,DLH790,"48.358917,11.792648",0,3,250
1693253886,2023-08-28T20:18:06Z,DLH790,"48.35891,11.793014",0,3,225
1693253897,2023-08-28T20:18:17Z,DLH790,"48.358929,11.793227",0,3,202
1693253910,2023-08-28T20:18:30Z,DLH790,"48.359047,11.793453",0,3,177
1693253926,2023-08-28T20:18:46Z,DLH790,"48.359257,11.793444",0,3,171
1693254076,2023-08-28T20:21:16Z,DLH790,"48.358932,11.792415",0,0,171
1693254136,2023-08-28T20:22:16Z,DLH790,"48.359219,11.793489",0,3,168
1693254150,2023-08-28T20:22:30Z,DLH790,"48.359001,11.793717",0,6,154
1693254158,2023-08-28T20:22:38Z,DLH790,"48.358749,11.793859",0,9,157
1693254168,2023-08-28T20:22:48Z,DLH790,"48.358292,11.793911",0,11,174
1693254172,2023-08-28T20:22:52Z,DLH790,"48.35807,11.79395",0,11,174
1693254240,2023-08-28T20:24:00Z,DLH790,"48.353577,11.794722",0,17,174
1693254264,2023-08-28T20:24:24Z,DLH790,"48.351482,11.795074",0,19,174
1693254290,2023-08-28T20:24:50Z,DLH790,"48.349644,11.795395",0,0,174
1693254303,2023-08-28T20:25:03Z,DLH790,"48.348965,11.795513",0,0,174
1693254353,2023-08-28T20:25:53Z,DLH790,"48.347752,11.793471",0,0,264
1693254390,2023-08-28T20:26:30Z,DLH790,"48.347443,11.789404",0,0,264
1693254414,2023-08-28T20:26:54Z,DLH790,"48.347233,11.786632",1600,16,264
1693254422,2023-08-28T20:27:02Z,DLH790,"48.347153,11.785638",0,18,264
1693254428,2023-08-28T20:27:08Z,DLH790,"48.347095,11.784824",0,18,264
1693254436,2023-08-28T20:27:16Z,DLH790,"48.347019,11.783946",0,18,264
1693254445,2023-08-28T20:27:25Z,DLH790,"48.346928,11.782696",0,19,264
1693254452,2023-08-28T20:27:32Z,DLH790,"48.346859,11.781798",0,19,264
1693254462,2023-08-28T20:27:42Z,DLH790,"48.346756,11.780452",0,18,264
1693254470,2023-08-28T20:27:50Z,DLH790,"48.346676,11.779422",0,18,264
1693254476,2023-08-28T20:27:56Z,DLH790,"48.346619,11.7787",0,18,264
1693254524,2023-08-28T20:28:44Z,DLH790,"48.346104,11.772014",0,0,264
1693254570,2023-08-28T20:29:30Z,DLH790,"48.345612,11.765548",1625,21,264
1693254579,2023-08-28T20:29:39Z,DLH790,"48.345509,11.764262",0,21,264
1693254598,2023-08-28T20:29:58Z,DLH790,"48.345291,11.76148",0,20,264
1693254618,2023-08-28T20:30:18Z,DLH790,"48.345062,11.758575",0,0,264
1693254626,2023-08-28T20:30:26Z,DLH790,"48.344975,11.757322",0,21,264
1693254634,2023-08-28T20:30:34Z,DLH790,"48.344891,11.756304",0,20,264
1693254641,2023-08-28T20:30:41Z,DLH790,"48.344814,11.755226",0,20,264
1693254650,2023-08-28T20:30:50Z,DLH790,"48.344719,11.753998",0,18,264
1693254663,2023-08-28T20:31:03Z,DLH790,"48.344593,11.752448",0,16,264
1693254674,2023-08-28T20:31:14Z,DLH790,"48.344513,11.751357",0,11,264
1693254685,2023-08-28T20:31:25Z,DLH790,"48.344406,11.750763",0,8,253
1693254691,2023-08-28T20:31:31Z,DLH790,"48.34417,11.7506",0,9,222
1693254697,2023-08-28T20:31:37Z,DLH790,"48.343929,11.750601",0,9,194
1693254706,2023-08-28T20:31:46Z,DLH790,"48.343597,11.750723",0,8,177
1693254713,2023-08-28T20:31:53Z,DLH790,"48.343323,11.750776",0,9,174
1693254718,2023-08-28T20:31:58Z,DLH790,"48.343105,11.750811",0,9,174
1693254726,2023-08-28T20:32:06Z,DLH790,"48.342857,11.750854",0,7,174
1693254751,2023-08-28T20:32:31Z,DLH790,"48.342266,11.750962",0,0,174
1693254838,2023-08-28T20:33:58Z,DLH790,"48.341835,11.751017",1625,0,174
1693254864,2023-08-28T20:34:24Z,DLH790,"48.340683,11.751431",0,9,157
1693254868,2023-08-28T20:34:28Z,DLH790,"48.340633,11.751685",0,8,132
1693254873,2023-08-28T20:34:33Z,DLH790,"48.340679,11.751885",0,6,109
1693254894,2023-08-28T20:34:54Z,DLH790,"48.340763,11.752101",0,1,87
1693254903,2023-08-28T20:35:03Z,DLH790,"48.340805,11.752783",0,28,84
1693254910,2023-08-28T20:35:10Z,DLH790,"48.341,11.755265",0,0,84
1693254914,2023-08-28T20:35:14Z,DLH790,"48.341137,11.757061",0,80,81
1693254915,2023-08-28T20:35:15Z,DLH790,"48.341194,11.757738",0,84,81
1693254919,2023-08-28T20:35:19Z,DLH790,"48.341335,11.759563",1625,84,81
1693254928,2023-08-28T20:35:28Z,DLH790,"48.341938,11.767153",1625,133,83
1693254940,2023-08-28T20:35:40Z,DLH790,"48.342964,11.780524",1600,171,83
