Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1693340744,2023-08-29T20:25:44Z,DLH790,"48.351059,11.793401",0,0,264
1693340834,2023-08-29T20:27:14Z,DLH790,"48.351086,11.793643",0,2,264
1693340858,2023-08-29T20:27:38Z,DLH790,"48.351105,11.794017",0,0,258
1693340869,2023-08-29T20:27:49Z,DLH790,"48.351097,11.794221",0,3,244
1693340885,2023-08-29T20:28:05Z,DLH790,"48.351105,11.794493",0,2,219
1693340908,2023-08-29T20:28:28Z,DLH790,"48.351215,11.794799",0,0,194
1693340930,2023-08-29T20:28:50Z,DLH790,"48.351471,11.794897",0,0,188
1693340980,2023-08-29T20:29:40Z,DLH790,"48.351093,11.793665",0,0,168
1693341031,2023-08-29T20:30:31Z,DLH790,"48.351654,11.795038",0,0,168
1693341179,2023-08-29T20:32:59Z,DLH790,"48.349972,11.795338",0,11,174
1693341189,2023-08-29T20:33:09Z,DLH790,"48.349422,11.795431",0,0,174
1693341351,2023-08-29T20:35:51Z,DLH790,"48.347557,11.805567",0,10,165
1693341357,2023-08-29T20:35:57Z,DLH790,"48.347317,11.805605",0,8,171
1693341392,2023-08-29T20:36:32Z,DLH790,"48.346222,11.805641",0,0,191
1693341681,2023-08-29T20:41:21Z,DLH790,"48.343597,11.788611",1550,128,263
1693341688,2023-08-29T20:41:28Z,DLH790,"48.343048,11.78164",1525,153,263
1693341696,2023-08-29T20:41:36Z,DLH790,"48.342266,11.771417",1600,171,263
1693341705,2023-08-29T20:41:45Z,DLH790,"48.341492,11.760371",1975,168,264
1693341714,2023-08-29T20:41:54Z,DLH790,"48.340851,11.749807",2425,164,265
1693341723,2023-08-29T20:42:03Z,DLH790,"48.340401,11.740265",2825,161,266
1693341732,2023-08-29T20:42:12Z,DLH790,"48.33989,11.729134",2975,174,266
1693341741,2023-08-29T20:42:21Z,DLH790,"48.339287,11.717858",3075,188,264
1693341750,2023-08-29T20:42:30Z,DLH790,"48.338516,11.705933",3200,201,264
1693341759,2023-08-29T20:42:39Z,DLH790,"48.337517,11.692995",3350,212,262
1693341768,2023-08-29T20:42:48Z,DLH790,"48.336399,11.679695",3500,222,262
1693341777,2023-08-29T20:42:57Z,DLH790,"48.33519,11.665384",3750,229,262
1693341786,2023-08-29T20:43:06Z,DLH790,"48.333939,11.650508",4075,232,262
1693341795,2023-08-29T20:43:15Z,DLH790,"48.332748,11.636071",4400,236,263
1693341804,2023-08-29T20:43:24Z,DLH790,"48.33165,11.621634",4625,244,263
1693341810,2023-08-29T20:43:30Z,DLH790,"48.330814,11.610742",4725,253,263
1693341819,2023-08-29T20:43:39Z,DLH790,"48.329636,11.595013",4850,264,263
1693341828,2023-08-29T20:43:48Z,DLH790,"48.328308,11.577829",5250,264,263
1693341844,2023-08-29T20:44:04Z,DLH790,"48.326157,11.550857",6000,262,262
1693341859,2023-08-29T20:44:19Z,DLH790,"48.324062,11.523719",6650,263,263
1693341874,2023-08-29T20:44:34Z,DLH790,"48.321945,11.495291",7275,266,263
1693341889,2023-08-29T20:44:49Z,DLH790,"48.319977,11.468882",8150,256,263
1693341903,2023-08-29T20:45:03Z,DLH790,"48.317139,11.443458",8775,259,253
1693341907,2023-08-29T20:45:07Z,DLH790,"48.315445,11.436697",8900,261,246
1693341910,2023-08-29T20:45:10Z,DLH790,"48.314892,11.43496",9000,262,244
1693341913,2023-08-29T20:45:13Z,DLH790,"48.311966,11.427612",9125,263,238
1693341916,2023-08-29T20:45:16Z,DLH790,"48.309723,11.423396",9250,266,230
1693341919,2023-08-29T20:45:19Z,DLH790,"48.306885,11.419021",9375,265,223
1693341922,2023-08-29T20:45:22Z,DLH790,"48.304138,11.415518",9500,265,219
1693341925,2023-08-29T20:45:25Z,DLH790,"48.301117,11.412471",9650,266,211
1693341930,2023-08-29T20:45:30Z,DLH790,"48.295029,11.407893",9850,268,204
1693341933,2023-08-29T20:45:33Z,DLH790,"48.291641,11.406203",9975,268,197
1693341936,2023-08-29T20:45:36Z,DLH790,"48.2878,11.40482",10075,269,191
1693341940,2023-08-29T20:45:40Z,DLH790,"48.283264,11.40395",10225,271,185
1693341945,2023-08-29T20:45:45Z,DLH790,"48.277542,11.40395",10375,274,176
1693341947,2023-08-29T20:45:47Z,DLH790,"48.274887,11.404372",10450,274,176
1693341951,2023-08-29T20:45:51Z,DLH790,"48.270016,11.40576",10500,277,170
1693341954,2023-08-29T20:45:54Z,DLH790,"48.265686,11.407752",10575,282,161
1693341958,2023-08-29T20:45:58Z,DLH790,"48.26152,11.410429",10625,286,156
1693341961,2023-08-29T20:46:01Z,DLH790,"48.258099,11.413205",10675,289,151
1693341964,2023-08-29T20:46:04Z,DLH790,"48.255306,11.415807",10700,293,146
1693341967,2023-08-29T20:46:07Z,DLH790,"48.251209,11.420216",10750,296,143
1693341970,2023-08-29T20:46:10Z,DLH790,"48.247925,11.424232",10775,300,139
1693341973,2023-08-29T20:46:13Z,DLH790,"48.245296,11.42795",10825,302,137
1693341976,2023-08-29T20:46:16Z,DLH790,"48.242317,11.43272",10875,305,132
1693341979,2023-08-29T20:46:19Z,DLH790,"48.239758,11.437274",10900,307,128
1693341982,2023-08-29T20:46:22Z,DLH790,"48.236755,11.443317",10950,311,126
1693341985,2023-08-29T20:46:25Z,DLH790,"48.234776,11.447465",11000,314,125
1693341987,2023-08-29T20:46:27Z,DLH790,"48.23378,11.449585",11025,318,124
1693341991,2023-08-29T20:46:31Z,DLH790,"48.229385,11.459022",11075,322,124
1693341994,2023-08-29T20:46:34Z,DLH790,"48.226536,11.4651",11125,324,124
1693341997,2023-08-29T20:46:37Z,DLH790,"48.224304,11.469868",11150,328,125
1693342000,2023-08-29T20:46:40Z,DLH790,"48.221832,11.475079",11225,330,125
1693342003,2023-08-29T20:46:43Z,DLH790,"48.218903,11.481147",11300,332,125
1693342018,2023-08-29T20:46:58Z,DLH790,"48.205074,11.509552",11950,330,126
1693342033,2023-08-29T20:47:13Z,DLH790,"48.191803,11.536701",12525,332,126
1693342066,2023-08-29T20:47:46Z,DLH790,"48.162155,11.598816",13925,330,125
1693342099,2023-08-29T20:48:19Z,DLH790,"48.133118,11.660683",15175,331,125
1693342132,2023-08-29T20:48:52Z,DLH790,"48.103592,11.723609",16375,332,125
1693342165,2023-08-29T20:49:25Z,DLH790,"48.07402,11.786476",17375,338,125
1693342198,2023-08-29T20:49:58Z,DLH790,"48.043491,11.851431",17950,358,125
1693342231,2023-08-29T20:50:31Z,DLH790,"48.011444,11.919617",18275,380,125
1693342264,2023-08-29T20:51:04Z,DLH790,"47.97702,11.992401",19050,390,125
1693342294,2023-08-29T20:51:34Z,DLH790,"47.945732,12.058411",19900,394,125
1693342328,2023-08-29T20:52:08Z,DLH790,"47.910538,12.132357",20750,398,125
1693342361,2023-08-29T20:52:41Z,DLH790,"47.875076,12.206772",21450,406,125
1693342394,2023-08-29T20:53:14Z,DLH790,"47.84024,12.279556",23200,384,125
1693342427,2023-08-29T20:53:47Z,DLH790,"47.80603,12.350886",23875,394,125
1693342460,2023-08-29T20:54:20Z,DLH790,"47.770203,12.425468",24325,406,125
1693342493,2023-08-29T20:54:53Z,DLH790,"47.73378,12.501314",25025,412,125
1693342526,2023-08-29T20:55:26Z,DLH790,"47.6964,12.578712",25650,419,125
1693342559,2023-08-29T20:55:59Z,DLH790,"47.658417,12.657074",26225,428,125
1693342589,2023-08-29T20:56:29Z,DLH790,"47.62373,12.728365",26400,441,125
1693342623,2023-08-29T20:57:03Z,DLH790,"47.583836,12.81034",26825,450,125
1693342655,2023-08-29T20:57:35Z,DLH790,"47.544407,12.890906",27575,450,125
1693342680,2023-08-29T20:58:00Z,DLH790,"47.517174,12.955276",27950,452,115
1693342683,2023-08-29T20:58:03Z,DLH790,"47.513962,12.965487",28000,452,114
1693342686,2023-08-29T20:58:06Z,DLH790,"47.511261,12.974712",28025,453,113
1693342691,2023-08-29T20:58:11Z,DLH790,"47.508186,12.985347",28100,454,112
1693342693,2023-08-29T20:58:13Z,DLH790,"47.505249,12.995659",28150,454,112
1693342696,2023-08-29T20:58:16Z,DLH790,"47.503345,13.00239",28200,454,112
1693342729,2023-08-29T20:58:49Z,DLH790,"47.474857,13.098591",28675,459,114
1693342762,2023-08-29T20:59:22Z,DLH790,"47.447205,13.188735",29300,460,114
1693342796,2023-08-29T20:59:56Z,DLH790,"47.416763,13.288582",29800,464,114
1693342827,2023-08-29T21:00:27Z,DLH790,"47.389709,13.377365",30375,464,114
1693342860,2023-08-29T21:01:00Z,DLH790,"47.359966,13.474168",31075,460,114
1693342890,2023-08-29T21:01:30Z,DLH790,"47.335281,13.553902",31350,465,114
1693342923,2023-08-29T21:02:03Z,DLH790,"47.304199,13.654221",31575,472,114
1693342957,2023-08-29T21:02:37Z,DLH790,"47.274033,13.751175",32000,475,114
1693342990,2023-08-29T21:03:10Z,DLH790,"47.243317,13.84964",32400,474,114
1693343021,2023-08-29T21:03:41Z,DLH790,"47.21463,13.941439",32750,474,114
1693343054,2023-08-29T21:04:14Z,DLH790,"47.18409,14.038274",33000,478,114
1693343087,2023-08-29T21:04:47Z,DLH790,"47.154484,14.131868",33300,482,114
1693343118,2023-08-29T21:05:18Z,DLH790,"47.125397,14.22393",33750,482,114
1693343151,2023-08-29T21:05:51Z,DLH790,"47.09285,14.326378",33950,488,115
1693343184,2023-08-29T21:06:24Z,DLH790,"47.061146,14.425542",34350,490,115
