Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1693426117,2023-08-30T20:08:37Z,DLH790,"48.358021,11.793389",0,1,298
1693426184,2023-08-30T20:09:44Z,DLH790,"48.357815,11.793986",0,0,357
1693426407,2023-08-30T20:13:27Z,DLH790,"48.358162,11.793986",0,6,5
1693426432,2023-08-30T20:13:52Z,DLH790,"48.358086,11.795074",0,8,118
1693426444,2023-08-30T20:14:04Z,DLH790,"48.357674,11.79536",0,9,154
1693426452,2023-08-30T20:14:12Z,DLH790,"48.357361,11.795413",0,9,168
1693426467,2023-08-30T20:14:27Z,DLH790,"48.356674,11.79554",0,12,171
1693426471,2023-08-30T20:14:31Z,DLH790,"48.356441,11.795576",0,14,174
1693426513,2023-08-30T20:15:13Z,DLH790,"48.352924,11.796172",0,0,174
1693426624,2023-08-30T20:17:04Z,DLH790,"48.348434,11.802406",0,0,84
1693426638,2023-08-30T20:17:18Z,DLH790,"48.348553,11.804017",0,16,84
1693426660,2023-08-30T20:17:40Z,DLH790,"48.347794,11.805551",0,0,160
1693426666,2023-08-30T20:17:46Z,DLH790,"48.347454,11.805605",0,14,171
1693426695,2023-08-30T20:18:15Z,DLH790,"48.346344,11.805708",0,0,180
1693426967,2023-08-30T20:22:47Z,DLH790,"48.343323,11.785513",1525,140,263
1693426974,2023-08-30T20:22:54Z,DLH790,"48.342777,11.777705",1500,164,263
1693426983,2023-08-30T20:23:03Z,DLH790,"48.341949,11.766357",1800,169,263
1693426991,2023-08-30T20:23:11Z,DLH790,"48.341354,11.756709",2175,165,264
1693427000,2023-08-30T20:23:20Z,DLH790,"48.340683,11.746697",2600,162,264
1693427009,2023-08-30T20:23:29Z,DLH790,"48.339981,11.736567",2925,165,264
1693427018,2023-08-30T20:23:38Z,DLH790,"48.339249,11.725793",3075,174,264
1693427027,2023-08-30T20:23:47Z,DLH790,"48.338493,11.714534",3200,186,264
1693427036,2023-08-30T20:23:56Z,DLH790,"48.337608,11.702391",3325,197,263
1693427045,2023-08-30T20:24:05Z,DLH790,"48.336685,11.690228",3450,207,263
1693427054,2023-08-30T20:24:14Z,DLH790,"48.33556,11.676516",3625,217,263
1693427063,2023-08-30T20:24:23Z,DLH790,"48.334492,11.663288",3900,221,262
1693427072,2023-08-30T20:24:32Z,DLH790,"48.333298,11.64924",4300,220,262
1693427081,2023-08-30T20:24:41Z,DLH790,"48.332161,11.635822",4700,219,262
1693427090,2023-08-30T20:24:50Z,DLH790,"48.331055,11.622338",5075,219,262
1693427105,2023-08-30T20:25:05Z,DLH790,"48.329132,11.599309",5625,221,262
1693427120,2023-08-30T20:25:20Z,DLH790,"48.327393,11.57635",6175,226,263
1693427135,2023-08-30T20:25:35Z,DLH790,"48.325787,11.552558",6750,226,264
1693427150,2023-08-30T20:25:50Z,DLH790,"48.324341,11.528923",7375,226,264
1693427165,2023-08-30T20:26:05Z,DLH790,"48.322388,11.505143",7950,227,258
1693427168,2023-08-30T20:26:08Z,DLH790,"48.321548,11.500589",8050,228,253
1693427171,2023-08-30T20:26:11Z,DLH790,"48.320435,11.496206",8175,229,247
1693427174,2023-08-30T20:26:14Z,DLH790,"48.318924,11.492051",8275,230,239
1693427177,2023-08-30T20:26:17Z,DLH790,"48.317173,11.488302",8375,232,233
1693427180,2023-08-30T20:26:20Z,DLH790,"48.314896,11.484516",8475,234,226
1693427183,2023-08-30T20:26:23Z,DLH790,"48.312889,11.48187",8550,236,219
1693427186,2023-08-30T20:26:26Z,DLH790,"48.310097,11.478906",8650,239,212
1693427189,2023-08-30T20:26:29Z,DLH790,"48.306793,11.476232",8750,241,205
1693427192,2023-08-30T20:26:32Z,DLH790,"48.30368,11.474516",8825,245,198
1693427196,2023-08-30T20:26:36Z,DLH790,"48.2999,11.473124",8950,247,192
1693427199,2023-08-30T20:26:39Z,DLH790,"48.296455,11.472546",9050,250,184
1693427201,2023-08-30T20:26:41Z,DLH790,"48.293015,11.472544",9150,253,178
1693427204,2023-08-30T20:26:44Z,DLH790,"48.289566,11.473196",9250,255,171
1693427208,2023-08-30T20:26:48Z,DLH790,"48.287006,11.474063",9350,258,164
1693427213,2023-08-30T20:26:53Z,DLH790,"48.279922,11.478248",9550,262,153
1693427216,2023-08-30T20:26:56Z,DLH790,"48.276764,11.481147",9650,263,148
1693427219,2023-08-30T20:26:59Z,DLH790,"48.2743,11.483966",9750,267,140
1693427222,2023-08-30T20:27:02Z,DLH790,"48.271225,11.488318",9850,269,134
1693427225,2023-08-30T20:27:05Z,DLH790,"48.268982,11.492192",9925,271,129
1693427228,2023-08-30T20:27:08Z,DLH790,"48.266525,11.497626",10025,273,122
1693427231,2023-08-30T20:27:11Z,DLH790,"48.264771,11.502474",10100,275,117
1693427234,2023-08-30T20:27:14Z,DLH790,"48.263264,11.50789",10200,278,112
1693427237,2023-08-30T20:27:17Z,DLH790,"48.26215,11.513455",10275,280,105
1693427240,2023-08-30T20:27:20Z,DLH790,"48.261356,11.519238",10350,284,100
1693427243,2023-08-30T20:27:23Z,DLH790,"48.26088,11.524799",10425,286,97
1693427246,2023-08-30T20:27:26Z,DLH790,"48.260513,11.531208",10475,288,94
1693427249,2023-08-30T20:27:29Z,DLH790,"48.260284,11.536489",10525,291,93
1693427252,2023-08-30T20:27:32Z,DLH790,"48.260056,11.543391",10600,294,92
1693427255,2023-08-30T20:27:35Z,DLH790,"48.259914,11.54945",10650,296,91
1693427258,2023-08-30T20:27:38Z,DLH790,"48.259781,11.555645",10725,299,92
1693427261,2023-08-30T20:27:41Z,DLH790,"48.259598,11.561913",10775,301,92
1693427264,2023-08-30T20:27:44Z,DLH790,"48.259415,11.567969",10850,304,92
1693427267,2023-08-30T20:27:47Z,DLH790,"48.259262,11.572796",10900,306,92
1693427282,2023-08-30T20:28:02Z,DLH790,"48.257858,11.605859",11150,320,94
1693427297,2023-08-30T20:28:17Z,DLH790,"48.256142,11.641388",11350,335,94
1693427312,2023-08-30T20:28:32Z,DLH790,"48.254513,11.67666",11650,345,93
1693427324,2023-08-30T20:28:44Z,DLH790,"48.253208,11.706222",12050,350,93
1693427358,2023-08-30T20:29:18Z,DLH790,"48.250031,11.786922",13250,352,93
1693427391,2023-08-30T20:29:51Z,DLH790,"48.246738,11.869788",13825,376,93
1693427424,2023-08-30T20:30:24Z,DLH790,"48.243439,11.958759",14475,396,93
1693427457,2023-08-30T20:30:57Z,DLH790,"48.240036,12.04911",15375,404,93
1693427490,2023-08-30T20:31:30Z,DLH790,"48.236481,12.14271",16475,406,93
1693427523,2023-08-30T20:32:03Z,DLH790,"48.232727,12.236095",17375,413,93
1693427556,2023-08-30T20:32:36Z,DLH790,"48.228836,12.331238",18375,416,93
1693427589,2023-08-30T20:33:09Z,DLH790,"48.224861,12.426188",19250,420,93
1693427619,2023-08-30T20:33:39Z,DLH790,"48.221184,12.513934",20050,424,93
1693427653,2023-08-30T20:34:13Z,DLH790,"48.216934,12.612375",20850,429,93
1693427686,2023-08-30T20:34:46Z,DLH790,"48.212616,12.711254",21675,433,93
1693427719,2023-08-30T20:35:19Z,DLH790,"48.208191,12.810622",22275,442,93
1693427752,2023-08-30T20:35:52Z,DLH790,"48.208241,12.911248",23175,444,89
1693427785,2023-08-30T20:36:25Z,DLH790,"48.208286,13.01504",24050,444,90
1693427812,2023-08-30T20:36:52Z,DLH790,"48.204712,13.096971",24625,444,101
1693427815,2023-08-30T20:36:55Z,DLH790,"48.20311,13.106831",24675,445,104
1693427818,2023-08-30T20:36:58Z,DLH790,"48.201675,13.114713",24700,446,105
1693427821,2023-08-30T20:37:01Z,DLH790,"48.199722,13.124181",24750,446,107
1693427824,2023-08-30T20:37:04Z,DLH790,"48.198093,13.131987",24775,448,107
1693427827,2023-08-30T20:37:07Z,DLH790,"48.196106,13.141128",24825,448,108
1693427830,2023-08-30T20:37:10Z,DLH790,"48.194462,13.148466",24875,449,108
1693427833,2023-08-30T20:37:13Z,DLH790,"48.191948,13.159959",24925,449,108
1693427836,2023-08-30T20:37:16Z,DLH790,"48.189991,13.168849",24975,450,108
1693427869,2023-08-30T20:37:49Z,DLH790,"48.169556,13.267581",25700,453,106
1693427902,2023-08-30T20:38:22Z,DLH790,"48.149586,13.366911",26275,458,106
1693427933,2023-08-30T20:38:53Z,DLH790,"48.130783,13.459625",26650,466,107
1693427966,2023-08-30T20:39:26Z,DLH790,"48.109634,13.562485",27300,467,107
1693427999,2023-08-30T20:39:59Z,DLH790,"48.088669,13.664314",27975,468,107
1693428032,2023-08-30T20:40:32Z,DLH790,"48.067657,13.766212",28450,472,107
1693428065,2023-08-30T20:41:05Z,DLH790,"48.046738,13.86763",29025,472,107
1693428098,2023-08-30T20:41:38Z,DLH790,"48.024765,13.973305",29500,476,107
1693428128,2023-08-30T20:42:08Z,DLH790,"48.00499,14.067856",29775,482,107
1693428162,2023-08-30T20:42:42Z,DLH790,"47.983063,14.172432",30150,482,107
1693428194,2023-08-30T20:43:14Z,DLH790,"47.960907,14.277214",30425,482,107
1693428228,2023-08-30T20:43:48Z,DLH790,"47.938477,14.38282",30725,484,107
1693428261,2023-08-30T20:44:21Z,DLH790,"47.916412,14.486229",30975,488,107
1693428294,2023-08-30T20:44:54Z,DLH790,"47.893524,14.592865",31000,490,107
1693428327,2023-08-30T20:45:27Z,DLH790,"47.871109,14.697172",31000,490,107
1693428360,2023-08-30T20:46:00Z,DLH790,"47.847656,14.80545",31250,492,107
1693428390,2023-08-30T20:46:30Z,DLH790,"47.827538,14.897602",31525,495,107
1693428425,2023-08-30T20:47:05Z,DLH790,"47.801926,15.014671",31950,496,107
1693428458,2023-08-30T20:47:38Z,DLH790,"47.778397,15.121788",32425,495,108
1693428491,2023-08-30T20:48:11Z,DLH790,"47.754635,15.229234",32900,494,108
1693428522,2023-08-30T20:48:42Z,DLH790,"47.733036,15.32635",33000,495,108
1693428555,2023-08-30T20:49:15Z,DLH790,"47.708908,15.434349",33000,494,108
1693428588,2023-08-30T20:49:48Z,DLH790,"47.686344,15.534949",33000,494,108
1693428618,2023-08-30T20:50:18Z,DLH790,"47.663719,15.635376",33000,493,108
1693428652,2023-08-30T20:50:52Z,DLH790,"47.639374,15.742845",33000,491,108
1693428682,2023-08-30T20:51:22Z,DLH790,"47.617722,15.837753",33000,490,108
1693428716,2023-08-30T20:51:56Z,DLH790,"47.592262,15.94905",33000,492,108
1693428749,2023-08-30T20:52:29Z,DLH790,"47.568752,16.051308",33000,494,108
1693428782,2023-08-30T20:53:02Z,DLH790,"47.543659,16.159973",33000,494,108
1693428812,2023-08-30T20:53:32Z,DLH790,"47.521736,16.254272",33000,496,108
1693428846,2023-08-30T20:54:06Z,DLH790,"47.496876,16.360897",33000,498,109
1693428880,2023-08-30T20:54:40Z,DLH790,"47.468765,16.466927",33000,495,113
1693428910,2023-08-30T20:55:10Z,DLH790,"47.440521,16.563126",33000,493,113
1693428944,2023-08-30T20:55:44Z,DLH790,"47.41066,16.668303",33050,492,112
1693428977,2023-08-30T20:56:17Z,DLH790,"47.381706,16.771334",33400,495,112
1693429009,2023-08-30T20:56:49Z,DLH790,"47.353821,16.870399",33675,498,112
1693429043,2023-08-30T20:57:23Z,DLH790,"47.323929,16.976074",34125,497,112
1693429076,2023-08-30T20:57:56Z,DLH790,"47.294815,17.078384",34575,496,112
1693429109,2023-08-30T20:58:29Z,DLH790,"47.26593,17.179659",34975,496,112
1693429142,2023-08-30T20:59:02Z,DLH790,"47.235947,17.284241",35300,497,112
1693429175,2023-08-30T20:59:35Z,DLH790,"47.20676,17.385441",35475,502,112
1693429208,2023-08-30T21:00:08Z,DLH790,"47.175888,17.492157",35650,506,113
1693429241,2023-08-30T21:00:41Z,DLH790,"47.14587,17.595449",36200,500,113
1693429272,2023-08-30T21:01:12Z,DLH790,"47.118404,17.690031",36775,490,113
1693429305,2023-08-30T21:01:45Z,DLH790,"47.0896,17.78817",37000,492,113
1693429338,2023-08-30T21:02:18Z,DLH790,"47.059425,17.89039",37000,494,113
1693429371,2023-08-30T21:02:51Z,DLH790,"47.030144,17.989971",37000,494,113
1693429404,2023-08-30T21:03:24Z,DLH790,"46.999878,18.092285",37000,492,113
1693429437,2023-08-30T21:03:57Z,DLH790,"46.969578,18.193851",37000,489,113
1693429468,2023-08-30T21:04:28Z,DLH790,"46.941605,18.28743",37000,490,113
1693429501,2023-08-30T21:05:01Z,DLH790,"46.911575,18.387592",37000,491,113
1693429534,2023-08-30T21:05:34Z,DLH790,"46.881596,18.486961",37000,492,113
1693429567,2023-08-30T21:06:07Z,DLH790,"46.851383,18.586945",37000,494,113
1693429600,2023-08-30T21:06:40Z,DLH790,"46.820843,18.687538",37000,496,113
1693429633,2023-08-30T21:07:13Z,DLH790,"46.789215,18.791176",37000,497,113
1693429666,2023-08-30T21:07:46Z,DLH790,"46.758362,18.891996",37000,500,114
1693429699,2023-08-30T21:08:19Z,DLH790,"46.727325,18.992815",37000,502,114
1693429732,2023-08-30T21:08:52Z,DLH790,"46.696365,19.093346",37000,500,114
1693429763,2023-08-30T21:09:23Z,DLH790,"46.667267,19.187086",37000,501,114
1693429796,2023-08-30T21:09:56Z,DLH790,"46.635773,19.288509",37000,501,114
1693429829,2023-08-30T21:10:29Z,DLH790,"46.603546,19.391605",37000,503,114
1693429859,2023-08-30T21:10:59Z,DLH790,"46.574909,19.483017",37000,502,114
1693429892,2023-08-30T21:11:32Z,DLH790,"46.542343,19.586546",37000,503,114
1693429926,2023-08-30T21:12:06Z,DLH790,"46.510296,19.687912",37000,504,114
1693429959,2023-08-30T21:12:39Z,DLH790,"46.478119,19.789324",37000,505,114
1693429992,2023-08-30T21:13:12Z,DLH790,"46.44582,19.890678",37000,505,114
1693430025,2023-08-30T21:13:45Z,DLH790,"46.413528,19.991701",37000,506,114
1693430058,2023-08-30T21:14:18Z,DLH790,"46.381718,20.090836",37000,506,114
