Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1693513239,2023-08-31T20:20:39Z,DLH790,"48.357883,11.792613",0,3,261
1693513250,2023-08-31T20:20:50Z,DLH790,"48.357903,11.792837",0,3,261
1693513261,2023-08-31T20:21:01Z,DLH790,"48.357903,11.793084",0,3,253
1693513272,2023-08-31T20:21:12Z,DLH790,"48.357883,11.7933",0,3,239
1693513282,2023-08-31T20:21:22Z,DLH790,"48.35788,11.793507",0,3,219
1693513305,2023-08-31T20:21:45Z,DLH790,"48.358021,11.793859",0,0,185
1693513497,2023-08-31T20:24:57Z,DLH790,"48.35804,11.794069",0,5,163
1693513510,2023-08-31T20:25:10Z,DLH790,"48.357719,11.794439",0,8,146
1693513536,2023-08-31T20:25:36Z,DLH790,"48.356861,11.795355",0,0,146
1693513542,2023-08-31T20:25:42Z,DLH790,"48.356598,11.795531",0,0,154
1693513578,2023-08-31T20:26:18Z,DLH790,"48.35466,11.795901",0,0,174
1693513601,2023-08-31T20:26:41Z,DLH790,"48.353405,11.796112",0,0,174
1693513667,2023-08-31T20:27:47Z,DLH790,"48.3498,11.796746",0,0,174
1693513815,2023-08-31T20:30:15Z,DLH790,"48.34856,11.804014",0,0,84
1693513870,2023-08-31T20:31:10Z,DLH790,"48.347466,11.805619",0,8,171
1693513877,2023-08-31T20:31:17Z,DLH790,"48.347225,11.805655",0,7,174
1693513915,2023-08-31T20:31:55Z,DLH790,"48.346184,11.805673",0,5,191
1693514109,2023-08-31T20:35:09Z,DLH790,"48.34346,11.787203",1375,140,263
1693514119,2023-08-31T20:35:19Z,DLH790,"48.342636,11.776428",1325,170,263
1693514128,2023-08-31T20:35:28Z,DLH790,"48.341812,11.764878",1625,174,264
1693514137,2023-08-31T20:35:37Z,DLH790,"48.341263,11.754807",2125,164,264
1693514146,2023-08-31T20:35:46Z,DLH790,"48.340588,11.744457",2600,159,264
1693514155,2023-08-31T20:35:55Z,DLH790,"48.339935,11.734455",2875,164,263
1693514164,2023-08-31T20:36:04Z,DLH790,"48.3391,11.72364",3050,172,263
1693514173,2023-08-31T20:36:13Z,DLH790,"48.338196,11.712834",3200,181,262
1693514182,2023-08-31T20:36:22Z,DLH790,"48.337189,11.701162",3400,188,262
1693514191,2023-08-31T20:36:31Z,DLH790,"48.336136,11.689312",3600,196,262
1693514200,2023-08-31T20:36:40Z,DLH790,"48.335037,11.676636",3775,205,262
1693514209,2023-08-31T20:36:49Z,DLH790,"48.333984,11.663889",3950,213,263
1693514218,2023-08-31T20:36:58Z,DLH790,"48.332909,11.650351",4225,218,263
1693514227,2023-08-31T20:37:07Z,DLH790,"48.331837,11.636329",4425,228,263
1693514236,2023-08-31T20:37:16Z,DLH790,"48.330814,11.6218",4575,239,264
1693514245,2023-08-31T20:37:25Z,DLH790,"48.329865,11.60783",4675,251,264
1693514254,2023-08-31T20:37:34Z,DLH790,"48.328716,11.591083",4900,258,264
1693514263,2023-08-31T20:37:43Z,DLH790,"48.327621,11.574942",5300,257,264
