Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1693599651,2023-09-01T20:20:51Z,DLH790,"48.357895,11.792793",0,4,258
1693599658,2023-09-01T20:20:58Z,DLH790,"48.357891,11.792995",0,4,247
1693599674,2023-09-01T20:21:14Z,DLH790,"48.357918,11.793444",0,4,216
1693599684,2023-09-01T20:21:24Z,DLH790,"48.358009,11.793696",0,4,191
1693599701,2023-09-01T20:21:41Z,DLH790,"48.35836,11.793823",0,5,174
1693599711,2023-09-01T20:21:51Z,DLH790,"48.358582,11.793859",0,5,163
1693599723,2023-09-01T20:22:03Z,DLH790,"48.358818,11.793736",0,5,163
1693599734,2023-09-01T20:22:14Z,DLH790,"48.359035,11.793625",0,5,163
1693599746,2023-09-01T20:22:26Z,DLH790,"48.359245,11.793498",0,4,171
1693599839,2023-09-01T20:23:59Z,DLH790,"48.357903,11.792908",0,0,174
1693599879,2023-09-01T20:24:39Z,DLH790,"48.359444,11.793426",0,0,174
1693599929,2023-09-01T20:25:29Z,DLH790,"48.359219,11.793524",0,6,168
1693599937,2023-09-01T20:25:37Z,DLH790,"48.358978,11.793751",0,9,151
1693599944,2023-09-01T20:25:44Z,DLH790,"48.358761,11.794017",0,10,146
1693599952,2023-09-01T20:25:52Z,DLH790,"48.35844,11.794401",0,13,140
1693599963,2023-09-01T20:26:03Z,DLH790,"48.357872,11.795052",0,13,143
1693599967,2023-09-01T20:26:07Z,DLH790,"48.357651,11.795267",0,14,146
1693599973,2023-09-01T20:26:13Z,DLH790,"48.357319,11.795443",0,14,157
1693599977,2023-09-01T20:26:17Z,DLH790,"48.357044,11.795485",0,14,168
1693600134,2023-09-01T20:28:54Z,DLH790,"48.349735,11.79675",1325,14,174
1693600141,2023-09-01T20:29:01Z,DLH790,"48.349445,11.796804",0,8,174
1693600148,2023-09-01T20:29:08Z,DLH790,"48.349194,11.796834",0,7,174
1693600155,2023-09-01T20:29:15Z,DLH790,"48.348988,11.796869",0,6,174
1693600163,2023-09-01T20:29:23Z,DLH790,"48.348747,11.796922",0,0,174
1693600224,2023-09-01T20:30:24Z,DLH790,"48.348221,11.799528",0,0,84
1693600279,2023-09-01T20:31:19Z,DLH790,"48.34856,11.803852",0,0,81
1693600324,2023-09-01T20:32:04Z,DLH790,"48.347595,11.805605",0,9,168
1693600330,2023-09-01T20:32:10Z,DLH790,"48.347305,11.805641",0,11,174
1693600432,2023-09-01T20:33:52Z,DLH790,"48.343643,11.789457",1325,127,263
1693600442,2023-09-01T20:34:02Z,DLH790,"48.343094,11.782273",1325,154,263
1693600453,2023-09-01T20:34:13Z,DLH790,"48.341938,11.767153",1450,181,264
1693600462,2023-09-01T20:34:22Z,DLH790,"48.341125,11.754456",1850,177,264
1693600471,2023-09-01T20:34:31Z,DLH790,"48.340439,11.743328",2300,172,264
1693600480,2023-09-01T20:34:40Z,DLH790,"48.339844,11.733257",2700,171,264
1693600489,2023-09-01T20:34:49Z,DLH790,"48.339005,11.721978",2925,176,263
1693600498,2023-09-01T20:34:58Z,DLH790,"48.33812,11.711209",3075,185,262
1693600507,2023-09-01T20:35:07Z,DLH790,"48.337097,11.698921",3200,194,262
1693600516,2023-09-01T20:35:16Z,DLH790,"48.336075,11.686852",3350,203,262
1693600525,2023-09-01T20:35:25Z,DLH790,"48.334908,11.673335",3500,211,262
1693600534,2023-09-01T20:35:34Z,DLH790,"48.333698,11.659891",3600,225,262
1693600543,2023-09-01T20:35:43Z,DLH790,"48.332394,11.645508",3775,232,262
1693600552,2023-09-01T20:35:52Z,DLH790,"48.331184,11.631413",4000,239,262
1693600561,2023-09-01T20:36:01Z,DLH790,"48.329929,11.616235",4200,247,262
1693600570,2023-09-01T20:36:10Z,DLH790,"48.328674,11.600506",4375,256,263
1693600579,2023-09-01T20:36:19Z,DLH790,"48.327484,11.583604",4600,262,264
1693600588,2023-09-01T20:36:28Z,DLH790,"48.326523,11.567969",4950,264,265
1693600597,2023-09-01T20:36:37Z,DLH790,"48.325562,11.551208",5350,262,265
1693600612,2023-09-01T20:36:52Z,DLH790,"48.324108,11.523501",6050,259,265
1693600624,2023-09-01T20:37:04Z,DLH790,"48.322815,11.502263",6575,258,264
1693600640,2023-09-01T20:37:20Z,DLH790,"48.320663,11.475075",7250,256,262
