Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1693771807,2023-09-03T20:10:07Z,DLH790,"48.353039,11.793049",0,0,264
1693772688,2023-09-03T20:24:48Z,DLH790,"48.353043,11.793046",0,0,264
1693773110,2023-09-03T20:31:50Z,DLH790,"48.3531,11.793715",0,0,267
1693773124,2023-09-03T20:32:04Z,DLH790,"48.353188,11.794035",0,3,286
1693773133,2023-09-03T20:32:13Z,DLH790,"48.353226,11.794239",0,3,306
1693773159,2023-09-03T20:32:39Z,DLH790,"48.353088,11.794637",0,0,337
1693773180,2023-09-03T20:33:00Z,DLH790,"48.352879,11.794835",0,1,354
1693773393,2023-09-03T20:36:33Z,DLH790,"48.353146,11.794781",0,4,354
1693773405,2023-09-03T20:36:45Z,DLH790,"48.353458,11.794726",0,7,354
1693773412,2023-09-03T20:36:52Z,DLH790,"48.353703,11.794686",0,9,354
1693773419,2023-09-03T20:36:59Z,DLH790,"48.354019,11.794673",0,10,357
1693773429,2023-09-03T20:37:09Z,DLH790,"48.354412,11.795144",0,12,36
1693773433,2023-09-03T20:37:13Z,DLH790,"48.354584,11.79539",0,12,39
1693773441,2023-09-03T20:37:21Z,DLH790,"48.354927,11.795774",0,14,36
1693773467,2023-09-03T20:37:47Z,DLH790,"48.356613,11.79554",0,0,354
1693773471,2023-09-03T20:37:51Z,DLH790,"48.356873,11.795496",0,15,354
1693773478,2023-09-03T20:37:58Z,DLH790,"48.35733,11.795425",0,15,354
1693773488,2023-09-03T20:38:08Z,DLH790,"48.358063,11.795302",0,15,354
1693773498,2023-09-03T20:38:18Z,DLH790,"48.358768,11.795178",0,16,351
1693773505,2023-09-03T20:38:25Z,DLH790,"48.359303,11.79507",0,16,354
1693773514,2023-09-03T20:38:34Z,DLH790,"48.359951,11.794968",0,15,354
1693773523,2023-09-03T20:38:43Z,DLH790,"48.360535,11.79488",0,13,354
1693773529,2023-09-03T20:38:49Z,DLH790,"48.360867,11.794827",0,7,354
1693773537,2023-09-03T20:38:57Z,DLH790,"48.361084,11.795038",0,9,22
1693773541,2023-09-03T20:39:01Z,DLH790,"48.361153,11.795269",0,11,42
1693773546,2023-09-03T20:39:06Z,DLH790,"48.361164,11.795725",0,11,73
1693773550,2023-09-03T20:39:10Z,DLH790,"48.361164,11.796028",0,12,81
1693773554,2023-09-03T20:39:14Z,DLH790,"48.361187,11.796324",0,13,84
1693773558,2023-09-03T20:39:18Z,DLH790,"48.36121,11.796715",0,14,84
1693773561,2023-09-03T20:39:21Z,DLH790,"48.361233,11.79694",0,14,84
1693773563,2023-09-03T20:39:23Z,DLH790,"48.361244,11.797204",0,15,84
1693773565,2023-09-03T20:39:25Z,DLH790,"48.361271,11.797437",0,15,84
1693773573,2023-09-03T20:39:33Z,DLH790,"48.361336,11.798348",0,17,84
1693773581,2023-09-03T20:39:41Z,DLH790,"48.361408,11.799244",0,17,84
1693773588,2023-09-03T20:39:48Z,DLH790,"48.361485,11.800161",0,18,84
1693773601,2023-09-03T20:40:01Z,DLH790,"48.36161,11.801851",0,19,84
1693773607,2023-09-03T20:40:07Z,DLH790,"48.361687,11.802822",0,20,84
1693773615,2023-09-03T20:40:15Z,DLH790,"48.361771,11.803943",0,21,84
1693773623,2023-09-03T20:40:23Z,DLH790,"48.361862,11.80518",0,21,84
1693773629,2023-09-03T20:40:29Z,DLH790,"48.361942,11.806112",0,21,84
1693773638,2023-09-03T20:40:38Z,DLH790,"48.362026,11.807249",0,17,84
1693773648,2023-09-03T20:40:48Z,DLH790,"48.362106,11.808352",0,18,84
1693773655,2023-09-03T20:40:55Z,DLH790,"48.362179,11.809237",0,18,84
1693773664,2023-09-03T20:41:04Z,DLH790,"48.362282,11.810537",0,19,84
1693773673,2023-09-03T20:41:13Z,DLH790,"48.36235,11.811549",0,15,84
1693773681,2023-09-03T20:41:21Z,DLH790,"48.362423,11.812363",0,16,84
1693773688,2023-09-03T20:41:28Z,DLH790,"48.36248,11.81323",0,17,84
1693773694,2023-09-03T20:41:34Z,DLH790,"48.362549,11.814025",0,17,84
1693773703,2023-09-03T20:41:43Z,DLH790,"48.362621,11.814982",0,18,84
1693773710,2023-09-03T20:41:50Z,DLH790,"48.36269,11.815886",0,18,84
1693773717,2023-09-03T20:41:57Z,DLH790,"48.362755,11.816711",0,15,84
1693773723,2023-09-03T20:42:03Z,DLH790,"48.362812,11.817415",0,15,84
1693773731,2023-09-03T20:42:11Z,DLH790,"48.362869,11.818208",0,15,84
1693773738,2023-09-03T20:42:18Z,DLH790,"48.362915,11.818913",0,14,84
1693773745,2023-09-03T20:42:25Z,DLH790,"48.362961,11.819475",0,12,84
1693773752,2023-09-03T20:42:32Z,DLH790,"48.363014,11.820132",0,13,84
1693773759,2023-09-03T20:42:39Z,DLH790,"48.36306,11.820747",0,12,81
1693773766,2023-09-03T20:42:46Z,DLH790,"48.36311,11.821289",0,11,81
1693773773,2023-09-03T20:42:53Z,DLH790,"48.363144,11.82187",0,11,84
1693773780,2023-09-03T20:43:00Z,DLH790,"48.363201,11.822337",0,10,78
1693773784,2023-09-03T20:43:04Z,DLH790,"48.363293,11.822554",0,10,67
