Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1694032362,2023-09-06T20:32:42Z,DLH790,"48.357998,11.793191",0,12,278
1694032373,2023-09-06T20:32:53Z,DLH790,"48.35807,11.79348",0,12,303
1694032393,2023-09-06T20:33:13Z,DLH790,"48.358047,11.793896",0,10,348
1694032433,2023-09-06T20:33:53Z,DLH790,"48.357845,11.793982",0,1,351
1694033024,2023-09-06T20:43:44Z,DLH790,"48.358086,11.793929",0,0,351
1694033034,2023-09-06T20:43:54Z,DLH790,"48.358372,11.793878",0,7,351
1694033042,2023-09-06T20:44:02Z,DLH790,"48.358669,11.793823",0,8,351
1694033052,2023-09-06T20:44:12Z,DLH790,"48.359035,11.793682",0,8,345
1694033058,2023-09-06T20:44:18Z,DLH790,"48.359245,11.793534",0,8,337
1694033066,2023-09-06T20:44:26Z,DLH790,"48.359516,11.793383",0,7,340
1694033080,2023-09-06T20:44:40Z,DLH790,"48.359962,11.79333",0,7,351
1694033089,2023-09-06T20:44:49Z,DLH790,"48.360317,11.79326",0,9,351
1694033099,2023-09-06T20:44:59Z,DLH790,"48.360741,11.793172",0,6,351
1694033108,2023-09-06T20:45:08Z,DLH790,"48.360909,11.792848",0,8,320
1694033114,2023-09-06T20:45:14Z,DLH790,"48.360924,11.792485",0,9,292
1694033118,2023-09-06T20:45:18Z,DLH790,"48.360878,11.792221",0,9,272
1694033124,2023-09-06T20:45:24Z,DLH790,"48.36084,11.791854",0,10,264
1694033131,2023-09-06T20:45:31Z,DLH790,"48.360806,11.791257",0,12,264
1694033134,2023-09-06T20:45:34Z,DLH790,"48.360779,11.79104",0,12,264
1694033137,2023-09-06T20:45:37Z,DLH790,"48.360764,11.79076",0,12,264
1694033144,2023-09-06T20:45:44Z,DLH790,"48.360718,11.790178",0,13,264
1694033147,2023-09-06T20:45:47Z,DLH790,"48.360695,11.789932",0,13,264
1694033157,2023-09-06T20:45:57Z,DLH790,"48.36063,11.789053",0,13,264
1694033164,2023-09-06T20:46:04Z,DLH790,"48.36058,11.788401",0,13,264
1694033170,2023-09-06T20:46:10Z,DLH790,"48.360535,11.78786",0,13,264
1694033183,2023-09-06T20:46:23Z,DLH790,"48.360443,11.786668",0,14,264
1694033192,2023-09-06T20:46:32Z,DLH790,"48.360374,11.78576",0,14,264
1694033199,2023-09-06T20:46:39Z,DLH790,"48.360313,11.785077",0,14,264
1694033206,2023-09-06T20:46:46Z,DLH790,"48.360271,11.784387",0,15,264
1694033220,2023-09-06T20:47:00Z,DLH790,"48.360157,11.78296",0,15,264
1694033227,2023-09-06T20:47:07Z,DLH790,"48.360107,11.782187",0,15,264
1694033234,2023-09-06T20:47:14Z,DLH790,"48.360046,11.781427",0,15,264
1694033243,2023-09-06T20:47:23Z,DLH790,"48.359974,11.780496",0,15,264
1694033253,2023-09-06T20:47:33Z,DLH790,"48.359882,11.779404",0,15,264
1694033261,2023-09-06T20:47:41Z,DLH790,"48.359825,11.778611",0,14,264
1694033268,2023-09-06T20:47:48Z,DLH790,"48.359768,11.777922",0,13,264
1694033278,2023-09-06T20:47:58Z,DLH790,"48.359711,11.777062",0,13,264
1694033289,2023-09-06T20:48:09Z,DLH790,"48.359627,11.776007",0,15,264
1694033296,2023-09-06T20:48:16Z,DLH790,"48.359558,11.775248",0,16,261
1694033313,2023-09-06T20:48:33Z,DLH790,"48.359402,11.773171",0,18,264
1694033320,2023-09-06T20:48:40Z,DLH790,"48.359337,11.772266",0,16,264
1694033327,2023-09-06T20:48:47Z,DLH790,"48.35928,11.771598",0,13,264
1694033335,2023-09-06T20:48:55Z,DLH790,"48.35923,11.770935",0,13,264
1694033342,2023-09-06T20:49:02Z,DLH790,"48.359188,11.770279",0,13,264
1694033351,2023-09-06T20:49:11Z,DLH790,"48.359116,11.769484",0,13,261
1694033363,2023-09-06T20:49:23Z,DLH790,"48.359024,11.768363",0,14,261
1694033372,2023-09-06T20:49:32Z,DLH790,"48.359024,11.767676",0,11,272
1694033376,2023-09-06T20:49:36Z,DLH790,"48.359081,11.767387",0,11,281
1694033380,2023-09-06T20:49:40Z,DLH790,"48.359161,11.76715",0,11,289
1694033384,2023-09-06T20:49:44Z,DLH790,"48.359299,11.766938",0,11,303
1694033388,2023-09-06T20:49:48Z,DLH790,"48.359505,11.766763",0,10,317
1694033396,2023-09-06T20:49:56Z,DLH790,"48.359875,11.76661",0,11,340
1694033400,2023-09-06T20:50:00Z,DLH790,"48.360081,11.766592",0,12,348
1694033405,2023-09-06T20:50:05Z,DLH790,"48.360325,11.766574",0,10,354
1694033410,2023-09-06T20:50:10Z,DLH790,"48.360546,11.766534",0,9,354
1694033417,2023-09-06T20:50:17Z,DLH790,"48.360798,11.76648",0,7,354
1694033428,2023-09-06T20:50:28Z,DLH790,"48.361118,11.766428",0,6,354
1694033436,2023-09-06T20:50:36Z,DLH790,"48.361336,11.76648",0,6,2
1694033446,2023-09-06T20:50:46Z,DLH790,"48.361465,11.766683",0,2,25
1694033603,2023-09-06T20:53:23Z,DLH790,"48.361679,11.766921",0,4,33
1694033614,2023-09-06T20:53:34Z,DLH790,"48.361851,11.767135",0,5,36
1694033622,2023-09-06T20:53:42Z,DLH790,"48.362034,11.767344",0,7,36
1694033629,2023-09-06T20:53:49Z,DLH790,"48.362236,11.767586",0,8,39
1694033636,2023-09-06T20:53:56Z,DLH790,"48.362434,11.767854",0,9,39
1694033642,2023-09-06T20:54:02Z,DLH790,"48.362629,11.768101",0,8,39
1694033650,2023-09-06T20:54:10Z,DLH790,"48.362835,11.768382",0,8,42
1694033655,2023-09-06T20:54:15Z,DLH790,"48.362915,11.768611",0,7,53
1694033660,2023-09-06T20:54:20Z,DLH790,"48.3629,11.768815",0,4,70
1694033681,2023-09-06T20:54:41Z,DLH790,"48.362892,11.769052",0,9,78
1694033687,2023-09-06T20:54:47Z,DLH790,"48.362949,11.769755",0,31,81
1694033688,2023-09-06T20:54:48Z,DLH790,"48.36298,11.770116",0,38,84
1694033689,2023-09-06T20:54:49Z,DLH790,"48.363007,11.770371",0,42,84
