Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1694120037,2023-09-07T20:53:57Z,DLH790,"48.35788,11.792485",0,2,264
1694120050,2023-09-07T20:54:10Z,DLH790,"48.357903,11.792696",0,3,264
1694120061,2023-09-07T20:54:21Z,DLH790,"48.357925,11.792908",0,3,267
1694120073,2023-09-07T20:54:33Z,DLH790,"48.357998,11.793137",0,3,284
1694120088,2023-09-07T20:54:48Z,DLH790,"48.358032,11.793389",0,3,306
1694120101,2023-09-07T20:55:01Z,DLH790,"48.357986,11.793625",0,3,326
1694120114,2023-09-07T20:55:14Z,DLH790,"48.357872,11.793859",0,0,340
1694120298,2023-09-07T20:58:18Z,DLH790,"48.358109,11.793946",0,7,354
1694120307,2023-09-07T20:58:27Z,DLH790,"48.358429,11.793878",0,8,354
1694120319,2023-09-07T20:58:39Z,DLH790,"48.358906,11.793787",0,9,351
1694120325,2023-09-07T20:58:45Z,DLH790,"48.359127,11.793682",0,9,345
1694120331,2023-09-07T20:58:51Z,DLH790,"48.359356,11.793542",0,9,340
1694120339,2023-09-07T20:58:59Z,DLH790,"48.359653,11.793418",0,9,343
1694120346,2023-09-07T20:59:06Z,DLH790,"48.35994,11.793365",0,9,348
1694120350,2023-09-07T20:59:10Z,DLH790,"48.360153,11.793317",0,10,351
1694120355,2023-09-07T20:59:15Z,DLH790,"48.360386,11.793278",0,11,351
1694120362,2023-09-07T20:59:22Z,DLH790,"48.360733,11.793227",0,13,354
1694120365,2023-09-07T20:59:25Z,DLH790,"48.360943,11.793191",0,13,354
1694120371,2023-09-07T20:59:31Z,DLH790,"48.361313,11.793119",0,12,354
1694120378,2023-09-07T20:59:38Z,DLH790,"48.361675,11.793064",0,10,354
1694120387,2023-09-07T20:59:47Z,DLH790,"48.361988,11.792591",0,12,312
1694120390,2023-09-07T20:59:50Z,DLH790,"48.362,11.792344",0,13,295
1694120395,2023-09-07T20:59:55Z,DLH790,"48.361958,11.791998",0,12,272
1694120403,2023-09-07T21:00:03Z,DLH790,"48.361874,11.791253",0,13,264
1694120408,2023-09-07T21:00:08Z,DLH790,"48.361839,11.790777",0,13,264
1694120412,2023-09-07T21:00:12Z,DLH790,"48.361816,11.790461",0,13,264
1694120416,2023-09-07T21:00:16Z,DLH790,"48.361794,11.790126",0,13,264
1694120420,2023-09-07T21:00:20Z,DLH790,"48.361759,11.789756",0,13,264
1694120424,2023-09-07T21:00:24Z,DLH790,"48.361736,11.78936",0,14,264
1694120433,2023-09-07T21:00:33Z,DLH790,"48.361668,11.788524",0,14,264
1694120446,2023-09-07T21:00:46Z,DLH790,"48.361572,11.787246",0,15,264
1694120453,2023-09-07T21:00:53Z,DLH790,"48.361504,11.786487",0,15,264
1694120463,2023-09-07T21:01:03Z,DLH790,"48.36142,11.785439",0,15,264
1694120472,2023-09-07T21:01:12Z,DLH790,"48.361362,11.784608",0,15,264
1694120478,2023-09-07T21:01:18Z,DLH790,"48.361313,11.783858",0,15,264
1694120488,2023-09-07T21:01:28Z,DLH790,"48.361221,11.782714",0,16,264
