Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1694463657,2023-09-11T20:20:57Z,DLH790,"48.353199,11.794369",0,3,315
1694463671,2023-09-11T20:21:11Z,DLH790,"48.353123,11.794655",0,3,340
1694463865,2023-09-11T20:24:25Z,DLH790,"48.353428,11.794739",0,9,354
1694463872,2023-09-11T20:24:32Z,DLH790,"48.353748,11.794668",0,10,354
1694463900,2023-09-11T20:25:00Z,DLH790,"48.355156,11.795548",0,0,26
1694463919,2023-09-11T20:25:19Z,DLH790,"48.356579,11.795558",0,0,354
1694463927,2023-09-11T20:25:27Z,DLH790,"48.357227,11.795443",0,17,354
1694463936,2023-09-11T20:25:36Z,DLH790,"48.357952,11.795323",0,17,354
1694463945,2023-09-11T20:25:45Z,DLH790,"48.35865,11.795197",0,18,354
1694463951,2023-09-11T20:25:51Z,DLH790,"48.359222,11.795088",0,18,354
1694463958,2023-09-11T20:25:58Z,DLH790,"48.359825,11.794998",0,18,354
1694463969,2023-09-11T20:26:09Z,DLH790,"48.360584,11.794871",0,13,354
1694463976,2023-09-11T20:26:16Z,DLH790,"48.360924,11.794845",0,9,357
1694463981,2023-09-11T20:26:21Z,DLH790,"48.361107,11.795106",0,10,28
1694463986,2023-09-11T20:26:26Z,DLH790,"48.361164,11.795377",0,11,53
1694463990,2023-09-11T20:26:30Z,DLH790,"48.361164,11.795667",0,11,73
1694463994,2023-09-11T20:26:34Z,DLH790,"48.361164,11.796041",0,12,84
1694463997,2023-09-11T20:26:37Z,DLH790,"48.361176,11.796299",0,14,84
1694464000,2023-09-11T20:26:40Z,DLH790,"48.361187,11.79657",0,15,84
1694464003,2023-09-11T20:26:43Z,DLH790,"48.361221,11.796905",0,16,84
1694464006,2023-09-11T20:26:46Z,DLH790,"48.361256,11.797327",0,18,84
1694464008,2023-09-11T20:26:48Z,DLH790,"48.361282,11.797654",0,19,84
1694464010,2023-09-11T20:26:50Z,DLH790,"48.361294,11.797871",0,20,84
1694464017,2023-09-11T20:26:57Z,DLH790,"48.36137,11.798929",0,22,84
1694464025,2023-09-11T20:27:05Z,DLH790,"48.361462,11.800091",0,23,84
1694464035,2023-09-11T20:27:15Z,DLH790,"48.361584,11.801774",0,24,84
1694464046,2023-09-11T20:27:26Z,DLH790,"48.361736,11.803653",0,25,84
1694464054,2023-09-11T20:27:34Z,DLH790,"48.361851,11.805126",0,25,84
