Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1694637104,2023-09-13T20:31:44Z,DLH790,"48.357895,11.792848",0,9,250
1694637118,2023-09-13T20:31:58Z,DLH790,"48.357891,11.793066",0,2,239
1694637132,2023-09-13T20:32:12Z,DLH790,"48.357903,11.793278",0,2,225
1694637164,2023-09-13T20:32:44Z,DLH790,"48.358093,11.793678",0,0,191
1694637197,2023-09-13T20:33:17Z,DLH790,"48.358406,11.793859",0,0,174
1694637390,2023-09-13T20:36:30Z,DLH790,"48.358143,11.793911",0,5,171
1694637408,2023-09-13T20:36:48Z,DLH790,"48.357578,11.794058",0,0,168
1694637417,2023-09-13T20:36:57Z,DLH790,"48.357296,11.794298",0,8,154
1694637424,2023-09-13T20:37:04Z,DLH790,"48.357079,11.794616",0,9,140
1694637669,2023-09-13T20:41:09Z,DLH790,"48.34845,11.802468",0,0,84
1694637690,2023-09-13T20:41:30Z,DLH790,"48.348576,11.804123",0,11,84
1694637725,2023-09-13T20:42:05Z,DLH790,"48.347649,11.805567",0,0,163
1694637733,2023-09-13T20:42:13Z,DLH790,"48.347282,11.805602",0,10,171
1694637771,2023-09-13T20:42:51Z,DLH790,"48.346199,11.805623",0,6,188
1694638006,2023-09-13T20:46:46Z,DLH790,"48.342636,11.776404",1250,145,263
1694638017,2023-09-13T20:46:57Z,DLH790,"48.341629,11.763259",1525,176,263
1694638024,2023-09-13T20:47:04Z,DLH790,"48.340988,11.754314",1900,170,264
1694638033,2023-09-13T20:47:13Z,DLH790,"48.340218,11.743445",2350,167,263
1694638039,2023-09-13T20:47:19Z,DLH790,"48.339706,11.736426",2600,169,263
1694638049,2023-09-13T20:47:29Z,DLH790,"48.33902,11.725581",2775,175,265
1694638058,2023-09-13T20:47:38Z,DLH790,"48.338425,11.714665",2900,185,265
1694638067,2023-09-13T20:47:47Z,DLH790,"48.337692,11.702693",2975,198,264
1694638075,2023-09-13T20:47:55Z,DLH790,"48.336819,11.68996",3075,210,263
1694638085,2023-09-13T20:48:05Z,DLH790,"48.335724,11.676072",3200,222,262
1694638094,2023-09-13T20:48:14Z,DLH790,"48.334625,11.662199",3325,230,263
1694638103,2023-09-13T20:48:23Z,DLH790,"48.333374,11.647243",3550,236,262
1694638112,2023-09-13T20:48:32Z,DLH790,"48.332211,11.63257",3800,243,263
1694638121,2023-09-13T20:48:41Z,DLH790,"48.330952,11.616958",3925,253,263
1694638130,2023-09-13T20:48:50Z,DLH790,"48.329742,11.600985",4150,261,263
1694638139,2023-09-13T20:48:59Z,DLH790,"48.328533,11.585011",4450,264,263
1694638148,2023-09-13T20:49:08Z,DLH790,"48.32732,11.56882",4800,264,263
1694638157,2023-09-13T20:49:17Z,DLH790,"48.326065,11.551618",5300,259,263
1694638172,2023-09-13T20:49:32Z,DLH790,"48.323223,11.525165",5925,262,252
1694638175,2023-09-13T20:49:35Z,DLH790,"48.321945,11.519799",6025,264,247
1694638178,2023-09-13T20:49:38Z,DLH790,"48.320389,11.51501",6125,265,241
1694638181,2023-09-13T20:49:41Z,DLH790,"48.31842,11.51008",6250,266,236
1694638184,2023-09-13T20:49:44Z,DLH790,"48.316521,11.506299",6375,266,230
1694638187,2023-09-13T20:49:47Z,DLH790,"48.313568,11.501489",6500,268,225
1694638190,2023-09-13T20:49:50Z,DLH790,"48.311169,11.498132",6600,269,220
1694638193,2023-09-13T20:49:53Z,DLH790,"48.308212,11.494587",6700,270,216
1694638196,2023-09-13T20:49:56Z,DLH790,"48.305023,11.49141",6800,271,212
1694638199,2023-09-13T20:49:59Z,DLH790,"48.301895,11.488741",6925,272,207
1694638202,2023-09-13T20:50:02Z,DLH790,"48.298508,11.486347",7050,272,203
1694638205,2023-09-13T20:50:05Z,DLH790,"48.294434,11.484094",7150,274,197
1694638208,2023-09-13T20:50:08Z,DLH790,"48.291103,11.482664",7275,274,193
1694638211,2023-09-13T20:50:11Z,DLH790,"48.287018,11.481487",7375,276,188
1694638214,2023-09-13T20:50:14Z,DLH790,"48.283264,11.480925",7450,277,184
1694638217,2023-09-13T20:50:17Z,DLH790,"48.279236,11.480854",7525,281,178
1694638220,2023-09-13T20:50:20Z,DLH790,"48.275803,11.481277",7575,283,173
1694638223,2023-09-13T20:50:23Z,DLH790,"48.272461,11.482051",7625,288,167
