Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1694982029,2023-09-17T20:20:29Z,DLH790,"48.357891,11.793401",0,3,241
1694982052,2023-09-17T20:20:52Z,DLH790,"48.357971,11.793946",0,0,177
1694982066,2023-09-17T20:21:06Z,DLH790,"48.357883,11.793462",0,3,168
1694982483,2023-09-17T20:28:03Z,DLH790,"48.358109,11.793929",0,3,174
1694982572,2023-09-17T20:29:32Z,DLH790,"48.353611,11.794708",0,0,174
1694982584,2023-09-17T20:29:44Z,DLH790,"48.352581,11.794897",0,17,174
1694982613,2023-09-17T20:30:13Z,DLH790,"48.350189,11.795302",0,19,174
1694982744,2023-09-17T20:32:24Z,DLH790,"48.34721,11.786415",0,17,264
1694982751,2023-09-17T20:32:31Z,DLH790,"48.347145,11.785566",0,17,264
1694982759,2023-09-17T20:32:39Z,DLH790,"48.347061,11.78459",0,18,264
1694982767,2023-09-17T20:32:47Z,DLH790,"48.346985,11.783559",0,18,264
1694982778,2023-09-17T20:32:58Z,DLH790,"48.346874,11.782132",0,18,264
1694982785,2023-09-17T20:33:05Z,DLH790,"48.34679,11.781138",0,18,264
1694982800,2023-09-17T20:33:20Z,DLH790,"48.346653,11.779295",0,17,264
1694982811,2023-09-17T20:33:31Z,DLH790,"48.346546,11.77785",0,0,264
1694982820,2023-09-17T20:33:40Z,DLH790,"48.346455,11.776675",0,0,264
1694982847,2023-09-17T20:34:07Z,DLH790,"48.346149,11.77266",0,0,264
1694982864,2023-09-17T20:34:24Z,DLH790,"48.345943,11.770007",0,0,264
1694982871,2023-09-17T20:34:31Z,DLH790,"48.345852,11.76884",0,0,264
1694982884,2023-09-17T20:34:44Z,DLH790,"48.345692,11.766692",0,0,264
1694982892,2023-09-17T20:34:52Z,DLH790,"48.345589,11.765442",0,24,264
1694982899,2023-09-17T20:34:59Z,DLH790,"48.345501,11.764261",0,24,264
1694982915,2023-09-17T20:35:15Z,DLH790,"48.34528,11.761445",0,25,264
1694982932,2023-09-17T20:35:32Z,DLH790,"48.345062,11.758646",0,0,264
1694982940,2023-09-17T20:35:40Z,DLH790,"48.344971,11.757379",0,21,264
1694982949,2023-09-17T20:35:49Z,DLH790,"48.344872,11.756094",0,18,264
1694982957,2023-09-17T20:35:57Z,DLH790,"48.344788,11.755054",0,19,264
1694982967,2023-09-17T20:36:07Z,DLH790,"48.344696,11.753786",0,19,264
1694982977,2023-09-17T20:36:17Z,DLH790,"48.344582,11.752325",0,18,264
1694982996,2023-09-17T20:36:36Z,DLH790,"48.344296,11.750706",0,0,236
1694983004,2023-09-17T20:36:44Z,DLH790,"48.343918,11.750652",0,10,194
1694983009,2023-09-17T20:36:49Z,DLH790,"48.343685,11.750691",0,9,180
1694983014,2023-09-17T20:36:54Z,DLH790,"48.343449,11.750741",0,10,174
1694983019,2023-09-17T20:36:59Z,DLH790,"48.343243,11.750776",0,11,174
1694983024,2023-09-17T20:37:04Z,DLH790,"48.342953,11.750835",0,13,174
1694983038,2023-09-17T20:37:18Z,DLH790,"48.342289,11.750944",0,4,174
1694983148,2023-09-17T20:39:08Z,DLH790,"48.341892,11.751022",0,0,174
1694983174,2023-09-17T20:39:34Z,DLH790,"48.340736,11.751374",0,8,157
1694983191,2023-09-17T20:39:51Z,DLH790,"48.340729,11.752101",0,6,90
1694983199,2023-09-17T20:39:59Z,DLH790,"48.340786,11.75248",0,0,81
1694983213,2023-09-17T20:40:13Z,DLH790,"48.340977,11.754826",0,0,84
1694983219,2023-09-17T20:40:19Z,DLH790,"48.341183,11.757519",0,76,84
1694983230,2023-09-17T20:40:30Z,DLH790,"48.341705,11.764406",1450,116,83
1694983242,2023-09-17T20:40:42Z,DLH790,"48.34259,11.775681",1400,152,83
1694983251,2023-09-17T20:40:51Z,DLH790,"48.34343,11.785872",1525,177,82
1694983259,2023-09-17T20:40:59Z,DLH790,"48.344467,11.797697",1850,175,81
1694983269,2023-09-17T20:41:09Z,DLH790,"48.34557,11.808423",2325,171,80
1694983278,2023-09-17T20:41:18Z,DLH790,"48.346687,11.818904",2750,169,81
1694983287,2023-09-17T20:41:27Z,DLH790,"48.34771,11.829745",2950,175,82
1694983296,2023-09-17T20:41:36Z,DLH790,"48.34864,11.841238",3075,184,83
1694983304,2023-09-17T20:41:44Z,DLH790,"48.349365,11.852276",3175,191,84
1694983314,2023-09-17T20:41:54Z,DLH790,"48.350086,11.865234",3325,200,85
1694983323,2023-09-17T20:42:03Z,DLH790,"48.350784,11.878193",3500,208,85
1694983332,2023-09-17T20:42:12Z,DLH790,"48.351387,11.89111",3675,214,85
1694983341,2023-09-17T20:42:21Z,DLH790,"48.352039,11.90506",3825,222,86
1694983350,2023-09-17T20:42:30Z,DLH790,"48.352615,11.917771",3925,232,86
1694983356,2023-09-17T20:42:36Z,DLH790,"48.352646,11.928406",4000,240,92
1694983359,2023-09-17T20:42:39Z,DLH790,"48.352367,11.933754",4025,242,95
1694983362,2023-09-17T20:42:42Z,DLH790,"48.351761,11.939247",4075,244,100
1694983365,2023-09-17T20:42:45Z,DLH790,"48.351059,11.94404",4100,248,103
