Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1695327916,2023-09-21T20:25:16Z,DLH790,"48.356884,11.79414",0,7,174
1695327925,2023-09-21T20:25:25Z,DLH790,"48.356579,11.794185",0,9,174
1695327931,2023-09-21T20:25:31Z,DLH790,"48.3563,11.794246",0,11,174
1695327968,2023-09-21T20:26:08Z,DLH790,"48.353863,11.794686",0,15,174
1695327981,2023-09-21T20:26:21Z,DLH790,"48.352936,11.794853",0,16,174
1695327995,2023-09-21T20:26:35Z,DLH790,"48.351814,11.795038",0,17,174
1695328009,2023-09-21T20:26:49Z,DLH790,"48.350677,11.795233",0,17,174
1695328020,2023-09-21T20:27:00Z,DLH790,"48.349831,11.795377",0,18,174
1695328032,2023-09-21T20:27:12Z,DLH790,"48.348816,11.795548",0,0,174
1695328060,2023-09-21T20:27:40Z,DLH790,"48.347805,11.794456",0,0,258
1695328072,2023-09-21T20:27:52Z,DLH790,"48.347717,11.793401",0,0,261
1695328093,2023-09-21T20:28:13Z,DLH790,"48.347549,11.791022",0,0,264
1695328132,2023-09-21T20:28:52Z,DLH790,"48.347191,11.786464",0,17,264
1695328140,2023-09-21T20:29:00Z,DLH790,"48.347111,11.785425",0,18,264
1695328147,2023-09-21T20:29:07Z,DLH790,"48.347042,11.784545",0,18,264
1695328154,2023-09-21T20:29:14Z,DLH790,"48.346973,11.783541",0,18,264
1695328167,2023-09-21T20:29:27Z,DLH790,"48.346851,11.781952",0,19,264
1695328173,2023-09-21T20:29:33Z,DLH790,"48.346779,11.781048",0,19,264
1695328187,2023-09-21T20:29:47Z,DLH790,"48.346653,11.779331",0,17,264
1695328198,2023-09-21T20:29:58Z,DLH790,"48.346535,11.777885",0,19,264
1695328207,2023-09-21T20:30:07Z,DLH790,"48.346455,11.776748",0,20,264
1695328227,2023-09-21T20:30:27Z,DLH790,"48.346218,11.773787",0,0,264
1695328233,2023-09-21T20:30:33Z,DLH790,"48.346153,11.772826",0,0,264
1695328269,2023-09-21T20:31:09Z,DLH790,"48.345711,11.767189",0,23,264
1695328277,2023-09-21T20:31:17Z,DLH790,"48.345615,11.765942",0,23,264
1695328284,2023-09-21T20:31:24Z,DLH790,"48.345531,11.764826",0,23,264
1695328291,2023-09-21T20:31:31Z,DLH790,"48.34544,11.763665",0,24,264
1695328304,2023-09-21T20:31:44Z,DLH790,"48.345257,11.761374",0,24,264
1695328321,2023-09-21T20:32:01Z,DLH790,"48.345047,11.758479",0,0,264
1695328329,2023-09-21T20:32:09Z,DLH790,"48.34494,11.757215",0,25,261
1695328340,2023-09-21T20:32:20Z,DLH790,"48.344799,11.755354",0,25,264
1695328346,2023-09-21T20:32:26Z,DLH790,"48.344719,11.754244",0,21,264
1695328355,2023-09-21T20:32:35Z,DLH790,"48.344627,11.75304",0,19,264
1695328362,2023-09-21T20:32:42Z,DLH790,"48.344547,11.752026",0,17,264
1695328369,2023-09-21T20:32:49Z,DLH790,"48.34449,11.751251",0,15,264
1695328376,2023-09-21T20:32:56Z,DLH790,"48.344444,11.750565",0,14,264
1695328390,2023-09-21T20:33:10Z,DLH790,"48.344128,11.74939",0,12,239
1695328398,2023-09-21T20:33:18Z,DLH790,"48.343811,11.749119",0,8,213
1695328405,2023-09-21T20:33:25Z,DLH790,"48.343597,11.749085",0,7,199
1695328414,2023-09-21T20:33:34Z,DLH790,"48.343277,11.749119",0,8,180
1695328421,2023-09-21T20:33:41Z,DLH790,"48.343021,11.749191",0,6,174
1695328554,2023-09-21T20:35:54Z,DLH790,"48.342808,11.749227",0,0,174
1695328567,2023-09-21T20:36:07Z,DLH790,"48.342567,11.749264",0,5,174
1695328575,2023-09-21T20:36:15Z,DLH790,"48.342358,11.7493",0,6,174
1695328585,2023-09-21T20:36:25Z,DLH790,"48.342052,11.749385",0,0,168
1695328595,2023-09-21T20:36:35Z,DLH790,"48.341801,11.749661",0,6,151
1695328609,2023-09-21T20:36:49Z,DLH790,"48.341648,11.750005",0,4,132
1695328622,2023-09-21T20:37:02Z,DLH790,"48.34153,11.750221",0,4,129
1695328632,2023-09-21T20:37:12Z,DLH790,"48.341415,11.750474",0,5,129
1695328640,2023-09-21T20:37:20Z,DLH790,"48.341309,11.750691",0,6,126
1695328647,2023-09-21T20:37:27Z,DLH790,"48.341171,11.750998",0,8,126
1695328669,2023-09-21T20:37:49Z,DLH790,"48.340694,11.752047",0,0,118
1695328680,2023-09-21T20:38:00Z,DLH790,"48.340797,11.75248",0,3,84
1695328757,2023-09-21T20:39:17Z,DLH790,"48.341137,11.756853",0,0,84
1695328776,2023-09-21T20:39:36Z,DLH790,"48.342316,11.771851",1825,140,83
1695328786,2023-09-21T20:39:46Z,DLH790,"48.343102,11.782548",1775,140,83
1695328795,2023-09-21T20:39:55Z,DLH790,"48.344009,11.793894",2025,183,82
1695328804,2023-09-21T20:40:04Z,DLH790,"48.344925,11.803823",2375,180,82
1695328813,2023-09-21T20:40:13Z,DLH790,"48.346081,11.816808",2675,186,82
1695328822,2023-09-21T20:40:22Z,DLH790,"48.347107,11.828444",2900,194,83
1695328831,2023-09-21T20:40:31Z,DLH790,"48.348083,11.841382",3050,202,84
1695328837,2023-09-21T20:40:37Z,DLH790,"48.348595,11.8489",3150,208,84
1695328846,2023-09-21T20:40:46Z,DLH790,"48.349434,11.863066",3250,218,84
1695328855,2023-09-21T20:40:55Z,DLH790,"48.350235,11.876643",3400,226,85
1695328864,2023-09-21T20:41:04Z,DLH790,"48.351063,11.891038",3575,234,85
1695328874,2023-09-21T20:41:14Z,DLH790,"48.351929,11.906574",3675,246,85
1695328882,2023-09-21T20:41:22Z,DLH790,"48.352554,11.91995",3825,252,88
1695328886,2023-09-21T20:41:26Z,DLH790,"48.352478,11.926786",3925,251,94
1695328889,2023-09-21T20:41:29Z,DLH790,"48.352203,11.931293",4000,252,98
1695328892,2023-09-21T20:41:32Z,DLH790,"48.351517,11.936575",4075,251,104
1695328895,2023-09-21T20:41:35Z,DLH790,"48.350555,11.941575",4150,252,107
1695328897,2023-09-21T20:41:37Z,DLH790,"48.349182,11.94742",4225,254,110
1695328901,2023-09-21T20:41:41Z,DLH790,"48.348969,11.948355",4300,255,111
1695328904,2023-09-21T20:41:44Z,DLH790,"48.346527,11.957703",4375,257,112
1695328906,2023-09-21T20:41:46Z,DLH790,"48.345615,11.961076",4425,259,112
1695328910,2023-09-21T20:41:50Z,DLH790,"48.343754,11.967725",4500,263,112
1695328913,2023-09-21T20:41:53Z,DLH790,"48.342358,11.972785",4550,265,112
1695328916,2023-09-21T20:41:56Z,DLH790,"48.340916,11.977844",4625,268,113
1695328919,2023-09-21T20:41:59Z,DLH790,"48.339478,11.983056",4675,270,113
1695328922,2023-09-21T20:42:02Z,DLH790,"48.338215,11.987312",4750,274,113
1695328924,2023-09-21T20:42:04Z,DLH790,"48.336502,11.993338",4800,275,113
1695328934,2023-09-21T20:42:14Z,DLH790,"48.331978,12.00878",5050,279,113
1695328949,2023-09-21T20:42:29Z,DLH790,"48.324017,12.035667",5575,283,114
1695328964,2023-09-21T20:42:44Z,DLH790,"48.315674,12.06334",6125,286,114
1695328979,2023-09-21T20:42:59Z,DLH790,"48.307526,12.090877",6675,290,114
1695328994,2023-09-21T20:43:14Z,DLH790,"48.299469,12.11799",7175,292,114
1695329009,2023-09-21T20:43:29Z,DLH790,"48.291,12.146372",7850,290,114
1695329024,2023-09-21T20:43:44Z,DLH790,"48.282852,12.173979",8350,295,113
1695329039,2023-09-21T20:43:59Z,DLH790,"48.27467,12.20357",8675,307,108
1695329045,2023-09-21T20:44:05Z,DLH790,"48.272324,12.215952",8850,310,104
1695329048,2023-09-21T20:44:08Z,DLH790,"48.27132,12.222507",8925,311,102
1695329051,2023-09-21T20:44:11Z,DLH790,"48.270481,12.22865",9025,312,100
