Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1695674325,2023-09-25T20:38:45Z,DLH790,"48.353142,11.793929",0,2,292
1695674336,2023-09-25T20:38:56Z,DLH790,"48.353146,11.79413",0,2,309
1695674351,2023-09-25T20:39:11Z,DLH790,"48.353096,11.794333",0,2,329
1695674375,2023-09-25T20:39:35Z,DLH790,"48.352867,11.794562",0,0,329
1695674398,2023-09-25T20:39:58Z,DLH790,"48.352684,11.794774",0,2,343
1695674431,2023-09-25T20:40:31Z,DLH790,"48.352467,11.794915",0,1,354
1695674645,2023-09-25T20:44:05Z,DLH790,"48.352669,11.794871",0,2,354
1695674661,2023-09-25T20:44:21Z,DLH790,"48.35289,11.794845",0,4,354
1695674671,2023-09-25T20:44:31Z,DLH790,"48.353153,11.794791",0,7,354
1695674680,2023-09-25T20:44:40Z,DLH790,"48.353428,11.794739",0,0,354
1695674686,2023-09-25T20:44:46Z,DLH790,"48.353695,11.794708",0,8,354
1695674693,2023-09-25T20:44:53Z,DLH790,"48.353951,11.794655",0,9,354
1695674764,2023-09-25T20:46:04Z,DLH790,"48.357605,11.794017",0,14,354
1695674775,2023-09-25T20:46:15Z,DLH790,"48.358337,11.793896",0,14,354
1695674783,2023-09-25T20:46:23Z,DLH790,"48.35886,11.793805",0,12,354
1695674788,2023-09-25T20:46:28Z,DLH790,"48.359093,11.7937",0,12,345
1695674793,2023-09-25T20:46:33Z,DLH790,"48.359337,11.793516",0,11,337
1695674798,2023-09-25T20:46:38Z,DLH790,"48.359604,11.793389",0,11,343
1695674805,2023-09-25T20:46:45Z,DLH790,"48.359905,11.793348",0,11,351
1695674812,2023-09-25T20:46:52Z,DLH790,"48.360291,11.793282",0,12,354
1695674816,2023-09-25T20:46:56Z,DLH790,"48.360535,11.793242",0,12,354
1695674821,2023-09-25T20:47:01Z,DLH790,"48.360786,11.793154",0,10,345
1695674826,2023-09-25T20:47:06Z,DLH790,"48.360935,11.792837",0,11,315
1695674830,2023-09-25T20:47:10Z,DLH790,"48.360931,11.792522",0,11,289
1695674833,2023-09-25T20:47:13Z,DLH790,"48.360897,11.79227",0,12,272
1695674837,2023-09-25T20:47:17Z,DLH790,"48.360855,11.79194",0,12,264
1695674844,2023-09-25T20:47:24Z,DLH790,"48.360806,11.791329",0,14,261
1695674848,2023-09-25T20:47:28Z,DLH790,"48.360775,11.790936",0,14,264
1695674851,2023-09-25T20:47:31Z,DLH790,"48.360756,11.790697",0,14,264
1695674856,2023-09-25T20:47:36Z,DLH790,"48.360706,11.790109",0,15,264
1695674860,2023-09-25T20:47:40Z,DLH790,"48.360676,11.789721",0,15,264
1695674867,2023-09-25T20:47:47Z,DLH790,"48.360626,11.789034",0,15,264
1695674875,2023-09-25T20:47:55Z,DLH790,"48.360569,11.788242",0,15,264
1695674889,2023-09-25T20:48:09Z,DLH790,"48.360455,11.786728",0,15,264
1695674898,2023-09-25T20:48:18Z,DLH790,"48.360363,11.78562",0,16,264
1695674905,2023-09-25T20:48:25Z,DLH790,"48.360302,11.784824",0,16,264
1695674913,2023-09-25T20:48:33Z,DLH790,"48.360245,11.784083",0,16,261
1695674920,2023-09-25T20:48:40Z,DLH790,"48.360176,11.783126",0,17,264
1695674927,2023-09-25T20:48:47Z,DLH790,"48.3601,11.782273",0,17,264
1695674935,2023-09-25T20:48:55Z,DLH790,"48.360035,11.781427",0,17,264
1695674942,2023-09-25T20:49:02Z,DLH790,"48.359974,11.780548",0,17,264
1695674953,2023-09-25T20:49:13Z,DLH790,"48.359859,11.779151",0,17,264
1695674960,2023-09-25T20:49:20Z,DLH790,"48.359802,11.778312",0,15,264
1695674967,2023-09-25T20:49:27Z,DLH790,"48.359756,11.777643",0,13,264
1695674974,2023-09-25T20:49:34Z,DLH790,"48.359699,11.776982",0,13,261
1695674984,2023-09-25T20:49:44Z,DLH790,"48.359631,11.776041",0,15,264
1695674991,2023-09-25T20:49:51Z,DLH790,"48.359558,11.775175",0,0,264
1695674999,2023-09-25T20:49:59Z,DLH790,"48.359482,11.77421",0,18,264
1695675007,2023-09-25T20:50:07Z,DLH790,"48.359402,11.773171",0,19,264
1695675014,2023-09-25T20:50:14Z,DLH790,"48.359333,11.772221",0,19,264
1695675022,2023-09-25T20:50:22Z,DLH790,"48.359257,11.771273",0,13,264
1695675029,2023-09-25T20:50:29Z,DLH790,"48.359219,11.770689",0,12,264
1695675037,2023-09-25T20:50:37Z,DLH790,"48.359161,11.769971",0,13,264
1695675045,2023-09-25T20:50:45Z,DLH790,"48.359116,11.769339",0,11,264
1695675059,2023-09-25T20:50:59Z,DLH790,"48.359035,11.768399",0,10,264
1695675066,2023-09-25T20:51:06Z,DLH790,"48.359001,11.767947",0,8,264
1695675072,2023-09-25T20:51:12Z,DLH790,"48.359013,11.76764",0,7,270
1695675080,2023-09-25T20:51:20Z,DLH790,"48.359127,11.767242",0,8,289
1695675086,2023-09-25T20:51:26Z,DLH790,"48.359257,11.76699",0,8,300
1695675093,2023-09-25T20:51:33Z,DLH790,"48.359447,11.766763",0,7,315
1695675101,2023-09-25T20:51:41Z,DLH790,"48.359676,11.766639",0,7,331
1695675107,2023-09-25T20:51:47Z,DLH790,"48.359894,11.766639",0,8,348
1695675116,2023-09-25T20:51:56Z,DLH790,"48.3601,11.766603",0,3,351
1695675272,2023-09-25T20:54:32Z,DLH790,"48.360317,11.766551",0,5,351
1695675280,2023-09-25T20:54:40Z,DLH790,"48.360546,11.766516",0,7,354
1695675287,2023-09-25T20:54:47Z,DLH790,"48.360756,11.766484",0,5,354
1695675296,2023-09-25T20:54:56Z,DLH790,"48.360966,11.766448",0,5,354
1695675307,2023-09-25T20:55:07Z,DLH790,"48.361267,11.766445",0,6,5
1695675508,2023-09-25T20:58:28Z,DLH790,"48.36142,11.766646",0,0,22
1695675527,2023-09-25T20:58:47Z,DLH790,"48.361668,11.766903",0,5,33
1695675535,2023-09-25T20:58:55Z,DLH790,"48.361851,11.767117",0,7,36
1695675543,2023-09-25T20:59:03Z,DLH790,"48.362072,11.767369",0,8,36
1695675548,2023-09-25T20:59:08Z,DLH790,"48.362228,11.767572",0,8,39
1695675555,2023-09-25T20:59:15Z,DLH790,"48.362385,11.767803",0,8,42
1695675562,2023-09-25T20:59:22Z,DLH790,"48.362595,11.76802",0,8,36
1695675569,2023-09-25T20:59:29Z,DLH790,"48.362804,11.768219",0,7,33
1695675577,2023-09-25T20:59:37Z,DLH790,"48.362888,11.76858",0,7,61
1695675585,2023-09-25T20:59:45Z,DLH790,"48.362865,11.768815",0,2,78
1695675596,2023-09-25T20:59:56Z,DLH790,"48.362881,11.769016",0,4,78
1695675602,2023-09-25T21:00:02Z,DLH790,"48.362904,11.769316",0,11,81
1695675605,2023-09-25T21:00:05Z,DLH790,"48.362949,11.769808",0,25,81
1695675606,2023-09-25T21:00:06Z,DLH790,"48.362968,11.770025",0,30,84
1695675609,2023-09-25T21:00:09Z,DLH790,"48.363029,11.7709",0,45,84
1695675612,2023-09-25T21:00:12Z,DLH790,"48.36311,11.771996",0,58,84
1695675614,2023-09-25T21:00:14Z,DLH790,"48.363167,11.772754",0,66,84
1695675616,2023-09-25T21:00:16Z,DLH790,"48.363247,11.773787",0,74,84
1695675617,2023-09-25T21:00:17Z,DLH790,"48.363293,11.774281",0,78,84
1695675618,2023-09-25T21:00:18Z,DLH790,"48.363327,11.774791",0,82,84
1695675619,2023-09-25T21:00:19Z,DLH790,"48.363373,11.77539",0,86,84
1695675620,2023-09-25T21:00:20Z,DLH790,"48.363422,11.776061",0,90,84
1695675625,2023-09-25T21:00:25Z,DLH790,"48.363647,11.779245",1175,109,83
1695675632,2023-09-25T21:00:32Z,DLH790,"48.364006,11.783704",1150,127,83
1695675640,2023-09-25T21:00:40Z,DLH790,"48.364841,11.79469",1150,181,83
1695675649,2023-09-25T21:00:49Z,DLH790,"48.365635,11.805099",1275,179,83
1695675658,2023-09-25T21:00:58Z,DLH790,"48.366577,11.816008",1650,174,82
1695675667,2023-09-25T21:01:07Z,DLH790,"48.367588,11.826927",2075,170,81
1695675676,2023-09-25T21:01:16Z,DLH790,"48.368591,11.83798",2425,172,82
1695675682,2023-09-25T21:01:22Z,DLH790,"48.369141,11.844389",2500,179,82
1695675692,2023-09-25T21:01:32Z,DLH790,"48.370197,11.856995",2600,192,82
1695675700,2023-09-25T21:01:40Z,DLH790,"48.371265,11.869354",2700,204,82
1695675710,2023-09-25T21:01:50Z,DLH790,"48.372391,11.882488",2825,216,82
1695675718,2023-09-25T21:01:58Z,DLH790,"48.373535,11.89594",2950,226,82
1695675728,2023-09-25T21:02:08Z,DLH790,"48.37471,11.910842",3150,234,83
1695675737,2023-09-25T21:02:17Z,DLH790,"48.375824,11.925378",3475,238,83
1695675746,2023-09-25T21:02:26Z,DLH790,"48.376804,11.940476",3825,238,84
1695675755,2023-09-25T21:02:35Z,DLH790,"48.377609,11.954604",4275,234,85
1695675763,2023-09-25T21:02:43Z,DLH790,"48.378342,11.968809",4625,237,85
1695675773,2023-09-25T21:02:53Z,DLH790,"48.378754,11.985027",4900,242,90
1695675776,2023-09-25T21:02:56Z,DLH790,"48.378387,11.989394",5000,241,95
1695675779,2023-09-25T21:02:59Z,DLH790,"48.377739,11.994107",5100,240,102
1695675782,2023-09-25T21:03:02Z,DLH790,"48.376556,11.999676",5225,241,109
1695675785,2023-09-25T21:03:05Z,DLH790,"48.375275,12.004253",5300,243,114
