Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1695932399,2023-09-28T20:19:59Z,DLH790,"48.359287,11.793453",0,0,174
1695932624,2023-09-28T20:23:44Z,DLH790,"48.359081,11.793643",0,5,154
1695932633,2023-09-28T20:23:53Z,DLH790,"48.358978,11.794",0,8,129
1695932659,2023-09-28T20:24:19Z,DLH790,"48.358486,11.795287",0,0,151
1695932664,2023-09-28T20:24:24Z,DLH790,"48.35828,11.795305",0,10,165
1695932669,2023-09-28T20:24:29Z,DLH790,"48.35804,11.795302",0,10,174
1695932678,2023-09-28T20:24:38Z,DLH790,"48.357578,11.795377",0,11,174
1695932686,2023-09-28T20:24:46Z,DLH790,"48.357185,11.795449",0,11,174
1695932693,2023-09-28T20:24:53Z,DLH790,"48.356812,11.795504",0,12,174
1695932814,2023-09-28T20:26:54Z,DLH790,"48.349022,11.796851",0,0,174
1695932975,2023-09-28T20:29:35Z,DLH790,"48.34771,11.805551",0,8,165
1695932982,2023-09-28T20:29:42Z,DLH790,"48.347466,11.805584",0,8,171
1695932989,2023-09-28T20:29:49Z,DLH790,"48.347233,11.805623",0,6,174
1695933016,2023-09-28T20:30:16Z,DLH790,"48.346756,11.805695",0,0,174
1695933039,2023-09-28T20:30:39Z,DLH790,"48.346344,11.805637",0,0,185
1695933126,2023-09-28T20:32:06Z,DLH790,"48.343231,11.784456",1275,137,263
1695933138,2023-09-28T20:32:18Z,DLH790,"48.342216,11.7712",1275,177,263
1695933147,2023-09-28T20:32:27Z,DLH790,"48.341583,11.762273",1550,180,265
1695933154,2023-09-28T20:32:34Z,DLH790,"48.341053,11.751251",1775,188,266
1695933164,2023-09-28T20:32:44Z,DLH790,"48.340439,11.738328",2075,192,265
1695933172,2023-09-28T20:32:52Z,DLH790,"48.339798,11.727544",2425,189,264
1695933180,2023-09-28T20:33:00Z,DLH790,"48.339005,11.716124",2725,192,263
1695933189,2023-09-28T20:33:09Z,DLH790,"48.338013,11.70375",2900,198,262
1695933198,2023-09-28T20:33:18Z,DLH790,"48.336868,11.691143",3050,206,262
1695933208,2023-09-28T20:33:28Z,DLH790,"48.335678,11.677622",3225,214,262
1695933217,2023-09-28T20:33:37Z,DLH790,"48.334442,11.66396",3400,221,262
1695933226,2023-09-28T20:33:46Z,DLH790,"48.333279,11.650567",3600,226,262
1695933235,2023-09-28T20:33:55Z,DLH790,"48.33197,11.636141",3750,238,262
1695933244,2023-09-28T20:34:04Z,DLH790,"48.330688,11.620647",3875,247,262
1695933253,2023-09-28T20:34:13Z,DLH790,"48.32951,11.605176",4050,258,263
1695933262,2023-09-28T20:34:22Z,DLH790,"48.328346,11.588408",4225,265,264
1695933271,2023-09-28T20:34:31Z,DLH790,"48.327229,11.571423",4525,268,264
1695933280,2023-09-28T20:34:40Z,DLH790,"48.326111,11.554509",4850,270,264
1695933286,2023-09-28T20:34:46Z,DLH790,"48.325378,11.543673",5050,272,264
1695933301,2023-09-28T20:35:01Z,DLH790,"48.32341,11.51508",5600,275,263
1695933317,2023-09-28T20:35:17Z,DLH790,"48.321316,11.485556",6100,281,263
1695933332,2023-09-28T20:35:32Z,DLH790,"48.319153,11.456205",6675,282,263
1695933347,2023-09-28T20:35:47Z,DLH790,"48.31694,11.426577",7275,282,263
1695933362,2023-09-28T20:36:02Z,DLH790,"48.313934,11.397752",7875,282,254
1695933365,2023-09-28T20:36:05Z,DLH790,"48.312752,11.392316",8000,282,249
1695933368,2023-09-28T20:36:08Z,DLH790,"48.311142,11.386695",8100,282,244
1695933371,2023-09-28T20:36:11Z,DLH790,"48.310043,11.383596",8175,282,239
1695933374,2023-09-28T20:36:14Z,DLH790,"48.307163,11.376921",8325,284,234
1695933377,2023-09-28T20:36:17Z,DLH790,"48.304417,11.371789",8450,284,230
1695933380,2023-09-28T20:36:20Z,DLH790,"48.301533,11.36738",8550,284,223
1695933383,2023-09-28T20:36:23Z,DLH790,"48.298458,11.363549",8650,284,217
1695933386,2023-09-28T20:36:26Z,DLH790,"48.295258,11.360215",8750,286,212
1695933389,2023-09-28T20:36:29Z,DLH790,"48.291687,11.357187",8825,286,207
1695933392,2023-09-28T20:36:32Z,DLH790,"48.287891,11.354732",8925,287,201
1695933395,2023-09-28T20:36:35Z,DLH790,"48.284225,11.352962",9025,288,195
1695933398,2023-09-28T20:36:38Z,DLH790,"48.280472,11.351765",9100,289,189
1695933401,2023-09-28T20:36:41Z,DLH790,"48.277092,11.35119",9150,289,184
1695933404,2023-09-28T20:36:44Z,DLH790,"48.272003,11.351201",9250,291,176
1695933407,2023-09-28T20:36:47Z,DLH790,"48.26857,11.351835",9300,291,171
1695933410,2023-09-28T20:36:50Z,DLH790,"48.264359,11.353384",9400,292,163
1695933413,2023-09-28T20:36:53Z,DLH790,"48.260422,11.355497",9475,292,156
1695933417,2023-09-28T20:36:57Z,DLH790,"48.257217,11.357891",9550,293,150
1695933419,2023-09-28T20:36:59Z,DLH790,"48.253445,11.361526",9650,294,144
1695933422,2023-09-28T20:37:02Z,DLH790,"48.250183,11.365573",9750,292,137
1695933426,2023-09-28T20:37:06Z,DLH790,"48.247299,11.370127",9850,293,130
1695933428,2023-09-28T20:37:08Z,DLH790,"48.244858,11.374934",9950,293,124
1695933432,2023-09-28T20:37:12Z,DLH790,"48.243202,11.3788",10025,294,118
1695933435,2023-09-28T20:37:15Z,DLH790,"48.241386,11.384294",10100,295,112
1695933438,2023-09-28T20:37:18Z,DLH790,"48.239502,11.391977",10200,298,106
1695933441,2023-09-28T20:37:21Z,DLH790,"48.238594,11.397954",10250,298,101
1695933444,2023-09-28T20:37:24Z,DLH790,"48.238037,11.403879",10300,301,96
1695933446,2023-09-28T20:37:26Z,DLH790,"48.237846,11.407567",10325,304,92
1695933450,2023-09-28T20:37:30Z,DLH790,"48.237762,11.417048",10375,308,89
1695933453,2023-09-28T20:37:33Z,DLH790,"48.237988,11.423396",10400,310,87
1695933456,2023-09-28T20:37:36Z,DLH790,"48.238266,11.429725",10450,312,85
1695933459,2023-09-28T20:37:39Z,DLH790,"48.238632,11.436133",10475,316,85
1695933462,2023-09-28T20:37:42Z,DLH790,"48.23901,11.442622",10525,318,84
1695933465,2023-09-28T20:37:45Z,DLH790,"48.23941,11.449514",10550,321,85
1695933468,2023-09-28T20:37:48Z,DLH790,"48.239777,11.456135",10600,324,85
1695933471,2023-09-28T20:37:51Z,DLH790,"48.240082,11.462788",10625,326,85
1695933474,2023-09-28T20:37:54Z,DLH790,"48.240417,11.469656",10675,330,85
1695933486,2023-09-28T20:38:06Z,DLH790,"48.240417,11.497404",10825,340,95
1695933489,2023-09-28T20:38:09Z,DLH790,"48.239803,11.504493",10850,342,97
1695933492,2023-09-28T20:38:12Z,DLH790,"48.238964,11.511432",10900,344,101
1695933495,2023-09-28T20:38:15Z,DLH790,"48.237755,11.519454",10950,348,103
1695933498,2023-09-28T20:38:18Z,DLH790,"48.236591,11.526031",10975,350,105
1695933501,2023-09-28T20:38:21Z,DLH790,"48.235332,11.532537",11000,352,106
1695933504,2023-09-28T20:38:24Z,DLH790,"48.233643,11.540645",11050,355,108
1695933507,2023-09-28T20:38:27Z,DLH790,"48.232075,11.547715",11075,357,108
1695933510,2023-09-28T20:38:30Z,DLH790,"48.230576,11.554307",11100,359,109
1695933513,2023-09-28T20:38:33Z,DLH790,"48.22934,11.55966",11150,362,109
1695933516,2023-09-28T20:38:36Z,DLH790,"48.22728,11.568181",11200,364,109
1695933519,2023-09-28T20:38:39Z,DLH790,"48.225838,11.574313",11250,366,109
1695933534,2023-09-28T20:38:54Z,DLH790,"48.217037,11.612694",11675,371,108
1695933549,2023-09-28T20:39:09Z,DLH790,"48.209545,11.649411",12150,374,106
1695933582,2023-09-28T20:39:42Z,DLH790,"48.19455,11.733047",13100,380,104
1695933616,2023-09-28T20:40:16Z,DLH790,"48.181473,11.820061",14100,386,94
1695933619,2023-09-28T20:40:19Z,DLH790,"48.181194,11.828372",14200,386,91
1695933622,2023-09-28T20:40:22Z,DLH790,"48.181274,11.835796",14275,386,87
1695933625,2023-09-28T20:40:25Z,DLH790,"48.181686,11.844107",14350,386,84
1695933628,2023-09-28T20:40:28Z,DLH790,"48.182281,11.851995",14450,386,82
1695933631,2023-09-28T20:40:31Z,DLH790,"48.183056,11.860681",14525,387,82
1695933634,2023-09-28T20:40:34Z,DLH790,"48.183754,11.868342",14600,387,81
1695933637,2023-09-28T20:40:37Z,DLH790,"48.18457,11.876855",14700,388,81
1695933640,2023-09-28T20:40:40Z,DLH790,"48.185257,11.883826",14800,388,82
1695933671,2023-09-28T20:41:11Z,DLH790,"48.191574,11.965919",15675,392,84
1695933704,2023-09-28T20:41:44Z,DLH790,"48.197533,12.05735",16525,400,84
1695933734,2023-09-28T20:42:14Z,DLH790,"48.203247,12.140808",17300,405,84
1695933768,2023-09-28T20:42:48Z,DLH790,"48.209682,12.233854",18175,408,84
1695933800,2023-09-28T20:43:20Z,DLH790,"48.216015,12.326877",18875,416,84
1695933830,2023-09-28T20:43:50Z,DLH790,"48.221878,12.413776",19675,418,84
1695933863,2023-09-28T20:44:23Z,DLH790,"48.228104,12.507231",20300,426,84
1695933891,2023-09-28T20:44:51Z,DLH790,"48.230072,12.587727",20975,427,95
1695933894,2023-09-28T20:44:54Z,DLH790,"48.229191,12.599006",21100,426,97
1695933897,2023-09-28T20:44:57Z,DLH790,"48.228352,12.607607",21175,426,98
1695933900,2023-09-28T20:45:00Z,DLH790,"48.227325,12.616953",21250,426,99
1695933903,2023-09-28T20:45:03Z,DLH790,"48.226395,12.625098",21325,426,99
1695933906,2023-09-28T20:45:06Z,DLH790,"48.225449,12.633714",21425,426,99
1695933909,2023-09-28T20:45:09Z,DLH790,"48.224487,12.642305",21500,426,99
