Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1696019266,2023-09-29T20:27:46Z,DLH790,"48.357872,11.793282",0,0,233
1696019284,2023-09-29T20:28:04Z,DLH790,"48.358017,11.793771",0,4,188
1696019329,2023-09-29T20:28:49Z,DLH790,"48.357708,11.794003",0,6,171
1696019337,2023-09-29T20:28:57Z,DLH790,"48.357479,11.794035",0,6,174
1696019595,2023-09-29T20:33:15Z,DLH790,"48.354671,11.795865",0,0,174
1696019612,2023-09-29T20:33:32Z,DLH790,"48.353611,11.796041",0,0,171
1696019621,2023-09-29T20:33:41Z,DLH790,"48.352947,11.796172",0,0,171
1696019660,2023-09-29T20:34:20Z,DLH790,"48.350166,11.796658",0,0,171
1696019668,2023-09-29T20:34:28Z,DLH790,"48.34972,11.796728",0,13,174
1696019798,2023-09-29T20:36:38Z,DLH790,"48.348572,11.80396",0,9,84
1696019843,2023-09-29T20:37:23Z,DLH790,"48.34758,11.805567",0,9,165
1696019850,2023-09-29T20:37:30Z,DLH790,"48.347279,11.805623",0,9,171
1696019873,2023-09-29T20:37:53Z,DLH790,"48.346333,11.80569",1200,8,182
1696019880,2023-09-29T20:38:00Z,DLH790,"48.346092,11.805513",0,9,199
1696019887,2023-09-29T20:38:07Z,DLH790,"48.345871,11.805262",0,9,213
1696019895,2023-09-29T20:38:15Z,DLH790,"48.34565,11.804955",0,9,219
1696019903,2023-09-29T20:38:23Z,DLH790,"48.345371,11.804629",0,8,219
1696019911,2023-09-29T20:38:31Z,DLH790,"48.345142,11.804352",0,8,219
1696019918,2023-09-29T20:38:38Z,DLH790,"48.344925,11.80414",0,8,216
1696019924,2023-09-29T20:38:44Z,DLH790,"48.344753,11.803823",0,11,227
1696019926,2023-09-29T20:38:46Z,DLH790,"48.344707,11.803617",0,13,239
1696019930,2023-09-29T20:38:50Z,DLH790,"48.344685,11.803295",0,15,253
1696019932,2023-09-29T20:38:52Z,DLH790,"48.344673,11.803031",0,16,261
1696019935,2023-09-29T20:38:55Z,DLH790,"48.34465,11.802662",0,19,264
1696019938,2023-09-29T20:38:58Z,DLH790,"48.344616,11.802204",0,27,264
1696019940,2023-09-29T20:39:00Z,DLH790,"48.344593,11.801905",0,33,264
1696019942,2023-09-29T20:39:02Z,DLH790,"48.344559,11.801376",0,42,264
1696019943,2023-09-29T20:39:03Z,DLH790,"48.344536,11.80106",0,47,264
1696019944,2023-09-29T20:39:04Z,DLH790,"48.34449,11.800444",0,54,264
1696019946,2023-09-29T20:39:06Z,DLH790,"48.34444,11.799805",0,61,264
1696019947,2023-09-29T20:39:07Z,DLH790,"48.344429,11.799587",0,63,264
1696019948,2023-09-29T20:39:08Z,DLH790,"48.344395,11.79919",0,67,264
1696019955,2023-09-29T20:39:15Z,DLH790,"48.344101,11.795302",1225,95,263
1696019965,2023-09-29T20:39:25Z,DLH790,"48.343567,11.788258",1200,133,263
1696019975,2023-09-29T20:39:35Z,DLH790,"48.342636,11.776187",1175,154,263
1696019986,2023-09-29T20:39:46Z,DLH790,"48.34166,11.763756",1475,172,264
1696019994,2023-09-29T20:39:54Z,DLH790,"48.341099,11.755733",1875,167,264
1696020002,2023-09-29T20:40:02Z,DLH790,"48.340496,11.745252",2225,164,265
1696020010,2023-09-29T20:40:10Z,DLH790,"48.340168,11.737373",2525,163,266
1696020018,2023-09-29T20:40:18Z,DLH790,"48.339985,11.733687",2700,163,265
1696020026,2023-09-29T20:40:26Z,DLH790,"48.339111,11.7172",2825,178,265
1696020034,2023-09-29T20:40:34Z,DLH790,"48.33847,11.706214",2975,185,264
1696020044,2023-09-29T20:40:44Z,DLH790,"48.337749,11.693862",3200,190,264
1696020053,2023-09-29T20:40:53Z,DLH790,"48.337006,11.681706",3450,194,264
1696020062,2023-09-29T20:41:02Z,DLH790,"48.336136,11.669312",3625,204,263
1696020071,2023-09-29T20:41:11Z,DLH790,"48.33514,11.65606",3775,213,263
1696020080,2023-09-29T20:41:20Z,DLH790,"48.334118,11.642834",3875,226,262
1696020089,2023-09-29T20:41:29Z,DLH790,"48.332886,11.628676",4025,235,262
1696020098,2023-09-29T20:41:38Z,DLH790,"48.331604,11.613676",4350,235,262
1696020106,2023-09-29T20:41:46Z,DLH790,"48.330486,11.600044",4700,234,262
1696020116,2023-09-29T20:41:56Z,DLH790,"48.329178,11.584731",5175,230,262
1696020131,2023-09-29T20:42:11Z,DLH790,"48.327042,11.560798",5725,232,262
1696020146,2023-09-29T20:42:26Z,DLH790,"48.324993,11.536584",6350,229,262
1696020161,2023-09-29T20:42:41Z,DLH790,"48.322899,11.512299",6850,234,262
1696020176,2023-09-29T20:42:56Z,DLH790,"48.320938,11.489375",7375,234,263
1696020191,2023-09-29T20:43:11Z,DLH790,"48.31897,11.46374",7900,237,263
1696020201,2023-09-29T20:43:21Z,DLH790,"48.317127,11.4492",8275,235,252
1696020203,2023-09-29T20:43:23Z,DLH790,"48.31601,11.444646",8400,234,246
1696020206,2023-09-29T20:43:26Z,DLH790,"48.314659,11.440598",8500,234,242
1696020209,2023-09-29T20:43:29Z,DLH790,"48.31303,11.436623",8625,234,236
1696020213,2023-09-29T20:43:33Z,DLH790,"48.310638,11.432119",8775,235,228
1696020216,2023-09-29T20:43:36Z,DLH790,"48.308624,11.429091",8875,236,221
1696020218,2023-09-29T20:43:38Z,DLH790,"48.306,11.425926",8950,238,216
1696020222,2023-09-29T20:43:42Z,DLH790,"48.302647,11.422746",9075,242,209
1696020225,2023-09-29T20:43:45Z,DLH790,"48.299606,11.420569",9150,244,203
1696020228,2023-09-29T20:43:48Z,DLH790,"48.296085,11.418698",9250,248,196
1696020231,2023-09-29T20:43:51Z,DLH790,"48.292831,11.417471",9325,251,192
1696020234,2023-09-29T20:43:54Z,DLH790,"48.289215,11.416697",9400,256,185
1696020237,2023-09-29T20:43:57Z,DLH790,"48.285599,11.416555",9475,259,179
1696020240,2023-09-29T20:44:00Z,DLH790,"48.28249,11.416891",9550,262,174
1696020243,2023-09-29T20:44:03Z,DLH790,"48.278366,11.417823",9625,268,168
1696020246,2023-09-29T20:44:06Z,DLH790,"48.274841,11.419161",9650,273,163
1696020248,2023-09-29T20:44:08Z,DLH790,"48.272064,11.42065",9675,277,159
1696020252,2023-09-29T20:44:12Z,DLH790,"48.268246,11.42318",9725,283,153
1696020255,2023-09-29T20:44:15Z,DLH790,"48.264175,11.426767",9775,288,146
1696020258,2023-09-29T20:44:18Z,DLH790,"48.260891,11.430408",9850,290,142
1696020261,2023-09-29T20:44:21Z,DLH790,"48.257957,11.434237",9925,293,137
1696020264,2023-09-29T20:44:24Z,DLH790,"48.255249,11.438528",10000,296,131
1696020267,2023-09-29T20:44:27Z,DLH790,"48.25293,11.442911",10075,298,127
1696020270,2023-09-29T20:44:30Z,DLH790,"48.249985,11.449373",10175,302,121
1696020273,2023-09-29T20:44:33Z,DLH790,"48.247997,11.45462",10250,304,118
1696020276,2023-09-29T20:44:36Z,DLH790,"48.246227,11.460258",10325,305,113
1696020279,2023-09-29T20:44:39Z,DLH790,"48.244968,11.465029",10375,307,110
1696020282,2023-09-29T20:44:42Z,DLH790,"48.24353,11.471839",10450,309,106
1696020285,2023-09-29T20:44:45Z,DLH790,"48.24234,11.478389",10500,313,104
1696020288,2023-09-29T20:44:48Z,DLH790,"48.241241,11.484797",10550,315,103
1696020291,2023-09-29T20:44:51Z,DLH790,"48.240314,11.491121",10600,318,102
1696020294,2023-09-29T20:44:54Z,DLH790,"48.239365,11.497756",10650,321,101
1696020297,2023-09-29T20:44:57Z,DLH790,"48.238544,11.504204",10700,323,100
1696020301,2023-09-29T20:45:01Z,DLH790,"48.237568,11.511792",10750,325,100
1696020303,2023-09-29T20:45:03Z,DLH790,"48.237011,11.516273",10775,327,101
1696020306,2023-09-29T20:45:06Z,DLH790,"48.235847,11.524442",10850,332,102
1696020322,2023-09-29T20:45:22Z,DLH790,"48.230492,11.559352",11025,345,103
1696020337,2023-09-29T20:45:37Z,DLH790,"48.224625,11.595647",11225,359,103
1696020352,2023-09-29T20:45:52Z,DLH790,"48.218857,11.632761",11425,373,102
1696020367,2023-09-29T20:46:07Z,DLH790,"48.213181,11.671565",11625,386,102
1696020382,2023-09-29T20:46:22Z,DLH790,"48.207642,11.711426",11875,394,101
1696020397,2023-09-29T20:46:37Z,DLH790,"48.202148,11.751921",12400,396,101
1696020427,2023-09-29T20:47:07Z,DLH790,"48.191154,11.832564",13400,398,101
1696020461,2023-09-29T20:47:41Z,DLH790,"48.178635,11.923563",14625,398,101
1696020494,2023-09-29T20:48:14Z,DLH790,"48.166031,12.014395",15475,406,101
1696020527,2023-09-29T20:48:47Z,DLH790,"48.153625,12.103569",16225,416,101
1696020560,2023-09-29T20:49:20Z,DLH790,"48.140274,12.198698",17000,425,101
1696020591,2023-09-29T20:49:51Z,DLH790,"48.127705,12.288137",17850,428,101
1696020624,2023-09-29T20:50:24Z,DLH790,"48.114159,12.383564",18625,434,102
1696020656,2023-09-29T20:50:56Z,DLH790,"48.100342,12.479576",19450,436,102
1696020690,2023-09-29T20:51:30Z,DLH790,"48.085854,12.580402",20250,440,102
1696020721,2023-09-29T20:52:01Z,DLH790,"48.07283,12.670532",21100,440,102
1696020753,2023-09-29T20:52:33Z,DLH790,"48.058548,12.768379",21850,444,102
1696020787,2023-09-29T20:53:07Z,DLH790,"48.043724,12.869075",22450,452,102
1696020818,2023-09-29T20:53:38Z,DLH790,"48.029434,12.966202",23125,456,102
1696020848,2023-09-29T20:54:08Z,DLH790,"48.015747,13.058418",23825,458,102
1696020882,2023-09-29T20:54:42Z,DLH790,"48.000046,13.163544",24500,464,102
1696020916,2023-09-29T20:55:16Z,DLH790,"47.983887,13.271004",24900,473,102
1696020946,2023-09-29T20:55:46Z,DLH790,"47.969376,13.366653",25450,478,102
1696020978,2023-09-29T20:56:18Z,DLH790,"47.953831,13.468252",26050,479,102
1696021010,2023-09-29T20:56:50Z,DLH790,"47.938286,13.570087",26400,488,102
1696021041,2023-09-29T20:57:21Z,DLH790,"47.922455,13.672485",26825,493,102
1696021073,2023-09-29T20:57:53Z,DLH790,"47.905743,13.779954",27225,499,103
1696021106,2023-09-29T20:58:26Z,DLH790,"47.888474,13.890381",27900,497,103
1696021139,2023-09-29T20:58:59Z,DLH790,"47.871002,14.00132",28525,496,103
1696021170,2023-09-29T20:59:30Z,DLH790,"47.854675,14.104262",28875,501,103
1696021202,2023-09-29T21:00:02Z,DLH790,"47.837776,14.210322",29150,506,103
1696021234,2023-09-29T21:00:34Z,DLH790,"47.820328,14.319031",29550,510,103
1696021264,2023-09-29T21:01:04Z,DLH790,"47.803516,14.423006",29925,510,103
1696021298,2023-09-29T21:01:38Z,DLH790,"47.785034,14.536673",30325,511,103
1696021331,2023-09-29T21:02:11Z,DLH790,"47.76622,14.651642",30750,512,103
1696021365,2023-09-29T21:02:45Z,DLH790,"47.747498,14.765076",31075,514,103
1696021396,2023-09-29T21:03:16Z,DLH790,"47.729691,14.872604",31325,518,103
1696021429,2023-09-29T21:03:49Z,DLH790,"47.710735,14.985915",31675,518,103
1696021459,2023-09-29T21:04:19Z,DLH790,"47.693047,15.09113",32200,515,104
1696021492,2023-09-29T21:04:52Z,DLH790,"47.674667,15.199722",32625,513,104
1696021526,2023-09-29T21:05:26Z,DLH790,"47.65506,15.31473",32975,512,104
1696021559,2023-09-29T21:05:59Z,DLH790,"47.635437,15.429749",33000,514,104
1696021589,2023-09-29T21:06:29Z,DLH790,"47.61763,15.532471",33025,518,104
1696021623,2023-09-29T21:07:03Z,DLH790,"47.597443,15.648926",33400,518,104
1696021656,2023-09-29T21:07:36Z,DLH790,"47.577667,15.762222",33775,516,104
1696021686,2023-09-29T21:08:06Z,DLH790,"47.559769,15.863983",34175,512,104
1696021719,2023-09-29T21:08:39Z,DLH790,"47.539764,15.977005",34750,506,104
1696021753,2023-09-29T21:09:13Z,DLH790,"47.51976,16.089546",35000,505,104
1696021783,2023-09-29T21:09:43Z,DLH790,"47.500275,16.188778",35000,504,108
1696021817,2023-09-29T21:10:17Z,DLH790,"47.474167,16.29705",35000,504,109
1696021850,2023-09-29T21:10:50Z,DLH790,"47.449532,16.402235",35000,504,108
1696021883,2023-09-29T21:11:23Z,DLH790,"47.424774,16.511009",35000,504,108
1696021916,2023-09-29T21:11:56Z,DLH790,"47.402096,16.610483",35000,502,108
1696021947,2023-09-29T21:12:27Z,DLH790,"47.377983,16.715628",35000,502,108
1696021979,2023-09-29T21:12:59Z,DLH790,"47.352951,16.824394",35000,502,108
1696022012,2023-09-29T21:13:32Z,DLH790,"47.328323,16.930481",35000,502,108
1696022045,2023-09-29T21:14:05Z,DLH790,"47.303776,17.035992",35000,502,108
1696022079,2023-09-29T21:14:39Z,DLH790,"47.277969,17.146088",35000,502,109
