Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1696451642,2023-10-04T20:34:02Z,DLH790,"48.353073,11.793665",0,3,255
1696451656,2023-10-04T20:34:16Z,DLH790,"48.353077,11.793968",0,3,241
1696451665,2023-10-04T20:34:25Z,DLH790,"48.353085,11.794175",0,3,227
1696451676,2023-10-04T20:34:36Z,DLH790,"48.353146,11.794383",0,3,208
1696451692,2023-10-04T20:34:52Z,DLH790,"48.353302,11.794598",0,3,191
1696451719,2023-10-04T20:35:19Z,DLH790,"48.353508,11.794726",0,1,171
1696451962,2023-10-04T20:39:22Z,DLH790,"48.353233,11.794915",0,7,154
1696451970,2023-10-04T20:39:30Z,DLH790,"48.352982,11.795251",0,10,140
1696451979,2023-10-04T20:39:39Z,DLH790,"48.352634,11.795703",0,10,140
1696451985,2023-10-04T20:39:45Z,DLH790,"48.35239,11.795974",0,11,143
1696451990,2023-10-04T20:39:50Z,DLH790,"48.352169,11.796172",0,12,149
1696452015,2023-10-04T20:40:15Z,DLH790,"48.350807,11.796553",0,0,174
1696452027,2023-10-04T20:40:27Z,DLH790,"48.350201,11.796658",0,0,174
1696452035,2023-10-04T20:40:35Z,DLH790,"48.34977,11.796733",0,11,174
1696452049,2023-10-04T20:40:49Z,DLH790,"48.349102,11.796851",0,9,174
1696452057,2023-10-04T20:40:57Z,DLH790,"48.348793,11.796905",0,0,174
1696452072,2023-10-04T20:41:12Z,DLH790,"48.349743,11.796728",0,0,171
1696452140,2023-10-04T20:42:20Z,DLH790,"48.348438,11.802398",0,0,84
1696452182,2023-10-04T20:43:02Z,DLH790,"48.347454,11.803946",0,0,168
1696452215,2023-10-04T20:43:35Z,DLH790,"48.346478,11.804123",0,0,174
1696452230,2023-10-04T20:43:50Z,DLH790,"48.346127,11.804193",0,0,174
1696452247,2023-10-04T20:44:07Z,DLH790,"48.34742,11.80396",0,0,182
1696452350,2023-10-04T20:45:50Z,DLH790,"48.343597,11.788542",1075,129,263
1696452358,2023-10-04T20:45:58Z,DLH790,"48.342773,11.7784",1075,145,263
1696452368,2023-10-04T20:46:08Z,DLH790,"48.341995,11.767344",1175,176,263
1696452377,2023-10-04T20:46:17Z,DLH790,"48.341099,11.756021",1525,175,263
1696452386,2023-10-04T20:46:26Z,DLH790,"48.34045,11.745252",1800,179,264
1696452395,2023-10-04T20:46:35Z,DLH790,"48.339752,11.734121",2175,176,264
1696452401,2023-10-04T20:46:41Z,DLH790,"48.339191,11.726171",2425,177,264
1696452410,2023-10-04T20:46:50Z,DLH790,"48.338333,11.714736",2575,188,262
1696452420,2023-10-04T20:47:00Z,DLH790,"48.33733,11.702463",2700,200,262
1696452428,2023-10-04T20:47:08Z,DLH790,"48.336227,11.689946",2825,211,262
1696452437,2023-10-04T20:47:17Z,DLH790,"48.334991,11.676565",2950,220,261
1696452447,2023-10-04T20:47:27Z,DLH790,"48.333664,11.662199",3125,231,262
1696452456,2023-10-04T20:47:36Z,DLH790,"48.332348,11.647676",3325,239,262
1696452465,2023-10-04T20:47:45Z,DLH790,"48.331055,11.632056",3475,250,263
1696452473,2023-10-04T20:47:53Z,DLH790,"48.329819,11.616704",3575,261,262
1696452483,2023-10-04T20:48:03Z,DLH790,"48.328533,11.600117",3900,264,263
1696452492,2023-10-04T20:48:12Z,DLH790,"48.327301,11.583393",4400,260,264
1696452501,2023-10-04T20:48:21Z,DLH790,"48.326252,11.56723",4875,258,264
1696452510,2023-10-04T20:48:30Z,DLH790,"48.325321,11.551908",5275,256,264
1696452525,2023-10-04T20:48:45Z,DLH790,"48.323593,11.524799",5875,259,264
1696452540,2023-10-04T20:49:00Z,DLH790,"48.321968,11.497192",6375,264,265
1696452552,2023-10-04T20:49:12Z,DLH790,"48.320663,11.474786",6800,269,264
1696452567,2023-10-04T20:49:27Z,DLH790,"48.31871,11.446597",7400,270,263
1696452583,2023-10-04T20:49:43Z,DLH790,"48.316708,11.418264",8100,267,263
1696452592,2023-10-04T20:49:52Z,DLH790,"48.314392,11.401626",8450,269,252
1696452595,2023-10-04T20:49:55Z,DLH790,"48.312973,11.396343",8550,272,246
1696452598,2023-10-04T20:49:58Z,DLH790,"48.311325,11.391625",8650,273,241
1696452601,2023-10-04T20:50:01Z,DLH790,"48.309265,11.386907",8725,275,235
1696452603,2023-10-04T20:50:03Z,DLH790,"48.307022,11.382681",8825,278,230
1696452606,2023-10-04T20:50:06Z,DLH790,"48.304596,11.378808",8925,279,226
1696452610,2023-10-04T20:50:10Z,DLH790,"48.301205,11.374463",9025,281,219
1696452613,2023-10-04T20:50:13Z,DLH790,"48.297714,11.370777",9150,285,212
1696452616,2023-10-04T20:50:16Z,DLH790,"48.29427,11.367887",9250,287,207
1696452619,2023-10-04T20:50:19Z,DLH790,"48.290543,11.365356",9350,290,202
1696452622,2023-10-04T20:50:22Z,DLH790,"48.286972,11.363525",9450,291,197
1696452625,2023-10-04T20:50:25Z,DLH790,"48.282818,11.362103",9550,294,190
1696452628,2023-10-04T20:50:28Z,DLH790,"48.278778,11.361413",9675,296,185
1696452630,2023-10-04T20:50:30Z,DLH790,"48.276115,11.361309",9725,298,181
1696452634,2023-10-04T20:50:34Z,DLH790,"48.270355,11.362046",9875,302,172
1696452637,2023-10-04T20:50:37Z,DLH790,"48.265919,11.363477",9975,303,165
1696452640,2023-10-04T20:50:40Z,DLH790,"48.261917,11.365573",10075,305,160
