Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1696537938,2023-10-05T20:32:18Z,DLH790,"48.357914,11.792767",0,3,261
1696537949,2023-10-05T20:32:29Z,DLH790,"48.357872,11.792974",0,3,244
1696537961,2023-10-05T20:32:41Z,DLH790,"48.357883,11.793209",0,3,230
1696537979,2023-10-05T20:32:59Z,DLH790,"48.357971,11.793559",0,3,205
1696537995,2023-10-05T20:33:15Z,DLH790,"48.358162,11.793769",0,4,185
1696538011,2023-10-05T20:33:31Z,DLH790,"48.358372,11.793859",0,1,174
1696538226,2023-10-05T20:37:06Z,DLH790,"48.358131,11.793911",0,6,171
1696538241,2023-10-05T20:37:21Z,DLH790,"48.357605,11.794017",0,9,174
1696538305,2023-10-05T20:38:25Z,DLH790,"48.35445,11.795269",0,0,132
1696538316,2023-10-05T20:38:36Z,DLH790,"48.354069,11.795883",0,13,135
1696538328,2023-10-05T20:38:48Z,DLH790,"48.353367,11.796136",0,0,171
1696538332,2023-10-05T20:38:52Z,DLH790,"48.35313,11.796165",0,13,174
1696538335,2023-10-05T20:38:55Z,DLH790,"48.352924,11.7962",0,14,174
1696538344,2023-10-05T20:39:04Z,DLH790,"48.352329,11.79627",0,14,174
1696538366,2023-10-05T20:39:26Z,DLH790,"48.350784,11.796553",0,0,174
1696538375,2023-10-05T20:39:35Z,DLH790,"48.350075,11.79666",0,0,174
1696538380,2023-10-05T20:39:40Z,DLH790,"48.349758,11.796715",0,17,174
1696538437,2023-10-05T20:40:37Z,DLH790,"48.348221,11.79951",0,0,81
1696538466,2023-10-05T20:41:06Z,DLH790,"48.348469,11.802677",1075,15,84
1696538473,2023-10-05T20:41:13Z,DLH790,"48.348515,11.8034",0,13,84
1696538481,2023-10-05T20:41:21Z,DLH790,"48.348564,11.804052",0,12,84
1696538494,2023-10-05T20:41:34Z,DLH790,"48.348312,11.805126",0,13,118
1696538507,2023-10-05T20:41:47Z,DLH790,"48.347649,11.805584",0,13,163
1696538510,2023-10-05T20:41:50Z,DLH790,"48.347431,11.805619",0,14,168
1696538537,2023-10-05T20:42:17Z,DLH790,"48.346188,11.805641",0,0,191
1696538557,2023-10-05T20:42:37Z,DLH790,"48.34586,11.805225",0,0,216
1696538571,2023-10-05T20:42:51Z,DLH790,"48.347244,11.805641",0,1,216
1696538666,2023-10-05T20:44:26Z,DLH790,"48.343754,11.790932",1075,102,263
1696538677,2023-10-05T20:44:37Z,DLH790,"48.343147,11.782692",1075,148,263
1696538687,2023-10-05T20:44:47Z,DLH790,"48.341938,11.767731",1200,174,263
1696538696,2023-10-05T20:44:56Z,DLH790,"48.341053,11.756817",1525,175,263
1696538705,2023-10-05T20:45:05Z,DLH790,"48.340263,11.745758",1875,176,264
1696538714,2023-10-05T20:45:14Z,DLH790,"48.339565,11.734627",2250,175,265
1696538720,2023-10-05T20:45:20Z,DLH790,"48.339146,11.727544",2425,180,265
1696538730,2023-10-05T20:45:30Z,DLH790,"48.338448,11.715691",2600,186,264
1696538738,2023-10-05T20:45:38Z,DLH790,"48.337646,11.704172",2750,195,263
1696538748,2023-10-05T20:45:48Z,DLH790,"48.336678,11.691188",2975,200,263
1696538756,2023-10-05T20:45:56Z,DLH790,"48.335842,11.679406",3275,200,263
1696538766,2023-10-05T20:46:06Z,DLH790,"48.334808,11.666213",3600,202,263
1696538775,2023-10-05T20:46:15Z,DLH790,"48.333801,11.653818",3800,208,262
1696538784,2023-10-05T20:46:24Z,DLH790,"48.332676,11.640231",4000,215,263
1696538793,2023-10-05T20:46:33Z,DLH790,"48.331558,11.627127",4200,221,263
1696538802,2023-10-05T20:46:42Z,DLH790,"48.330441,11.612549",4475,227,263
1696538811,2023-10-05T20:46:51Z,DLH790,"48.329407,11.598464",4725,231,263
1696538820,2023-10-05T20:47:00Z,DLH790,"48.328262,11.583674",5075,231,263
1696538835,2023-10-05T20:47:15Z,DLH790,"48.326569,11.5598",5600,235,263
1696538847,2023-10-05T20:47:27Z,DLH790,"48.325089,11.539909",5975,239,263
1696538862,2023-10-05T20:47:42Z,DLH790,"48.323132,11.514611",6525,241,263
1696538878,2023-10-05T20:47:58Z,DLH790,"48.321259,11.489446",7100,242,263
1696538893,2023-10-05T20:48:13Z,DLH790,"48.319267,11.464088",7700,242,261
1696538899,2023-10-05T20:48:19Z,DLH790,"48.317825,11.454693",7950,241,252
1696538902,2023-10-05T20:48:22Z,DLH790,"48.31638,11.4492",8100,241,245
1696538905,2023-10-05T20:48:25Z,DLH790,"48.314846,11.444791",8225,243,239
1696538908,2023-10-05T20:48:28Z,DLH790,"48.313076,11.440887",8300,245,233
1696538910,2023-10-05T20:48:30Z,DLH790,"48.3116,11.438106",8375,245,228
1696538914,2023-10-05T20:48:34Z,DLH790,"48.308121,11.433035",8500,250,219
1696538916,2023-10-05T20:48:36Z,DLH790,"48.305813,11.430479",8575,251,215
1696538920,2023-10-05T20:48:40Z,DLH790,"48.302216,11.427331",8700,256,207
1696538923,2023-10-05T20:48:43Z,DLH790,"48.299156,11.425347",8775,258,201
1696538926,2023-10-05T20:48:46Z,DLH790,"48.2952,11.423613",8900,261,194
1696538929,2023-10-05T20:48:49Z,DLH790,"48.29155,11.422612",8975,265,188
1696538932,2023-10-05T20:48:52Z,DLH790,"48.287888,11.42226",9075,270,181
1696538935,2023-10-05T20:48:55Z,DLH790,"48.283951,11.422542",9150,273,174
1696538938,2023-10-05T20:48:58Z,DLH790,"48.280334,11.423316",9250,275,169
1696538941,2023-10-05T20:49:01Z,DLH790,"48.276489,11.424866",9325,279,162
1696538944,2023-10-05T20:49:04Z,DLH790,"48.273056,11.426767",9425,281,157
1696538947,2023-10-05T20:49:07Z,DLH790,"48.269131,11.429685",9525,284,151
1696538950,2023-10-05T20:49:10Z,DLH790,"48.266373,11.432331",9600,285,145
1696538953,2023-10-05T20:49:13Z,DLH790,"48.262848,11.436416",9700,287,140
1696538956,2023-10-05T20:49:16Z,DLH790,"48.259918,11.440641",9775,291,134
1696538960,2023-10-05T20:49:20Z,DLH790,"48.257027,11.445514",9850,294,129
1696538962,2023-10-05T20:49:22Z,DLH790,"48.254978,11.449489",9900,297,125
1696538966,2023-10-05T20:49:26Z,DLH790,"48.252277,11.45556",9950,300,122
1696538968,2023-10-05T20:49:28Z,DLH790,"48.250214,11.460923",10025,302,118
1696538971,2023-10-05T20:49:31Z,DLH790,"48.248463,11.46633",10075,304,114
1696538974,2023-10-05T20:49:34Z,DLH790,"48.246784,11.472257",10125,308,111
1696538978,2023-10-05T20:49:38Z,DLH790,"48.245251,11.478689",10150,310,108
1696538981,2023-10-05T20:49:41Z,DLH790,"48.243988,11.484656",10175,313,107
1696538984,2023-10-05T20:49:44Z,DLH790,"48.242691,11.491049",10175,318,106
1696538987,2023-10-05T20:49:47Z,DLH790,"48.241516,11.496981",10175,322,106
1696538990,2023-10-05T20:49:50Z,DLH790,"48.240128,11.503914",10175,327,106
1696538993,2023-10-05T20:49:53Z,DLH790,"48.238815,11.510714",10175,332,106
1696538996,2023-10-05T20:49:56Z,DLH790,"48.237568,11.517141",10200,335,106
1696538999,2023-10-05T20:49:59Z,DLH790,"48.236263,11.52408",10225,338,105
1696539014,2023-10-05T20:50:14Z,DLH790,"48.229935,11.559135",10375,354,104
1696539029,2023-10-05T20:50:29Z,DLH790,"48.223434,11.596492",10575,367,104
1696539044,2023-10-05T20:50:44Z,DLH790,"48.217224,11.634594",10775,380,103
1696539056,2023-10-05T20:50:56Z,DLH790,"48.212448,11.66572",11000,387,103
1696539071,2023-10-05T20:51:11Z,DLH790,"48.206284,11.705499",11375,394,103
1696539087,2023-10-05T20:51:27Z,DLH790,"48.199951,11.746286",11850,398,103
1696539101,2023-10-05T20:51:41Z,DLH790,"48.194092,11.784739",12300,401,102
1696539133,2023-10-05T20:52:13Z,DLH790,"48.180634,11.87239",12950,417,103
1696539166,2023-10-05T20:52:46Z,DLH790,"48.16539,11.965731",14075,418,104
1696539199,2023-10-05T20:53:19Z,DLH790,"48.149918,12.059143",15100,423,103
1696539232,2023-10-05T20:53:52Z,DLH790,"48.134857,12.15136",16000,426,103
1696539265,2023-10-05T20:54:25Z,DLH790,"48.11911,12.247696",16800,434,103
1696539298,2023-10-05T20:54:58Z,DLH790,"48.103271,12.3452",17475,444,103
1696539331,2023-10-05T20:55:31Z,DLH790,"48.086472,12.445381",18225,452,104
1696539364,2023-10-05T20:56:04Z,DLH790,"48.069328,12.546457",19075,455,104
1696539394,2023-10-05T20:56:34Z,DLH790,"48.054062,12.637848",20050,451,104
1696539428,2023-10-05T20:57:08Z,DLH790,"48.037254,12.737803",20925,452,104
1696539461,2023-10-05T20:57:41Z,DLH790,"48.020168,12.838369",21650,458,104
1696539492,2023-10-05T20:58:12Z,DLH790,"48.003876,12.933514",22325,461,104
1696539522,2023-10-05T20:58:42Z,DLH790,"47.987549,13.028549",23025,464,104
1696539555,2023-10-05T20:59:15Z,DLH790,"47.970078,13.129648",23725,466,104
1696539586,2023-10-05T20:59:46Z,DLH790,"47.95332,13.225989",24325,470,104
1696539620,2023-10-05T21:00:20Z,DLH790,"47.934402,13.334656",24825,479,104
1696539652,2023-10-05T21:00:52Z,DLH790,"47.91687,13.434519",25300,483,104
1696539682,2023-10-05T21:01:22Z,DLH790,"47.899227,13.53417",25825,488,104
1696539717,2023-10-05T21:01:57Z,DLH790,"47.878922,13.648727",26175,497,104
1696539750,2023-10-05T21:02:30Z,DLH790,"47.859879,13.755226",26600,502,104
1696539784,2023-10-05T21:03:04Z,DLH790,"47.8395,13.868338",27125,506,104
1696539817,2023-10-05T21:03:37Z,DLH790,"47.819065,13.98123",27600,508,105
1696539847,2023-10-05T21:04:07Z,DLH790,"47.800369,14.083923",28100,509,105
1696539880,2023-10-05T21:04:40Z,DLH790,"47.780228,14.193649",28525,511,105
1696539910,2023-10-05T21:05:10Z,DLH790,"47.76157,14.294692",28925,514,105
1696539942,2023-10-05T21:05:42Z,DLH790,"47.741833,14.401316",29250,518,105
1696539974,2023-10-05T21:06:14Z,DLH790,"47.720718,14.514793",29625,520,105
1696540006,2023-10-05T21:06:46Z,DLH790,"47.699844,14.625961",30025,523,105
1696540041,2023-10-05T21:07:21Z,DLH790,"47.677174,14.745976",30375,525,105
1696540072,2023-10-05T21:07:52Z,DLH790,"47.653793,14.853516",30725,528,109
1696540105,2023-10-05T21:08:25Z,DLH790,"47.62727,14.964576",31025,532,109
1696540139,2023-10-05T21:08:59Z,DLH790,"47.599823,15.079697",31250,534,109
1696540172,2023-10-05T21:09:32Z,DLH790,"47.574097,15.187019",31525,536,109
1696540204,2023-10-05T21:10:04Z,DLH790,"47.545578,15.30471",31825,537,109
1696540237,2023-10-05T21:10:37Z,DLH790,"47.518242,15.418396",32125,538,109
1696540268,2023-10-05T21:11:08Z,DLH790,"47.492222,15.526569",32400,540,109
1696540301,2023-10-05T21:11:41Z,DLH790,"47.464508,15.640961",32600,542,109
1696540334,2023-10-05T21:12:14Z,DLH790,"47.436359,15.756507",32950,541,109
1696540365,2023-10-05T21:12:45Z,DLH790,"47.410492,15.862473",33400,538,109
1696540398,2023-10-05T21:13:18Z,DLH790,"47.382076,15.978558",33700,539,109
1696540432,2023-10-05T21:13:52Z,DLH790,"47.353123,16.09631",33925,541,109
1696540466,2023-10-05T21:14:26Z,DLH790,"47.32457,16.212044",34150,542,109
1696540499,2023-10-05T21:14:59Z,DLH790,"47.30024,16.328783",34525,538,104
1696540531,2023-10-05T21:15:31Z,DLH790,"47.280396,16.441452",34825,536,104
1696540564,2023-10-05T21:16:04Z,DLH790,"47.258789,16.555641",35000,538,105
1696540597,2023-10-05T21:16:37Z,DLH790,"47.23558,16.673676",35000,540,106
1696540630,2023-10-05T21:17:10Z,DLH790,"47.212555,16.790062",35000,540,106
1696540661,2023-10-05T21:17:41Z,DLH790,"47.19136,16.897041",35000,540,106
1696540694,2023-10-05T21:18:14Z,DLH790,"47.168076,17.013948",35000,540,106
1696540727,2023-10-05T21:18:47Z,DLH790,"47.144894,17.129517",35000,540,106
1696540757,2023-10-05T21:19:17Z,DLH790,"47.123341,17.236422",35000,540,106
1696540791,2023-10-05T21:19:51Z,DLH790,"47.100716,17.347836",35000,540,106
1696540823,2023-10-05T21:20:23Z,DLH790,"47.076508,17.466408",35000,540,106
1696540856,2023-10-05T21:20:56Z,DLH790,"47.053093,17.580589",35000,540,106
1696540887,2023-10-05T21:21:27Z,DLH790,"47.030182,17.691765",35000,539,106
1696540921,2023-10-05T21:22:01Z,DLH790,"47.005844,17.808979",35000,540,106
1696540954,2023-10-05T21:22:34Z,DLH790,"46.982193,17.922434",35000,542,106
1696540985,2023-10-05T21:23:05Z,DLH790,"46.959568,18.030254",35000,540,107
1696541018,2023-10-05T21:23:38Z,DLH790,"46.935242,18.145294",35000,542,107
1696541050,2023-10-05T21:24:10Z,DLH790,"46.910645,18.261179",35000,542,107
1696541084,2023-10-05T21:24:44Z,DLH790,"46.885971,18.376888",35000,542,107
1696541117,2023-10-05T21:25:17Z,DLH790,"46.860947,18.49334",35000,544,107
1696541147,2023-10-05T21:25:47Z,DLH790,"46.837975,18.599922",35000,544,107
1696541181,2023-10-05T21:26:21Z,DLH790,"46.812973,18.71541",35000,545,107
1696541213,2023-10-05T21:26:53Z,DLH790,"46.787933,18.830154",35000,545,107
1696541247,2023-10-05T21:27:27Z,DLH790,"46.762142,18.947708",35000,546,107
1696541280,2023-10-05T21:28:00Z,DLH790,"46.736618,19.063154",35000,546,107
1696541312,2023-10-05T21:28:32Z,DLH790,"46.711853,19.174761",35000,545,107
1696541345,2023-10-05T21:29:05Z,DLH790,"46.686584,19.287907",35000,544,108
1696541375,2023-10-05T21:29:35Z,DLH790,"46.662415,19.39596",35000,544,108
1696541409,2023-10-05T21:30:09Z,DLH790,"46.636452,19.511307",35000,546,108
1696541441,2023-10-05T21:30:41Z,DLH790,"46.611034,19.623299",35000,545,108
1696541471,2023-10-05T21:31:11Z,DLH790,"46.587112,19.728363",35000,545,108
1696541504,2023-10-05T21:31:44Z,DLH790,"46.561409,19.840691",35000,547,108
1696541538,2023-10-05T21:32:18Z,DLH790,"46.533569,19.961678",35000,548,108
1696541569,2023-10-05T21:32:49Z,DLH790,"46.508514,20.070011",35000,546,108
1696541603,2023-10-05T21:33:23Z,DLH790,"46.481735,20.185167",35000,544,108
1696541636,2023-10-05T21:33:56Z,DLH790,"46.454956,20.299652",35000,544,108
1696541669,2023-10-05T21:34:29Z,DLH790,"46.42868,20.411392",35000,546,108
1696541702,2023-10-05T21:35:02Z,DLH790,"46.400024,20.525141",35000,547,114
1696541735,2023-10-05T21:35:35Z,DLH790,"46.360657,20.634401",35000,550,117
1696541768,2023-10-05T21:36:08Z,DLH790,"46.323074,20.740313",35000,548,116
1696541801,2023-10-05T21:36:41Z,DLH790,"46.285034,20.848099",35000,546,117
1696541833,2023-10-05T21:37:13Z,DLH790,"46.248066,20.951546",35000,542,117
1696541866,2023-10-05T21:37:46Z,DLH790,"46.210373,21.05657",35000,540,117
1696541896,2023-10-05T21:38:16Z,DLH790,"46.175583,21.153282",35000,537,117
1696541928,2023-10-05T21:38:48Z,DLH790,"46.138733,21.255463",35000,536,117
1696541958,2023-10-05T21:39:18Z,DLH790,"46.104683,21.349594",35000,537,117
1696541992,2023-10-05T21:39:52Z,DLH790,"46.066513,21.454788",35000,538,117
1696542025,2023-10-05T21:40:25Z,DLH790,"46.027779,21.560944",35000,538,117
1696542058,2023-10-05T21:40:58Z,DLH790,"45.990074,21.663872",35000,535,117
1696542091,2023-10-05T21:41:31Z,DLH790,"45.951714,21.768311",35000,535,117
1696542124,2023-10-05T21:42:04Z,DLH790,"45.91354,21.871719",35000,535,117
1696542154,2023-10-05T21:42:34Z,DLH790,"45.877991,21.967833",35000,536,117
1696542188,2023-10-05T21:43:08Z,DLH790,"45.839767,22.070662",35000,535,117
1696542221,2023-10-05T21:43:41Z,DLH790,"45.801025,22.174599",35000,535,118
1696542254,2023-10-05T21:44:14Z,DLH790,"45.761875,22.279106",35000,535,118
1696542284,2023-10-05T21:44:44Z,DLH790,"45.726334,22.37359",35000,536,118
1696542318,2023-10-05T21:45:18Z,DLH790,"45.687298,22.477066",35000,537,118
1696542350,2023-10-05T21:45:50Z,DLH790,"45.648937,22.578346",35000,538,118
1696542382,2023-10-05T21:46:22Z,DLH790,"45.611618,22.676584",35000,538,118
1696542414,2023-10-05T21:46:54Z,DLH790,"45.572937,22.777874",35000,538,118
1696542444,2023-10-05T21:47:24Z,DLH790,"45.537678,22.869986",35000,538,118
1696542478,2023-10-05T21:47:58Z,DLH790,"45.496944,22.975962",35000,538,118
1696542509,2023-10-05T21:48:29Z,DLH790,"45.459145,23.073902",35000,538,118
1696542543,2023-10-05T21:49:03Z,DLH790,"45.418736,23.178339",35000,537,118
1696542577,2023-10-05T21:49:37Z,DLH790,"45.37825,23.28245",35000,536,118
1696542610,2023-10-05T21:50:10Z,DLH790,"45.338745,23.383942",35000,535,118
1696542640,2023-10-05T21:50:40Z,DLH790,"45.303085,23.474905",35000,534,119
1696542674,2023-10-05T21:51:14Z,DLH790,"45.262024,23.579472",35000,536,119
1696542708,2023-10-05T21:51:48Z,DLH790,"45.220871,23.683908",35025,537,119
1696542739,2023-10-05T21:52:19Z,DLH790,"45.183334,23.778927",35000,536,119
1696542769,2023-10-05T21:52:49Z,DLH790,"45.146484,23.871592",35000,532,119
1696542803,2023-10-05T21:53:23Z,DLH790,"45.106094,23.97304",35000,531,119
1696542835,2023-10-05T21:53:55Z,DLH790,"45.066879,24.071177",35000,530,119
1696542869,2023-10-05T21:54:29Z,DLH790,"45.027233,24.169855",35000,530,119
1696542901,2023-10-05T21:55:01Z,DLH790,"44.988224,24.266788",35000,530,119
1696542931,2023-10-05T21:55:31Z,DLH790,"44.950974,24.358978",35000,530,119
1696542965,2023-10-05T21:56:05Z,DLH790,"44.909737,24.460657",35000,530,119
1696542996,2023-10-05T21:56:36Z,DLH790,"44.872913,24.551361",35000,530,119
1696543028,2023-10-05T21:57:08Z,DLH790,"44.833282,24.648285",35000,527,119
1696543061,2023-10-05T21:57:41Z,DLH790,"44.792999,24.746639",35000,525,119
1696543095,2023-10-05T21:58:15Z,DLH790,"44.752621,24.844978",35000,524,119
1696543125,2023-10-05T21:58:45Z,DLH790,"44.715893,24.934008",35000,523,119
1696543159,2023-10-05T21:59:19Z,DLH790,"44.675671,25.03101",35000,523,120
1696543191,2023-10-05T21:59:51Z,DLH790,"44.635208,25.128544",35000,524,120
1696543225,2023-10-05T22:00:25Z,DLH790,"44.594902,25.225346",35000,524,120
1696543258,2023-10-05T22:00:58Z,DLH790,"44.554413,25.322113",35000,522,120
1696543291,2023-10-05T22:01:31Z,DLH790,"44.513996,25.418612",35000,518,120
1696543324,2023-10-05T22:02:04Z,DLH790,"44.473495,25.514542",35000,517,120
1696543357,2023-10-05T22:02:37Z,DLH790,"44.433609,25.609066",35000,516,120
1696543387,2023-10-05T22:03:07Z,DLH790,"44.397755,25.693872",35000,518,120
1696543420,2023-10-05T22:03:40Z,DLH790,"44.356659,25.790537",35000,520,120
1696543453,2023-10-05T22:04:13Z,DLH790,"44.315918,25.885946",35000,520,120
1696543487,2023-10-05T22:04:47Z,DLH790,"44.274811,25.981997",35000,522,120
1696543520,2023-10-05T22:05:20Z,DLH790,"44.233982,26.077255",35000,522,120
1696543553,2023-10-05T22:05:53Z,DLH790,"44.193157,26.173031",35000,522,118
1696543586,2023-10-05T22:06:26Z,DLH790,"44.158382,26.273346",35000,518,114
1696543619,2023-10-05T22:06:59Z,DLH790,"44.125443,26.371468",35000,514,115
1696543649,2023-10-05T22:07:29Z,DLH790,"44.093674,26.461422",35000,512,116
1696543682,2023-10-05T22:08:02Z,DLH790,"44.058762,26.558664",35000,508,116
1696543715,2023-10-05T22:08:35Z,DLH790,"44.024357,26.654531",35000,508,116
1696543749,2023-10-05T22:09:09Z,DLH790,"43.98967,26.750751",35000,510,116
1696543782,2023-10-05T22:09:42Z,DLH790,"43.954834,26.847265",35000,512,116
1696543815,2023-10-05T22:10:15Z,DLH790,"43.919357,26.944864",35000,512,116
1696543848,2023-10-05T22:10:48Z,DLH790,"43.883911,27.042128",35000,513,116
1696543881,2023-10-05T22:11:21Z,DLH790,"43.848267,27.139616",35000,516,116
1696543914,2023-10-05T22:11:54Z,DLH790,"43.813477,27.23465",35000,518,116
1696543947,2023-10-05T22:12:27Z,DLH790,"43.777119,27.333395",35000,518,116
1696543980,2023-10-05T22:13:00Z,DLH790,"43.740902,27.431423",35000,518,116
1696544010,2023-10-05T22:13:30Z,DLH790,"43.707897,27.520555",35000,518,117
1696544044,2023-10-05T22:14:04Z,DLH790,"43.671295,27.61899",35000,518,117
1696544077,2023-10-05T22:14:37Z,DLH790,"43.635414,27.715105",35000,519,117
1696544110,2023-10-05T22:15:10Z,DLH790,"43.598778,27.81287",35000,517,117
1696544142,2023-10-05T22:15:42Z,DLH790,"43.5634,27.90687",35000,516,117
1696544176,2023-10-05T22:16:16Z,DLH790,"43.526623,28.004543",35000,516,117
1696544209,2023-10-05T22:16:49Z,DLH790,"43.490032,28.101393",35000,516,117
1696544240,2023-10-05T22:17:20Z,DLH790,"43.45578,28.191429",35000,518,117
1696544272,2023-10-05T22:17:52Z,DLH790,"43.420441,28.28443",35000,521,117
1696544306,2023-10-05T22:18:26Z,DLH790,"43.381752,28.385664",35000,522,117
1696544338,2023-10-05T22:18:58Z,DLH790,"43.346191,28.478415",35000,524,117
1696544370,2023-10-05T22:19:30Z,DLH790,"43.309547,28.573544",35000,520,117
1696544403,2023-10-05T22:20:03Z,DLH790,"43.272583,28.66927",35000,518,117
1696544437,2023-10-05T22:20:37Z,DLH790,"43.234737,28.767046",35000,518,118
1696544470,2023-10-05T22:21:10Z,DLH790,"43.197498,28.862783",35000,520,118
1696544500,2023-10-05T22:21:40Z,DLH790,"43.162994,28.951019",35000,521,118
1696544533,2023-10-05T22:22:13Z,DLH790,"43.125595,29.046766",35000,524,118
1696544565,2023-10-05T22:22:45Z,DLH790,"43.089077,29.13973",35000,524,118
1696544600,2023-10-05T22:23:20Z,DLH790,"43.050018,29.238674",35000,523,118
1696544632,2023-10-05T22:23:52Z,DLH790,"43.012299,29.334007",35000,522,118
1696544666,2023-10-05T22:24:26Z,DLH790,"42.973663,29.43116",35000,519,118
1696544699,2023-10-05T22:24:59Z,DLH790,"42.93541,29.527262",35000,518,118
1696544729,2023-10-05T22:25:29Z,DLH790,"42.901016,29.61352",35000,518,118
1696544762,2023-10-05T22:26:02Z,DLH790,"42.863483,29.707357",35000,518,118
1696544796,2023-10-05T22:26:36Z,DLH790,"42.825081,29.8029",35000,520,118
1696544827,2023-10-05T22:27:07Z,DLH790,"42.789188,29.891947",35125,522,118
1696544859,2023-10-05T22:27:39Z,DLH790,"42.751804,29.984245",35300,523,118
1696544892,2023-10-05T22:28:12Z,DLH790,"42.713634,30.078331",35700,520,118
1696544925,2023-10-05T22:28:45Z,DLH790,"42.67495,30.173376",35975,519,118
1696544956,2023-10-05T22:29:16Z,DLH790,"42.63826,30.26309",36075,522,119
1696544989,2023-10-05T22:29:49Z,DLH790,"42.60054,30.354975",36250,521,119
1696545021,2023-10-05T22:30:21Z,DLH790,"42.562088,30.448421",36525,518,119
1696545054,2023-10-05T22:30:54Z,DLH790,"42.523701,30.54129",36675,520,119
1696545086,2023-10-05T22:31:26Z,DLH790,"42.486786,30.63032",36800,520,119
1696545118,2023-10-05T22:31:58Z,DLH790,"42.448425,30.722437",36950,518,119
1696545152,2023-10-05T22:32:32Z,DLH790,"42.408966,30.81715",37000,516,119
1696545185,2023-10-05T22:33:05Z,DLH790,"42.370605,30.908661",37000,513,119
1696545215,2023-10-05T22:33:35Z,DLH790,"42.33456,30.994284",37000,512,119
1696545249,2023-10-05T22:34:09Z,DLH790,"42.295258,31.087563",37000,512,119
1696545282,2023-10-05T22:34:42Z,DLH790,"42.258026,31.175686",37000,513,119
1696545315,2023-10-05T22:35:15Z,DLH790,"42.217896,31.27021",37000,514,119
1696545348,2023-10-05T22:35:48Z,DLH790,"42.178936,31.361624",37000,512,119
1696545378,2023-10-05T22:36:18Z,DLH790,"42.143509,31.444595",37000,510,119
1696545411,2023-10-05T22:36:51Z,DLH790,"42.105194,31.534082",37000,510,119
1696545443,2023-10-05T22:37:23Z,DLH790,"42.066509,31.624208",37000,510,119
1696545474,2023-10-05T22:37:54Z,DLH790,"42.030624,31.707479",37000,510,119
1696545507,2023-10-05T22:38:27Z,DLH790,"41.991703,31.797691",37000,512,120
1696545541,2023-10-05T22:39:01Z,DLH790,"41.950424,31.892937",37000,512,120
1696545571,2023-10-05T22:39:31Z,DLH790,"41.915447,31.973408",37000,511,120
1696545603,2023-10-05T22:40:03Z,DLH790,"41.877369,32.060406",37000,512,120
1696545636,2023-10-05T22:40:36Z,DLH790,"41.838135,32.149368",37000,511,120
1696545668,2023-10-05T22:41:08Z,DLH790,"41.79921,32.238037",37000,512,120
1696545700,2023-10-05T22:41:40Z,DLH790,"41.761082,32.325161",37000,513,120
1696545731,2023-10-05T22:42:11Z,DLH790,"41.724243,32.409355",37000,514,120
1696545764,2023-10-05T22:42:44Z,DLH790,"41.684132,32.500561",37000,516,120
1696545797,2023-10-05T22:43:17Z,DLH790,"41.643909,32.591835",37000,514,120
1696545828,2023-10-05T22:43:48Z,DLH790,"41.606781,32.675838",37000,513,120
1696545858,2023-10-05T22:44:18Z,DLH790,"41.57003,32.758675",37000,510,120
1696545892,2023-10-05T22:44:52Z,DLH790,"41.529716,32.849056",37000,508,120
1696545925,2023-10-05T22:45:25Z,DLH790,"41.490326,32.937012",37000,509,120
1696545957,2023-10-05T22:45:57Z,DLH790,"41.450809,33.025158",37000,509,120
1696545991,2023-10-05T22:46:31Z,DLH790,"41.409611,33.116562",37000,510,120
1696546021,2023-10-05T22:47:01Z,DLH790,"41.373768,33.195938",37000,510,120
1696546055,2023-10-05T22:47:35Z,DLH790,"41.332756,33.286575",37000,511,121
1696546088,2023-10-05T22:48:08Z,DLH790,"41.292572,33.375183",37000,512,120
1696546121,2023-10-05T22:48:41Z,DLH790,"41.255711,33.467163",37000,512,117
1696546154,2023-10-05T22:49:14Z,DLH790,"41.218964,33.560059",37000,512,117
1696546184,2023-10-05T22:49:44Z,DLH790,"41.185604,33.643257",37000,512,117
1696546216,2023-10-05T22:50:16Z,DLH790,"41.149803,33.732647",37000,512,117
1696546248,2023-10-05T22:50:48Z,DLH790,"41.114704,33.820099",37000,514,117
1696546280,2023-10-05T22:51:20Z,DLH790,"41.078812,33.909241",37000,513,118
1696546312,2023-10-05T22:51:52Z,DLH790,"41.042542,33.998901",37000,513,118
