Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1696796514,2023-10-08T20:21:54Z,DLH790,"48.356182,11.794239",0,2,177
1696796771,2023-10-08T20:26:11Z,DLH790,"48.354134,11.794619",0,11,174
1696796780,2023-10-08T20:26:20Z,DLH790,"48.353634,11.794703",0,12,174
1696796790,2023-10-08T20:26:30Z,DLH790,"48.353096,11.794809",0,12,174
1696796812,2023-10-08T20:26:52Z,DLH790,"48.351826,11.79502",0,13,174
1696796834,2023-10-08T20:27:14Z,DLH790,"48.350388,11.795269",0,0,174
1696796843,2023-10-08T20:27:23Z,DLH790,"48.349842,11.79536",0,15,174
1696796850,2023-10-08T20:27:30Z,DLH790,"48.349621,11.795395",0,14,174
1696797019,2023-10-08T20:30:19Z,DLH790,"48.347408,11.803965",0,0,171
1696797057,2023-10-08T20:30:57Z,DLH790,"48.346489,11.804123",0,0,174
1696797076,2023-10-08T20:31:16Z,DLH790,"48.34623,11.804175",0,0,174
1696797090,2023-10-08T20:31:30Z,DLH790,"48.347294,11.803982",0,1,174
1696797197,2023-10-08T20:33:17Z,DLH790,"48.343102,11.78262",1125,152,263
1696797210,2023-10-08T20:33:30Z,DLH790,"48.341949,11.767414",1250,181,263
1696797219,2023-10-08T20:33:39Z,DLH790,"48.341099,11.756094",1550,183,263
1696797228,2023-10-08T20:33:48Z,DLH790,"48.340164,11.744737",1900,184,262
1696797237,2023-10-08T20:33:57Z,DLH790,"48.339203,11.733328",2300,182,263
1696797246,2023-10-08T20:34:06Z,DLH790,"48.338215,11.722123",2575,187,262
1696797255,2023-10-08T20:34:15Z,DLH790,"48.337143,11.710229",2750,194,262
1696797264,2023-10-08T20:34:24Z,DLH790,"48.33609,11.697481",2950,201,263
1696797273,2023-10-08T20:34:33Z,DLH790,"48.33519,11.684827",3150,208,264
1696797282,2023-10-08T20:34:42Z,DLH790,"48.334351,11.671284",3325,215,265
1696797288,2023-10-08T20:34:48Z,DLH790,"48.333931,11.662132",3500,220,266
1696797297,2023-10-08T20:34:57Z,DLH790,"48.333298,11.647902",3800,223,266
1696797306,2023-10-08T20:35:06Z,DLH790,"48.332722,11.634088",4050,228,266
1696797315,2023-10-08T20:35:15Z,DLH790,"48.332069,11.61956",4350,230,266
1696797324,2023-10-08T20:35:24Z,DLH790,"48.331371,11.605537",4775,226,265
1696797334,2023-10-08T20:35:34Z,DLH790,"48.330597,11.590788",5175,226,265
1696797348,2023-10-08T20:35:48Z,DLH790,"48.329269,11.567336",5625,232,264
1696797364,2023-10-08T20:36:04Z,DLH790,"48.327602,11.542656",6300,229,263
1696797379,2023-10-08T20:36:19Z,DLH790,"48.325562,11.518743",6825,232,262
1696797394,2023-10-08T20:36:34Z,DLH790,"48.32299,11.494373",7300,238,260
1696797409,2023-10-08T20:36:49Z,DLH790,"48.32016,11.469445",7775,241,260
1696797425,2023-10-08T20:37:05Z,DLH790,"48.316589,11.444304",8325,247,249
1696797428,2023-10-08T20:37:08Z,DLH790,"48.315125,11.439514",8400,249,243
1696797430,2023-10-08T20:37:10Z,DLH790,"48.313385,11.435218",8475,254,237
1696797433,2023-10-08T20:37:13Z,DLH790,"48.311306,11.431129",8550,258,231
1696797437,2023-10-08T20:37:17Z,DLH790,"48.308533,11.426838",8625,262,225
1696797439,2023-10-08T20:37:19Z,DLH790,"48.306,11.423613",8700,265,219
1696797442,2023-10-08T20:37:22Z,DLH790,"48.302834,11.420433",8775,268,213
1696797446,2023-10-08T20:37:26Z,DLH790,"48.299469,11.417683",8875,271,207
1696797448,2023-10-08T20:37:28Z,DLH790,"48.29599,11.415518",8975,274,201
1696797452,2023-10-08T20:37:32Z,DLH790,"48.291801,11.413638",9100,277,195
1696797455,2023-10-08T20:37:35Z,DLH790,"48.2883,11.412683",9200,279,189
