Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1696883294,2023-10-09T20:28:14Z,DLH790,"48.357914,11.793401",0,4,236
1696883305,2023-10-09T20:28:25Z,DLH790,"48.357914,11.793682",0,3,205
1696883326,2023-10-09T20:28:46Z,DLH790,"48.358105,11.793914",0,3,177
1696883547,2023-10-09T20:32:27Z,DLH790,"48.357487,11.79404",0,0,174
1696883669,2023-10-09T20:34:29Z,DLH790,"48.353809,11.794673",0,13,174
1696883676,2023-10-09T20:34:36Z,DLH790,"48.353355,11.794744",0,14,174
1696883689,2023-10-09T20:34:49Z,DLH790,"48.352459,11.794908",0,15,174
1696883697,2023-10-09T20:34:57Z,DLH790,"48.351841,11.795016",0,16,174
1696883712,2023-10-09T20:35:12Z,DLH790,"48.350677,11.795215",0,0,174
1696883722,2023-10-09T20:35:22Z,DLH790,"48.350376,11.795269",0,17,174
1696883880,2023-10-09T20:38:00Z,DLH790,"48.346478,11.804123",0,15,174
1696883895,2023-10-09T20:38:15Z,DLH790,"48.345463,11.804193",0,0,182
1696883955,2023-10-09T20:39:15Z,DLH790,"48.343243,11.784065",1225,139,263
1696883965,2023-10-09T20:39:25Z,DLH790,"48.342358,11.772717",1200,146,263
1696883973,2023-10-09T20:39:33Z,DLH790,"48.341705,11.763756",1475,173,264
1696883982,2023-10-09T20:39:42Z,DLH790,"48.341007,11.752913",1950,166,264
1696883991,2023-10-09T20:39:51Z,DLH790,"48.340263,11.743011",2375,160,263
1696884000,2023-10-09T20:40:00Z,DLH790,"48.33952,11.732532",2700,163,264
1696884009,2023-10-09T20:40:09Z,DLH790,"48.338959,11.722123",2850,171,265
1696884018,2023-10-09T20:40:18Z,DLH790,"48.338516,11.711637",2975,179,266
1696884027,2023-10-09T20:40:27Z,DLH790,"48.338013,11.700017",3150,188,266
1696884037,2023-10-09T20:40:37Z,DLH790,"48.337376,11.687429",3375,193,265
1696884045,2023-10-09T20:40:45Z,DLH790,"48.336639,11.67565",3575,199,263
1696884055,2023-10-09T20:40:55Z,DLH790,"48.335587,11.662691",3800,204,262
1696884061,2023-10-09T20:41:01Z,DLH790,"48.334854,11.65417",3950,208,261
1696884070,2023-10-09T20:41:10Z,DLH790,"48.333572,11.64093",4150,215,261
1696884079,2023-10-09T20:41:19Z,DLH790,"48.332115,11.62686",4250,227,261
1696884088,2023-10-09T20:41:28Z,DLH790,"48.330643,11.612126",4325,240,261
1696884097,2023-10-09T20:41:37Z,DLH790,"48.329269,11.596633",4450,251,262
1696884105,2023-10-09T20:41:45Z,DLH790,"48.327988,11.581843",4675,256,262
1696884115,2023-10-09T20:41:55Z,DLH790,"48.326752,11.565645",5125,253,263
1696884130,2023-10-09T20:42:10Z,DLH790,"48.324921,11.538743",5775,252,264
1696884145,2023-10-09T20:42:25Z,DLH790,"48.323135,11.512756",6375,253,264
1696884160,2023-10-09T20:42:40Z,DLH790,"48.32135,11.486699",7125,247,264
1696884172,2023-10-09T20:42:52Z,DLH790,"48.320068,11.46698",7675,242,264
1696884187,2023-10-09T20:43:07Z,DLH790,"48.317596,11.440993",8200,248,255
1696884190,2023-10-09T20:43:10Z,DLH790,"48.316544,11.436275",8275,250,250
1696884193,2023-10-09T20:43:13Z,DLH790,"48.315033,11.431274",8375,253,243
1696884196,2023-10-09T20:43:16Z,DLH790,"48.313614,11.427542",8450,254,239
1696884200,2023-10-09T20:43:20Z,DLH790,"48.310841,11.42195",8600,258,231
1696884203,2023-10-09T20:43:23Z,DLH790,"48.308559,11.418264",8675,259,225
1696884206,2023-10-09T20:43:26Z,DLH790,"48.305676,11.41465",8800,262,218
1696884209,2023-10-09T20:43:29Z,DLH790,"48.302647,11.411614",8900,265,212
1696884211,2023-10-09T20:43:31Z,DLH790,"48.299576,11.409157",9000,268,206
1696884215,2023-10-09T20:43:35Z,DLH790,"48.295715,11.406907",9100,271,199
1696884218,2023-10-09T20:43:38Z,DLH790,"48.292236,11.405499",9200,275,193
1696884221,2023-10-09T20:43:41Z,DLH790,"48.288357,11.404604",9275,280,186
1696884224,2023-10-09T20:43:44Z,DLH790,"48.284409,11.404302",9375,283,181
1696884226,2023-10-09T20:43:46Z,DLH790,"48.280861,11.404604",9450,286,176
1696884230,2023-10-09T20:43:50Z,DLH790,"48.276855,11.405428",9550,292,170
1696884233,2023-10-09T20:43:53Z,DLH790,"48.272251,11.407206",9625,294,164
1696884236,2023-10-09T20:43:56Z,DLH790,"48.268616,11.40909",9700,298,159
1696884239,2023-10-09T20:43:59Z,DLH790,"48.264771,11.411767",9800,300,153
1696884242,2023-10-09T20:44:02Z,DLH790,"48.261078,11.415011",9875,304,148
1696884245,2023-10-09T20:44:05Z,DLH790,"48.257587,11.418626",9950,306,143
1696884248,2023-10-09T20:44:08Z,DLH790,"48.254791,11.42219",10025,308,138
1696884251,2023-10-09T20:44:11Z,DLH790,"48.251022,11.42795",10150,309,132
1696884254,2023-10-09T20:44:14Z,DLH790,"48.248322,11.433009",10225,310,127
1696884257,2023-10-09T20:44:17Z,DLH790,"48.245949,11.438357",10300,311,122
1696884260,2023-10-09T20:44:20Z,DLH790,"48.243896,11.44388",10400,312,117
1696884263,2023-10-09T20:44:23Z,DLH790,"48.24234,11.449162",10475,312,112
1696884266,2023-10-09T20:44:26Z,DLH790,"48.240692,11.456275",10550,312,107
1696884269,2023-10-09T20:44:29Z,DLH790,"48.239731,11.461557",10625,313,104
1696884272,2023-10-09T20:44:32Z,DLH790,"48.238686,11.468281",10700,314,101
1696884275,2023-10-09T20:44:35Z,DLH790,"48.237896,11.474858",10750,317,100
1696884278,2023-10-09T20:44:38Z,DLH790,"48.237011,11.482231",10800,319,100
1696884281,2023-10-09T20:44:41Z,DLH790,"48.236206,11.488953",10850,322,100
1696884284,2023-10-09T20:44:44Z,DLH790,"48.235428,11.495361",10900,324,99
1696884287,2023-10-09T20:44:47Z,DLH790,"48.234741,11.501277",10950,328,99
1696884290,2023-10-09T20:44:50Z,DLH790,"48.233917,11.509024",10975,331,99
1696884302,2023-10-09T20:45:02Z,DLH790,"48.23119,11.53709",11025,346,97
1696884318,2023-10-09T20:45:18Z,DLH790,"48.228333,11.572969",11200,361,96
1696884333,2023-10-09T20:45:33Z,DLH790,"48.225605,11.611898",11325,376,95
1696884348,2023-10-09T20:45:48Z,DLH790,"48.22295,11.651579",11475,390,95
1696884363,2023-10-09T20:46:03Z,DLH790,"48.220249,11.693284",11650,403,95
1696884378,2023-10-09T20:46:18Z,DLH790,"48.217529,11.735159",12100,405,95
1696884411,2023-10-09T20:46:51Z,DLH790,"48.211407,11.827722",13250,410,96
1696884442,2023-10-09T20:47:22Z,DLH790,"48.20512,11.915323",14150,417,96
1696884474,2023-10-09T20:47:54Z,DLH790,"48.198257,12.008338",15100,422,96
1696884508,2023-10-09T20:48:28Z,DLH790,"48.187408,12.106582",16125,428,102
1696884540,2023-10-09T20:49:00Z,DLH790,"48.173233,12.199594",17075,433,102
1696884574,2023-10-09T20:49:34Z,DLH790,"48.158615,12.297615",17950,439,102
1696884604,2023-10-09T20:50:04Z,DLH790,"48.144836,12.389763",18700,445,102
1696884637,2023-10-09T20:50:37Z,DLH790,"48.12952,12.491314",19525,450,102
1696884671,2023-10-09T20:51:11Z,DLH790,"48.114067,12.593008",20250,456,102
1696884704,2023-10-09T20:51:44Z,DLH790,"48.098557,12.695251",21175,458,102
