Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1697055814,2023-10-11T20:23:34Z,DLH790,"48.357891,11.793172",0,0,244
1697055824,2023-10-11T20:23:44Z,DLH790,"48.357906,11.793389",0,3,227
1697055836,2023-10-11T20:23:56Z,DLH790,"48.357971,11.79363",0,3,208
1697055850,2023-10-11T20:24:10Z,DLH790,"48.358105,11.793841",0,3,185
1697055858,2023-10-11T20:24:18Z,DLH790,"48.357895,11.793191",0,2,177
1697055885,2023-10-11T20:24:45Z,DLH790,"48.358292,11.793896",0,0,174
1697056095,2023-10-11T20:28:15Z,DLH790,"48.358086,11.793929",0,4,174
1697056114,2023-10-11T20:28:34Z,DLH790,"48.357639,11.794022",0,0,174
1697056199,2023-10-11T20:29:59Z,DLH790,"48.354366,11.795431",0,12,126
1697056217,2023-10-11T20:30:17Z,DLH790,"48.35416,11.795831",0,10,171
1697056253,2023-10-11T20:30:53Z,DLH790,"48.351723,11.796393",0,0,174
1697056295,2023-10-11T20:31:35Z,DLH790,"48.349094,11.796841",0,13,174
1697056423,2023-10-11T20:33:43Z,DLH790,"48.347511,11.803965",0,9,168
1697056430,2023-10-11T20:33:50Z,DLH790,"48.34721,11.803996",0,10,171
1697056444,2023-10-11T20:34:04Z,DLH790,"48.346512,11.804123",0,11,174
1697056450,2023-10-11T20:34:10Z,DLH790,"48.346165,11.804177",0,11,174
1697056525,2023-10-11T20:35:25Z,DLH790,"48.34346,11.787063",1325,131,263
1697056536,2023-10-11T20:35:36Z,DLH790,"48.342545,11.77509",1275,168,263
1697056546,2023-10-11T20:35:46Z,DLH790,"48.341614,11.76231",1600,178,263
1697056555,2023-10-11T20:35:55Z,DLH790,"48.340897,11.751497",2050,170,264
1697056564,2023-10-11T20:36:04Z,DLH790,"48.340168,11.740626",2550,165,264
1697056573,2023-10-11T20:36:13Z,DLH790,"48.339432,11.730229",2800,172,263
1697056582,2023-10-11T20:36:22Z,DLH790,"48.338516,11.719031",2925,181,263
1697056591,2023-10-11T20:36:31Z,DLH790,"48.337601,11.707341",3050,190,263
1697056597,2023-10-11T20:36:37Z,DLH790,"48.33696,11.699876",3150,196,262
1697056606,2023-10-11T20:36:46Z,DLH790,"48.335888,11.686852",3375,200,262
1697056615,2023-10-11T20:36:55Z,DLH790,"48.334816,11.674347",3625,202,262
1697056624,2023-10-11T20:37:04Z,DLH790,"48.333755,11.662058",3875,205,262
1697056633,2023-10-11T20:37:13Z,DLH790,"48.332676,11.649266",4100,210,262
1697056643,2023-10-11T20:37:23Z,DLH790,"48.331467,11.635296",4350,214,262
1697056652,2023-10-11T20:37:32Z,DLH790,"48.330322,11.621634",4450,226,263
1697056661,2023-10-11T20:37:41Z,DLH790,"48.329277,11.607272",4550,237,264
1697056669,2023-10-11T20:37:49Z,DLH790,"48.328346,11.592672",4650,250,264
1697056678,2023-10-11T20:37:58Z,DLH790,"48.327461,11.578433",4775,258,264
1697056688,2023-10-11T20:38:08Z,DLH790,"48.326298,11.560219",5100,261,264
1697056702,2023-10-11T20:38:22Z,DLH790,"48.324528,11.533476",5750,259,264
