Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1697229226,2023-10-13T20:33:46Z,DLH790,"48.357883,11.792884",0,10,250
1697229240,2023-10-13T20:34:00Z,DLH790,"48.357872,11.793155",0,0,230
1697229250,2023-10-13T20:34:10Z,DLH790,"48.357891,11.793365",0,3,216
1697229273,2023-10-13T20:34:33Z,DLH790,"48.358109,11.793682",0,3,194
1697229297,2023-10-13T20:34:57Z,DLH790,"48.358372,11.793876",0,2,174
1697229416,2023-10-13T20:36:56Z,DLH790,"48.357872,11.792974",0,0,171
1697229461,2023-10-13T20:37:41Z,DLH790,"48.358418,11.793878",0,0,171
1697229493,2023-10-13T20:38:13Z,DLH790,"48.3582,11.793964",0,4,168
1697229505,2023-10-13T20:38:25Z,DLH790,"48.357998,11.794112",0,5,157
1697229514,2023-10-13T20:38:34Z,DLH790,"48.357811,11.794333",0,6,149
1697229522,2023-10-13T20:38:42Z,DLH790,"48.357605,11.794545",0,7,146
1697229531,2023-10-13T20:38:51Z,DLH790,"48.357365,11.794774",0,7,146
1697229539,2023-10-13T20:38:59Z,DLH790,"48.357124,11.795003",0,8,146
1697229547,2023-10-13T20:39:07Z,DLH790,"48.356892,11.795233",0,9,146
1697229555,2023-10-13T20:39:15Z,DLH790,"48.356602,11.795485",0,9,149
1697229569,2023-10-13T20:39:29Z,DLH790,"48.355972,11.795703",0,10,171
1697229586,2023-10-13T20:39:46Z,DLH790,"48.355312,11.795793",0,0,174
1697229612,2023-10-13T20:40:12Z,DLH790,"48.354172,11.795992",0,0,171
1697229624,2023-10-13T20:40:24Z,DLH790,"48.353588,11.7961",0,0,171
1697229637,2023-10-13T20:40:37Z,DLH790,"48.35289,11.796208",0,12,174
1697229698,2023-10-13T20:41:38Z,DLH790,"48.349319,11.796816",0,0,174
1697229710,2023-10-13T20:41:50Z,DLH790,"48.34869,11.796931",0,10,174
1697229811,2023-10-13T20:43:31Z,DLH790,"48.348553,11.803929",0,0,84
1697229837,2023-10-13T20:43:57Z,DLH790,"48.34798,11.805496",0,0,143
1697229843,2023-10-13T20:44:03Z,DLH790,"48.347706,11.805584",0,9,160
1697229850,2023-10-13T20:44:10Z,DLH790,"48.34742,11.805619",0,9,168
1697229855,2023-10-13T20:44:15Z,DLH790,"48.347202,11.805673",0,8,171
1697229868,2023-10-13T20:44:28Z,DLH790,"48.34679,11.805742",0,6,171
1697229875,2023-10-13T20:44:35Z,DLH790,"48.346581,11.805785",0,0,171
1697229884,2023-10-13T20:44:44Z,DLH790,"48.346287,11.80576",0,0,182
1697229890,2023-10-13T20:44:50Z,DLH790,"48.347652,11.805587",0,7,194
1697230161,2023-10-13T20:49:21Z,DLH790,"48.343735,11.790725",1475,118,263
1697230172,2023-10-13T20:49:32Z,DLH790,"48.34314,11.782978",1475,144,263
1697230181,2023-10-13T20:49:41Z,DLH790,"48.342041,11.768752",1525,179,263
1697230187,2023-10-13T20:49:47Z,DLH790,"48.341446,11.76016",1800,177,264
1697230197,2023-10-13T20:49:57Z,DLH790,"48.340588,11.748577",2275,171,263
1697230206,2023-10-13T20:50:06Z,DLH790,"48.33989,11.73861",2800,160,263
1697230215,2023-10-13T20:50:15Z,DLH790,"48.339054,11.728628",3250,159,262
1697230224,2023-10-13T20:50:24Z,DLH790,"48.33815,11.718821",3450,165,262
1697230233,2023-10-13T20:50:33Z,DLH790,"48.337189,11.707884",3625,171,262
1697230242,2023-10-13T20:50:42Z,DLH790,"48.336308,11.697331",3750,181,263
1697230251,2023-10-13T20:50:51Z,DLH790,"48.335327,11.685911",3850,191,263
1697230260,2023-10-13T20:51:00Z,DLH790,"48.334351,11.673255",3950,202,263
1697230269,2023-10-13T20:51:09Z,DLH790,"48.333466,11.660036",4050,213,264
1697230278,2023-10-13T20:51:18Z,DLH790,"48.332565,11.646353",4250,220,264
1697230287,2023-10-13T20:51:27Z,DLH790,"48.33165,11.632761",4425,228,264
1697230296,2023-10-13T20:51:36Z,DLH790,"48.330688,11.617901",4700,230,264
1697230305,2023-10-13T20:51:45Z,DLH790,"48.329742,11.604237",5075,229,264
1697230318,2023-10-13T20:51:58Z,DLH790,"48.328392,11.584216",5450,236,264
1697230332,2023-10-13T20:52:12Z,DLH790,"48.326717,11.560798",5900,239,263
1697230347,2023-10-13T20:52:27Z,DLH790,"48.324856,11.534922",6450,243,263
1697230363,2023-10-13T20:52:43Z,DLH790,"48.322945,11.508829",6975,246,263
1697230378,2023-10-13T20:52:58Z,DLH790,"48.321037,11.483532",7725,239,263
1697230390,2023-10-13T20:53:10Z,DLH790,"48.31871,11.464667",8225,234,251
1697230393,2023-10-13T20:53:13Z,DLH790,"48.31736,11.459536",8350,235,246
1697230396,2023-10-13T20:53:16Z,DLH790,"48.315765,11.455078",8450,235,239
1697230399,2023-10-13T20:53:19Z,DLH790,"48.314117,11.451345",8525,236,233
1697230402,2023-10-13T20:53:22Z,DLH790,"48.312057,11.447613",8600,237,227
1697230404,2023-10-13T20:53:24Z,DLH790,"48.30991,11.444501",8675,239,221
1697230407,2023-10-13T20:53:27Z,DLH790,"48.307159,11.441275",8775,240,215
1697230411,2023-10-13T20:53:31Z,DLH790,"48.30386,11.438286",8900,243,208
1697230413,2023-10-13T20:53:33Z,DLH790,"48.301483,11.436626",8975,245,203
1697230417,2023-10-13T20:53:37Z,DLH790,"48.297272,11.434443",9100,250,195
1697230420,2023-10-13T20:53:40Z,DLH790,"48.293884,11.433387",9175,252,190
1697230423,2023-10-13T20:53:43Z,DLH790,"48.290451,11.432793",9250,256,183
1697230426,2023-10-13T20:53:46Z,DLH790,"48.286697,11.432683",9350,259,178
1697230429,2023-10-13T20:53:49Z,DLH790,"48.283329,11.433154",9425,262,173
1697230432,2023-10-13T20:53:52Z,DLH790,"48.279606,11.434166",9525,265,166
1697230435,2023-10-13T20:53:55Z,DLH790,"48.276123,11.435711",9625,268,161
1697230438,2023-10-13T20:53:58Z,DLH790,"48.273697,11.437119",9700,270,155
1697230441,2023-10-13T20:54:01Z,DLH790,"48.26955,11.440237",9850,271,150
1697230444,2023-10-13T20:54:04Z,DLH790,"48.265915,11.44374",9975,273,146
1697230447,2023-10-13T20:54:07Z,DLH790,"48.262894,11.447392",10075,275,139
1697230450,2023-10-13T20:54:10Z,DLH790,"48.260468,11.450923",10150,278,134
1697230453,2023-10-13T20:54:13Z,DLH790,"48.257721,11.455571",10250,282,130
