Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1697404247,2023-10-15T21:10:47Z,DLH790,"48.35891,11.791922",0,0,261
1697404276,2023-10-15T21:11:16Z,DLH790,"48.358929,11.792143",0,3,264
1697404286,2023-10-15T21:11:26Z,DLH790,"48.358944,11.792344",0,3,264
1697404297,2023-10-15T21:11:37Z,DLH790,"48.358978,11.792591",0,4,267
1697404307,2023-10-15T21:11:47Z,DLH790,"48.359035,11.792837",0,4,281
1697404316,2023-10-15T21:11:56Z,DLH790,"48.35907,11.793046",0,3,295
1697404327,2023-10-15T21:12:07Z,DLH790,"48.359058,11.7933",0,3,312
1697404336,2023-10-15T21:12:16Z,DLH790,"48.359013,11.793507",0,3,329
1697404348,2023-10-15T21:12:28Z,DLH790,"48.358883,11.793715",0,4,343
1697404365,2023-10-15T21:12:45Z,DLH790,"48.358681,11.793859",0,2,354
1697404386,2023-10-15T21:13:06Z,DLH790,"48.358463,11.793878",0,1,354
1697404434,2023-10-15T21:13:54Z,DLH790,"48.358967,11.792486",0,0,354
1697404473,2023-10-15T21:14:33Z,DLH790,"48.358463,11.793878",0,0,354
1697404583,2023-10-15T21:16:23Z,DLH790,"48.358685,11.793841",0,4,354
1697404595,2023-10-15T21:16:35Z,DLH790,"48.359001,11.793753",0,6,351
1697404603,2023-10-15T21:16:43Z,DLH790,"48.359207,11.793594",0,6,340
1697404612,2023-10-15T21:16:52Z,DLH790,"48.359413,11.793436",0,6,337
1697404622,2023-10-15T21:17:02Z,DLH790,"48.359756,11.793371",0,9,348
1697404627,2023-10-15T21:17:07Z,DLH790,"48.359978,11.793335",0,10,351
1697404632,2023-10-15T21:17:12Z,DLH790,"48.360199,11.793282",0,10,351
1697404637,2023-10-15T21:17:17Z,DLH790,"48.36042,11.793242",0,10,351
1697404645,2023-10-15T21:17:25Z,DLH790,"48.360729,11.79326",0,10,2
1697404651,2023-10-15T21:17:31Z,DLH790,"48.36097,11.793559",0,12,30
1697404653,2023-10-15T21:17:33Z,DLH790,"48.361027,11.793769",0,12,47
1697404656,2023-10-15T21:17:36Z,DLH790,"48.361038,11.793982",0,12,61
1697404659,2023-10-15T21:17:39Z,DLH790,"48.361038,11.794193",0,12,73
1697404667,2023-10-15T21:17:47Z,DLH790,"48.361095,11.794862",0,12,81
1697404670,2023-10-15T21:17:50Z,DLH790,"48.361118,11.795144",0,13,81
1697404673,2023-10-15T21:17:53Z,DLH790,"48.36113,11.79539",0,13,84
