Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1697489189,2023-10-16T20:46:29Z,DLH790,"48.358929,11.79207",0,0,264
1697489209,2023-10-16T20:46:49Z,DLH790,"48.35894,11.792323",0,2,261
1697489228,2023-10-16T20:47:08Z,DLH790,"48.358952,11.792613",0,2,261
1697489247,2023-10-16T20:47:27Z,DLH790,"48.358906,11.792902",0,0,236
1697489262,2023-10-16T20:47:42Z,DLH790,"48.358887,11.793154",0,2,210
1697489278,2023-10-16T20:47:58Z,DLH790,"48.358955,11.793383",0,0,185
1697489301,2023-10-16T20:48:21Z,DLH790,"48.359173,11.793453",0,2,174
1697489321,2023-10-16T20:48:41Z,DLH790,"48.359383,11.793407",0,2,177
1697489567,2023-10-16T20:52:47Z,DLH790,"48.35915,11.793559",0,8,165
1697489572,2023-10-16T20:52:52Z,DLH790,"48.358944,11.793736",0,10,157
1697489579,2023-10-16T20:52:59Z,DLH790,"48.358635,11.794017",0,12,151
1697489584,2023-10-16T20:53:04Z,DLH790,"48.358406,11.794193",0,13,151
1697489588,2023-10-16T20:53:08Z,DLH790,"48.358162,11.794401",0,13,151
1697489598,2023-10-16T20:53:18Z,DLH790,"48.357594,11.794871",0,14,151
1697489606,2023-10-16T20:53:26Z,DLH790,"48.357147,11.795232",0,14,151
1697489613,2023-10-16T20:53:33Z,DLH790,"48.356701,11.795513",0,15,157
1697489617,2023-10-16T20:53:37Z,DLH790,"48.356476,11.795594",0,15,163
1697489641,2023-10-16T20:54:01Z,DLH790,"48.354763,11.795865",0,0,174
1697489649,2023-10-16T20:54:09Z,DLH790,"48.35416,11.795954",0,16,174
1697489659,2023-10-16T20:54:19Z,DLH790,"48.353458,11.796082",0,16,174
1697489673,2023-10-16T20:54:33Z,DLH790,"48.352352,11.79627",0,0,174
1697489703,2023-10-16T20:55:03Z,DLH790,"48.349899,11.796697",0,0,174
1697489725,2023-10-16T20:55:25Z,DLH790,"48.348549,11.796949",0,0,171
1697489736,2023-10-16T20:55:36Z,DLH790,"48.348061,11.796763",0,11,199
1697489762,2023-10-16T20:56:02Z,DLH790,"48.347839,11.794546",0,0,264
1697489770,2023-10-16T20:56:10Z,DLH790,"48.347752,11.793507",0,0,264
1697489796,2023-10-16T20:56:36Z,DLH790,"48.3475,11.790161",0,0,264
1697489822,2023-10-16T20:57:02Z,DLH790,"48.347214,11.786499",0,0,264
1697489829,2023-10-16T20:57:09Z,DLH790,"48.347145,11.785548",0,20,264
1697489837,2023-10-16T20:57:17Z,DLH790,"48.347046,11.784373",0,20,264
1697489844,2023-10-16T20:57:24Z,DLH790,"48.346977,11.78336",0,20,264
1697489853,2023-10-16T20:57:33Z,DLH790,"48.34687,11.782044",0,21,264
1697489864,2023-10-16T20:57:44Z,DLH790,"48.346756,11.780496",0,20,264
1697489872,2023-10-16T20:57:52Z,DLH790,"48.346664,11.779367",0,19,264
1697489887,2023-10-16T20:58:07Z,DLH790,"48.346516,11.777379",0,21,264
1697489959,2023-10-16T20:59:19Z,DLH790,"48.345623,11.765777",0,0,264
1697489970,2023-10-16T20:59:30Z,DLH790,"48.345486,11.763946",0,24,264
1697489990,2023-10-16T20:59:50Z,DLH790,"48.345222,11.760635",0,20,264
1697490005,2023-10-16T21:00:05Z,DLH790,"48.34507,11.758533",0,0,264
1697490012,2023-10-16T21:00:12Z,DLH790,"48.345001,11.757576",0,20,264
1697490020,2023-10-16T21:00:20Z,DLH790,"48.344913,11.756533",0,20,264
1697490027,2023-10-16T21:00:27Z,DLH790,"48.344826,11.755425",0,20,264
1697490035,2023-10-16T21:00:35Z,DLH790,"48.344742,11.754279",0,20,264
1697490043,2023-10-16T21:00:43Z,DLH790,"48.344673,11.753311",0,16,264
1697490054,2023-10-16T21:00:54Z,DLH790,"48.344582,11.75215",0,15,264
1697490062,2023-10-16T21:01:02Z,DLH790,"48.344521,11.751396",0,0,264
1697490073,2023-10-16T21:01:13Z,DLH790,"48.344296,11.75067",0,11,236
1697490078,2023-10-16T21:01:18Z,DLH790,"48.344082,11.750583",0,11,213
1697490082,2023-10-16T21:01:22Z,DLH790,"48.343861,11.750619",0,10,191
1697490087,2023-10-16T21:01:27Z,DLH790,"48.343651,11.750691",0,9,177
1697490092,2023-10-16T21:01:32Z,DLH790,"48.343418,11.750745",0,10,174
1697490099,2023-10-16T21:01:39Z,DLH790,"48.343094,11.750811",0,12,174
1697490106,2023-10-16T21:01:46Z,DLH790,"48.342739,11.750864",0,9,174
1697490121,2023-10-16T21:02:01Z,DLH790,"48.342304,11.750952",0,5,174
1697490531,2023-10-16T21:08:51Z,DLH790,"48.341751,11.751088",0,5,168
1697490539,2023-10-16T21:08:59Z,DLH790,"48.341537,11.751163",0,7,168
1697490545,2023-10-16T21:09:05Z,DLH790,"48.34132,11.751197",0,8,171
1697490560,2023-10-16T21:09:20Z,DLH790,"48.340832,11.751324",0,0,168
1697490572,2023-10-16T21:09:32Z,DLH790,"48.340645,11.751533",0,4,151
1697490592,2023-10-16T21:09:52Z,DLH790,"48.340752,11.75201",0,4,92
1697490610,2023-10-16T21:10:10Z,DLH790,"48.340832,11.752769",0,21,84
1697490618,2023-10-16T21:10:18Z,DLH790,"48.341011,11.755159",0,0,81
1697490626,2023-10-16T21:10:26Z,DLH790,"48.341347,11.759473",0,92,84
1697490633,2023-10-16T21:10:33Z,DLH790,"48.341766,11.764668",1300,119,83
1697490642,2023-10-16T21:10:42Z,DLH790,"48.342266,11.771273",1300,141,83
1697490654,2023-10-16T21:10:54Z,DLH790,"48.34338,11.786306",1475,171,83
1697490663,2023-10-16T21:11:03Z,DLH790,"48.344101,11.796922",1875,166,84
1697490672,2023-10-16T21:11:12Z,DLH790,"48.34473,11.806038",2375,160,83
1697490680,2023-10-16T21:11:20Z,DLH790,"48.34552,11.816077",2700,161,83
1697490688,2023-10-16T21:11:28Z,DLH790,"48.346115,11.825022",2825,168,84
1697490696,2023-10-16T21:11:36Z,DLH790,"48.346687,11.834661",2900,180,84
1697490704,2023-10-16T21:11:44Z,DLH790,"48.347305,11.8446",3000,191,84
1697490711,2023-10-16T21:11:51Z,DLH790,"48.347897,11.854682",3075,200,84
