Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1698005456,2023-10-22T20:10:56Z,DLH790,"48.357952,11.794637",0,5,270
1698005463,2023-10-22T20:11:03Z,DLH790,"48.357948,11.794845",0,4,267
1698005472,2023-10-22T20:11:12Z,DLH790,"48.35796,11.795109",0,4,264
1698005479,2023-10-22T20:11:19Z,DLH790,"48.357964,11.795323",0,0,264
1698005486,2023-10-22T20:11:26Z,DLH790,"48.357971,11.795567",0,5,264
1698005496,2023-10-22T20:11:36Z,DLH790,"48.357998,11.795865",0,4,264
1698005505,2023-10-22T20:11:45Z,DLH790,"48.358021,11.796118",0,4,264
1698005530,2023-10-22T20:12:10Z,DLH790,"48.358047,11.79657",0,0,261
1698005684,2023-10-22T20:14:44Z,DLH790,"48.357937,11.795707",0,9,255
1698005695,2023-10-22T20:14:55Z,DLH790,"48.357605,11.795338",0,9,219
1698005703,2023-10-22T20:15:03Z,DLH790,"48.3573,11.79536",0,8,188
1698005708,2023-10-22T20:15:08Z,DLH790,"48.357079,11.795425",0,10,177
1698005717,2023-10-22T20:15:17Z,DLH790,"48.356647,11.79554",0,12,171
1698005721,2023-10-22T20:15:21Z,DLH790,"48.35638,11.795594",0,14,174
1698005973,2023-10-22T20:19:33Z,DLH790,"48.347397,11.803965",0,0,171
1698006090,2023-10-22T20:21:30Z,DLH790,"48.343369,11.785935",1425,138,263
1698006105,2023-10-22T20:21:45Z,DLH790,"48.342133,11.769878",1475,178,263
1698006113,2023-10-22T20:21:53Z,DLH790,"48.341217,11.758329",1850,175,262
1698006123,2023-10-22T20:22:03Z,DLH790,"48.340355,11.74742",2250,173,263
1698006132,2023-10-22T20:22:12Z,DLH790,"48.339615,11.736638",2650,171,263
1698006141,2023-10-22T20:22:21Z,DLH790,"48.338821,11.725809",2850,179,263
1698006150,2023-10-22T20:22:30Z,DLH790,"48.337921,11.713891",2950,190,263
1698006159,2023-10-22T20:22:39Z,DLH790,"48.33696,11.701636",3050,200,263
1698006168,2023-10-22T20:22:48Z,DLH790,"48.335888,11.688586",3200,210,263
1698006177,2023-10-22T20:22:57Z,DLH790,"48.3349,11.67565",3375,218,263
1698006186,2023-10-22T20:23:06Z,DLH790,"48.333839,11.661771",3550,226,263
1698006192,2023-10-22T20:23:12Z,DLH790,"48.333141,11.651868",3650,232,263
1698006201,2023-10-22T20:23:21Z,DLH790,"48.332069,11.637485",3825,239,264
1698006210,2023-10-22T20:23:30Z,DLH790,"48.331009,11.621916",4150,241,264
1698006219,2023-10-22T20:23:39Z,DLH790,"48.330021,11.606983",4525,242,264
1698006229,2023-10-22T20:23:49Z,DLH790,"48.328903,11.591372",4900,242,264
1698006238,2023-10-22T20:23:58Z,DLH790,"48.327896,11.576702",5250,242,264
1698006253,2023-10-22T20:24:13Z,DLH790,"48.326065,11.551208",5850,242,263
1698006268,2023-10-22T20:24:28Z,DLH790,"48.324154,11.526248",6450,241,263
1698006283,2023-10-22T20:24:43Z,DLH790,"48.322342,11.500806",7000,244,264
1698006298,2023-10-22T20:24:58Z,DLH790,"48.320663,11.476135",7500,247,264
1698006313,2023-10-22T20:25:13Z,DLH790,"48.318893,11.44985",8125,246,263
1698006325,2023-10-22T20:25:25Z,DLH790,"48.317368,11.429585",8600,245,262
1698006340,2023-10-22T20:25:40Z,DLH790,"48.314163,11.40416",9225,241,249
1698006343,2023-10-22T20:25:43Z,DLH790,"48.312744,11.399583",9350,241,242
1698006346,2023-10-22T20:25:46Z,DLH790,"48.31105,11.395288",9475,240,236
1698006350,2023-10-22T20:25:50Z,DLH790,"48.30912,11.391521",9575,239,229
1698006353,2023-10-22T20:25:53Z,DLH790,"48.306473,11.3874",9700,240,222
1698006356,2023-10-22T20:25:56Z,DLH790,"48.304001,11.384371",9775,242,216
1698006358,2023-10-22T20:25:58Z,DLH790,"48.301117,11.381624",9875,242,209
1698006361,2023-10-22T20:26:01Z,DLH790,"48.298088,11.379451",9950,245,203
1698006365,2023-10-22T20:26:05Z,DLH790,"48.294643,11.377644",10025,247,196
1698006368,2023-10-22T20:26:08Z,DLH790,"48.291229,11.376554",10125,249,189
1698006371,2023-10-22T20:26:11Z,DLH790,"48.288124,11.376054",10200,252,183
1698006373,2023-10-22T20:26:13Z,DLH790,"48.284821,11.375981",10250,255,178
1698006377,2023-10-22T20:26:17Z,DLH790,"48.280655,11.376695",10325,260,171
