Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1698264863,2023-10-25T20:14:23Z,DLH790,"48.358128,11.793643",0,0,194
1698264882,2023-10-25T20:14:42Z,DLH790,"48.358337,11.793736",0,2,188
1698264908,2023-10-25T20:15:08Z,DLH790,"48.358566,11.793859",0,1,174
1698264924,2023-10-25T20:15:24Z,DLH790,"48.358349,11.793733",0,1,171
1698265116,2023-10-25T20:18:36Z,DLH790,"48.358509,11.793911",0,0,168
1698265128,2023-10-25T20:18:48Z,DLH790,"48.358337,11.794123",0,6,149
1698265133,2023-10-25T20:18:53Z,DLH790,"48.35828,11.79433",0,7,135
1698265138,2023-10-25T20:18:58Z,DLH790,"48.358246,11.794562",0,7,120
1698265145,2023-10-25T20:19:05Z,DLH790,"48.358212,11.794897",0,6,106
1698265162,2023-10-25T20:19:22Z,DLH790,"48.357914,11.795373",0,0,135
1698265172,2023-10-25T20:19:32Z,DLH790,"48.357674,11.795449",0,5,154
1698265186,2023-10-25T20:19:46Z,DLH790,"48.357319,11.795461",0,6,171
1698265194,2023-10-25T20:19:54Z,DLH790,"48.357113,11.795485",0,6,174
1698265200,2023-10-25T20:20:00Z,DLH790,"48.356907,11.795531",0,7,174
1698265208,2023-10-25T20:20:08Z,DLH790,"48.356686,11.795558",0,7,174
1698265215,2023-10-25T20:20:15Z,DLH790,"48.356464,11.795594",0,7,174
1698265261,2023-10-25T20:21:01Z,DLH790,"48.354637,11.795901",0,10,174
1698265351,2023-10-25T20:22:31Z,DLH790,"48.349731,11.796746",0,13,174
1698265482,2023-10-25T20:24:42Z,DLH790,"48.34856,11.804303",0,12,90
1698265514,2023-10-25T20:25:14Z,DLH790,"48.347626,11.805602",0,0,163
1698265521,2023-10-25T20:25:21Z,DLH790,"48.347279,11.805641",0,11,171
1698265544,2023-10-25T20:25:44Z,DLH790,"48.34621,11.805659",0,0,188
1698265607,2023-10-25T20:26:47Z,DLH790,"48.345627,11.804955",0,0,216
1698265716,2023-10-25T20:28:36Z,DLH790,"48.342358,11.772862",1875,168,262
1698265725,2023-10-25T20:28:45Z,DLH790,"48.341518,11.762744",2225,166,264
1698265734,2023-10-25T20:28:54Z,DLH790,"48.340897,11.752273",2675,164,265
1698265743,2023-10-25T20:29:03Z,DLH790,"48.340347,11.74192",3075,163,265
1698265752,2023-10-25T20:29:12Z,DLH790,"48.339798,11.731591",3250,173,264
1698265762,2023-10-25T20:29:22Z,DLH790,"48.338654,11.7203",3350,184,254
1698265764,2023-10-25T20:29:24Z,DLH790,"48.337875,11.716919",3400,187,248
1698265767,2023-10-25T20:29:27Z,DLH790,"48.336731,11.713327",3450,190,241
1698265771,2023-10-25T20:29:31Z,DLH790,"48.335281,11.709908",3500,195,234
1698265774,2023-10-25T20:29:34Z,DLH790,"48.333435,11.706496",3575,200,227
1698265777,2023-10-25T20:29:37Z,DLH790,"48.331371,11.70362",3625,203,220
1698265779,2023-10-25T20:29:39Z,DLH790,"48.329182,11.701235",3675,208,213
1698265783,2023-10-25T20:29:43Z,DLH790,"48.326389,11.69885",3725,213,206
1698265786,2023-10-25T20:29:46Z,DLH790,"48.323914,11.697341",3775,218,198
1698265789,2023-10-25T20:29:49Z,DLH790,"48.320759,11.695886",3825,223,194
