Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1698352462,2023-10-26T20:34:22Z,DLH790,"48.357834,11.793189",0,3,239
1698352475,2023-10-26T20:34:35Z,DLH790,"48.357834,11.793418",0,3,219
1698352493,2023-10-26T20:34:53Z,DLH790,"48.357948,11.793665",0,3,199
1698352522,2023-10-26T20:35:22Z,DLH790,"48.358219,11.793914",0,1,174
1698352635,2023-10-26T20:37:15Z,DLH790,"48.357838,11.793209",0,0,174
1698352705,2023-10-26T20:38:25Z,DLH790,"48.358212,11.793911",0,0,174
1698352738,2023-10-26T20:38:58Z,DLH790,"48.357971,11.794052",0,6,163
1698352745,2023-10-26T20:39:05Z,DLH790,"48.357697,11.794239",0,11,157
1698352753,2023-10-26T20:39:13Z,DLH790,"48.357243,11.794528",0,15,157
1698352786,2023-10-26T20:39:46Z,DLH790,"48.354786,11.795829",0,0,163
1698352801,2023-10-26T20:40:01Z,DLH790,"48.353519,11.796082",0,0,174
1698352809,2023-10-26T20:40:09Z,DLH790,"48.352821,11.796218",0,0,174
1698352829,2023-10-26T20:40:29Z,DLH790,"48.351295,11.796479",0,0,174
1698352838,2023-10-26T20:40:38Z,DLH790,"48.350689,11.796588",0,15,174
1698352851,2023-10-26T20:40:51Z,DLH790,"48.349865,11.796733",0,0,174
1698352878,2023-10-26T20:41:18Z,DLH790,"48.34864,11.796931",0,0,174
1698352925,2023-10-26T20:42:05Z,DLH790,"48.348198,11.799598",0,0,81
1698352992,2023-10-26T20:43:12Z,DLH790,"48.347328,11.804017",0,0,168
1698353025,2023-10-26T20:43:45Z,DLH790,"48.345257,11.804352",0,0,177
1698353070,2023-10-26T20:44:30Z,DLH790,"48.34343,11.785945",1925,143,263
1698353082,2023-10-26T20:44:42Z,DLH790,"48.342266,11.771344",1950,176,263
1698353088,2023-10-26T20:44:48Z,DLH790,"48.341705,11.764261",2150,176,263
1698353097,2023-10-26T20:44:57Z,DLH790,"48.340916,11.752986",2575,171,264
1698353106,2023-10-26T20:45:06Z,DLH790,"48.34021,11.742272",3000,170,264
1698353116,2023-10-26T20:45:16Z,DLH790,"48.339478,11.731497",3325,172,263
1698353125,2023-10-26T20:45:25Z,DLH790,"48.338654,11.72051",3525,178,263
1698353134,2023-10-26T20:45:34Z,DLH790,"48.337887,11.709402",3700,186,263
1698353143,2023-10-26T20:45:43Z,DLH790,"48.336868,11.696848",3850,195,262
1698353152,2023-10-26T20:45:52Z,DLH790,"48.335888,11.684972",4025,202,262
1698353161,2023-10-26T20:46:01Z,DLH790,"48.334808,11.672129",4275,207,262
