Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1698438384,2023-10-27T20:26:24Z,DLH790,"48.358047,11.793932",0,0,174
1698438398,2023-10-27T20:26:38Z,DLH790,"48.357578,11.794022",0,10,174
1698438459,2023-10-27T20:27:39Z,DLH790,"48.354321,11.795513",0,0,129
1698438481,2023-10-27T20:28:01Z,DLH790,"48.353073,11.796147",0,14,174
1698438531,2023-10-27T20:28:51Z,DLH790,"48.349689,11.796733",0,15,174
1698438634,2023-10-27T20:30:34Z,DLH790,"48.348537,11.803978",0,16,84
1698438658,2023-10-27T20:30:58Z,DLH790,"48.347527,11.805569",0,0,168
1698438663,2023-10-27T20:31:03Z,DLH790,"48.347202,11.805602",0,15,171
1698438676,2023-10-27T20:31:16Z,DLH790,"48.346313,11.805676",0,14,182
1698438869,2023-10-27T20:34:29Z,DLH790,"48.344139,11.795811",0,0,264
1698438880,2023-10-27T20:34:40Z,DLH790,"48.343506,11.787696",1800,124,263
1698438893,2023-10-27T20:34:53Z,DLH790,"48.342499,11.774104",1750,144,263
1698438902,2023-10-27T20:35:02Z,DLH790,"48.341705,11.763322",2100,171,264
1698438912,2023-10-27T20:35:12Z,DLH790,"48.340897,11.752273",2650,159,263
1698438920,2023-10-27T20:35:20Z,DLH790,"48.340118,11.743188",3075,156,262
1698438928,2023-10-27T20:35:28Z,DLH790,"48.339378,11.733615",3300,159,263
1698438938,2023-10-27T20:35:38Z,DLH790,"48.338589,11.723496",3450,167,263
1698438947,2023-10-27T20:35:47Z,DLH790,"48.337704,11.712583",3600,176,262
1698438956,2023-10-27T20:35:56Z,DLH790,"48.336731,11.701003",3750,184,262
1698438965,2023-10-27T20:36:05Z,DLH790,"48.335701,11.689381",3900,191,262
1698438974,2023-10-27T20:36:14Z,DLH790,"48.334583,11.676877",4050,202,262
1698438983,2023-10-27T20:36:23Z,DLH790,"48.333466,11.664734",4250,205,262
1698438992,2023-10-27T20:36:32Z,DLH790,"48.332245,11.651072",4450,212,262
1698439001,2023-10-27T20:36:41Z,DLH790,"48.331093,11.637918",4600,220,262
1698439007,2023-10-27T20:36:47Z,DLH790,"48.330322,11.628465",4675,229,263
1698439017,2023-10-27T20:36:57Z,DLH790,"48.329224,11.613464",4775,240,264
1698439025,2023-10-27T20:37:05Z,DLH790,"48.328171,11.598252",5025,244,263
1698439040,2023-10-27T20:37:20Z,DLH790,"48.326523,11.572969",5600,245,264
1698439056,2023-10-27T20:37:36Z,DLH790,"48.325058,11.547053",6325,242,265
1698439071,2023-10-27T20:37:51Z,DLH790,"48.323639,11.522053",6900,243,264
1698439086,2023-10-27T20:38:06Z,DLH790,"48.321991,11.496065",7450,246,264
1698439101,2023-10-27T20:38:21Z,DLH790,"48.32016,11.47029",7950,250,263
1698439113,2023-10-27T20:38:33Z,DLH790,"48.317505,11.450642",8375,250,250
1698439116,2023-10-27T20:38:36Z,DLH790,"48.315914,11.445224",8525,251,243
1698439119,2023-10-27T20:38:39Z,DLH790,"48.313934,11.440148",8650,252,236
1698439122,2023-10-27T20:38:42Z,DLH790,"48.312103,11.436416",8750,254,231
1698439125,2023-10-27T20:38:45Z,DLH790,"48.309444,11.431997",8850,256,225
