Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1698613741,2023-10-29T21:09:01Z,DLH790,"48.358917,11.792938",0,4,233
1698613757,2023-10-29T21:09:17Z,DLH790,"48.358967,11.793365",0,4,188
1698613769,2023-10-29T21:09:29Z,DLH790,"48.359184,11.793471",0,4,174
1698614007,2023-10-29T21:13:27Z,DLH790,"48.359081,11.7937",0,7,151
1698614015,2023-10-29T21:13:35Z,DLH790,"48.358826,11.793859",0,9,157
1698614023,2023-10-29T21:13:43Z,DLH790,"48.358452,11.793876",0,10,174
1698614030,2023-10-29T21:13:50Z,DLH790,"48.358116,11.793914",0,10,174
1698614043,2023-10-29T21:14:03Z,DLH790,"48.357628,11.794003",0,8,174
1698614049,2023-10-29T21:14:09Z,DLH790,"48.357384,11.79404",0,8,174
1698614160,2023-10-29T21:16:00Z,DLH790,"48.353668,11.79469",0,0,174
1698614179,2023-10-29T21:16:19Z,DLH790,"48.35281,11.794853",0,11,174
1698614185,2023-10-29T21:16:25Z,DLH790,"48.352455,11.794897",0,11,174
1698614195,2023-10-29T21:16:35Z,DLH790,"48.351971,11.795016",0,12,171
1698614236,2023-10-29T21:17:16Z,DLH790,"48.349678,11.79675",0,0,174
1698614396,2023-10-29T21:19:56Z,DLH790,"48.347431,11.805584",0,0,168
1698614421,2023-10-29T21:20:21Z,DLH790,"48.346344,11.805637",0,0,185
1698614562,2023-10-29T21:22:42Z,DLH790,"48.344147,11.795795",0,0,264
1698614575,2023-10-29T21:22:55Z,DLH790,"48.34338,11.785872",1650,136,263
1698614593,2023-10-29T21:23:13Z,DLH790,"48.341812,11.765161",1825,178,263
1698614602,2023-10-29T21:23:22Z,DLH790,"48.34108,11.753752",2300,168,264
1698614611,2023-10-29T21:23:31Z,DLH790,"48.340347,11.743328",2775,162,264
1698614621,2023-10-29T21:23:41Z,DLH790,"48.339657,11.732821",3150,164,264
1698614630,2023-10-29T21:23:50Z,DLH790,"48.338974,11.722271",3325,173,264
1698614638,2023-10-29T21:23:58Z,DLH790,"48.338425,11.711567",3450,182,265
1698614648,2023-10-29T21:24:08Z,DLH790,"48.337784,11.699805",3625,191,265
1698614657,2023-10-29T21:24:17Z,DLH790,"48.337143,11.686918",3775,199,265
1698614666,2023-10-29T21:24:26Z,DLH790,"48.336273,11.674101",3950,208,263
1698614675,2023-10-29T21:24:35Z,DLH790,"48.335281,11.661409",4150,214,262
1698614684,2023-10-29T21:24:44Z,DLH790,"48.33403,11.647832",4400,220,261
1698614693,2023-10-29T21:24:53Z,DLH790,"48.332626,11.633655",4650,226,261
1698614699,2023-10-29T21:24:59Z,DLH790,"48.33165,11.62368",4800,231,261
1698614708,2023-10-29T21:25:08Z,DLH790,"48.330299,11.609513",4950,241,262
1698614717,2023-10-29T21:25:17Z,DLH790,"48.328903,11.594118",5125,250,262
1698614733,2023-10-29T21:25:33Z,DLH790,"48.326614,11.567195",5550,258,262
1698614748,2023-10-29T21:25:48Z,DLH790,"48.324463,11.540081",6175,259,263
1698614763,2023-10-29T21:26:03Z,DLH790,"48.322357,11.512897",6725,262,263
1698614778,2023-10-29T21:26:18Z,DLH790,"48.320389,11.48522",7225,268,264
1698614793,2023-10-29T21:26:33Z,DLH790,"48.318569,11.457512",7875,265,264
1698614808,2023-10-29T21:26:48Z,DLH790,"48.315868,11.430408",8575,260,255
1698614811,2023-10-29T21:26:51Z,DLH790,"48.314438,11.425007",8775,254,244
1698614814,2023-10-29T21:26:54Z,DLH790,"48.312744,11.420359",8950,252,240
1698614817,2023-10-29T21:26:57Z,DLH790,"48.310982,11.416602",9100,248,232
1698614820,2023-10-29T21:27:00Z,DLH790,"48.308655,11.412771",9275,246,224
1698614823,2023-10-29T21:27:03Z,DLH790,"48.305767,11.409013",9475,244,217
1698614826,2023-10-29T21:27:06Z,DLH790,"48.303314,11.406555",9625,242,211
1698614829,2023-10-29T21:27:09Z,DLH790,"48.29995,11.404025",9825,242,203
1698614833,2023-10-29T21:27:13Z,DLH790,"48.296722,11.402329",9950,244,198
1698614835,2023-10-29T21:27:15Z,DLH790,"48.293941,11.401278",10050,245,191
1698614838,2023-10-29T21:27:18Z,DLH790,"48.290218,11.400484",10150,249,185
1698614841,2023-10-29T21:27:21Z,DLH790,"48.286682,11.400267",10200,254,179
1698614844,2023-10-29T21:27:24Z,DLH790,"48.283096,11.400701",10250,258,172
1698614847,2023-10-29T21:27:27Z,DLH790,"48.27951,11.401712",10300,262,166
1698614850,2023-10-29T21:27:30Z,DLH790,"48.276123,11.403245",10375,266,159
1698614854,2023-10-29T21:27:34Z,DLH790,"48.272484,11.405616",10450,271,153
1698614857,2023-10-29T21:27:37Z,DLH790,"48.269257,11.408386",10525,274,147
1698614859,2023-10-29T21:27:39Z,DLH790,"48.266197,11.411759",10600,277,140
1698614863,2023-10-29T21:27:43Z,DLH790,"48.263031,11.416133",10700,280,134
1698614866,2023-10-29T21:27:46Z,DLH790,"48.260696,11.419936",10775,283,129
1698614869,2023-10-29T21:27:49Z,DLH790,"48.258099,11.424914",10850,287,126
1698614872,2023-10-29T21:27:52Z,DLH790,"48.255936,11.429514",10925,288,124
1698614875,2023-10-29T21:27:55Z,DLH790,"48.253372,11.435218",11000,291,123
1698614878,2023-10-29T21:27:58Z,DLH790,"48.251129,11.440571",11075,293,120
1698614881,2023-10-29T21:28:01Z,DLH790,"48.249161,11.445711",11150,296,118
1698614884,2023-10-29T21:28:04Z,DLH790,"48.24725,11.451296",11225,300,115
1698614887,2023-10-29T21:28:07Z,DLH790,"48.245819,11.456416",11250,304,110
1698614890,2023-10-29T21:28:10Z,DLH790,"48.244411,11.462644",11325,308,105
1698614893,2023-10-29T21:28:13Z,DLH790,"48.243248,11.469872",11375,311,102
1698614896,2023-10-29T21:28:16Z,DLH790,"48.24255,11.475654",11400,316,99
1698614899,2023-10-29T21:28:19Z,DLH790,"48.241974,11.481558",11425,320,97
1698614902,2023-10-29T21:28:22Z,DLH790,"48.241516,11.488671",11475,323,94
1698614905,2023-10-29T21:28:25Z,DLH790,"48.241199,11.495313",11475,326,93
1698614908,2023-10-29T21:28:28Z,DLH790,"48.240921,11.502035",11500,330,93
1698614911,2023-10-29T21:28:31Z,DLH790,"48.240555,11.509446",11525,334,93
1698614914,2023-10-29T21:28:34Z,DLH790,"48.240269,11.516491",11550,336,93
1698614917,2023-10-29T21:28:37Z,DLH790,"48.23996,11.523743",11600,339,93
1698614920,2023-10-29T21:28:40Z,DLH790,"48.239662,11.531236",11650,342,93
1698614935,2023-10-29T21:28:55Z,DLH790,"48.238361,11.567737",11875,356,92
1698614947,2023-10-29T21:29:07Z,DLH790,"48.237522,11.597154",12025,367,92
1698614975,2023-10-29T21:29:35Z,DLH790,"48.232224,11.668115",12350,387,102
1698614978,2023-10-29T21:29:38Z,DLH790,"48.230988,11.676072",12375,388,102
1698614981,2023-10-29T21:29:41Z,DLH790,"48.229702,11.684538",12400,392,103
1698614984,2023-10-29T21:29:44Z,DLH790,"48.228489,11.692345",12450,394,103
1698614987,2023-10-29T21:29:47Z,DLH790,"48.22728,11.700088",12500,396,103
1698615020,2023-10-29T21:30:20Z,DLH790,"48.214371,11.789316",13500,404,101
1698615053,2023-10-29T21:30:53Z,DLH790,"48.201397,11.882364",14375,414,101
1698615084,2023-10-29T21:31:24Z,DLH790,"48.18956,11.965942",15450,412,102
1698615116,2023-10-29T21:31:56Z,DLH790,"48.176285,12.058692",16300,419,102
1698615150,2023-10-29T21:32:30Z,DLH790,"48.162415,12.154822",17275,422,102
1698615183,2023-10-29T21:33:03Z,DLH790,"48.148727,12.250031",18050,431,102
1698615215,2023-10-29T21:33:35Z,DLH790,"48.135361,12.342178",18875,435,102
1698615248,2023-10-29T21:34:08Z,DLH790,"48.121235,12.438566",19525,444,102
1698615281,2023-10-29T21:34:41Z,DLH790,"48.106804,12.536245",20250,450,102
1698615314,2023-10-29T21:35:14Z,DLH790,"48.091396,12.640052",20850,459,102
1698615347,2023-10-29T21:35:47Z,DLH790,"48.075897,12.74366",21500,465,102
1698615379,2023-10-29T21:36:19Z,DLH790,"48.060577,12.845552",22100,472,102
1698615412,2023-10-29T21:36:52Z,DLH790,"48.044609,12.951754",22950,472,102
1698615445,2023-10-29T21:37:25Z,DLH790,"48.028595,13.05711",23575,478,102
1698615479,2023-10-29T21:37:59Z,DLH790,"48.012257,13.163875",24275,482,102
1698615512,2023-10-29T21:38:32Z,DLH790,"47.995449,13.272893",24800,490,102
1698615543,2023-10-29T21:39:03Z,DLH790,"47.979767,13.374001",25325,493,102
1698615575,2023-10-29T21:39:35Z,DLH790,"47.963142,13.480999",26000,495,103
1698615607,2023-10-29T21:40:07Z,DLH790,"47.945984,13.586861",26325,502,104
1698615639,2023-10-29T21:40:39Z,DLH790,"47.924973,13.696175",26825,506,106
1698615673,2023-10-29T21:41:13Z,DLH790,"47.903824,13.806725",27625,502,105
1698615705,2023-10-29T21:41:45Z,DLH790,"47.883167,13.916438",28075,506,105
1698615738,2023-10-29T21:42:18Z,DLH790,"47.862762,14.024872",28400,512,105
1698615770,2023-10-29T21:42:50Z,DLH790,"47.841843,14.135216",28875,513,105
1698615800,2023-10-29T21:43:20Z,DLH790,"47.822464,14.236943",29250,516,105
1698615834,2023-10-29T21:43:54Z,DLH790,"47.800461,14.351646",29575,520,105
1698615867,2023-10-29T21:44:27Z,DLH790,"47.778332,14.466459",29900,524,106
1698615898,2023-10-29T21:44:58Z,DLH790,"47.757935,14.571373",30125,530,106
1698615930,2023-10-29T21:45:30Z,DLH790,"47.73592,14.684566",30525,530,106
1698615963,2023-10-29T21:46:03Z,DLH790,"47.713066,14.800908",30950,530,106
1698615996,2023-10-29T21:46:36Z,DLH790,"47.690578,14.914856",31275,532,106
1698616029,2023-10-29T21:47:09Z,DLH790,"47.668533,15.025795",31600,534,106
1698616062,2023-10-29T21:47:42Z,DLH790,"47.644409,15.146645",31925,536,106
1698616095,2023-10-29T21:48:15Z,DLH790,"47.621017,15.262894",32250,538,106
1698616125,2023-10-29T21:48:45Z,DLH790,"47.599548,15.36898",32425,540,106
1698616157,2023-10-29T21:49:17Z,DLH790,"47.576618,15.481919",32650,544,106
1698616190,2023-10-29T21:49:50Z,DLH790,"47.552414,15.600305",32975,544,106
1698616223,2023-10-29T21:50:23Z,DLH790,"47.528625,15.716365",33525,540,106
1698616253,2023-10-29T21:50:53Z,DLH790,"47.506622,15.822647",33875,540,107
1698616287,2023-10-29T21:51:27Z,DLH790,"47.482166,15.940317",34325,538,106
1698616320,2023-10-29T21:52:00Z,DLH790,"47.457817,16.056589",34675,538,107
1698616352,2023-10-29T21:52:32Z,DLH790,"47.434158,16.16906",34975,536,107
1698616383,2023-10-29T21:53:03Z,DLH790,"47.41127,16.277206",35000,540,107
1698616415,2023-10-29T21:53:35Z,DLH790,"47.384686,16.388222",35000,536,112
1698616449,2023-10-29T21:54:09Z,DLH790,"47.352516,16.499987",35000,534,112
1698616479,2023-10-29T21:54:39Z,DLH790,"47.324585,16.600695",35275,532,111
1698616512,2023-10-29T21:55:12Z,DLH790,"47.294449,16.71199",35500,533,111
1698616545,2023-10-29T21:55:45Z,DLH790,"47.265278,16.819645",35775,532,111
1698616579,2023-10-29T21:56:19Z,DLH790,"47.234161,16.933708",35975,532,111
1698616611,2023-10-29T21:56:51Z,DLH790,"47.2034,17.045631",36150,534,111
1698616645,2023-10-29T21:57:25Z,DLH790,"47.172226,17.158653",36275,536,112
1698616675,2023-10-29T21:57:55Z,DLH790,"47.143936,17.260757",36400,538,112
1698616709,2023-10-29T21:58:29Z,DLH790,"47.113174,17.371239",36600,538,112
1698616742,2023-10-29T21:59:02Z,DLH790,"47.08136,17.485153",36950,535,112
1698616772,2023-10-29T21:59:32Z,DLH790,"47.052673,17.587351",37000,534,112
1698616806,2023-10-29T22:00:06Z,DLH790,"47.021065,17.699398",37000,534,112
1698616837,2023-10-29T22:00:37Z,DLH790,"46.992344,17.800669",37000,532,112
1698616870,2023-10-29T22:01:10Z,DLH790,"46.961426,17.909431",37000,534,112
1698616901,2023-10-29T22:01:41Z,DLH790,"46.931351,18.014626",37000,536,112
1698616932,2023-10-29T22:02:12Z,DLH790,"46.902218,18.116102",37000,535,112
1698616964,2023-10-29T22:02:44Z,DLH790,"46.870747,18.225191",37025,532,112
1698616996,2023-10-29T22:03:16Z,DLH790,"46.840488,18.329727",37000,534,112
1698617029,2023-10-29T22:03:49Z,DLH790,"46.809208,18.437256",37000,536,113
1698617062,2023-10-29T22:04:22Z,DLH790,"46.776901,18.547869",37000,532,113
1698617093,2023-10-29T22:04:53Z,DLH790,"46.74765,18.647551",37000,531,113
1698617126,2023-10-29T22:05:26Z,DLH790,"46.71492,18.758753",37000,530,113
1698617159,2023-10-29T22:05:59Z,DLH790,"46.683331,18.865448",37000,525,113
1698617191,2023-10-29T22:06:31Z,DLH790,"46.65239,18.969637",37000,525,113
1698617224,2023-10-29T22:07:04Z,DLH790,"46.620392,19.076797",37000,526,113
1698617252,2023-10-29T22:07:32Z,DLH790,"46.592972,19.168329",37000,525,113
1698617286,2023-10-29T22:08:06Z,DLH790,"46.560379,19.276585",37000,528,113
1698617318,2023-10-29T22:08:38Z,DLH790,"46.529434,19.379147",37025,527,113
