Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1698700077,2023-10-30T21:07:57Z,DLH790,"48.358139,11.793751",0,4,191
1698700301,2023-10-30T21:11:41Z,DLH790,"48.357891,11.793964",0,6,174
1698700308,2023-10-30T21:11:48Z,DLH790,"48.357685,11.793986",0,6,174
1698700315,2023-10-30T21:11:55Z,DLH790,"48.357479,11.794035",0,7,174
1698700326,2023-10-30T21:12:06Z,DLH790,"48.357113,11.794094",0,7,174
1698700396,2023-10-30T21:13:16Z,DLH790,"48.354229,11.795685",0,0,129
1698700463,2023-10-30T21:14:23Z,DLH790,"48.349903,11.796693",0,16,174
1698700479,2023-10-30T21:14:39Z,DLH790,"48.34877,11.796886",0,14,174
1698700573,2023-10-30T21:16:13Z,DLH790,"48.347466,11.803978",0,0,165
1698700580,2023-10-30T21:16:20Z,DLH790,"48.347153,11.804014",0,10,174
1698700592,2023-10-30T21:16:32Z,DLH790,"48.346756,11.804088",0,6,174
1698700618,2023-10-30T21:16:58Z,DLH790,"48.346035,11.804214",0,6,174
1698700634,2023-10-30T21:17:14Z,DLH790,"48.345325,11.804264",0,0,177
1698700688,2023-10-30T21:18:08Z,DLH790,"48.343643,11.789457",1850,123,263
1698700704,2023-10-30T21:18:24Z,DLH790,"48.342403,11.773513",1850,170,263
1698700711,2023-10-30T21:18:31Z,DLH790,"48.341801,11.765707",2125,167,263
1698700719,2023-10-30T21:18:39Z,DLH790,"48.341007,11.755516",2625,158,263
1698700727,2023-10-30T21:18:47Z,DLH790,"48.340485,11.747483",3025,152,264
1698700734,2023-10-30T21:18:54Z,DLH790,"48.339981,11.739385",3300,156,264
1698700742,2023-10-30T21:19:02Z,DLH790,"48.339478,11.730793",3400,164,265
1698700752,2023-10-30T21:19:12Z,DLH790,"48.338837,11.719454",3500,178,265
1698700760,2023-10-30T21:19:20Z,DLH790,"48.338287,11.708961",3600,186,265
1698700768,2023-10-30T21:19:28Z,DLH790,"48.337738,11.699101",3750,192,264
1698700777,2023-10-30T21:19:37Z,DLH790,"48.337006,11.686634",4000,196,264
1698700784,2023-10-30T21:19:44Z,DLH790,"48.336353,11.67666",4250,200,263
1698700792,2023-10-30T21:19:52Z,DLH790,"48.33556,11.666252",4475,204,263
1698700799,2023-10-30T21:19:59Z,DLH790,"48.334724,11.655844",4600,210,262
1698700808,2023-10-30T21:20:08Z,DLH790,"48.333664,11.643395",4800,214,262
1698700815,2023-10-30T21:20:15Z,DLH790,"48.332657,11.631987",4925,220,262
1698700823,2023-10-30T21:20:23Z,DLH790,"48.331512,11.620066",5175,222,261
1698700838,2023-10-30T21:20:38Z,DLH790,"48.329414,11.597298",5675,222,262
1698700852,2023-10-30T21:20:52Z,DLH790,"48.327461,11.574675",6150,224,263
1698700868,2023-10-30T21:21:08Z,DLH790,"48.325504,11.55104",6675,226,263
1698700883,2023-10-30T21:21:23Z,DLH790,"48.323593,11.527053",7025,234,262
1698700898,2023-10-30T21:21:38Z,DLH790,"48.321548,11.501819",7375,241,263
1698700913,2023-10-30T21:21:53Z,DLH790,"48.319702,11.476558",7825,246,264
1698700928,2023-10-30T21:22:08Z,DLH790,"48.317825,11.451078",8225,250,260
1698700934,2023-10-30T21:22:14Z,DLH790,"48.316086,11.440852",8350,250,250
