Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1698872945,2023-11-01T21:09:05Z,DLH790,"48.354984,11.795467",0,0,143
1698872953,2023-11-01T21:09:13Z,DLH790,"48.354717,11.795738",0,10,143
1698872965,2023-11-01T21:09:25Z,DLH790,"48.35416,11.795992",0,10,168
1698872990,2023-11-01T21:09:50Z,DLH790,"48.352913,11.796183",0,0,174
1698873149,2023-11-01T21:12:29Z,DLH790,"48.34856,11.803943",0,0,84
1698873190,2023-11-01T21:13:10Z,DLH790,"48.347523,11.805602",0,8,168
1698873197,2023-11-01T21:13:17Z,DLH790,"48.347256,11.805641",0,8,171
1698873213,2023-11-01T21:13:33Z,DLH790,"48.34679,11.805725",0,0,171
1698873239,2023-11-01T21:13:59Z,DLH790,"48.346333,11.805708",0,0,182
1698873421,2023-11-01T21:17:01Z,DLH790,"48.343521,11.788185",1700,131,263
1698873433,2023-11-01T21:17:13Z,DLH790,"48.34259,11.775681",1650,158,263
1698873442,2023-11-01T21:17:22Z,DLH790,"48.341846,11.764839",1925,174,265
1698873451,2023-11-01T21:17:31Z,DLH790,"48.341286,11.753709",2400,169,265
1698873460,2023-11-01T21:17:40Z,DLH790,"48.340714,11.743328",2825,167,265
1698873469,2023-11-01T21:17:49Z,DLH790,"48.340031,11.732892",3150,171,263
1698873478,2023-11-01T21:17:58Z,DLH790,"48.339203,11.721919",3300,180,263
1698873487,2023-11-01T21:18:07Z,DLH790,"48.338333,11.710088",3450,189,263
1698873496,2023-11-01T21:18:16Z,DLH790,"48.337376,11.697982",3625,198,263
1698873505,2023-11-01T21:18:25Z,DLH790,"48.336308,11.685261",3775,206,262
1698873514,2023-11-01T21:18:34Z,DLH790,"48.33522,11.67227",3950,215,262
1698873523,2023-11-01T21:18:43Z,DLH790,"48.334076,11.658325",4225,220,263
1698873532,2023-11-01T21:18:52Z,DLH790,"48.333046,11.644712",4525,224,263
1698873541,2023-11-01T21:19:01Z,DLH790,"48.332016,11.630718",4800,229,263
1698873550,2023-11-01T21:19:10Z,DLH790,"48.330952,11.615729",5025,236,263
1698873566,2023-11-01T21:19:26Z,DLH790,"48.329178,11.590364",5400,249,264
1698873580,2023-11-01T21:19:40Z,DLH790,"48.327438,11.564307",5800,259,264
1698873596,2023-11-01T21:19:56Z,DLH790,"48.325653,11.536489",6300,266,264
