Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1699045801,2023-11-03T21:10:01Z,DLH790,"48.354614,11.794998",0,0,140
1699045807,2023-11-03T21:10:07Z,DLH790,"48.354298,11.795567",0,15,132
1699045812,2023-11-03T21:10:12Z,DLH790,"48.354057,11.795883",0,17,137
1699045826,2023-11-03T21:10:26Z,DLH790,"48.35289,11.796208",0,0,174
1699045864,2023-11-03T21:11:04Z,DLH790,"48.349743,11.796763",1950,17,174
1699045872,2023-11-03T21:11:12Z,DLH790,"48.349159,11.796869",0,15,174
1699045879,2023-11-03T21:11:19Z,DLH790,"48.348679,11.796949",0,0,174
1699045942,2023-11-03T21:12:22Z,DLH790,"48.34848,11.80284",0,0,84
1699045949,2023-11-03T21:12:29Z,DLH790,"48.348553,11.803771",0,15,84
1699045977,2023-11-03T21:12:57Z,DLH790,"48.347675,11.805587",0,0,160
1699045981,2023-11-03T21:13:01Z,DLH790,"48.347443,11.805619",0,13,168
1699045996,2023-11-03T21:13:16Z,DLH790,"48.34663,11.805749",0,12,174
1699046001,2023-11-03T21:13:21Z,DLH790,"48.346355,11.805708",0,0,182
1699046010,2023-11-03T21:13:30Z,DLH790,"48.348576,11.804369",0,8,199
1699046411,2023-11-03T21:20:11Z,DLH790,"48.344196,11.796497",0,0,264
1699046422,2023-11-03T21:20:22Z,DLH790,"48.343597,11.788753",1950,129,263
1699046433,2023-11-03T21:20:33Z,DLH790,"48.342682,11.77664",1925,167,263
1699046443,2023-11-03T21:20:43Z,DLH790,"48.341858,11.765723",2175,174,264
1699046452,2023-11-03T21:20:52Z,DLH790,"48.341125,11.754314",2650,168,264
1699046461,2023-11-03T21:21:01Z,DLH790,"48.340393,11.744385",3150,161,262
1699046470,2023-11-03T21:21:10Z,DLH790,"48.339478,11.734455",3500,161,261
1699046479,2023-11-03T21:21:19Z,DLH790,"48.338425,11.723962",3700,168,261
1699046488,2023-11-03T21:21:28Z,DLH790,"48.337372,11.713045",3900,175,262
1699046497,2023-11-03T21:21:37Z,DLH790,"48.336445,11.702247",4125,181,262
1699046506,2023-11-03T21:21:46Z,DLH790,"48.335587,11.690932",4325,188,263
1699046515,2023-11-03T21:21:55Z,DLH790,"48.334579,11.678185",4500,197,263
1699046522,2023-11-03T21:22:02Z,DLH790,"48.333977,11.669649",4600,203,263
1699046530,2023-11-03T21:22:10Z,DLH790,"48.332977,11.657128",4800,210,263
1699046539,2023-11-03T21:22:19Z,DLH790,"48.331882,11.643557",5050,216,263
1699046555,2023-11-03T21:22:35Z,DLH790,"48.330021,11.620572",5450,226,263
1699046570,2023-11-03T21:22:50Z,DLH790,"48.328125,11.596281",5875,236,263
1699046585,2023-11-03T21:23:05Z,DLH790,"48.326252,11.570844",6350,243,263
1699046600,2023-11-03T21:23:20Z,DLH790,"48.324554,11.545997",7000,242,264
1699046615,2023-11-03T21:23:35Z,DLH790,"48.323135,11.521277",7900,230,265
1699046630,2023-11-03T21:23:50Z,DLH790,"48.321671,11.49684",8575,230,263
1699046640,2023-11-03T21:24:00Z,DLH790,"48.319778,11.482593",8875,232,252
1699046643,2023-11-03T21:24:03Z,DLH790,"48.318832,11.47853",8950,234,247
1699046646,2023-11-03T21:24:06Z,DLH790,"48.317322,11.473741",9050,234,242
1699046649,2023-11-03T21:24:09Z,DLH790,"48.315765,11.469797",9125,236,236
1699046651,2023-11-03T21:24:11Z,DLH790,"48.313961,11.465968",9225,237,232
1699046654,2023-11-03T21:24:14Z,DLH790,"48.311737,11.462191",9325,240,226
1699046658,2023-11-03T21:24:18Z,DLH790,"48.308842,11.458234",9425,241,220
1699046660,2023-11-03T21:24:20Z,DLH790,"48.306564,11.455642",9500,242,215
1699046664,2023-11-03T21:24:24Z,DLH790,"48.303673,11.452886",9600,245,208
1699046666,2023-11-03T21:24:26Z,DLH790,"48.300507,11.4505",9700,246,204
1699046670,2023-11-03T21:24:30Z,DLH790,"48.296997,11.448528",9775,247,198
1699046673,2023-11-03T21:24:33Z,DLH790,"48.293617,11.447176",9875,249,193
1699046676,2023-11-03T21:24:36Z,DLH790,"48.290218,11.446308",10000,251,187
1699046678,2023-11-03T21:24:38Z,DLH790,"48.287052,11.446019",10100,252,183
1699046682,2023-11-03T21:24:42Z,DLH790,"48.283173,11.446135",10225,251,176
1699046685,2023-11-03T21:24:45Z,DLH790,"48.279739,11.446768",10350,252,171
1699046688,2023-11-03T21:24:48Z,DLH790,"48.276352,11.447824",10450,254,166
1699046691,2023-11-03T21:24:51Z,DLH790,"48.272995,11.449344",10550,255,160
1699046694,2023-11-03T21:24:54Z,DLH790,"48.269737,11.451367",10650,257,155
1699046697,2023-11-03T21:24:57Z,DLH790,"48.26643,11.453897",10775,258,149
1699046700,2023-11-03T21:25:00Z,DLH790,"48.264175,11.456064",10850,260,145
1699046703,2023-11-03T21:25:03Z,DLH790,"48.260559,11.460219",10950,263,139
1699046706,2023-11-03T21:25:06Z,DLH790,"48.257675,11.464304",11050,266,134
1699046709,2023-11-03T21:25:09Z,DLH790,"48.255398,11.468208",11100,268,128
1699046712,2023-11-03T21:25:12Z,DLH790,"48.25293,11.473269",11150,272,123
1699046715,2023-11-03T21:25:15Z,DLH790,"48.251068,11.478183",11200,275,117
1699046718,2023-11-03T21:25:18Z,DLH790,"48.249481,11.48353",11225,279,111
1699046721,2023-11-03T21:25:21Z,DLH790,"48.248245,11.489164",11275,282,105
1699046724,2023-11-03T21:25:24Z,DLH790,"48.247482,11.494373",11300,285,100
1699046727,2023-11-03T21:25:27Z,DLH790,"48.246964,11.50022",11350,288,96
1699046730,2023-11-03T21:25:30Z,DLH790,"48.246647,11.506155",11400,292,93
1699046733,2023-11-03T21:25:33Z,DLH790,"48.24646,11.512968",11425,295,91
1699046736,2023-11-03T21:25:36Z,DLH790,"48.246414,11.518587",11475,298,90
1699046739,2023-11-03T21:25:39Z,DLH790,"48.246368,11.524517",11525,300,90
1699046742,2023-11-03T21:25:42Z,DLH790,"48.246368,11.531597",11575,304,90
1699046745,2023-11-03T21:25:45Z,DLH790,"48.246319,11.537957",11625,306,90
1699046748,2023-11-03T21:25:48Z,DLH790,"48.246319,11.544462",11675,310,90
1699046751,2023-11-03T21:25:51Z,DLH790,"48.246277,11.550857",11725,312,90
1699046754,2023-11-03T21:25:54Z,DLH790,"48.246227,11.557256",11750,314,90
1699046769,2023-11-03T21:26:09Z,DLH790,"48.245773,11.590435",11975,330,91
1699046781,2023-11-03T21:26:21Z,DLH790,"48.245155,11.619343",12150,340,92
1699046803,2023-11-03T21:26:43Z,DLH790,"48.241478,11.670082",12425,358,101
1699046806,2023-11-03T21:26:46Z,DLH790,"48.240456,11.677094",12450,360,102
1699046809,2023-11-03T21:26:49Z,DLH790,"48.239319,11.684524",12500,363,102
1699046811,2023-11-03T21:26:51Z,DLH790,"48.238312,11.691214",12525,366,103
1699046815,2023-11-03T21:26:55Z,DLH790,"48.236938,11.699946",12575,368,103
1699046848,2023-11-03T21:27:28Z,DLH790,"48.224579,11.783471",13500,379,102
1699046881,2023-11-03T21:28:01Z,DLH790,"48.212429,11.86892",14675,380,102
1699046914,2023-11-03T21:28:34Z,DLH790,"48.200279,11.954498",15750,384,102
1699046944,2023-11-03T21:29:04Z,DLH790,"48.188736,12.034294",16525,391,102
1699046978,2023-11-03T21:29:38Z,DLH790,"48.176071,12.121678",17325,400,102
1699047010,2023-11-03T21:30:10Z,DLH790,"48.16304,12.211231",18350,401,102
1699047043,2023-11-03T21:30:43Z,DLH790,"48.150051,12.299829",19250,404,102
1699047077,2023-11-03T21:31:17Z,DLH790,"48.136551,12.391617",20275,405,102
1699047110,2023-11-03T21:31:50Z,DLH790,"48.122818,12.48406",21025,410,102
1699047143,2023-11-03T21:32:23Z,DLH790,"48.109039,12.576177",21875,412,102
1699047176,2023-11-03T21:32:56Z,DLH790,"48.095444,12.666391",22850,410,102
1699047207,2023-11-03T21:33:27Z,DLH790,"48.082687,12.751535",23775,408,102
1699047239,2023-11-03T21:33:59Z,DLH790,"48.068817,12.842736",24300,416,102
1699047273,2023-11-03T21:34:33Z,DLH790,"48.054428,12.936264",25025,418,102
1699047306,2023-11-03T21:35:06Z,DLH790,"48.040092,13.030066",25550,426,102
1699047336,2023-11-03T21:35:36Z,DLH790,"48.02655,13.117538",25950,432,103
1699047370,2023-11-03T21:36:10Z,DLH790,"48.011185,13.216553",26625,434,103
1699047402,2023-11-03T21:36:42Z,DLH790,"47.997162,13.306091",27000,441,103
1699047435,2023-11-03T21:37:15Z,DLH790,"47.981323,13.407166",27550,443,103
1699047466,2023-11-03T21:37:46Z,DLH790,"47.966915,13.498323",27900,448,103
1699047499,2023-11-03T21:38:19Z,DLH790,"47.950836,13.599083",28475,450,103
