Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1699218464,2023-11-05T21:07:44Z,DLH790,"48.357273,11.794069",0,1,171
1699218693,2023-11-05T21:11:33Z,DLH790,"48.354401,11.79539",0,0,126
1699218727,2023-11-05T21:12:07Z,DLH790,"48.352959,11.79619",0,0,174
1699218767,2023-11-05T21:12:47Z,DLH790,"48.350716,11.79657",0,0,174
1699218785,2023-11-05T21:13:05Z,DLH790,"48.34956,11.79675",0,0,174
1699218888,2023-11-05T21:14:48Z,DLH790,"48.348572,11.803852",1800,10,84
1699218932,2023-11-05T21:15:32Z,DLH790,"48.347626,11.805567",0,9,165
1699218939,2023-11-05T21:15:39Z,DLH790,"48.347305,11.805623",0,11,171
1699218965,2023-11-05T21:16:05Z,DLH790,"48.34621,11.805587",1800,8,194
1699218976,2023-11-05T21:16:16Z,DLH790,"48.345852,11.805215",0,0,210
1699218984,2023-11-05T21:16:24Z,DLH790,"48.34557,11.804882",0,0,216
1699218993,2023-11-05T21:16:33Z,DLH790,"48.345219,11.804448",0,0,219
1699219047,2023-11-05T21:17:27Z,DLH790,"48.34346,11.787063",1800,126,263
1699219062,2023-11-05T21:17:42Z,DLH790,"48.34227,11.772132",1925,163,263
1699219071,2023-11-05T21:17:51Z,DLH790,"48.341518,11.76166",2425,149,263
1699219080,2023-11-05T21:18:00Z,DLH790,"48.340916,11.75248",2975,140,264
1699219089,2023-11-05T21:18:09Z,DLH790,"48.340263,11.743589",3250,147,263
1699219098,2023-11-05T21:18:18Z,DLH790,"48.33952,11.734194",3350,162,263
1699219107,2023-11-05T21:18:27Z,DLH790,"48.338654,11.723186",3475,175,263
1699219116,2023-11-05T21:18:36Z,DLH790,"48.337795,11.712365",3650,186,263
1699219125,2023-11-05T21:18:45Z,DLH790,"48.33691,11.700728",3950,188,262
1699219134,2023-11-05T21:18:54Z,DLH790,"48.335888,11.688514",4375,188,262
1699219143,2023-11-05T21:19:03Z,DLH790,"48.3349,11.677058",4775,188,262
1699219149,2023-11-05T21:19:09Z,DLH790,"48.334167,11.668748",5075,187,262
1699219164,2023-11-05T21:19:24Z,DLH790,"48.33252,11.649522",5725,190,262
1699219179,2023-11-05T21:19:39Z,DLH790,"48.330872,11.62938",6050,205,263
1699219195,2023-11-05T21:19:55Z,DLH790,"48.329132,11.606421",6375,222,264
1699219210,2023-11-05T21:20:10Z,DLH790,"48.327667,11.583181",7000,226,264
1699219225,2023-11-05T21:20:25Z,DLH790,"48.326202,11.559424",7700,227,264
1699219240,2023-11-05T21:20:40Z,DLH790,"48.324692,11.535293",8475,228,264
1699219255,2023-11-05T21:20:55Z,DLH790,"48.321945,11.511277",9150,234,251
1699219258,2023-11-05T21:20:58Z,DLH790,"48.320618,11.506589",9300,236,244
1699219261,2023-11-05T21:21:01Z,DLH790,"48.31908,11.502179",9450,238,239
1699219264,2023-11-05T21:21:04Z,DLH790,"48.317406,11.498566",9550,240,233
1699219267,2023-11-05T21:21:07Z,DLH790,"48.315216,11.494591",9700,244,227
1699219270,2023-11-05T21:21:10Z,DLH790,"48.312607,11.490784",9825,248,221
1699219273,2023-11-05T21:21:13Z,DLH790,"48.310051,11.487724",9925,254,215
1699219276,2023-11-05T21:21:16Z,DLH790,"48.306976,11.484688",10025,260,211
1699219280,2023-11-05T21:21:20Z,DLH790,"48.30336,11.48184",10125,265,206
1699219282,2023-11-05T21:21:22Z,DLH790,"48.300415,11.480062",10200,271,200
1699219285,2023-11-05T21:21:25Z,DLH790,"48.296219,11.478107",10300,278,194
1699219288,2023-11-05T21:21:28Z,DLH790,"48.292965,11.477099",10375,282,190
1699219292,2023-11-05T21:21:32Z,DLH790,"48.288216,11.476304",10500,288,183
1699219294,2023-11-05T21:21:34Z,DLH790,"48.284546,11.476206",10600,294,179
1699219298,2023-11-05T21:21:38Z,DLH790,"48.280209,11.476593",10700,297,174
1699219301,2023-11-05T21:21:41Z,DLH790,"48.276031,11.477544",10800,302,169
1699219304,2023-11-05T21:21:44Z,DLH790,"48.272095,11.478952",10925,305,164
1699219307,2023-11-05T21:21:47Z,DLH790,"48.267746,11.481065",11075,309,159
1699219309,2023-11-05T21:21:49Z,DLH790,"48.264664,11.482953",11175,311,155
1699219313,2023-11-05T21:21:53Z,DLH790,"48.25996,11.48664",11350,315,150
1699219316,2023-11-05T21:21:56Z,DLH790,"48.256283,11.490109",11475,318,145
1699219318,2023-11-05T21:21:58Z,DLH790,"48.253162,11.493579",11575,320,141
1699219322,2023-11-05T21:22:02Z,DLH790,"48.249481,11.49846",11725,323,136
1699219325,2023-11-05T21:22:05Z,DLH790,"48.245995,11.503914",11875,325,132
1699219328,2023-11-05T21:22:08Z,DLH790,"48.243118,11.509094",11975,329,127
1699219331,2023-11-05T21:22:11Z,DLH790,"48.240601,11.514446",12100,330,124
1699219334,2023-11-05T21:22:14Z,DLH790,"48.238361,11.51996",12175,334,120
1699219336,2023-11-05T21:22:16Z,DLH790,"48.23645,11.525381",12250,336,116
1699219340,2023-11-05T21:22:20Z,DLH790,"48.234192,11.532969",12300,342,112
1699219343,2023-11-05T21:22:23Z,DLH790,"48.232494,11.539764",12350,346,108
1699219346,2023-11-05T21:22:26Z,DLH790,"48.231033,11.547194",12400,350,105
1699219349,2023-11-05T21:22:29Z,DLH790,"48.229935,11.554026",12425,352,102
1699219351,2023-11-05T21:22:31Z,DLH790,"48.229191,11.560002",12475,356,99
1699219355,2023-11-05T21:22:35Z,DLH790,"48.228443,11.568459",12525,360,95
1699219357,2023-11-05T21:22:37Z,DLH790,"48.228165,11.574675",12550,363,93
1699219361,2023-11-05T21:22:41Z,DLH790,"48.227886,11.583565",12600,367,92
1699219364,2023-11-05T21:22:44Z,DLH790,"48.227745,11.590142",12625,370,91
1699219367,2023-11-05T21:22:47Z,DLH790,"48.227646,11.597548",12675,374,91
1699219370,2023-11-05T21:22:50Z,DLH790,"48.227512,11.606478",12725,377,91
1699219373,2023-11-05T21:22:53Z,DLH790,"48.227417,11.61445",12750,380,91
1699219376,2023-11-05T21:22:56Z,DLH790,"48.227325,11.623319",12800,384,91
1699219378,2023-11-05T21:22:58Z,DLH790,"48.227234,11.628465",12825,386,91
1699219410,2023-11-05T21:23:30Z,DLH790,"48.225815,11.71544",13650,401,91
1699219443,2023-11-05T21:24:03Z,DLH790,"48.223709,11.807486",14825,409,91
1699219476,2023-11-05T21:24:36Z,DLH790,"48.222206,11.90253",15925,416,90
1699219509,2023-11-05T21:25:09Z,DLH790,"48.221191,11.99876",17050,426,90
1699219540,2023-11-05T21:25:40Z,DLH790,"48.220093,12.089046",18100,429,91
1699219573,2023-11-05T21:26:13Z,DLH790,"48.21867,12.188103",19000,438,91
1699219606,2023-11-05T21:26:46Z,DLH790,"48.217178,12.289147",20025,444,91
1699219638,2023-11-05T21:27:18Z,DLH790,"48.215595,12.390554",20875,453,91
1699219672,2023-11-05T21:27:52Z,DLH790,"48.213821,12.494413",22100,450,91
1699219705,2023-11-05T21:28:25Z,DLH790,"48.211945,12.598924",23050,456,91
1699219738,2023-11-05T21:28:58Z,DLH790,"48.210022,12.702308",23675,466,91
1699219768,2023-11-05T21:29:28Z,DLH790,"48.208054,12.802253",24525,467,91
1699219802,2023-11-05T21:30:02Z,DLH790,"48.20668,12.910485",25275,476,89
1699219835,2023-11-05T21:30:35Z,DLH790,"48.207729,13.018582",25650,490,89
1699219868,2023-11-05T21:31:08Z,DLH790,"48.208286,13.133939",26400,492,89
1699219892,2023-11-05T21:31:32Z,DLH790,"48.204887,13.216553",26875,497,100
1699219895,2023-11-05T21:31:35Z,DLH790,"48.20343,13.226765",26900,498,102
1699219899,2023-11-05T21:31:39Z,DLH790,"48.201771,13.236646",26925,498,104
1699219902,2023-11-05T21:31:42Z,DLH790,"48.2005,13.243244",26950,498,106
1699219905,2023-11-05T21:31:45Z,DLH790,"48.197765,13.256451",27000,499,107
1699219907,2023-11-05T21:31:47Z,DLH790,"48.195694,13.26585",27000,500,108
1699219911,2023-11-05T21:31:51Z,DLH790,"48.19313,13.277189",27025,502,108
1699219914,2023-11-05T21:31:54Z,DLH790,"48.190876,13.287169",27050,502,108
1699219917,2023-11-05T21:31:57Z,DLH790,"48.188736,13.296626",27075,503,108
1699219920,2023-11-05T21:32:00Z,DLH790,"48.186409,13.306973",27125,505,108
1699219953,2023-11-05T21:32:33Z,DLH790,"48.163422,13.416772",27675,512,106
1699219986,2023-11-05T21:33:06Z,DLH790,"48.140671,13.52829",28250,515,107
1699220016,2023-11-05T21:33:36Z,DLH790,"48.118626,13.634315",28825,519,107
1699220047,2023-11-05T21:34:07Z,DLH790,"48.096268,13.740463",29375,524,107
1699220081,2023-11-05T21:34:41Z,DLH790,"48.072353,13.855168",29875,526,107
1699220114,2023-11-05T21:35:14Z,DLH790,"48.047867,13.971229",30175,534,107
1699220147,2023-11-05T21:35:47Z,DLH790,"48.022823,14.089121",30625,540,107
1699220180,2023-11-05T21:36:20Z,DLH790,"47.998013,14.205745",31100,542,107
1699220214,2023-11-05T21:36:54Z,DLH790,"47.972313,14.325468",31325,550,107
1699220246,2023-11-05T21:37:26Z,DLH790,"47.947407,14.440542",31675,556,107
1699220277,2023-11-05T21:37:57Z,DLH790,"47.921989,14.557871",31925,561,107
1699220310,2023-11-05T21:38:30Z,DLH790,"47.895676,14.678558",32175,567,108
1699220343,2023-11-05T21:39:03Z,DLH790,"47.868347,14.802841",32500,572,108
1699220377,2023-11-05T21:39:37Z,DLH790,"47.840744,14.927879",32800,577,108
1699220410,2023-11-05T21:40:10Z,DLH790,"47.813004,15.052574",32900,582,108
1699220443,2023-11-05T21:40:43Z,DLH790,"47.784615,15.179795",33275,583,108
1699220476,2023-11-05T21:41:16Z,DLH790,"47.756424,15.305054",33925,579,108
1699220510,2023-11-05T21:41:50Z,DLH790,"47.727722,15.432014",34225,581,108
1699220543,2023-11-05T21:42:23Z,DLH790,"47.699478,15.556091",34550,582,108
1699220573,2023-11-05T21:42:53Z,DLH790,"47.673264,15.670588",34700,586,108
1699220606,2023-11-05T21:43:26Z,DLH790,"47.644226,15.796486",35050,588,108
1699220640,2023-11-05T21:44:00Z,DLH790,"47.614517,15.925095",35250,592,109
1699220670,2023-11-05T21:44:30Z,DLH790,"47.58728,16.041941",35400,594,109
1699220704,2023-11-05T21:45:04Z,DLH790,"47.557159,16.170326",35675,592,109
1699220737,2023-11-05T21:45:37Z,DLH790,"47.527679,16.295952",36225,587,109
1699220770,2023-11-05T21:46:10Z,DLH790,"47.49818,16.420687",36550,586,109
1699220803,2023-11-05T21:46:43Z,DLH790,"47.468803,16.54365",36850,584,109
1699220837,2023-11-05T21:47:17Z,DLH790,"47.43808,16.672035",37000,582,109
1699220868,2023-11-05T21:47:48Z,DLH790,"47.409729,16.789293",37000,586,109
1699220902,2023-11-05T21:48:22Z,DLH790,"47.379284,16.913523",37000,586,110
1699220933,2023-11-05T21:48:53Z,DLH790,"47.350433,17.030182",37000,586,110
1699220966,2023-11-05T21:49:26Z,DLH790,"47.319305,17.155769",37000,587,110
1699220998,2023-11-05T21:49:58Z,DLH790,"47.290138,17.272831",37000,589,110
1699221031,2023-11-05T21:50:31Z,DLH790,"47.258698,17.398293",37000,588,110
1699221061,2023-11-05T21:51:01Z,DLH790,"47.229946,17.512419",37000,587,110
1699221095,2023-11-05T21:51:35Z,DLH790,"47.198364,17.637177",37000,586,110
1699221126,2023-11-05T21:52:06Z,DLH790,"47.169159,17.752052",37000,588,110
1699221159,2023-11-05T21:52:39Z,DLH790,"47.137352,17.876446",37000,590,110
1699221192,2023-11-05T21:53:12Z,DLH790,"47.105438,18.000549",37000,592,110
1699221222,2023-11-05T21:53:42Z,DLH790,"47.076694,18.111948",37000,593,110
1699221256,2023-11-05T21:54:16Z,DLH790,"47.04332,18.240189",37000,594,110
1699221288,2023-11-05T21:54:48Z,DLH790,"47.011505,18.361931",37000,593,110
1699221322,2023-11-05T21:55:22Z,DLH790,"46.978561,18.487314",37025,593,111
1699221355,2023-11-05T21:55:55Z,DLH790,"46.945835,18.611263",37000,595,111
1699221388,2023-11-05T21:56:28Z,DLH790,"46.912506,18.73683",37000,596,111
1699221418,2023-11-05T21:56:58Z,DLH790,"46.882507,18.849243",37000,597,111
1699221451,2023-11-05T21:57:31Z,DLH790,"46.849365,18.972986",37000,600,111
1699221484,2023-11-05T21:58:04Z,DLH790,"46.816223,19.095646",37000,602,111
1699221515,2023-11-05T21:58:35Z,DLH790,"46.784363,19.213413",37000,603,111
1699221545,2023-11-05T21:59:05Z,DLH790,"46.753418,19.326962",37000,604,111
1699221579,2023-11-05T21:59:39Z,DLH790,"46.719131,19.452299",37000,607,111
1699221612,2023-11-05T22:00:12Z,DLH790,"46.684067,19.579847",37000,609,111
1699221645,2023-11-05T22:00:45Z,DLH790,"46.649578,19.70446",37000,607,111
1699221678,2023-11-05T22:01:18Z,DLH790,"46.614807,19.829451",37000,609,112
1699221708,2023-11-05T22:01:48Z,DLH790,"46.582588,19.944717",37000,610,112
1699221742,2023-11-05T22:02:22Z,DLH790,"46.547115,20.071266",37000,609,112
1699221775,2023-11-05T22:02:55Z,DLH790,"46.511581,20.197092",37000,608,112
1699221808,2023-11-05T22:03:28Z,DLH790,"46.476871,20.31942",37000,606,112
1699221838,2023-11-05T22:03:58Z,DLH790,"46.444515,20.432785",37000,606,112
1699221871,2023-11-05T22:04:31Z,DLH790,"46.40881,20.55748",37000,608,112
1699221905,2023-11-05T22:05:05Z,DLH790,"46.372547,20.683342",37000,610,112
1699221938,2023-11-05T22:05:38Z,DLH790,"46.336563,20.807693",37000,609,112
1699221971,2023-11-05T22:06:11Z,DLH790,"46.300438,20.931839",37000,607,112
1699222001,2023-11-05T22:06:41Z,DLH790,"46.267319,21.045183",37000,606,112
1699222034,2023-11-05T22:07:14Z,DLH790,"46.231491,21.167152",37000,608,112
1699222067,2023-11-05T22:07:47Z,DLH790,"46.195129,21.290365",37000,606,113
1699222100,2023-11-05T22:08:20Z,DLH790,"46.161163,21.40485",37000,604,113
1699222133,2023-11-05T22:08:53Z,DLH790,"46.122299,21.53528",37000,602,113
1699222166,2023-11-05T22:09:26Z,DLH790,"46.08696,21.653114",37000,601,113
1699222200,2023-11-05T22:10:00Z,DLH790,"46.049011,21.77919",37000,600,113
1699222231,2023-11-05T22:10:31Z,DLH790,"46.015228,21.890995",37000,598,113
1699222264,2023-11-05T22:11:04Z,DLH790,"45.978745,22.010908",37000,599,113
1699222297,2023-11-05T22:11:37Z,DLH790,"45.941574,22.132627",37000,599,113
1699222330,2023-11-05T22:12:10Z,DLH790,"45.904743,22.252739",37000,598,113
1699222360,2023-11-05T22:12:40Z,DLH790,"45.870899,22.362602",37000,599,113
1699222393,2023-11-05T22:13:13Z,DLH790,"45.834217,22.481049",37000,598,113
1699222426,2023-11-05T22:13:46Z,DLH790,"45.797764,22.598122",37000,598,113
1699222456,2023-11-05T22:14:16Z,DLH790,"45.763,22.709543",37000,600,114
1699222488,2023-11-05T22:14:48Z,DLH790,"45.726654,22.825302",37000,600,114
1699222522,2023-11-05T22:15:22Z,DLH790,"45.688042,22.947762",37000,599,114
1699222553,2023-11-05T22:15:53Z,DLH790,"45.65332,23.05722",37000,599,114
1699222586,2023-11-05T22:16:26Z,DLH790,"45.615559,23.176071",37025,600,114
1699222617,2023-11-05T22:16:57Z,DLH790,"45.579483,23.289072",37000,603,114
1699222648,2023-11-05T22:17:28Z,DLH790,"45.543915,23.39974",37000,603,114
1699222681,2023-11-05T22:18:01Z,DLH790,"45.50592,23.517673",37000,603,114
1699222714,2023-11-05T22:18:34Z,DLH790,"45.466461,23.639505",37000,603,114
1699222744,2023-11-05T22:19:04Z,DLH790,"45.430981,23.748556",37000,606,114
1699222778,2023-11-05T22:19:38Z,DLH790,"45.391972,23.867998",37000,604,114
1699222810,2023-11-05T22:20:10Z,DLH790,"45.353943,23.983873",37025,604,114
1699222842,2023-11-05T22:20:42Z,DLH790,"45.316231,24.098244",37000,600,115
1699222875,2023-11-05T22:21:15Z,DLH790,"45.276752,24.21735",37000,602,115
1699222909,2023-11-05T22:21:49Z,DLH790,"45.237076,24.336679",37000,603,115
1699222942,2023-11-05T22:22:22Z,DLH790,"45.197617,24.454782",37025,604,115
1699222972,2023-11-05T22:22:52Z,DLH790,"45.160793,24.564358",37000,606,115
1699223006,2023-11-05T22:23:26Z,DLH790,"45.120483,24.683926",37000,606,115
1699223037,2023-11-05T22:23:57Z,DLH790,"45.084091,24.791433",37000,607,115
1699223068,2023-11-05T22:24:28Z,DLH790,"45.045109,24.906139",37000,606,115
1699223102,2023-11-05T22:25:02Z,DLH790,"45.003708,25.027445",37000,605,115
1699223134,2023-11-05T22:25:34Z,DLH790,"44.964981,25.140446",37000,603,115
1699223168,2023-11-05T22:26:08Z,DLH790,"44.924587,25.257568",37000,601,115
1699223201,2023-11-05T22:26:41Z,DLH790,"44.88327,25.377045",37000,600,115
1699223232,2023-11-05T22:27:12Z,DLH790,"44.846558,25.482788",37000,600,116
1699223265,2023-11-05T22:27:45Z,DLH790,"44.805645,25.599953",37000,598,116
1699223295,2023-11-05T22:28:15Z,DLH790,"44.768829,25.705",37000,598,116
1699223329,2023-11-05T22:28:49Z,DLH790,"44.728271,25.820421",37000,596,116
1699223362,2023-11-05T22:29:22Z,DLH790,"44.688145,25.934031",37000,593,116
1699223395,2023-11-05T22:29:55Z,DLH790,"44.646763,26.050594",37000,589,116
1699223426,2023-11-05T22:30:26Z,DLH790,"44.610031,26.153805",37000,588,116
1699223459,2023-11-05T22:30:59Z,DLH790,"44.569111,26.268177",37000,585,116
1699223491,2023-11-05T22:31:31Z,DLH790,"44.531296,26.373465",37000,583,116
1699223524,2023-11-05T22:32:04Z,DLH790,"44.49081,26.48576",37000,583,116
1699223557,2023-11-05T22:32:37Z,DLH790,"44.450542,26.596962",37000,582,116
1699223587,2023-11-05T22:33:07Z,DLH790,"44.413467,26.699066",37000,582,116
1699223620,2023-11-05T22:33:40Z,DLH790,"44.373268,26.809187",37000,583,116
1699223654,2023-11-05T22:34:14Z,DLH790,"44.332214,26.921278",37000,585,117
1699223687,2023-11-05T22:34:47Z,DLH790,"44.291569,27.031794",37000,587,117
1699223720,2023-11-05T22:35:20Z,DLH790,"44.250042,27.144203",37000,590,117
1699223750,2023-11-05T22:35:50Z,DLH790,"44.212242,27.246161",37000,592,117
1699223783,2023-11-05T22:36:23Z,DLH790,"44.170578,27.358246",37000,591,117
1699223817,2023-11-05T22:36:57Z,DLH790,"44.128681,27.470398",37000,591,117
1699223850,2023-11-05T22:37:30Z,DLH790,"44.086739,27.581961",37000,592,117
1699223883,2023-11-05T22:38:03Z,DLH790,"44.044514,27.694113",37000,592,117
1699223916,2023-11-05T22:38:36Z,DLH790,"44.002666,27.804827",37000,591,117
1699223946,2023-11-05T22:39:06Z,DLH790,"43.964214,27.906057",37000,590,117
1699223979,2023-11-05T22:39:39Z,DLH790,"43.922085,28.016706",37000,590,117
1699224013,2023-11-05T22:40:13Z,DLH790,"43.879532,28.127874",37000,590,117
1699224046,2023-11-05T22:40:46Z,DLH790,"43.837357,28.237675",37000,593,117
1699224079,2023-11-05T22:41:19Z,DLH790,"43.793972,28.350088",37000,597,118
1699224110,2023-11-05T22:41:50Z,DLH790,"43.754074,28.453281",36975,599,118
1699224142,2023-11-05T22:42:22Z,DLH790,"43.709526,28.558764",37025,597,122
1699224175,2023-11-05T22:42:55Z,DLH790,"43.658981,28.666651",37000,597,122
1699224209,2023-11-05T22:43:29Z,DLH790,"43.609951,28.773129",37000,598,122
1699224242,2023-11-05T22:44:02Z,DLH790,"43.560932,28.879068",37000,597,122
1699224275,2023-11-05T22:44:35Z,DLH790,"43.511673,28.984936",37025,593,122
1699224308,2023-11-05T22:45:08Z,DLH790,"43.462566,29.089966",37025,591,122
