Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1699391266,2023-11-07T21:07:46Z,DLH790,"48.357937,11.792855",0,10,272
1699391280,2023-11-07T21:08:00Z,DLH790,"48.357986,11.793118",0,10,286
1699391295,2023-11-07T21:08:15Z,DLH790,"48.357994,11.793383",0,3,300
1699391313,2023-11-07T21:08:33Z,DLH790,"48.357952,11.793715",0,3,329
1699391326,2023-11-07T21:08:46Z,DLH790,"48.357895,11.793932",0,2,348
1699391403,2023-11-07T21:10:03Z,DLH790,"48.35796,11.792943",0,0,354
1699391429,2023-11-07T21:10:29Z,DLH790,"48.357765,11.794",0,0,354
1699391575,2023-11-07T21:12:55Z,DLH790,"48.357868,11.794035",1350,0,354
1699391586,2023-11-07T21:13:06Z,DLH790,"48.358006,11.794246",0,5,25
1699391592,2023-11-07T21:13:12Z,DLH790,"48.358051,11.794457",0,6,45
1699391597,2023-11-07T21:13:17Z,DLH790,"48.35807,11.79469",0,7,61
1699391602,2023-11-07T21:13:22Z,DLH790,"48.358032,11.794908",0,7,78
1699391612,2023-11-07T21:13:32Z,DLH790,"48.357834,11.795302",0,8,115
1699391619,2023-11-07T21:13:39Z,DLH790,"48.357605,11.795395",0,8,146
1699391626,2023-11-07T21:13:46Z,DLH790,"48.357361,11.795413",0,6,165
1699391634,2023-11-07T21:13:54Z,DLH790,"48.357113,11.795461",0,7,168
1699391641,2023-11-07T21:14:01Z,DLH790,"48.356884,11.795496",0,7,171
1699391650,2023-11-07T21:14:10Z,DLH790,"48.356567,11.795558",0,8,174
1699391681,2023-11-07T21:14:41Z,DLH790,"48.355324,11.795774",0,0,174
1699391693,2023-11-07T21:14:53Z,DLH790,"48.354755,11.795866",0,0,174
1699391704,2023-11-07T21:15:04Z,DLH790,"48.354183,11.795971",0,12,174
1699391717,2023-11-07T21:15:17Z,DLH790,"48.353439,11.796095",0,0,174
1699391727,2023-11-07T21:15:27Z,DLH790,"48.352867,11.79619",0,13,174
1699391774,2023-11-07T21:16:14Z,DLH790,"48.349743,11.796728",0,0,174
1699391840,2023-11-07T21:17:20Z,DLH790,"48.348232,11.799493",0,0,81
1699391873,2023-11-07T21:17:53Z,DLH790,"48.348461,11.802538",0,10,84
