Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1699477482,2023-11-08T21:04:42Z,DLH790,"48.35305,11.793224",0,0,264
1699477507,2023-11-08T21:05:07Z,DLH790,"48.353065,11.793643",0,2,255
1699477526,2023-11-08T21:05:26Z,DLH790,"48.353065,11.793914",0,2,244
1699477539,2023-11-08T21:05:39Z,DLH790,"48.353077,11.79413",0,2,230
1699477554,2023-11-08T21:05:54Z,DLH790,"48.353107,11.794333",0,2,213
1699477575,2023-11-08T21:06:15Z,DLH790,"48.353256,11.794633",0,2,185
1699477876,2023-11-08T21:11:16Z,DLH790,"48.353027,11.794809",0,0,174
1699477884,2023-11-08T21:11:24Z,DLH790,"48.352821,11.794853",0,6,174
1699477893,2023-11-08T21:11:33Z,DLH790,"48.352535,11.794897",0,7,174
1699477900,2023-11-08T21:11:40Z,DLH790,"48.352306,11.794932",0,7,174
1699477907,2023-11-08T21:11:47Z,DLH790,"48.352066,11.794968",0,8,174
1699477915,2023-11-08T21:11:55Z,DLH790,"48.351807,11.795016",0,8,174
1699477923,2023-11-08T21:12:03Z,DLH790,"48.351448,11.795088",0,9,174
1699477941,2023-11-08T21:12:21Z,DLH790,"48.350727,11.795214",0,0,174
1699477956,2023-11-08T21:12:36Z,DLH790,"48.35004,11.79532",0,10,174
1699477963,2023-11-08T21:12:43Z,DLH790,"48.349686,11.79539",0,11,174
1699477981,2023-11-08T21:13:01Z,DLH790,"48.348919,11.795513",0,0,174
1699478137,2023-11-08T21:15:37Z,DLH790,"48.347385,11.803965",0,0,168
1699478480,2023-11-08T21:21:20Z,DLH790,"48.343334,11.785367",1400,145,263
1699478489,2023-11-08T21:21:29Z,DLH790,"48.342636,11.776043",1350,168,263
1699478498,2023-11-08T21:21:38Z,DLH790,"48.341801,11.763611",1675,174,265
1699478507,2023-11-08T21:21:47Z,DLH790,"48.34124,11.752552",2050,174,266
1699478516,2023-11-08T21:21:56Z,DLH790,"48.340668,11.741709",2425,172,265
1699478525,2023-11-08T21:22:05Z,DLH790,"48.340031,11.730868",2775,172,264
1699478534,2023-11-08T21:22:14Z,DLH790,"48.339203,11.720088",2975,178,262
1699478543,2023-11-08T21:22:23Z,DLH790,"48.338242,11.708891",3125,188,262
1699478552,2023-11-08T21:22:32Z,DLH790,"48.337284,11.696898",3250,199,263
1699478558,2023-11-08T21:22:38Z,DLH790,"48.336594,11.688396",3350,206,262
1699478568,2023-11-08T21:22:48Z,DLH790,"48.335449,11.674453",3550,214,263
1699478576,2023-11-08T21:22:56Z,DLH790,"48.334442,11.661424",3725,221,263
1699478586,2023-11-08T21:23:06Z,DLH790,"48.333279,11.64652",4000,227,263
1699478594,2023-11-08T21:23:14Z,DLH790,"48.332211,11.633003",4275,231,263
1699478604,2023-11-08T21:23:24Z,DLH790,"48.3311,11.618042",4700,229,263
1699478613,2023-11-08T21:23:33Z,DLH790,"48.330112,11.604093",5175,224,264
1699478628,2023-11-08T21:23:48Z,DLH790,"48.328533,11.580313",5850,224,264
1699478643,2023-11-08T21:24:03Z,DLH790,"48.327042,11.557111",6450,224,264
1699478658,2023-11-08T21:24:18Z,DLH790,"48.325691,11.533765",6900,231,265
1699478670,2023-11-08T21:24:30Z,DLH790,"48.324554,11.513531",7325,235,265
1699478685,2023-11-08T21:24:45Z,DLH790,"48.323177,11.489603",7875,238,264
1699478697,2023-11-08T21:24:57Z,DLH790,"48.32135,11.469868",8325,238,254
1699478701,2023-11-08T21:25:01Z,DLH790,"48.320339,11.465245",8425,240,248
1699478703,2023-11-08T21:25:03Z,DLH790,"48.31897,11.460783",8550,240,242
1699478707,2023-11-08T21:25:07Z,DLH790,"48.316864,11.455712",8675,240,234
1699478709,2023-11-08T21:25:09Z,DLH790,"48.315357,11.452741",8775,242,230
1699478712,2023-11-08T21:25:12Z,DLH790,"48.312607,11.448458",8900,244,223
1699478716,2023-11-08T21:25:16Z,DLH790,"48.309956,11.445224",9000,245,215
1699478718,2023-11-08T21:25:18Z,DLH790,"48.307163,11.44255",9075,248,210
1699478722,2023-11-08T21:25:22Z,DLH790,"48.303532,11.439803",9175,252,203
1699478725,2023-11-08T21:25:25Z,DLH790,"48.300552,11.438068",9275,254,199
1699478728,2023-11-08T21:25:28Z,DLH790,"48.296906,11.436556",9350,257,193
1699478731,2023-11-08T21:25:31Z,DLH790,"48.293526,11.435611",9450,259,188
1699478734,2023-11-08T21:25:34Z,DLH790,"48.289764,11.435078",9550,262,182
1699478737,2023-11-08T21:25:37Z,DLH790,"48.28656,11.435148",9625,265,176
1699478740,2023-11-08T21:25:40Z,DLH790,"48.282852,11.43564",9725,265,173
1699478743,2023-11-08T21:25:43Z,DLH790,"48.27951,11.436556",9825,268,166
1699478746,2023-11-08T21:25:46Z,DLH790,"48.275299,11.438317",9950,270,162
1699478749,2023-11-08T21:25:49Z,DLH790,"48.271545,11.4405",10050,272,156
