Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1699652663,2023-11-10T21:44:23Z,DLH790,"48.358944,11.792502",0,2,261
1699652686,2023-11-10T21:44:46Z,DLH790,"48.359001,11.792837",0,0,272
1699652698,2023-11-10T21:44:58Z,DLH790,"48.359047,11.793066",0,3,289
1699652711,2023-11-10T21:45:11Z,DLH790,"48.359047,11.793295",0,2,309
1699652735,2023-11-10T21:45:35Z,DLH790,"48.358944,11.793577",0,0,329
1699652751,2023-11-10T21:45:51Z,DLH790,"48.358826,11.793787",0,2,345
1699652938,2023-11-10T21:48:58Z,DLH790,"48.359035,11.7937",0,5,343
1699652948,2023-11-10T21:49:08Z,DLH790,"48.359245,11.793552",0,6,337
1699652956,2023-11-10T21:49:16Z,DLH790,"48.359455,11.793462",0,6,343
1699652964,2023-11-10T21:49:24Z,DLH790,"48.359734,11.793389",0,7,348
1699652970,2023-11-10T21:49:30Z,DLH790,"48.359962,11.79333",0,9,351
1699652978,2023-11-10T21:49:38Z,DLH790,"48.360283,11.793278",0,11,351
1699652983,2023-11-10T21:49:43Z,DLH790,"48.360535,11.793242",0,11,354
1699652989,2023-11-10T21:49:49Z,DLH790,"48.360844,11.793418",0,12,19
1699652994,2023-11-10T21:49:54Z,DLH790,"48.360992,11.793771",0,13,47
1699653003,2023-11-10T21:50:03Z,DLH790,"48.361061,11.794616",0,13,81
1699653006,2023-11-10T21:50:06Z,DLH790,"48.361073,11.794862",0,13,84
1699653009,2023-11-10T21:50:09Z,DLH790,"48.361095,11.795144",0,14,84
1699653011,2023-11-10T21:50:11Z,DLH790,"48.361118,11.795377",0,15,84
1699653013,2023-11-10T21:50:13Z,DLH790,"48.36113,11.795594",0,15,84
1699653016,2023-11-10T21:50:16Z,DLH790,"48.361153,11.795865",0,15,84
1699653019,2023-11-10T21:50:19Z,DLH790,"48.361187,11.79627",0,16,84
1699653022,2023-11-10T21:50:22Z,DLH790,"48.36121,11.796587",0,17,84
1699653029,2023-11-10T21:50:29Z,DLH790,"48.361282,11.797527",0,19,84
1699653037,2023-11-10T21:50:37Z,DLH790,"48.361362,11.798594",0,20,84
1699653044,2023-11-10T21:50:44Z,DLH790,"48.361443,11.799569",0,20,84
1699653054,2023-11-10T21:50:54Z,DLH790,"48.361549,11.800979",0,21,84
1699653060,2023-11-10T21:51:00Z,DLH790,"48.361622,11.801957",0,22,84
1699653068,2023-11-10T21:51:08Z,DLH790,"48.361713,11.803147",0,22,84
1699653075,2023-11-10T21:51:15Z,DLH790,"48.361805,11.804412",0,23,84
1699653083,2023-11-10T21:51:23Z,DLH790,"48.361897,11.805641",0,24,84
1699653096,2023-11-10T21:51:36Z,DLH790,"48.362068,11.807873",0,24,84
1699653103,2023-11-10T21:51:43Z,DLH790,"48.362179,11.809074",0,25,84
1699653110,2023-11-10T21:51:50Z,DLH790,"48.362263,11.810303",0,25,84
1699653119,2023-11-10T21:51:59Z,DLH790,"48.362389,11.811957",0,26,84
1699653126,2023-11-10T21:52:06Z,DLH790,"48.362492,11.813243",0,26,84
1699653134,2023-11-10T21:52:14Z,DLH790,"48.362595,11.814603",0,27,84
1699653141,2023-11-10T21:52:21Z,DLH790,"48.362698,11.816008",0,27,84
1699653147,2023-11-10T21:52:27Z,DLH790,"48.362789,11.817186",0,26,84
1699653154,2023-11-10T21:52:34Z,DLH790,"48.362877,11.818398",0,23,84
1699653161,2023-11-10T21:52:41Z,DLH790,"48.362968,11.819446",0,20,81
1699653168,2023-11-10T21:52:48Z,DLH790,"48.363029,11.820321",0,17,81
1699653170,2023-11-10T21:52:50Z,DLH790,"48.363087,11.820602",0,16,75
1699653173,2023-11-10T21:52:53Z,DLH790,"48.363178,11.820902",0,16,67
1699653176,2023-11-10T21:52:56Z,DLH790,"48.36335,11.821183",0,16,53
1699653179,2023-11-10T21:52:59Z,DLH790,"48.363552,11.821362",0,16,36
1699653182,2023-11-10T21:53:02Z,DLH790,"48.363785,11.821434",0,16,19
1699653185,2023-11-10T21:53:05Z,DLH790,"48.364014,11.821465",0,16,8
1699653189,2023-11-10T21:53:09Z,DLH790,"48.364273,11.821434",0,17,356
1699653192,2023-11-10T21:53:12Z,DLH790,"48.364517,11.82138",0,17,354
1699653194,2023-11-10T21:53:14Z,DLH790,"48.364735,11.82136",0,18,354
1699653197,2023-11-10T21:53:17Z,DLH790,"48.364983,11.821307",0,19,354
1699653199,2023-11-10T21:53:19Z,DLH790,"48.365204,11.821272",0,19,354
1699653202,2023-11-10T21:53:22Z,DLH790,"48.365421,11.821237",0,19,354
1699653204,2023-11-10T21:53:24Z,DLH790,"48.365646,11.821198",0,20,354
1699653208,2023-11-10T21:53:28Z,DLH790,"48.365993,11.821148",0,21,354
1699653212,2023-11-10T21:53:32Z,DLH790,"48.366356,11.821036",0,21,345
1699653214,2023-11-10T21:53:34Z,DLH790,"48.366589,11.820837",0,21,334
1699653217,2023-11-10T21:53:37Z,DLH790,"48.366753,11.820512",0,20,312
1699653219,2023-11-10T21:53:39Z,DLH790,"48.366798,11.820295",0,20,300
1699653221,2023-11-10T21:53:41Z,DLH790,"48.36681,11.81997",0,19,281
1699653226,2023-11-10T21:53:46Z,DLH790,"48.366753,11.81932",0,19,264
1699653236,2023-11-10T21:53:56Z,DLH790,"48.366611,11.817346",0,44,264
1699653240,2023-11-10T21:54:00Z,DLH790,"48.366486,11.815866",0,60,264
1699653242,2023-11-10T21:54:02Z,DLH790,"48.366428,11.815145",0,67,264
1699653243,2023-11-10T21:54:03Z,DLH790,"48.366367,11.814386",0,74,264
1699653247,2023-11-10T21:54:07Z,DLH790,"48.366177,11.81187",0,90,264
1699653252,2023-11-10T21:54:12Z,DLH790,"48.365891,11.808401",1725,107,263
1699653258,2023-11-10T21:54:18Z,DLH790,"48.36554,11.803581",1700,124,263
1699653267,2023-11-10T21:54:27Z,DLH790,"48.364937,11.795847",1700,160,263
1699653276,2023-11-10T21:54:36Z,DLH790,"48.364014,11.783401",1850,174,263
1699653286,2023-11-10T21:54:46Z,DLH790,"48.363258,11.773513",2275,166,263
1699653295,2023-11-10T21:54:55Z,DLH790,"48.362411,11.762202",2850,157,263
1699653304,2023-11-10T21:55:04Z,DLH790,"48.361584,11.752408",3175,161,262
1699653313,2023-11-10T21:55:13Z,DLH790,"48.360744,11.741855",3300,172,262
1699653319,2023-11-10T21:55:19Z,DLH790,"48.359955,11.734917",3375,180,257
1699653322,2023-11-10T21:55:22Z,DLH790,"48.359207,11.730864",3425,183,252
1699653325,2023-11-10T21:55:25Z,DLH790,"48.358231,11.727471",3475,186,245
1699653328,2023-11-10T21:55:28Z,DLH790,"48.35693,11.724002",3550,189,238
1699653331,2023-11-10T21:55:31Z,DLH790,"48.355206,11.720605",3625,192,231
1699653334,2023-11-10T21:55:34Z,DLH790,"48.35339,11.717714",3700,195,225
1699653337,2023-11-10T21:55:37Z,DLH790,"48.351242,11.715017",3750,201,219
1699653340,2023-11-10T21:55:40Z,DLH790,"48.348827,11.712583",3800,207,211
1699653343,2023-11-10T21:55:43Z,DLH790,"48.346207,11.710651",3850,213,204
1699653346,2023-11-10T21:55:46Z,DLH790,"48.343231,11.709172",3925,219,196
