Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1699823585,2023-11-12T21:13:05Z,DLH790,"48.358906,11.792016",0,0,264
1699823609,2023-11-12T21:13:29Z,DLH790,"48.358932,11.792309",0,0,261
1699823626,2023-11-12T21:13:46Z,DLH790,"48.358932,11.792538",0,2,258
1699823651,2023-11-12T21:14:11Z,DLH790,"48.358883,11.792866",0,0,230
1699823667,2023-11-12T21:14:27Z,DLH790,"48.358875,11.793084",0,2,205
1699823705,2023-11-12T21:15:05Z,DLH790,"48.359127,11.793282",0,2,185
1699823734,2023-11-12T21:15:34Z,DLH790,"48.359356,11.793313",0,1,188
1699823768,2023-11-12T21:16:08Z,DLH790,"48.35957,11.793426",0,1,171
1699823984,2023-11-12T21:19:44Z,DLH790,"48.359314,11.793462",0,5,171
1699823993,2023-11-12T21:19:53Z,DLH790,"48.359093,11.79366",0,8,157
1699823998,2023-11-12T21:19:58Z,DLH790,"48.359001,11.793932",0,10,135
1699824001,2023-11-12T21:20:01Z,DLH790,"48.358978,11.794148",0,11,120
1699824022,2023-11-12T21:20:22Z,DLH790,"48.358257,11.79532",0,0,160
1699824028,2023-11-12T21:20:28Z,DLH790,"48.358017,11.79532",0,7,171
1699824037,2023-11-12T21:20:37Z,DLH790,"48.357662,11.795355",0,9,174
1699824045,2023-11-12T21:20:45Z,DLH790,"48.357361,11.795413",0,8,174
1699824052,2023-11-12T21:20:52Z,DLH790,"48.35714,11.795449",0,7,174
1699824060,2023-11-12T21:21:00Z,DLH790,"48.356846,11.795485",0,8,174
1699824069,2023-11-12T21:21:09Z,DLH790,"48.356602,11.79554",0,5,174
1699824160,2023-11-12T21:22:40Z,DLH790,"48.354652,11.795883",0,0,174
1699824185,2023-11-12T21:23:05Z,DLH790,"48.352913,11.79619",0,0,174
1699824307,2023-11-12T21:25:07Z,DLH790,"48.348484,11.802943",0,0,84
1699824318,2023-11-12T21:25:18Z,DLH790,"48.348549,11.803761",0,0,84
1699824352,2023-11-12T21:25:52Z,DLH790,"48.347523,11.805602",0,0,168
1699824359,2023-11-12T21:25:59Z,DLH790,"48.347221,11.805641",0,7,171
1699824575,2023-11-12T21:29:35Z,DLH790,"48.345581,11.804864",0,6,219
1699824586,2023-11-12T21:29:46Z,DLH790,"48.345268,11.804475",0,9,219
1699824660,2023-11-12T21:31:00Z,DLH790,"48.343754,11.790715",1525,122,263
1699824670,2023-11-12T21:31:10Z,DLH790,"48.343185,11.783118",1525,153,263
1699824679,2023-11-12T21:31:19Z,DLH790,"48.342312,11.771417",1625,172,264
1699824688,2023-11-12T21:31:28Z,DLH790,"48.341583,11.760512",2050,167,264
1699824697,2023-11-12T21:31:37Z,DLH790,"48.340916,11.750167",2500,163,263
1699824706,2023-11-12T21:31:46Z,DLH790,"48.340073,11.739878",2925,160,262
1699824715,2023-11-12T21:31:55Z,DLH790,"48.339294,11.729807",3175,164,263
1699824724,2023-11-12T21:32:04Z,DLH790,"48.338448,11.719521",3400,169,262
1699824733,2023-11-12T21:32:13Z,DLH790,"48.337463,11.70882",3550,177,262
1699824742,2023-11-12T21:32:22Z,DLH790,"48.336491,11.697548",3750,183,262
1699824751,2023-11-12T21:32:31Z,DLH790,"48.335468,11.685478",3975,188,262
1699824760,2023-11-12T21:32:40Z,DLH790,"48.334538,11.673769",4275,190,263
1699824766,2023-11-12T21:32:46Z,DLH790,"48.333984,11.665861",4525,188,263
1699824776,2023-11-12T21:32:56Z,DLH790,"48.333141,11.65382",4925,184,264
1699824785,2023-11-12T21:33:05Z,DLH790,"48.332443,11.642327",5250,185,264
1699824800,2023-11-12T21:33:20Z,DLH790,"48.331326,11.622307",5575,197,265
1699824815,2023-11-12T21:33:35Z,DLH790,"48.330093,11.600788",5825,215,264
1699824830,2023-11-12T21:33:50Z,DLH790,"48.328533,11.57771",6000,234,263
1699824845,2023-11-12T21:34:05Z,DLH790,"48.326622,11.553208",6575,235,262
1699824860,2023-11-12T21:34:20Z,DLH790,"48.324574,11.528995",7425,227,262
1699824875,2023-11-12T21:34:35Z,DLH790,"48.322666,11.50536",8250,221,263
1699824890,2023-11-12T21:34:50Z,DLH790,"48.320942,11.481797",8700,229,263
1699824905,2023-11-12T21:35:05Z,DLH790,"48.318245,11.457945",9200,236,252
1699824909,2023-11-12T21:35:09Z,DLH790,"48.31694,11.453175",9325,241,244
1699824912,2023-11-12T21:35:12Z,DLH790,"48.315266,11.448549",9425,245,238
1699824915,2023-11-12T21:35:15Z,DLH790,"48.313309,11.444284",9550,249,232
1699824918,2023-11-12T21:35:18Z,DLH790,"48.311028,11.440381",9675,252,227
1699824921,2023-11-12T21:35:21Z,DLH790,"48.308422,11.436695",9800,258,220
1699824924,2023-11-12T21:35:24Z,DLH790,"48.305489,11.433226",9900,262,215
1699824927,2023-11-12T21:35:27Z,DLH790,"48.30249,11.430429",10000,268,209
