Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1699995914,2023-11-14T21:05:14Z,DLH790,"48.350143,11.793552",0,0,261
1699995942,2023-11-14T21:05:42Z,DLH790,"48.350166,11.793787",0,2,261
1699996006,2023-11-14T21:06:46Z,DLH790,"48.350235,11.794774",0,2,210
1699996043,2023-11-14T21:07:23Z,DLH790,"48.350529,11.795106",0,0,185
1699996272,2023-11-14T21:11:12Z,DLH790,"48.349571,11.795408",0,10,174
1699996285,2023-11-14T21:11:25Z,DLH790,"48.348923,11.795504",0,10,174
1699996360,2023-11-14T21:12:40Z,DLH790,"48.348225,11.799533",0,10,84
1699996407,2023-11-14T21:13:27Z,DLH790,"48.348446,11.802424",0,0,84
1699996426,2023-11-14T21:13:46Z,DLH790,"48.348549,11.80378",0,0,84
1699996434,2023-11-14T21:13:54Z,DLH790,"48.348564,11.804211",0,8,87
1699996438,2023-11-14T21:13:58Z,DLH790,"48.348549,11.80443",0,10,92
1699996468,2023-11-14T21:14:28Z,DLH790,"48.347706,11.805532",1625,7,139
1699996475,2023-11-14T21:14:35Z,DLH790,"48.347443,11.805605",0,8,165
1699996481,2023-11-14T21:14:41Z,DLH790,"48.347225,11.805619",0,6,171
1699996504,2023-11-14T21:15:04Z,DLH790,"48.346607,11.805725",0,0,174
1699996544,2023-11-14T21:15:44Z,DLH790,"48.346195,11.805655",0,4,185
1699996763,2023-11-14T21:19:23Z,DLH790,"48.343521,11.787752",1625,125,263
1699996773,2023-11-14T21:19:33Z,DLH790,"48.342728,11.777907",1675,152,263
1699996781,2023-11-14T21:19:41Z,DLH790,"48.342087,11.768963",2000,151,264
1699996790,2023-11-14T21:19:50Z,DLH790,"48.341583,11.759597",2425,148,265
1699996799,2023-11-14T21:19:59Z,DLH790,"48.34108,11.749949",2900,146,264
1699996805,2023-11-14T21:20:05Z,DLH790,"48.340683,11.743807",3075,151,265
1699996814,2023-11-14T21:20:14Z,DLH790,"48.340118,11.734314",3250,158,264
1699996824,2023-11-14T21:20:24Z,DLH790,"48.339386,11.72375",3425,168,264
1699996833,2023-11-14T21:20:33Z,DLH790,"48.338654,11.713116",3550,180,263
