Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1700170265,2023-11-16T21:31:05Z,DLH790,"48.349537,11.795413",0,9,174
1700170278,2023-11-16T21:31:18Z,DLH790,"48.348976,11.795513",0,8,174
1700170387,2023-11-16T21:33:07Z,DLH790,"48.34856,11.803852",0,10,84
1700170429,2023-11-16T21:33:49Z,DLH790,"48.347374,11.805623",0,13,174
1700170841,2023-11-16T21:40:41Z,DLH790,"48.343094,11.782485",1700,149,263
1700170849,2023-11-16T21:40:49Z,DLH790,"48.342361,11.773189",1650,176,263
1700170859,2023-11-16T21:40:59Z,DLH790,"48.341427,11.760792",1975,181,263
1700170868,2023-11-16T21:41:08Z,DLH790,"48.340759,11.749314",2450,175,266
1700170877,2023-11-16T21:41:17Z,DLH790,"48.340347,11.738821",2875,171,266
1700170886,2023-11-16T21:41:26Z,DLH790,"48.339844,11.727342",3125,180,265
1700170892,2023-11-16T21:41:32Z,DLH790,"48.339386,11.719877",3200,186,264
1700170902,2023-11-16T21:41:42Z,DLH790,"48.338516,11.707552",3350,195,263
1700170910,2023-11-16T21:41:50Z,DLH790,"48.337601,11.695791",3550,199,263
1700170919,2023-11-16T21:41:59Z,DLH790,"48.336678,11.683021",3850,201,264
1700170928,2023-11-16T21:42:08Z,DLH790,"48.335815,11.670298",4075,207,263
1700170937,2023-11-16T21:42:17Z,DLH790,"48.3349,11.657832",4225,215,263
1700170947,2023-11-16T21:42:27Z,DLH790,"48.33371,11.642902",4450,222,263
1700170956,2023-11-16T21:42:36Z,DLH790,"48.332611,11.62924",4675,228,262
1700170965,2023-11-16T21:42:45Z,DLH790,"48.331329,11.614309",4925,234,262
1700170974,2023-11-16T21:42:54Z,DLH790,"48.330067,11.600044",5400,228,262
1700170989,2023-11-16T21:43:09Z,DLH790,"48.328125,11.577195",6225,222,263
1700171001,2023-11-16T21:43:21Z,DLH790,"48.326576,11.558413",6675,223,263
1700171017,2023-11-16T21:43:37Z,DLH790,"48.324806,11.534778",7350,222,263
1700171031,2023-11-16T21:43:51Z,DLH790,"48.322952,11.511911",7975,222,260
1700171038,2023-11-16T21:43:58Z,DLH790,"48.321259,11.502474",8225,223,249
1700171041,2023-11-16T21:44:01Z,DLH790,"48.319965,11.498204",8350,224,243
1700171044,2023-11-16T21:44:04Z,DLH790,"48.31842,11.494164",8450,228,237
1700171047,2023-11-16T21:44:07Z,DLH790,"48.316566,11.490398",8525,230,230
1700171050,2023-11-16T21:44:10Z,DLH790,"48.314194,11.48664",8625,234,224
1700171053,2023-11-16T21:44:13Z,DLH790,"48.311737,11.48353",8700,238,217
1700171056,2023-11-16T21:44:16Z,DLH790,"48.308792,11.480568",8800,243,210
1700171059,2023-11-16T21:44:19Z,DLH790,"48.305878,11.478248",8900,247,205
1700171062,2023-11-16T21:44:22Z,DLH790,"48.302673,11.476417",9000,251,199
1700171065,2023-11-16T21:44:25Z,DLH790,"48.299156,11.474931",9100,256,193
1700171068,2023-11-16T21:44:28Z,DLH790,"48.295715,11.474092",9225,262,186
1700171071,2023-11-16T21:44:31Z,DLH790,"48.291897,11.473774",9350,266,181
1700171074,2023-11-16T21:44:34Z,DLH790,"48.2883,11.473952",9475,271,175
1700171077,2023-11-16T21:44:37Z,DLH790,"48.283981,11.474786",9625,276,170
1700171080,2023-11-16T21:44:40Z,DLH790,"48.280334,11.476065",9725,283,165
1700171083,2023-11-16T21:44:43Z,DLH790,"48.276398,11.477896",9825,289,159
1700171086,2023-11-16T21:44:46Z,DLH790,"48.272808,11.480135",9925,294,156
1700171089,2023-11-16T21:44:49Z,DLH790,"48.269302,11.482615",9975,300,153
