Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1700255346,2023-11-17T21:09:06Z,DLH790,"48.35891,11.791922",0,0,264
1700255429,2023-11-17T21:10:29Z,DLH790,"48.358921,11.79215",0,0,264
1700255444,2023-11-17T21:10:44Z,DLH790,"48.35894,11.792396",0,2,261
1700255459,2023-11-17T21:10:59Z,DLH790,"48.358955,11.792626",0,3,258
1700255473,2023-11-17T21:11:13Z,DLH790,"48.358929,11.792884",0,3,244
1700255485,2023-11-17T21:11:25Z,DLH790,"48.358898,11.793101",0,2,222
1700255501,2023-11-17T21:11:41Z,DLH790,"48.358932,11.793383",0,3,188
1700255520,2023-11-17T21:12:00Z,DLH790,"48.359138,11.79348",0,3,174
1700255538,2023-11-17T21:12:18Z,DLH790,"48.359348,11.793462",0,2,171
1700255754,2023-11-17T21:15:54Z,DLH790,"48.359127,11.79366",0,7,157
1700255760,2023-11-17T21:16:00Z,DLH790,"48.358978,11.793878",0,9,146
1700255767,2023-11-17T21:16:07Z,DLH790,"48.358727,11.794193",0,11,140
1700255772,2023-11-17T21:16:12Z,DLH790,"48.358524,11.794474",0,12,140
1700255781,2023-11-17T21:16:21Z,DLH790,"48.358105,11.79498",0,14,140
1700255790,2023-11-17T21:16:30Z,DLH790,"48.357594,11.795373",0,14,157
1700255795,2023-11-17T21:16:35Z,DLH790,"48.357243,11.795449",0,15,168
1700255820,2023-11-17T21:17:00Z,DLH790,"48.355339,11.79576",0,0,174
1700255836,2023-11-17T21:17:16Z,DLH790,"48.353931,11.796006",0,0,174
1700255847,2023-11-17T21:17:27Z,DLH790,"48.352993,11.796165",0,0,174
1700255870,2023-11-17T21:17:50Z,DLH790,"48.350807,11.796552",0,0,174
1700256003,2023-11-17T21:20:03Z,DLH790,"48.347317,11.803982",0,0,171
1700256162,2023-11-17T21:22:42Z,DLH790,"48.343735,11.790725",1200,123,263
1700256177,2023-11-17T21:22:57Z,DLH790,"48.342453,11.773893",1225,167,263
1700256186,2023-11-17T21:23:06Z,DLH790,"48.341583,11.763892",1625,162,262
1700256195,2023-11-17T21:23:15Z,DLH790,"48.340866,11.753998",2075,158,264
