Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1700429180,2023-11-19T21:26:20Z,DLH790,"48.351086,11.79366",0,3,261
1700429193,2023-11-19T21:26:33Z,DLH790,"48.351105,11.793929",0,3,258
1700429202,2023-11-19T21:26:42Z,DLH790,"48.351093,11.794158",0,4,250
1700429211,2023-11-19T21:26:51Z,DLH790,"48.351097,11.794383",0,3,236
1700429225,2023-11-19T21:27:05Z,DLH790,"48.351185,11.794739",0,4,213
1700429249,2023-11-19T21:27:29Z,DLH790,"48.351368,11.795091",0,0,174
1700429273,2023-11-19T21:27:53Z,DLH790,"48.351097,11.794239",0,0,174
1700429309,2023-11-19T21:28:29Z,DLH790,"48.351379,11.795109",0,0,174
1700429511,2023-11-19T21:31:51Z,DLH790,"48.349777,11.796728",0,13,163
1700429663,2023-11-19T21:34:23Z,DLH790,"48.347618,11.805569",0,10,163
1700429676,2023-11-19T21:34:36Z,DLH790,"48.347065,11.805655",0,8,171
1700429706,2023-11-19T21:35:06Z,DLH790,"48.346325,11.805676",0,0,182
1700429730,2023-11-19T21:35:30Z,DLH790,"48.346104,11.805549",0,2,194
1700429791,2023-11-19T21:36:31Z,DLH790,"48.345634,11.804933",0,0,216
1700429864,2023-11-19T21:37:44Z,DLH790,"48.343334,11.7858",1425,139,263
1700429876,2023-11-19T21:37:56Z,DLH790,"48.342403,11.773079",1400,153,263
1700429884,2023-11-19T21:38:04Z,DLH790,"48.341675,11.76333",1775,164,264
1700429893,2023-11-19T21:38:13Z,DLH790,"48.341053,11.752841",2275,156,265
1700429902,2023-11-19T21:38:22Z,DLH790,"48.340393,11.743258",2750,149,263
1700429911,2023-11-19T21:38:31Z,DLH790,"48.339611,11.734049",3000,155,262
1700429920,2023-11-19T21:38:40Z,DLH790,"48.338745,11.724102",3075,170,262
1700429929,2023-11-19T21:38:49Z,DLH790,"48.337887,11.713449",3225,175,263
1700429938,2023-11-19T21:38:58Z,DLH790,"48.337006,11.70174",3500,181,263
1700429947,2023-11-19T21:39:07Z,DLH790,"48.336136,11.69065",3725,187,263
1700429956,2023-11-19T21:39:16Z,DLH790,"48.335236,11.678973",3975,191,263
1700429965,2023-11-19T21:39:25Z,DLH790,"48.334213,11.666846",4325,191,262
1700429974,2023-11-19T21:39:34Z,DLH790,"48.333187,11.654832",4700,188,262
1700429980,2023-11-19T21:39:40Z,DLH790,"48.332474,11.647058",4950,188,262
1700429989,2023-11-19T21:39:49Z,DLH790,"48.331512,11.635244",5125,197,263
1700430004,2023-11-19T21:40:04Z,DLH790,"48.329819,11.613746",5325,214,263
1700430020,2023-11-19T21:40:20Z,DLH790,"48.328171,11.590647",5825,220,263
1700430035,2023-11-19T21:40:35Z,DLH790,"48.326622,11.567014",6150,231,264
