Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1700514689,2023-11-20T21:11:29Z,DLH790,"48.35931,11.793453",0,4,174
1700514700,2023-11-20T21:11:40Z,DLH790,"48.359104,11.793589",0,6,160
1700514705,2023-11-20T21:11:45Z,DLH790,"48.359035,11.793805",0,7,140
1700514709,2023-11-20T21:11:49Z,DLH790,"48.359001,11.79404",0,8,123
1700514716,2023-11-20T21:11:56Z,DLH790,"48.359024,11.794437",0,9,98
1700514721,2023-11-20T21:12:01Z,DLH790,"48.359035,11.794722",0,8,92
1700514726,2023-11-20T21:12:06Z,DLH790,"48.359001,11.794944",0,8,98
1700514735,2023-11-20T21:12:15Z,DLH790,"48.358692,11.795232",0,9,140
1700514744,2023-11-20T21:12:24Z,DLH790,"48.358326,11.795287",0,9,165
1700514749,2023-11-20T21:12:29Z,DLH790,"48.35812,11.795302",0,10,171
1700514758,2023-11-20T21:12:38Z,DLH790,"48.357662,11.79536",0,11,174
1700514766,2023-11-20T21:12:46Z,DLH790,"48.357243,11.795431",0,11,174
1700514772,2023-11-20T21:12:52Z,DLH790,"48.356987,11.795485",0,8,174
1700514781,2023-11-20T21:13:01Z,DLH790,"48.35677,11.795513",0,4,174
1700514791,2023-11-20T21:13:11Z,DLH790,"48.356541,11.795567",0,6,174
1700514822,2023-11-20T21:13:42Z,DLH790,"48.355373,11.79576",0,0,174
1700514833,2023-11-20T21:13:53Z,DLH790,"48.354858,11.795847",0,10,174
1700514847,2023-11-20T21:14:07Z,DLH790,"48.35416,11.795971",0,11,174
1700514866,2023-11-20T21:14:26Z,DLH790,"48.35313,11.796147",0,0,174
1700514925,2023-11-20T21:15:25Z,DLH790,"48.350761,11.79657",0,0,174
1700515032,2023-11-20T21:17:12Z,DLH790,"48.348213,11.799479",0,12,84
1700515083,2023-11-20T21:18:03Z,DLH790,"48.348572,11.804014",1500,10,84
1700515092,2023-11-20T21:18:12Z,DLH790,"48.348576,11.804528",0,8,90
1700515096,2023-11-20T21:18:16Z,DLH790,"48.348518,11.804739",0,8,101
1700515107,2023-11-20T21:18:27Z,DLH790,"48.348278,11.805215",0,8,123
1700515123,2023-11-20T21:18:43Z,DLH790,"48.347782,11.805569",0,0,154
1700515131,2023-11-20T21:18:51Z,DLH790,"48.347397,11.805623",0,12,171
1700515143,2023-11-20T21:19:03Z,DLH790,"48.346802,11.805695",0,10,174
1700515279,2023-11-20T21:21:19Z,DLH790,"48.343735,11.790725",1500,10,263
1700515285,2023-11-20T21:21:25Z,DLH790,"48.343369,11.786006",1500,134,263
1700515295,2023-11-20T21:21:35Z,DLH790,"48.342545,11.775175",1450,142,263
1700515304,2023-11-20T21:21:44Z,DLH790,"48.341812,11.765723",1725,169,264
1700515313,2023-11-20T21:21:53Z,DLH790,"48.341217,11.754878",2150,163,265
1700515322,2023-11-20T21:22:02Z,DLH790,"48.340805,11.744807",2625,157,265
1700515331,2023-11-20T21:22:11Z,DLH790,"48.340256,11.735018",2925,159,265
1700515340,2023-11-20T21:22:20Z,DLH790,"48.339703,11.72487",3125,165,264
1700515349,2023-11-20T21:22:29Z,DLH790,"48.339005,11.714317",3275,174,263
1700515358,2023-11-20T21:22:38Z,DLH790,"48.338196,11.703257",3400,184,263
1700515367,2023-11-20T21:22:47Z,DLH790,"48.33728,11.690791",3550,195,263
1700515376,2023-11-20T21:22:56Z,DLH790,"48.336273,11.67896",3700,203,262
1700515385,2023-11-20T21:23:05Z,DLH790,"48.335003,11.665529",3875,213,262
1700515394,2023-11-20T21:23:14Z,DLH790,"48.333885,11.652447",4150,216,262
1700515403,2023-11-20T21:23:23Z,DLH790,"48.332676,11.638569",4500,220,262
1700515409,2023-11-20T21:23:29Z,DLH790,"48.331882,11.629101",4575,228,262
1700515418,2023-11-20T21:23:38Z,DLH790,"48.330719,11.6145",4675,241,263
1700515427,2023-11-20T21:23:47Z,DLH790,"48.329464,11.599322",4900,248,263
1700515437,2023-11-20T21:23:57Z,DLH790,"48.328262,11.583393",5325,248,263
1700515451,2023-11-20T21:24:11Z,DLH790,"48.326431,11.558181",5975,249,263
1700515466,2023-11-20T21:24:26Z,DLH790,"48.3246,11.532124",6550,253,263
1700515482,2023-11-20T21:24:42Z,DLH790,"48.322632,11.505291",7200,254,263
