Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1700600424,2023-11-21T21:00:24Z,DLH790,"48.350155,11.793542",0,0,264
1700600583,2023-11-21T21:03:03Z,DLH790,"48.350189,11.794422",0,0,253
1700600592,2023-11-21T21:03:12Z,DLH790,"48.350155,11.794637",0,0,239
1700601012,2023-11-21T21:10:12Z,DLH790,"48.347282,11.804017",0,0,171
1700601019,2023-11-21T21:10:19Z,DLH790,"48.347054,11.804035",0,8,174
1700601145,2023-11-21T21:12:25Z,DLH790,"48.343567,11.788475",1375,124,263
1700601160,2023-11-21T21:12:40Z,DLH790,"48.342403,11.773585",1350,172,262
1700601169,2023-11-21T21:12:49Z,DLH790,"48.341381,11.762093",1775,170,261
1700601178,2023-11-21T21:12:58Z,DLH790,"48.340393,11.751497",2175,169,261
1700601187,2023-11-21T21:13:07Z,DLH790,"48.339333,11.740481",2525,172,261
1700601196,2023-11-21T21:13:16Z,DLH790,"48.338306,11.72964",2725,179,262
1700601205,2023-11-21T21:13:25Z,DLH790,"48.337372,11.718186",2900,187,263
1700601214,2023-11-21T21:13:34Z,DLH790,"48.336502,11.706426",3050,196,263
1700601220,2023-11-21T21:13:40Z,DLH790,"48.335888,11.697548",3175,200,264
1700601229,2023-11-21T21:13:49Z,DLH790,"48.335003,11.684683",3375,208,264
1700601238,2023-11-21T21:13:58Z,DLH790,"48.334209,11.671817",3550,216,264
1700601248,2023-11-21T21:14:08Z,DLH790,"48.333374,11.657795",3725,226,264
1700601257,2023-11-21T21:14:17Z,DLH790,"48.332489,11.642978",3975,232,264
1700601266,2023-11-21T21:14:26Z,DLH790,"48.33165,11.628305",4175,240,264
1700601275,2023-11-21T21:14:35Z,DLH790,"48.330688,11.612337",4300,253,264
1700601284,2023-11-21T21:14:44Z,DLH790,"48.329647,11.596358",4475,263,264
1700601293,2023-11-21T21:14:53Z,DLH790,"48.328491,11.579942",4775,265,263
1700601302,2023-11-21T21:15:02Z,DLH790,"48.32732,11.563183",5175,268,263
1700601314,2023-11-21T21:15:14Z,DLH790,"48.325607,11.540786",5625,270,263
1700601330,2023-11-21T21:15:30Z,DLH790,"48.323364,11.511576",6225,273,263
1700601345,2023-11-21T21:15:45Z,DLH790,"48.321224,11.483459",6875,274,263
1700601359,2023-11-21T21:15:59Z,DLH790,"48.31908,11.455198",7475,276,263
1700601375,2023-11-21T21:16:15Z,DLH790,"48.316864,11.425852",8025,280,263
1700601390,2023-11-21T21:16:30Z,DLH790,"48.313843,11.397188",8575,285,254
1700601393,2023-11-21T21:16:33Z,DLH790,"48.312378,11.390871",8700,286,248
1700601396,2023-11-21T21:16:36Z,DLH790,"48.310703,11.385378",8800,288,243
1700601399,2023-11-21T21:16:39Z,DLH790,"48.308853,11.380498",8925,288,238
1700601402,2023-11-21T21:16:42Z,DLH790,"48.306561,11.375476",9025,290,232
1700601405,2023-11-21T21:16:45Z,DLH790,"48.303635,11.370357",9150,290,227
1700601408,2023-11-21T21:16:48Z,DLH790,"48.300613,11.365991",9275,292,221
1700601411,2023-11-21T21:16:51Z,DLH790,"48.297527,11.362176",9375,294,217
1700601414,2023-11-21T21:16:54Z,DLH790,"48.293896,11.35849",9475,294,211
1700601417,2023-11-21T21:16:57Z,DLH790,"48.290962,11.356032",9550,295,207
1700601420,2023-11-21T21:17:00Z,DLH790,"48.286423,11.353173",9675,296,199
1700601423,2023-11-21T21:17:03Z,DLH790,"48.282532,11.351412",9800,296,194
1700601426,2023-11-21T21:17:06Z,DLH790,"48.278412,11.350286",9900,296,187
1700601429,2023-11-21T21:17:09Z,DLH790,"48.274715,11.349889",10000,296,182
1700601432,2023-11-21T21:17:12Z,DLH790,"48.270218,11.350144",10150,296,176
1700601435,2023-11-21T21:17:15Z,DLH790,"48.266338,11.351046",10275,295,169
1700601439,2023-11-21T21:17:19Z,DLH790,"48.262527,11.352539",10375,294,162
1700601442,2023-11-21T21:17:22Z,DLH790,"48.258656,11.354732",10500,294,157
1700601445,2023-11-21T21:17:25Z,DLH790,"48.254929,11.357469",10600,294,150
1700601448,2023-11-21T21:17:28Z,DLH790,"48.251209,11.361092",10700,294,144
1700601451,2023-11-21T21:17:31Z,DLH790,"48.24865,11.364128",10775,295,138
1700601454,2023-11-21T21:17:34Z,DLH790,"48.245205,11.369331",10875,296,131
1700601457,2023-11-21T21:17:37Z,DLH790,"48.242615,11.37423",10975,294,125
1700601460,2023-11-21T21:17:40Z,DLH790,"48.240601,11.37923",11075,294,119
1700601463,2023-11-21T21:17:43Z,DLH790,"48.238724,11.385076",11175,292,112
1700601466,2023-11-21T21:17:46Z,DLH790,"48.23735,11.39071",11275,292,108
1700601469,2023-11-21T21:17:49Z,DLH790,"48.236298,11.396343",11350,292,105
1700601472,2023-11-21T21:17:52Z,DLH790,"48.235287,11.402652",11475,292,102
1700601475,2023-11-21T21:17:55Z,DLH790,"48.234512,11.408316",11600,290,100
1700601478,2023-11-21T21:17:58Z,DLH790,"48.233917,11.413386",11725,290,99
1700601481,2023-11-21T21:18:01Z,DLH790,"48.233101,11.420794",11850,290,99
1700601484,2023-11-21T21:18:04Z,DLH790,"48.232449,11.426215",11950,292,100
1700601487,2023-11-21T21:18:07Z,DLH790,"48.231705,11.432141",12050,292,101
1700601490,2023-11-21T21:18:10Z,DLH790,"48.230865,11.437996",12150,293,102
1700601523,2023-11-21T21:18:43Z,DLH790,"48.217896,11.504024",13125,307,107
1700601553,2023-11-21T21:19:13Z,DLH790,"48.205856,11.569448",13475,335,103
1700601586,2023-11-21T21:19:46Z,DLH790,"48.193863,11.645578",13875,364,102
1700601620,2023-11-21T21:20:20Z,DLH790,"48.180771,11.730018",14675,376,103
1700601652,2023-11-21T21:20:52Z,DLH790,"48.16745,11.814739",15525,387,103
