Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1700687508,2023-11-22T21:11:48Z,DLH790,"48.35891,11.791922",0,0,264
1700687557,2023-11-22T21:12:37Z,DLH790,"48.358921,11.792186",0,0,261
1700687570,2023-11-22T21:12:50Z,DLH790,"48.358952,11.792396",0,2,264
1700687581,2023-11-22T21:13:01Z,DLH790,"48.359024,11.79263",0,4,278
1700687590,2023-11-22T21:13:10Z,DLH790,"48.359058,11.792866",0,4,295
1700687599,2023-11-22T21:13:19Z,DLH790,"48.359047,11.793082",0,4,309
1700687609,2023-11-22T21:13:29Z,DLH790,"48.35899,11.7933",0,4,323
1700687619,2023-11-22T21:13:39Z,DLH790,"48.358875,11.793507",0,4,334
1700687632,2023-11-22T21:13:52Z,DLH790,"48.358662,11.793696",0,4,340
1700687655,2023-11-22T21:14:15Z,DLH790,"48.358383,11.793894",0,2,354
1700687668,2023-11-22T21:14:28Z,DLH790,"48.358955,11.792415",0,1,354
1700687893,2023-11-22T21:18:13Z,DLH790,"48.358452,11.793894",0,0,354
1700687906,2023-11-22T21:18:26Z,DLH790,"48.358669,11.793859",0,5,354
1700687916,2023-11-22T21:18:36Z,DLH790,"48.358887,11.793964",0,6,11
1700687921,2023-11-22T21:18:41Z,DLH790,"48.35899,11.794167",0,7,28
1700687928,2023-11-22T21:18:48Z,DLH790,"48.359058,11.794493",0,8,56
1700687934,2023-11-22T21:18:54Z,DLH790,"48.359058,11.794763",0,7,73
1700687939,2023-11-22T21:18:59Z,DLH790,"48.359001,11.795016",0,8,90
1700687947,2023-11-22T21:19:07Z,DLH790,"48.358707,11.795251",0,9,137
1700687959,2023-11-22T21:19:19Z,DLH790,"48.358265,11.795287",0,8,168
1700687965,2023-11-22T21:19:25Z,DLH790,"48.358059,11.795305",0,8,171
1700687969,2023-11-22T21:19:29Z,DLH790,"48.357857,11.795338",0,9,171
1700687975,2023-11-22T21:19:35Z,DLH790,"48.357651,11.79539",0,9,174
1700687982,2023-11-22T21:19:42Z,DLH790,"48.357334,11.795431",0,10,174
1700687992,2023-11-22T21:19:52Z,DLH790,"48.356861,11.795513",0,10,174
1700687998,2023-11-22T21:19:58Z,DLH790,"48.356564,11.795567",0,11,174
1700688022,2023-11-22T21:20:22Z,DLH790,"48.355312,11.795793",0,0,174
1700688032,2023-11-22T21:20:32Z,DLH790,"48.354797,11.795883",0,13,174
1700688042,2023-11-22T21:20:42Z,DLH790,"48.354126,11.795989",0,13,174
1700688050,2023-11-22T21:20:50Z,DLH790,"48.353668,11.79606",0,14,174
1700688057,2023-11-22T21:20:57Z,DLH790,"48.35321,11.796147",0,0,174
1700688064,2023-11-22T21:21:04Z,DLH790,"48.352749,11.796227",0,15,174
1700688083,2023-11-22T21:21:23Z,DLH790,"48.35146,11.796447",0,0,174
1700688091,2023-11-22T21:21:31Z,DLH790,"48.350864,11.796553",0,0,174
1700688100,2023-11-22T21:21:40Z,DLH790,"48.350178,11.79666",0,16,174
1700688170,2023-11-22T21:22:50Z,DLH790,"48.348209,11.799458",0,0,84
1700688201,2023-11-22T21:23:21Z,DLH790,"48.348434,11.802352",0,0,84
1700688223,2023-11-22T21:23:43Z,DLH790,"48.348015,11.803753",0,0,132
1700688467,2023-11-22T21:27:47Z,DLH790,"48.343826,11.791851",1100,103,263
1700688480,2023-11-22T21:28:00Z,DLH790,"48.342915,11.779945",1075,138,263
1700688490,2023-11-22T21:28:10Z,DLH790,"48.342133,11.769104",1225,170,264
1700688499,2023-11-22T21:28:19Z,DLH790,"48.3414,11.758188",1675,165,264
