"Id";"Brand";"Produkt";"Zutaten";"Naehrwerte";"Url";"Stats";"Level";"OUT";"IN";"Http Resp";"Content Type";"Encoding";"Accuracy"
"1";NA;NA;NA;NA;"https://www.rossmann.de/de/lebensmittel/c/olcat1_4?q=%3Abestseller%3A&page=0&pageSize=60#";"finished";"0";"70";"";"200";"text/html";"UTF-8";""
"2";"
        enerBiO
    ";"
        Adventskalender 2023";"Siehe Abbildung Rückseite. ";NA;"https://www.rossmann.de/de/adventskalender-enerbio-adventskalender-2023/p/4305615982137";"finished";"1";"2";"";"200";"text/html";"UTF-8";""
"3";"
        enerBiO
    ";"
        Adventskalender 2023";"Siehe Abbildung Rückseite. ";NA;"https://www.rossmann.de/adventskalender-enerbio-adventskalender-2023/p/4305615982137";"finished";"1";"2";"";"200";"text/html";"UTF-8";""
"4";"
        enerBiO
    ";"
        Hafer Drink Natur Naturland";"Wasser, 11% VOLLKORNHAFER*, Sonnenblumenöl*, Meersalz.";"Durchschnittliche Nährwertangabenpro 100 mlEnergie176 kj / 42 kcalFett1,4 gdavon- gesättigte Fettsäuren0,2 g- einfach ungesättigte Fettsäuren0,5 g- mehrfach ungesättigte Fettsäuren0,7 gKohlenhydrate6,6 gdavon- Zucker4,5 gBallaststoffe0,2 gEiweiß0,7 gSalz0,13 g";"https://www.rossmann.de/de/lebensmittel-enerbio-hafer-drink-natur-naturland/p/4305615761190";"finished";"1";"2";"";"200";"text/html";"UTF-8";""
"5";"
        enerBiO
    ";"
        Tomatenstücke";"geschälte Tomatenstücke*, Tomatensaft*";"Durchschnittliche Nährwertangabenpro 100 gEnergie91 kj / 22 kcalFett< 0,5 gdavon- gesättigte Fettsäuren< 0 gKohlenhydrate3 gdavon- Zucker3 gBallaststoffe1 gEiweiß1,2 gSalz0,14 g";"https://www.rossmann.de/de/lebensmittel-enerbio-tomatenstuecke/p/4305615666976";"finished";"1";"2";"";"200";"text/html";"UTF-8";""
"6";"
        enerBiO
    ";"
        Tomatenmark";"Tomatenmark* zweifach konzentriert. *aus kontrolliert biologischem Anbau";"Durchschnittliche Nährwertangabenpro 100 gEnergie86 kj / 365 kcalFett< 0,5 gdavon- gesättigte Fettsäuren0,1 gKohlenhydrate14,0 gdavon- Zucker14,0 gBallaststoffe4,4 gEiweiß4,5 gSalz0,06 g";"https://www.rossmann.de/de/lebensmittel-enerbio-tomatenmark/p/4305615982670";"finished";"1";"2";"";"200";"text/html";"UTF-8";""
"7";"
        enerBiO
    ";"
        Haferflocken Feinblatt";"feine HAFERFLCOKEN*. *kontrolliert biologischer Anbau";"Durchschnittliche Nährwertangabenpro 100 gEnergie1560 kj / 370 kcalFett6,7 gdavon- gesättigte Fettsäuren1,1 gKohlenhydrate60 gdavon- Zucker0,8 gBallaststoffe9,7 gEiweiß13 gSalz< 0,01 g";"https://www.rossmann.de/de/lebensmittel-enerbio-haferflocken-feinblatt/p/4305615907840";"finished";"1";"2";"";"200";"text/html";"UTF-8";""
"8";"
        enerBiO
    ";"
        Kürbis Kerne";"Kürbiskerne*";"Durchschnittliche Nährwertangabenpro 100 gEnergie2364,0 kj / 570,0 kcalFett44,0 gdavon- gesättigte Fettsäuren8,1 g- einfach ungesättigte Fettsäuren13,0 g- mehrfach ungesättigte Fettsäuren23,0 gKohlenhydrate4,7 gdavon- Zucker2,1 gBallaststoffe7,6 gEiweiß35,0 gSalz0,03 gNRVMagnesium499,0 mg133 %";"https://www.rossmann.de/de/lebensmittel-enerbio-kuerbis-kerne/p/4305615678252";"finished";"1";"2";"";"200";"text/html";"UTF-8";""
"9";"
        enerBiO
    ";"
        Soft Datteln";"Datteln*. *aus kontrolliert biologischem Anbau";"Durchschnittliche Nährwertangabenpro 100 gEnergie1157 kj / 273 kcalFett0,3 gdavon- gesättigte Fettsäuren0,3 gKohlenhydrate62 gdavon- Zucker51 gBallaststoffe7,8 gEiweiß2 gSalz0,03 gNRVKalium660 mg33 %";"https://www.rossmann.de/de/lebensmittel-enerbio-soft-datteln/p/4305615822563";"finished";"1";"2";"";"200";"text/html";"UTF-8";""
"10";"
        enerBiO
    ";"
        Soft Datteln";"Datteln*. *aus kontrolliert biologischem Anbau";"Durchschnittliche Nährwertangabenpro 100 gEnergie1157 kj / 273 kcalFett0,3 gdavon- gesättigte Fettsäuren0,3 gKohlenhydrate62 gdavon- Zucker51 gBallaststoffe7,8 gEiweiß2 gSalz0,03 gNRVKalium660 mg33 %";"https://www.rossmann.de/lebensmittel-enerbio-soft-datteln/p/4305615822563";"finished";"1";"2";"";"200";"text/html";"UTF-8";""
